time,Detroit,pts.away,score,pts.home,Miami
2:30.0,R. Jackson makes free throw 1 of 2,1,102-94,,
2:30.0,R. Jackson makes free throw 2 of 2,1,103-94,,
2:30.0,J. Leuer enters the game for A. Drummond,,100-94,,
2:11.0,,,103-96,2,D. Williams makes 2-pt shot from 2 ft (assist by J. Richardson)
1:46.0,T. Harris misses 2-pt shot from 17 ft,,103-96,,
1:45.0,,,103-96,,Defensive rebound by W. Ellington
1:34.0,,,103-96,,J. Johnson misses 2-pt shot from 3 ft
1:33.0,Defensive rebound by K. Caldwell-Pope,,103-96,,
1:14.0,J. Leuer misses 2-pt shot from 9 ft,,103-96,,
1:13.0,,,103-96,,Defensive rebound by W. Ellington
1:02.0,,,103-96,,W. Ellington misses 3-pt shot from 25 ft
1:01.0,,,103-96,,Offensive rebound by J. Johnson
0:58.0,,,103-96,,W. Ellington misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by T. Harris,,103-96,,
0:37.0,R. Jackson makes 3-pt shot from 24 ft,3,106-96,,
0:37.0,,,106-96,,Miami full timeout
0:31.0,,,106-96,,T. Johnson misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by T. Harris,,106-96,,
0:18.0,,,106-96,,Personal foul by J. Johnson (drawn by M. Morris)
0:18.0,M. Morris makes free throw 1 of 2,1,107-96,,
0:18.0,M. Morris misses free throw 2 of 2,,107-96,,
0:17.0,,,107-96,,Defensive rebound by D. Williams
0:17.0,,,107-96,,Miami full timeout
0:11.0,,,107-98,2,J. Johnson makes 2-pt shot from 1 ft
0:01.0,Turnover by M. Morris (lost ball),,107-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
