time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (L. Babbitt gains possession)
11:42.0,,,0-2,2,R. McGruder makes 2-pt shot from 9 ft
11:26.0,N. Vucevic misses 2-pt shot from 15 ft,,0-2,,
11:25.0,Offensive rebound by S. Ibaka,,0-2,,
11:21.0,S. Ibaka makes 2-pt shot from 8 ft,2,2-2,,
11:06.0,,,2-2,,D. Waiters misses 2-pt shot from 2 ft (block by A. Gordon)
11:05.0,Defensive rebound by A. Gordon,,2-2,,
10:58.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier),2,4-2,,
10:47.0,,,4-2,,R. McGruder misses 2-pt shot from 9 ft
10:46.0,Defensive rebound by N. Vucevic,,4-2,,
10:36.0,A. Gordon misses 2-pt shot from 1 ft,,4-2,,
10:35.0,Offensive rebound by A. Gordon,,4-2,,
10:34.0,A. Gordon makes 2-pt shot at rim,2,6-2,,
10:21.0,,,6-2,,R. McGruder misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by A. Gordon,,6-2,,
10:09.0,C. Watson misses 2-pt shot from 18 ft,,6-2,,
10:08.0,Offensive rebound by N. Vucevic,,6-2,,
10:05.0,N. Vucevic misses 2-pt shot from 7 ft,,6-2,,
10:04.0,,,6-2,,Defensive rebound by H. Whiteside
9:51.0,,,6-2,,R. McGruder misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by A. Gordon,,6-2,,
9:44.0,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon),2,8-2,,
9:32.0,,,8-2,,G. Dragic misses 2-pt shot from 16 ft
9:31.0,Defensive rebound by S. Ibaka,,8-2,,
9:23.0,E. Fournier misses 2-pt shot from 19 ft,,8-2,,
9:22.0,Offensive rebound by N. Vucevic,,8-2,,
9:16.0,A. Gordon makes 2-pt shot from 18 ft (assist by C. Watson),2,10-2,,
9:15.0,,,10-2,,Miami full timeout
9:15.0,,,10-2,,W. Reed enters the game for H. Whiteside
9:00.0,,,10-4,2,D. Waiters makes 2-pt shot from 2 ft
8:41.0,E. Fournier makes 2-pt shot from 13 ft,2,12-4,,
8:28.0,,,12-7,3,R. McGruder makes 3-pt shot from 24 ft (assist by D. Waiters)
8:13.0,Turnover by A. Gordon (lost ball; steal by G. Dragic),,12-7,,
8:07.0,,,12-9,2,W. Reed makes 2-pt shot at rim (assist by R. McGruder)
7:56.0,Turnover by E. Fournier (bad pass),,12-9,,
7:46.0,,,12-9,,G. Dragic misses 2-pt shot from 13 ft
7:45.0,Defensive rebound by A. Gordon,,12-9,,
7:26.0,E. Fournier misses 2-pt shot from 10 ft,,12-9,,
7:25.0,Offensive rebound by S. Ibaka,,12-9,,
7:23.0,,,12-9,,Personal foul by L. Babbitt (drawn by S. Ibaka)
7:15.0,C. Watson makes 2-pt shot from 1 ft,2,14-9,,
6:52.0,,,14-9,,W. Reed misses 2-pt shot from 9 ft
6:51.0,,,14-9,,Offensive rebound by W. Reed
6:49.0,,,14-11,2,R. McGruder makes 2-pt shot from 2 ft
6:37.0,Turnover by C. Watson (traveling),,14-11,,
6:25.0,,,14-11,,D. Waiters misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by N. Vucevic,,14-11,,
6:10.0,C. Watson misses 2-pt shot from 8 ft,,14-11,,
6:09.0,Offensive rebound by S. Ibaka,,14-11,,
6:05.0,S. Ibaka makes 2-pt shot from 10 ft,2,16-11,,
5:52.0,,,16-14,3,L. Babbitt makes 3-pt shot from 24 ft (assist by D. Waiters)
5:37.0,E. Fournier makes 2-pt shot from 8 ft,2,18-14,,
5:23.0,,,18-14,,R. McGruder misses 2-pt shot from 9 ft
5:22.0,Defensive rebound by N. Vucevic,,18-14,,
5:13.0,C. Watson makes 3-pt shot from 24 ft (assist by E. Fournier),3,21-14,,
4:59.0,,,21-16,2,D. Waiters makes 2-pt shot from 2 ft
4:44.0,S. Ibaka misses 2-pt shot from 16 ft,,21-16,,
4:43.0,,,21-16,,Defensive rebound by Team
4:42.0,Loose ball foul by A. Gordon (drawn by L. Babbitt),,21-16,,
4:42.0,,,21-16,,J. Johnson enters the game for G. Dragic
4:42.0,,,21-16,,T. Johnson enters the game for L. Babbitt
4:42.0,E. Payton enters the game for C. Watson,,21-16,,
4:28.0,,,21-16,,Turnover by D. Waiters (lost ball)
4:15.0,Shooting foul by W. Reed (drawn by N. Vucevic),,21-16,,
4:15.0,N. Vucevic makes free throw 1 of 2,1,22-16,,
4:15.0,N. Vucevic makes free throw 2 of 2,1,23-16,,
4:15.0,M. Hezonja enters the game for A. Gordon,,22-16,,
3:58.0,,,23-19,3,D. Waiters makes 3-pt shot from 25 ft (assist by T. Johnson)
3:39.0,S. Ibaka makes 2-pt shot from 17 ft (assist by E. Payton),2,25-19,,
3:22.0,,,25-19,,Turnover by D. Waiters (bad pass; steal by N. Vucevic)
3:15.0,Shooting foul by D. Waiters (drawn by E. Fournier),,25-19,,
3:15.0,E. Fournier makes free throw 1 of 2,1,26-19,,
3:15.0,E. Fournier makes free throw 2 of 2,1,27-19,,
3:15.0,J. Green enters the game for S. Ibaka,,26-19,,
3:01.0,,,27-19,,W. Reed misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by N. Vucevic,,27-19,,
2:58.0,Shooting foul by D. Waiters (drawn by J. Green),,27-19,,
2:58.0,Orlando full timeout,,27-19,,
2:58.0,J. Green makes free throw 1 of 2,1,28-19,,
2:58.0,J. Green makes free throw 2 of 2,1,29-19,,
2:58.0,,,27-19,,G. Dragic enters the game for R. McGruder
2:58.0,,,27-19,,W. Ellington enters the game for D. Waiters
2:58.0,,,27-19,,H. Whiteside enters the game for W. Reed
2:45.0,,,29-19,,Turnover by G. Dragic (bad pass; steal by J. Green)
2:40.0,J. Green makes 2-pt shot from 1 ft,2,31-19,,
2:32.0,Personal foul by E. Payton (drawn by G. Dragic),,31-19,,
2:29.0,,,31-19,,Shooting foul by E. Payton (drawn by G. Dragic)
2:29.0,,,31-20,1,G. Dragic makes free throw 1 of 3
2:29.0,,,31-21,1,G. Dragic makes free throw 2 of 3
2:29.0,,,31-22,1,G. Dragic makes free throw 3 of 3
2:17.0,M. Hezonja misses 2-pt shot from 9 ft (block by J. Johnson),,31-22,,
2:16.0,,,31-22,,Defensive rebound by H. Whiteside
2:06.0,,,31-22,,W. Ellington misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by N. Vucevic,,31-22,,
1:53.0,J. Green misses 3-pt shot from 26 ft,,31-22,,
1:52.0,,,31-22,,Defensive rebound by H. Whiteside
1:46.0,,,31-24,2,G. Dragic makes 2-pt shot from 2 ft (assist by T. Johnson)
1:32.0,E. Payton misses 2-pt shot from 10 ft,,31-24,,
1:31.0,,,31-24,,Defensive rebound by J. Johnson
1:12.0,,,31-26,2,H. Whiteside makes 2-pt shot from 8 ft
1:12.0,Orlando full timeout,,31-26,,
1:12.0,B. Biyombo enters the game for N. Vucevic,,31-26,,
1:12.0,D. Augustin enters the game for E. Fournier,,31-26,,
1:02.0,Shooting foul by G. Dragic (drawn by E. Payton),,31-26,,
1:02.0,E. Payton makes 2-pt shot from 5 ft,2,33-26,,
1:02.0,E. Payton makes free throw 1 of 1,1,34-26,,
0:37.0,,,34-26,,J. Johnson misses 2-pt shot from 20 ft
0:37.0,Defensive rebound by B. Biyombo,,34-26,,
0:28.0,,,34-26,,Personal foul by J. Johnson (drawn by E. Payton)
0:28.0,E. Payton makes free throw 1 of 2,1,35-26,,
0:28.0,E. Payton makes free throw 2 of 2,1,36-26,,
0:07.0,,,36-28,2,G. Dragic makes 2-pt shot from 8 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Biyombo misses 2-pt shot from 1 ft (block by J. Johnson),,36-28,,
11:42.0,Offensive rebound by B. Biyombo,,36-28,,
11:38.0,,,36-28,,Personal foul by J. Johnson (drawn by D. Augustin)
11:26.0,D. Augustin misses 2-pt shot from 17 ft,,36-28,,
11:25.0,Offensive rebound by B. Biyombo,,36-28,,
11:23.0,Turnover by M. Hezonja (step out of bounds),,36-28,,
11:23.0,,,36-28,,O. White enters the game for J. Johnson
11:03.0,,,36-30,2,T. Johnson makes 2-pt shot from 10 ft
10:45.0,,,36-30,,Personal foul by O. White (drawn by J. Green)
10:35.0,M. Hezonja makes 3-pt shot from 24 ft (assist by E. Payton),3,39-30,,
10:21.0,Personal foul by D. Augustin (drawn by T. Johnson),,39-30,,
10:10.0,,,39-32,2,T. Johnson makes 2-pt shot from 9 ft
10:01.0,,,39-32,,Personal foul by O. White (drawn by J. Green)
9:54.0,J. Green misses 2-pt shot from 1 ft (block by H. Whiteside),,39-32,,
9:53.0,Offensive rebound by B. Biyombo,,39-32,,
9:52.0,Turnover by B. Biyombo (lost ball; steal by H. Whiteside),,39-32,,
9:48.0,,,39-32,,Shooting foul by J. Green (drawn by G. Dragic)
9:48.0,,,39-33,1,G. Dragic makes free throw 1 of 3
9:48.0,,,39-34,1,G. Dragic makes free throw 2 of 3
9:48.0,,,39-35,1,G. Dragic makes free throw 3 of 3
9:31.0,M. Hezonja misses 2-pt shot from 20 ft,,39-35,,
9:30.0,Offensive rebound by B. Biyombo,,39-35,,
9:18.0,D. Augustin misses 2-pt shot from 3 ft (block by T. Johnson),,39-35,,
9:17.0,,,39-35,,Defensive rebound by H. Whiteside
9:14.0,,,39-35,,T. Johnson misses 2-pt shot from 4 ft (block by B. Biyombo)
9:11.0,Defensive rebound by J. Green,,39-35,,
9:05.0,E. Payton misses 2-pt shot from 7 ft (block by H. Whiteside),,39-35,,
9:04.0,,,39-35,,Defensive rebound by O. White
9:01.0,,,39-35,,Shooting foul by M. Hezonja (drawn by T. Johnson)
9:01.0,,,39-36,1,T. Johnson makes free throw 1 of 2
9:01.0,,,39-36,,T. Johnson misses free throw 2 of 2
9:01.0,E. Fournier enters the game for M. Hezonja,,39-36,,
8:58.0,Defensive rebound by B. Biyombo,,39-36,,
8:45.0,J. Green misses 2-pt shot from 1 ft,,39-36,,
8:44.0,,,39-36,,Defensive rebound by H. Whiteside
8:39.0,,,39-36,,Offensive foul by H. Whiteside
8:39.0,,,39-36,,Turnover by H. Whiteside (offensive foul)
8:39.0,Official timeout,,39-36,,
8:39.0,,,39-36,,R. McGruder enters the game for T. Johnson
8:25.0,D. Augustin makes 3-pt shot from 25 ft (assist by B. Biyombo),3,42-36,,
8:12.0,,,42-39,3,W. Ellington makes 3-pt shot from 26 ft (assist by G. Dragic)
7:45.0,J. Green makes 2-pt shot from 2 ft,2,44-39,,
7:28.0,,,44-39,,Shooting foul by B. Biyombo (drawn by H. Whiteside)
7:28.0,,,44-39,,H. Whiteside misses free throw 1 of 2
7:28.0,,,44-39,,Offensive rebound by Team
7:28.0,,,44-40,1,H. Whiteside makes free throw 2 of 2
7:28.0,,,44-39,,D. Waiters enters the game for G. Dragic
7:15.0,E. Fournier misses 3-pt shot from 25 ft,,44-40,,
7:14.0,,,44-40,,Defensive rebound by H. Whiteside
7:04.0,,,44-40,,O. White misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by D. Augustin,,44-40,,
6:51.0,E. Fournier makes 2-pt shot from 18 ft,2,46-40,,
6:38.0,,,46-40,,Turnover by D. Waiters (bad pass; steal by E. Fournier)
6:33.0,E. Payton makes 2-pt shot at rim (assist by E. Fournier),2,48-40,,
6:33.0,,,48-40,,Miami full timeout
6:33.0,A. Gordon enters the game for D. Augustin,,48-40,,
6:33.0,,,48-40,,T. Johnson enters the game for W. Ellington
6:33.0,,,48-40,,J. Johnson enters the game for O. White
6:17.0,Personal foul by A. Gordon (drawn by D. Waiters),,48-40,,
6:17.0,,,48-40,,D. Waiters misses free throw 1 of 2
6:17.0,,,48-40,,Offensive rebound by Team
6:17.0,,,48-41,1,D. Waiters makes free throw 2 of 2
6:04.0,Turnover by E. Fournier (bad pass),,48-41,,
5:54.0,,,48-41,,T. Johnson misses 2-pt shot from 20 ft
5:53.0,Defensive rebound by B. Biyombo,,48-41,,
5:46.0,J. Green makes 2-pt shot from 1 ft,2,50-41,,
5:29.0,,,50-41,,Turnover by D. Waiters (lost ball; steal by A. Gordon)
5:13.0,J. Green makes 2-pt shot from 1 ft,2,52-41,,
5:13.0,Shooting foul by H. Whiteside (drawn by J. Green),,52-41,,
5:13.0,J. Green makes free throw 1 of 1,1,53-41,,
5:13.0,N. Vucevic enters the game for B. Biyombo,,52-41,,
4:58.0,,,53-41,,J. Johnson misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by N. Vucevic,,53-41,,
4:38.0,J. Green misses 2-pt shot from 9 ft,,53-41,,
4:37.0,,,53-41,,Defensive rebound by H. Whiteside
4:21.0,,,53-41,,R. McGruder misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by N. Vucevic,,53-41,,
4:10.0,E. Payton makes 2-pt shot from 15 ft,2,55-41,,
3:51.0,,,55-43,2,D. Waiters makes 2-pt shot from 19 ft
3:36.0,E. Fournier makes 2-pt shot from 8 ft,2,57-43,,
3:36.0,,,57-43,,Shooting block foul by R. McGruder (drawn by E. Fournier)
3:36.0,E. Fournier misses free throw 1 of 1,,57-43,,
3:36.0,S. Ibaka enters the game for J. Green,,57-43,,
3:36.0,C. Watson enters the game for E. Payton,,57-43,,
3:35.0,,,57-43,,Defensive rebound by H. Whiteside
3:17.0,,,57-43,,H. Whiteside misses 2-pt shot from 3 ft
3:16.0,Defensive rebound by N. Vucevic,,57-43,,
3:10.0,E. Fournier misses 3-pt shot from 25 ft,,57-43,,
3:09.0,Offensive rebound by N. Vucevic,,57-43,,
3:07.0,Orlando full timeout,,57-43,,
3:07.0,,,57-43,,G. Dragic enters the game for R. McGruder
2:53.0,Turnover by E. Fournier (bad pass; steal by D. Waiters),,57-43,,
2:51.0,,,57-45,2,D. Waiters makes 2-pt shot from 5 ft
2:51.0,Shooting block foul by E. Fournier (drawn by D. Waiters),,57-45,,
2:51.0,,,57-46,1,D. Waiters makes free throw 1 of 1
2:42.0,A. Gordon misses 3-pt shot from 25 ft,,57-46,,
2:41.0,Offensive rebound by N. Vucevic,,57-46,,
2:40.0,Turnover by N. Vucevic (traveling),,57-46,,
2:21.0,,,57-46,,Turnover by G. Dragic (bad pass; steal by S. Ibaka)
2:12.0,N. Vucevic misses 2-pt shot from 10 ft,,57-46,,
2:11.0,,,57-46,,Defensive rebound by G. Dragic
2:10.0,Personal foul by E. Fournier (drawn by G. Dragic),,57-46,,
2:10.0,,,57-47,1,G. Dragic makes free throw 1 of 2
2:10.0,,,57-48,1,G. Dragic makes free throw 2 of 2
1:57.0,C. Watson misses 2-pt shot from 3 ft,,57-48,,
1:56.0,,,57-48,,Defensive rebound by H. Whiteside
1:45.0,,,57-50,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Waiters)
1:45.0,,,57-50,,Shooting foul by S. Ibaka (drawn by H. Whiteside)
1:45.0,,,57-51,1,H. Whiteside makes free throw 1 of 1
1:32.0,Turnover by C. Watson (bad pass; steal by H. Whiteside),,57-51,,
1:24.0,,,57-53,2,D. Waiters makes 2-pt shot from 17 ft
1:05.0,N. Vucevic misses 2-pt shot from 7 ft,,57-53,,
1:04.0,,,57-53,,Defensive rebound by H. Whiteside
0:59.0,,,57-53,,D. Waiters misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by S. Ibaka,,57-53,,
0:35.0,S. Ibaka makes 3-pt shot from 23 ft (assist by N. Vucevic),3,60-53,,
0:15.0,,,60-53,,G. Dragic misses 2-pt shot from 9 ft
0:14.0,,,60-53,,Offensive rebound by H. Whiteside
0:13.0,,,60-55,2,H. Whiteside makes 2-pt shot from 2 ft
