time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. P. Gasol (D. Green gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (D. Green gains possession)
11:48.0,,,0-0,,Personal foul by E. Bledsoe (drawn by T. Parker)
11:37.0,L. Aldridge makes 2-pt shot from 12 ft,2,2-0,,
11:26.0,,,2-3,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
11:09.0,L. Aldridge misses 2-pt shot from 15 ft,,2-3,,
11:05.0,,,2-3,,Defensive rebound by T. Warren
10:58.0,,,2-3,,D. Booker misses 3-pt shot from 25 ft
10:56.0,,,2-3,,Offensive rebound by T. Chandler
10:51.0,,,2-5,2,T. Warren makes 2-pt shot from 14 ft (assist by T. Chandler)
10:32.0,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Leonard),2,4-5,,
10:26.0,,,4-5,,Turnover by D. Booker (back court)
10:09.0,,,4-5,,Personal foul by D. Booker (drawn by D. Green)
10:02.0,P. Gasol misses 2-pt shot from 18 ft,,4-5,,
10:00.0,,,4-5,,Defensive rebound by M. Chriss
9:56.0,,,4-7,2,E. Bledsoe makes 2-pt shot from 21 ft
9:41.0,T. Parker misses 2-pt shot from 19 ft,,4-7,,
9:37.0,,,4-7,,Defensive rebound by T. Chandler
9:28.0,,,4-7,,M. Chriss misses 3-pt shot from 25 ft
9:26.0,,,4-7,,Offensive rebound by M. Chriss
9:25.0,,,4-9,2,T. Chandler makes 2-pt shot at rim (assist by M. Chriss)
9:25.0,San Antonio full timeout,,4-9,,
9:11.0,Turnover by P. Gasol (bad pass; steal by M. Chriss),,4-9,,
9:09.0,,,4-9,,Shooting foul by D. Green (drawn by D. Booker)
9:09.0,,,4-10,1,D. Booker makes free throw 1 of 2
9:09.0,,,4-11,1,D. Booker makes free throw 2 of 2
9:09.0,K. Anderson enters the game for K. Leonard,,4-10,,
9:09.0,D. Lee enters the game for L. Aldridge,,4-10,,
9:09.0,J. Simmons enters the game for P. Gasol,,4-10,,
9:09.0,M. Ginobili enters the game for D. Green,,4-10,,
9:09.0,D. Bertans enters the game for T. Parker,,4-10,,
8:59.0,J. Simmons makes 2-pt shot from 3 ft,2,6-11,,
8:53.0,,,6-11,,D. Booker misses 2-pt shot from 19 ft
8:53.0,,,6-11,,Offensive rebound by Team
8:53.0,Personal foul by D. Lee (drawn by M. Chriss),,6-11,,
8:53.0,D. Dedmon enters the game for D. Bertans,,6-11,,
8:47.0,Loose ball foul by D. Dedmon (drawn by M. Chriss),,6-11,,
8:35.0,,,6-11,,M. Chriss misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by Team,,6-11,,
8:26.0,Turnover by J. Simmons (bad pass),,6-11,,
8:10.0,,,6-11,,E. Bledsoe misses 2-pt shot from 21 ft
8:07.0,Defensive rebound by D. Lee,,6-11,,
7:56.0,Shooting foul by T. Warren (drawn by M. Ginobili),,6-11,,
7:56.0,M. Ginobili makes free throw 1 of 3,1,7-11,,
7:56.0,M. Ginobili makes free throw 2 of 3,1,8-11,,
7:56.0,M. Ginobili makes free throw 3 of 3,1,9-11,,
7:46.0,,,9-11,,Turnover by E. Bledsoe (bad pass; steal by D. Dedmon)
7:43.0,D. Dedmon makes 2-pt shot from 3 ft,2,11-11,,
7:40.0,,,11-11,,Phoenix full timeout
7:18.0,,,11-11,,Offensive charge foul by T. Chandler
7:18.0,,,11-11,,Turnover by T. Chandler (offensive foul)
7:11.0,Turnover by D. Dedmon (bad pass),,11-11,,
6:54.0,,,11-13,2,M. Chriss makes 2-pt shot from 3 ft (assist by D. Booker)
6:33.0,Shooting foul by M. Chriss (drawn by M. Ginobili),,11-13,,
6:33.0,M. Ginobili makes free throw 1 of 2,1,12-13,,
6:33.0,M. Ginobili makes free throw 2 of 2,1,13-13,,
6:09.0,,,13-13,,E. Bledsoe misses 2-pt shot from 20 ft
6:06.0,,,13-13,,Offensive rebound by T. Chandler
5:53.0,,,13-13,,E. Bledsoe misses 2-pt shot from 3 ft (block by D. Dedmon)
5:52.0,,,13-13,,Offensive rebound by Team
5:47.0,,,13-13,,Turnover by D. Booker (lost ball; steal by J. Simmons)
5:47.0,,,13-13,,Loose ball foul by D. Booker (drawn by J. Simmons)
5:47.0,J. Simmons misses free throw 1 of 2,,13-13,,
5:47.0,Offensive rebound by Team,,13-13,,
5:47.0,J. Simmons makes free throw 2 of 2,1,14-13,,
5:47.0,,,13-13,,L. Barbosa enters the game for D. Booker
5:47.0,T. Parker enters the game for K. Anderson,,13-13,,
5:33.0,,,14-13,,Turnover by T. Warren (bad pass; steal by J. Simmons)
5:26.0,M. Ginobili makes 3-pt shot from 24 ft (assist by J. Simmons),3,17-13,,
5:15.0,,,17-15,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
4:59.0,Turnover by J. Simmons (bad pass; steal by T. Warren),,17-15,,
4:56.0,,,17-15,,T. Warren misses 2-pt shot from 2 ft
4:54.0,,,17-15,,Offensive rebound by E. Bledsoe
4:54.0,,,17-17,2,E. Bledsoe makes 2-pt shot at rim
4:37.0,Turnover by J. Simmons (bad pass; steal by T. Chandler),,17-17,,
4:34.0,,,17-17,,Offensive charge foul by M. Chriss
4:34.0,,,17-17,,Turnover by M. Chriss (offensive foul)
4:34.0,,,17-17,,P. Tucker enters the game for M. Chriss
4:34.0,K. Leonard enters the game for J. Simmons,,17-17,,
4:17.0,K. Leonard makes 2-pt shot from 13 ft,2,19-17,,
3:57.0,,,19-17,,T. Warren misses 2-pt shot from 14 ft
3:55.0,,,19-17,,Offensive rebound by T. Chandler
3:55.0,,,19-19,2,T. Chandler makes 2-pt shot at rim
3:33.0,M. Ginobili misses 2-pt shot from 21 ft,,19-19,,
3:31.0,,,19-19,,Defensive rebound by P. Tucker
3:23.0,Personal foul by M. Ginobili (drawn by P. Tucker),,19-19,,
3:23.0,L. Aldridge enters the game for D. Lee,,19-19,,
3:23.0,,,19-19,,A. Len enters the game for T. Chandler
3:16.0,,,19-19,,T. Warren misses 2-pt shot from 7 ft
3:13.0,Defensive rebound by D. Dedmon,,19-19,,
3:06.0,Turnover by M. Ginobili (bad pass; steal by P. Tucker),,19-19,,
3:01.0,,,19-21,2,T. Warren makes 2-pt shot from 4 ft (assist by P. Tucker)
2:47.0,K. Leonard misses 3-pt shot from 26 ft,,19-21,,
2:44.0,,,19-21,,Defensive rebound by L. Barbosa
2:37.0,,,19-21,,L. Barbosa misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by M. Ginobili,,19-21,,
2:12.0,T. Parker makes 3-pt shot from 26 ft (assist by D. Dedmon),3,22-21,,
1:52.0,,,22-21,,L. Barbosa misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by L. Aldridge,,22-21,,
1:44.0,T. Parker misses 2-pt shot from 10 ft,,22-21,,
1:42.0,Offensive rebound by T. Parker,,22-21,,
1:39.0,T. Parker misses 2-pt shot from 6 ft,,22-21,,
1:37.0,Offensive rebound by D. Dedmon,,22-21,,
1:24.0,Turnover by T. Parker (bad pass),,22-21,,
1:24.0,,,22-21,,T. Ulis enters the game for E. Bledsoe
1:24.0,,,22-21,,D. Bender enters the game for T. Warren
1:24.0,D. Green enters the game for M. Ginobili,,22-21,,
1:14.0,,,22-21,,L. Barbosa misses 2-pt shot from 14 ft
1:12.0,,,22-21,,Offensive rebound by Team
1:12.0,P. Gasol enters the game for D. Dedmon,,22-21,,
1:06.0,,,22-23,2,A. Len makes 2-pt shot at rim (assist by L. Barbosa)
0:57.0,,,22-23,,Personal foul by A. Len (drawn by P. Gasol)
0:57.0,P. Gasol misses free throw 1 of 2,,22-23,,
0:57.0,Offensive rebound by Team,,22-23,,
0:57.0,P. Gasol makes free throw 2 of 2,1,23-23,,
0:36.0,,,23-25,2,L. Barbosa makes 2-pt shot from 3 ft
0:15.0,T. Parker makes 2-pt shot from 2 ft,2,25-25,,
0:00.0,,,25-25,,T. Ulis misses 2-pt shot from 17 ft
0:00.0,,,25-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,25-25,,Turnover by A. Len (bad pass; steal by K. Leonard)
11:44.0,T. Parker makes 3-pt shot from 25 ft (assist by K. Leonard),3,28-25,,
11:25.0,,,28-25,,Turnover by L. Barbosa (bad pass; steal by T. Parker)
11:22.0,T. Parker makes 2-pt shot from 2 ft,2,30-25,,
11:21.0,,,30-25,,Phoenix full timeout
11:21.0,,,30-25,,E. Bledsoe enters the game for L. Barbosa
11:12.0,,,30-28,3,E. Bledsoe makes 3-pt shot from 25 ft
10:53.0,D. Green makes 2-pt shot from 8 ft,2,32-28,,
10:46.0,,,32-28,,Shooting foul by T. Parker (drawn by E. Bledsoe)
10:46.0,,,32-29,1,E. Bledsoe makes free throw 1 of 2
10:46.0,,,32-30,1,E. Bledsoe makes free throw 2 of 2
10:46.0,J. Simmons enters the game for T. Parker,,32-29,,
10:32.0,P. Gasol misses 2-pt shot from 11 ft,,32-30,,
10:30.0,Offensive rebound by K. Leonard,,32-30,,
10:27.0,K. Leonard makes 2-pt shot from 12 ft,2,34-30,,
10:18.0,,,34-32,2,T. Ulis makes 2-pt shot from 15 ft
10:05.0,L. Aldridge misses 2-pt shot from 6 ft,,34-32,,
10:02.0,,,34-32,,Defensive rebound by D. Bender
9:41.0,,,34-32,,P. Tucker misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by P. Gasol,,34-32,,
9:30.0,K. Leonard makes 3-pt shot from 26 ft (assist by L. Aldridge),3,37-32,,
9:11.0,,,37-32,,E. Bledsoe misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by K. Leonard,,37-32,,
8:58.0,L. Aldridge misses 2-pt shot from 4 ft,,37-32,,
8:56.0,,,37-32,,Defensive rebound by A. Len
8:53.0,,,37-32,,Turnover by E. Bledsoe (bad pass; steal by J. Simmons)
8:47.0,Shooting foul by D. Bender (drawn by K. Leonard),,37-32,,
8:47.0,K. Leonard makes free throw 1 of 2,1,38-32,,
8:47.0,K. Leonard makes free throw 2 of 2,1,39-32,,
8:47.0,,,38-32,,T. Warren enters the game for A. Len
8:47.0,,,38-32,,T. Chandler enters the game for D. Bender
8:32.0,,,39-32,,E. Bledsoe misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by P. Gasol,,39-32,,
8:20.0,K. Leonard misses 2-pt shot from 22 ft,,39-32,,
8:18.0,,,39-32,,Defensive rebound by E. Bledsoe
8:12.0,,,39-32,,T. Ulis misses 2-pt shot from 15 ft
8:11.0,,,39-32,,Offensive rebound by T. Chandler
7:58.0,,,39-34,2,P. Tucker makes 2-pt shot from 8 ft
7:47.0,D. Green makes 2-pt shot from 2 ft,2,41-34,,
7:36.0,,,41-34,,P. Tucker misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by J. Simmons,,41-34,,
7:29.0,Turnover by J. Simmons (bad pass; steal by P. Tucker),,41-34,,
7:26.0,,,41-34,,Turnover by P. Tucker (bad pass)
7:26.0,M. Ginobili enters the game for D. Green,,41-34,,
7:26.0,K. Anderson enters the game for K. Leonard,,41-34,,
7:05.0,K. Anderson makes 3-pt shot from 24 ft (assist by P. Gasol),3,44-34,,
6:53.0,,,44-34,,Shooting foul by J. Simmons (drawn by E. Bledsoe)
6:53.0,,,44-35,1,E. Bledsoe makes free throw 1 of 2
6:53.0,,,44-36,1,E. Bledsoe makes free throw 2 of 2
6:53.0,San Antonio full timeout,,44-36,,
6:53.0,,,44-35,,D. Booker enters the game for T. Ulis
6:53.0,,,44-35,,M. Chriss enters the game for P. Tucker
6:53.0,D. Bertans enters the game for J. Simmons,,44-35,,
6:53.0,B. Forbes enters the game for P. Gasol,,44-35,,
6:35.0,M. Ginobili misses 2-pt shot from 22 ft,,44-36,,
6:33.0,Offensive rebound by L. Aldridge,,44-36,,
6:33.0,L. Aldridge makes 2-pt shot at rim,2,46-36,,
6:09.0,,,46-36,,M. Chriss misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by B. Forbes,,46-36,,
6:04.0,Turnover by D. Bertans (bad pass; steal by T. Warren),,46-36,,
5:51.0,,,46-38,2,D. Booker makes 2-pt shot from 10 ft
5:33.0,M. Ginobili misses 3-pt shot from 26 ft,,46-38,,
5:31.0,,,46-38,,Defensive rebound by M. Chriss
5:23.0,,,46-38,,T. Chandler misses 2-pt shot at rim
5:20.0,Defensive rebound by L. Aldridge,,46-38,,
5:19.0,Turnover by M. Ginobili (bad pass; steal by M. Chriss),,46-38,,
5:12.0,,,46-40,2,D. Booker makes 2-pt shot from 2 ft
5:11.0,San Antonio full timeout,,46-40,,
4:49.0,L. Aldridge misses 2-pt shot from 14 ft,,46-40,,
4:46.0,,,46-40,,Defensive rebound by M. Chriss
4:38.0,,,46-40,,Offensive foul by T. Chandler
4:38.0,,,46-40,,Turnover by T. Chandler (offensive foul)
4:27.0,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili),2,48-40,,
4:04.0,,,48-43,3,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker)
3:38.0,B. Forbes makes 2-pt shot from 21 ft (assist by M. Ginobili),2,50-43,,
3:19.0,Personal foul by M. Ginobili (drawn by T. Chandler),,50-43,,
3:19.0,J. Simmons enters the game for B. Forbes,,50-43,,
3:19.0,K. Leonard enters the game for M. Ginobili,,50-43,,
3:19.0,P. Gasol enters the game for L. Aldridge,,50-43,,
3:13.0,,,50-43,,Turnover by T. Warren (bad pass; steal by K. Anderson)
