time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (J. Holiday gains possession),,,,Jump ball: A. Davis vs. R. Gobert (J. Holiday gains possession)
11:45.0,A. Davis misses 2-pt shot from 3 ft (block by R. Gobert),,0-0,,
11:43.0,,,0-0,,Defensive rebound by R. Gobert
11:28.0,,,0-2,2,R. Hood makes 2-pt shot from 11 ft (assist by G. Hill)
11:16.0,,,0-2,,Personal foul by R. Hood (drawn by T. Frazier)
11:06.0,A. Davis makes 2-pt shot at rim,2,2-2,,
10:44.0,,,2-2,,Turnover by G. Hill (lost ball; steal by T. Frazier)
10:35.0,S. Hill makes 3-pt shot from 24 ft (assist by T. Frazier),3,5-2,,
10:12.0,,,5-2,,G. Hill misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by A. Davis,,5-2,,
9:58.0,A. Davis misses 2-pt shot from 19 ft,,5-2,,
9:58.0,,,5-2,,Defensive rebound by R. Gobert
9:49.0,,,5-4,2,G. Hill makes 2-pt shot from 20 ft
9:36.0,Turnover by T. Frazier (bad pass; steal by G. Hill),,5-4,,
9:28.0,,,5-4,,R. Hood misses 3-pt shot from 23 ft
9:27.0,,,5-4,,Offensive rebound by R. Gobert
9:13.0,,,5-4,,B. Diaw misses 2-pt shot from 3 ft
9:12.0,Defensive rebound by S. Hill,,5-4,,
8:57.0,J. Holiday misses 2-pt shot from 2 ft (block by R. Gobert),,5-4,,
8:56.0,,,5-4,,Defensive rebound by R. Hood
8:46.0,,,5-4,,G. Hill misses 2-pt shot from 16 ft
8:46.0,Defensive rebound by A. Davis,,5-4,,
8:32.0,A. Davis misses 2-pt shot from 17 ft,,5-4,,
8:32.0,,,5-4,,Defensive rebound by G. Hill
8:23.0,,,5-4,,J. Ingles misses 2-pt shot from 1 ft (block by S. Hill)
8:21.0,Defensive rebound by S. Hill,,5-4,,
8:17.0,S. Hill makes 2-pt shot from 7 ft,2,7-4,,
8:17.0,Shooting foul by J. Ingles (drawn by S. Hill),,7-4,,
8:17.0,S. Hill misses free throw 1 of 1,,7-4,,
8:17.0,,,7-4,,J. Johnson enters the game for B. Diaw
8:14.0,,,7-4,,Defensive rebound by R. Gobert
8:03.0,,,7-6,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
7:48.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Frazier),2,9-6,,
7:31.0,,,9-8,2,R. Hood makes 2-pt shot from 17 ft
7:20.0,J. Holiday misses 2-pt shot from 3 ft (block by R. Gobert),,9-8,,
7:18.0,Offensive rebound by J. Holiday,,9-8,,
7:12.0,J. Holiday makes 2-pt shot from 2 ft,2,11-8,,
6:57.0,,,11-11,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill)
6:45.0,Turnover by T. Frazier (bad pass; steal by J. Ingles),,11-11,,
6:34.0,,,11-13,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
6:18.0,A. Davis makes 2-pt shot from 20 ft (assist by T. Frazier),2,13-13,,
6:11.0,,,13-13,,Utah full timeout
6:11.0,,,13-13,,D. Exum enters the game for R. Hood
6:11.0,J. Crawford enters the game for T. Frazier,,13-13,,
6:11.0,E. Moore enters the game for S. Hill,,13-13,,
6:05.0,,,13-15,2,G. Hill makes 2-pt shot from 12 ft
5:53.0,Shooting foul by G. Hill (drawn by A. Davis),,13-15,,
5:53.0,A. Davis makes free throw 1 of 2,1,14-15,,
5:53.0,A. Davis makes free throw 2 of 2,1,15-15,,
5:36.0,,,15-15,,J. Ingles misses 2-pt shot from 16 ft
5:35.0,Defensive rebound by A. Davis,,15-15,,
5:25.0,J. Crawford misses 2-pt shot from 9 ft,,15-15,,
5:25.0,,,15-15,,Defensive rebound by D. Exum
5:17.0,,,15-17,2,G. Hill makes 2-pt shot from 15 ft
5:00.0,J. Holiday misses 3-pt shot from 25 ft,,15-17,,
5:00.0,,,15-17,,Defensive rebound by Team
4:40.0,,,15-19,2,J. Johnson makes 2-pt shot from 9 ft
4:31.0,A. Davis misses 2-pt shot from 3 ft (block by R. Gobert),,15-19,,
4:30.0,,,15-19,,Defensive rebound by J. Johnson
4:19.0,,,15-21,2,R. Gobert makes 2-pt shot at rim (assist by J. Johnson)
4:19.0,New Orleans full timeout,,15-21,,
4:02.0,Turnover by E. Moore (bad pass; steal by R. Gobert),,15-21,,
3:51.0,,,15-24,3,G. Hill makes 3-pt shot from 24 ft (assist by J. Ingles)
3:38.0,Shooting foul by R. Gobert (drawn by A. Davis),,15-24,,
