time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (K. Love gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (K. Love gains possession)
11:46.0,K. Irving makes 2-pt shot from 19 ft,2,2-0,,
11:21.0,,,2-0,,J. Valanciunas misses 2-pt shot from 15 ft
11:20.0,Defensive rebound by T. Thompson,,2-0,,
11:10.0,K. Irving misses 2-pt shot from 18 ft,,2-0,,
11:10.0,Offensive rebound by T. Thompson,,2-0,,
11:07.0,T. Thompson makes 2-pt shot from 2 ft,2,4-0,,
10:52.0,,,4-0,,D. DeRozan misses 2-pt shot at rim
10:51.0,Defensive rebound by K. Love,,4-0,,
10:38.0,K. Love makes 2-pt shot from 6 ft,2,6-0,,
10:13.0,,,6-2,2,J. Valanciunas makes 2-pt shot from 13 ft
9:55.0,K. Love misses 2-pt shot from 13 ft,,6-2,,
9:54.0,,,6-2,,Defensive rebound by J. Valanciunas
9:44.0,,,6-2,,K. Lowry misses 2-pt shot from 5 ft
9:43.0,,,6-2,,Offensive rebound by J. Valanciunas
9:42.0,,,6-2,,J. Valanciunas misses 2-pt shot from 2 ft
9:41.0,,,6-2,,Offensive rebound by J. Valanciunas
9:41.0,,,6-2,,J. Valanciunas misses 2-pt shot from 2 ft
9:40.0,,,6-2,,Offensive rebound by J. Valanciunas
9:40.0,,,6-2,,J. Valanciunas misses 2-pt shot from 3 ft
9:39.0,Defensive rebound by K. Love,,6-2,,
9:31.0,L. James misses 2-pt shot from 6 ft,,6-2,,
9:30.0,,,6-2,,Defensive rebound by K. Lowry
9:27.0,,,6-2,,Turnover by P. Siakam (offensive foul)
9:27.0,,,6-2,,Offensive charge foul by P. Siakam
9:13.0,L. James misses 2-pt shot from 1 ft,,6-2,,
9:13.0,,,6-2,,Defensive rebound by Team
8:55.0,,,6-2,,D. DeRozan misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by K. Love,,6-2,,
8:43.0,K. Love misses 2-pt shot from 1 ft (block by J. Valanciunas),,6-2,,
8:42.0,Offensive rebound by K. Love,,6-2,,
8:37.0,K. Love misses 2-pt shot from 1 ft,,6-2,,
8:35.0,,,6-2,,Defensive rebound by D. Carroll
8:29.0,,,6-4,2,K. Lowry makes 2-pt shot from 3 ft
8:13.0,J. Smith misses 3-pt shot from 26 ft,,6-4,,
8:13.0,Offensive rebound by K. Love,,6-4,,
7:57.0,J. Smith makes 3-pt shot from 28 ft (assist by K. Irving),3,9-4,,
7:44.0,,,9-4,,P. Siakam misses 2-pt shot from 4 ft (block by T. Thompson)
7:43.0,,,9-4,,Offensive rebound by P. Siakam
7:42.0,,,9-6,2,P. Siakam makes 2-pt shot from 2 ft
7:28.0,Turnover by K. Irving (bad pass),,9-6,,
7:20.0,,,9-6,,D. Carroll misses 2-pt shot from 6 ft
7:16.0,Defensive rebound by K. Irving,,9-6,,
7:12.0,L. James makes 2-pt shot from 3 ft (assist by K. Love),2,11-6,,
7:01.0,,,11-6,,Offensive foul by P. Siakam
7:01.0,,,11-6,,Turnover by P. Siakam (offensive foul)
6:51.0,,,11-6,,P. Patterson enters the game for P. Siakam
6:47.0,K. Love misses 2-pt shot from 23 ft,,11-6,,
6:47.0,,,11-6,,Defensive rebound by J. Valanciunas
6:34.0,,,11-9,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
6:10.0,K. Irving makes 3-pt shot from 26 ft,3,14-9,,
5:55.0,,,14-9,,D. Carroll misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by L. James,,14-9,,
5:45.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,16-9,,
5:32.0,,,16-9,,Toronto full timeout
5:32.0,R. Jefferson enters the game for K. Love,,16-9,,
5:21.0,,,16-9,,Offensive foul by J. Valanciunas
5:21.0,,,16-9,,Turnover by J. Valanciunas (offensive foul)
5:05.0,R. Jefferson misses 3-pt shot from 24 ft,,16-9,,
5:04.0,,,16-9,,Defensive rebound by J. Valanciunas
4:48.0,,,16-11,2,D. DeRozan makes 2-pt shot from 18 ft
4:29.0,,,16-11,,Def 3 sec tech foul by J. Valanciunas
4:29.0,K. Irving makes technical free throw,1,17-11,,
4:15.0,T. Thompson makes 2-pt shot at rim (assist by R. Jefferson),2,19-11,,
4:05.0,,,19-13,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
3:47.0,L. James misses 2-pt shot from 9 ft,,19-13,,
3:47.0,Offensive rebound by K. Irving,,19-13,,
3:42.0,L. James makes 3-pt shot from 23 ft (assist by K. Irving),3,22-13,,
3:21.0,,,22-13,,K. Lowry misses 2-pt shot from 6 ft
3:21.0,,,22-13,,Offensive rebound by J. Valanciunas
3:19.0,,,22-13,,J. Valanciunas misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by K. Irving,,22-13,,
3:13.0,K. Irving misses 2-pt shot from 2 ft,,22-13,,
3:12.0,,,22-13,,Defensive rebound by P. Patterson
3:08.0,,,22-15,2,K. Lowry makes 2-pt shot from 2 ft (assist by P. Patterson)
3:03.0,Cleveland full timeout,,22-15,,
3:03.0,M. Dunleavy enters the game for L. James,,22-15,,
3:03.0,I. Shumpert enters the game for J. Smith,,22-15,,
3:03.0,K. Love enters the game for K. Irving,,22-15,,
3:03.0,,,22-15,,T. Ross enters the game for D. Carroll
3:03.0,,,22-15,,C. Joseph enters the game for K. Lowry
2:43.0,R. Jefferson misses 2-pt shot from 4 ft,,22-15,,
2:41.0,,,22-15,,Defensive rebound by J. Valanciunas
2:27.0,,,22-17,2,D. DeRozan makes 2-pt shot from 18 ft
2:08.0,K. Love makes 2-pt shot from 13 ft,2,24-17,,
1:51.0,,,24-17,,P. Patterson misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by I. Shumpert,,24-17,,
1:29.0,K. Love makes 2-pt shot from 13 ft,2,26-17,,
1:08.0,,,26-19,2,D. DeRozan makes 2-pt shot from 7 ft
0:47.0,Shooting foul by P. Patterson (drawn by K. Love),,26-19,,
0:47.0,K. Love makes free throw 1 of 2,1,27-19,,
0:47.0,K. Love makes free throw 2 of 2,1,28-19,,
0:36.0,,,28-21,2,C. Joseph makes 2-pt shot from 17 ft
0:28.0,Turnover by I. Shumpert (bad pass),,28-21,,
0:11.0,,,28-23,2,D. DeRozan makes 2-pt shot from 19 ft
0:01.0,I. Shumpert misses 2-pt shot from 8 ft,,28-23,,
0:01.0,,,28-23,,Defensive rebound by T. Ross
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-23,,Turnover by C. Joseph (bad pass; steal by R. Jefferson)
11:45.0,,,28-23,,D. Carroll enters the game for J. Poeltl
11:34.0,M. Dunleavy misses 2-pt shot from 4 ft (block by D. Carroll),,28-23,,
11:34.0,Offensive rebound by Team,,28-23,,
11:34.0,,,28-23,,Personal foul by K. Lowry (drawn by M. Dunleavy)
11:27.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,31-23,,
11:16.0,,,31-23,,Turnover by K. Lowry (traveling)
11:02.0,K. Irving misses 3-pt shot from 26 ft,,31-23,,
11:01.0,,,31-23,,Defensive rebound by D. Carroll
10:42.0,,,31-23,,Turnover by C. Joseph (lost ball; steal by I. Shumpert)
10:28.0,L. James makes 2-pt shot from 2 ft (assist by R. Jefferson),2,33-23,,
10:10.0,,,33-23,,T. Ross misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by Team,,33-23,,
9:48.0,Turnover by M. Dunleavy (bad pass; steal by T. Ross),,33-23,,
9:29.0,,,33-25,2,K. Lowry makes 2-pt shot from 17 ft
9:11.0,Offensive charge foul by K. Irving,,33-25,,
9:11.0,Turnover by K. Irving (offensive foul),,33-25,,
8:59.0,,,33-28,3,D. Carroll makes 3-pt shot from 26 ft
8:39.0,Shooting foul by T. Ross (drawn by I. Shumpert),,33-28,,
8:39.0,Official timeout,,33-28,,
8:39.0,I. Shumpert misses free throw 1 of 2,,33-28,,
8:39.0,Offensive rebound by Team,,33-28,,
8:39.0,I. Shumpert makes free throw 2 of 2,1,34-28,,
8:27.0,,,34-28,,D. Carroll misses 2-pt shot from 19 ft
8:26.0,Defensive rebound by K. Irving,,34-28,,
8:14.0,L. James makes 2-pt shot from 3 ft (assist by K. Irving),2,36-28,,
8:01.0,,,36-28,,P. Patterson misses 3-pt shot from 22 ft
8:00.0,,,36-28,,Offensive rebound by Team
8:00.0,J. Smith enters the game for I. Shumpert,,36-28,,
7:50.0,,,36-28,,D. Carroll misses 2-pt shot from 9 ft
7:48.0,Defensive rebound by Team,,36-28,,
7:35.0,Turnover by K. Irving (lost ball; steal by T. Ross),,36-28,,
7:30.0,,,36-28,,T. Ross misses 2-pt shot from 4 ft
7:29.0,,,36-28,,Offensive rebound by D. Carroll
7:29.0,,,36-28,,Shooting foul by M. Dunleavy (drawn by D. Carroll)
7:29.0,,,36-29,1,D. Carroll makes free throw 1 of 2
7:29.0,,,36-30,1,D. Carroll makes free throw 2 of 2
7:29.0,,,36-29,,D. DeRozan enters the game for C. Joseph
