time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. L. Nance (C. Paul gains possession),,,,Jump ball: D. Jordan vs. L. Nance (C. Paul gains possession)
11:45.0,,,0-0,,J. Redick misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by B. Ingram,,0-0,,
11:32.0,J. Clarkson misses 2-pt shot from 15 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by D. Jordan
11:20.0,,,0-2,2,B. Griffin makes 2-pt shot from 19 ft
11:04.0,J. Randle misses 2-pt shot from 20 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by D. Jordan
10:46.0,,,0-5,3,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin)
10:26.0,B. Ingram misses 2-pt shot from 10 ft (block by L. Mbah a Moute),,0-5,,
10:24.0,,,0-5,,Defensive rebound by J. Redick
10:18.0,,,0-7,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
9:58.0,D. Russell misses 3-pt shot from 27 ft,,0-7,,
9:57.0,Offensive rebound by L. Nance,,0-7,,
9:52.0,D. Russell misses 3-pt shot from 26 ft,,0-7,,
9:51.0,,,0-7,,Defensive rebound by C. Paul
9:43.0,,,0-9,2,C. Paul makes 2-pt shot from 11 ft
9:24.0,B. Ingram misses 2-pt shot from 5 ft,,0-9,,
9:22.0,,,0-9,,Defensive rebound by D. Jordan
9:11.0,,,0-11,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
9:11.0,LA Lakers full timeout,,0-11,,
9:00.0,Turnover by D. Russell (lost ball; steal by D. Jordan),,0-11,,
8:55.0,,,0-11,,Turnover by C. Paul (bad pass; steal by D. Russell)
8:51.0,J. Randle misses 2-pt shot from 2 ft (block by L. Mbah a Moute),,0-11,,
8:49.0,,,0-11,,Defensive rebound by B. Griffin
8:43.0,,,0-14,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
8:20.0,Offensive foul by B. Ingram,,0-14,,
