time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: D. Nowitzki vs. Z. Pachulia (D. Green gains possession)
11:43.0,K. Thompson misses 2-pt shot from 9 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by W. Matthews
11:35.0,,,0-0,,W. Matthews misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by Z. Pachulia,,0-0,,
11:24.0,S. Curry misses 2-pt shot from 21 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by H. Barnes
11:01.0,,,0-0,,S. Curry misses 2-pt shot from 21 ft
11:00.0,Defensive rebound by S. Curry,,0-0,,
10:56.0,P. McCaw makes 2-pt shot at rim (assist by S. Curry),2,2-0,,
10:35.0,,,2-0,,Y. Ferrell misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by Z. Pachulia,,2-0,,
10:26.0,D. Green misses 3-pt shot from 24 ft,,2-0,,
10:25.0,,,2-0,,Defensive rebound by S. Curry
10:15.0,,,2-3,3,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews)
10:02.0,K. Thompson makes 2-pt shot from 2 ft,2,4-3,,
9:49.0,,,4-6,3,W. Matthews makes 3-pt shot from 23 ft (assist by H. Barnes)
9:30.0,Turnover by K. Thompson (lost ball; steal by W. Matthews),,4-6,,
9:23.0,,,4-6,,H. Barnes misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by Z. Pachulia,,4-6,,
9:14.0,P. McCaw makes 3-pt shot from 25 ft (assist by K. Thompson),3,7-6,,
8:54.0,,,7-6,,H. Barnes misses 2-pt shot from 17 ft
8:53.0,,,7-6,,Offensive rebound by W. Matthews
8:49.0,,,7-6,,D. Nowitzki misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by Z. Pachulia,,7-6,,
8:40.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,9-6,,
8:22.0,,,9-9,3,Y. Ferrell makes 3-pt shot from 26 ft (assist by W. Matthews)
8:20.0,Golden State full timeout,,9-9,,
8:07.0,S. Curry makes 2-pt shot from 19 ft,2,11-9,,
7:53.0,,,11-9,,W. Matthews misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by D. Green,,11-9,,
7:45.0,Turnover by K. Thompson (lost ball),,11-9,,
7:20.0,,,11-9,,Turnover by Y. Ferrell (bad pass; steal by K. Thompson)
7:15.0,K. Thompson misses 2-pt shot from 1 ft,,11-9,,
7:14.0,Offensive rebound by Z. Pachulia,,11-9,,
7:14.0,Z. Pachulia makes 2-pt shot from 1 ft,2,13-9,,
6:53.0,,,13-11,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell)
6:39.0,K. Thompson makes 2-pt shot from 13 ft (assist by D. Green),2,15-11,,
6:18.0,,,15-11,,Y. Ferrell misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by S. Curry,,15-11,,
6:10.0,P. McCaw misses 3-pt shot from 25 ft,,15-11,,
