time,Cleveland,pts.away,score,pts.home,Charlotte
1:00.0,,,32-25,2,R. Sessions makes 2-pt shot at rim (assist by J. Lamb)
0:40.0,R. Jefferson makes 2-pt shot from 2 ft (assist by L. James),2,34-25,,
0:40.0,Shooting foul by R. Hibbert (drawn by R. Jefferson),,34-25,,
0:40.0,R. Jefferson makes free throw 1 of 1,1,35-25,,
0:33.0,,,35-25,,R. Sessions misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by L. James,,35-25,,
0:17.0,Turnover by L. James (bad pass; steal by R. Hibbert),,35-25,,
0:03.0,,,35-25,,R. Sessions misses 2-pt shot from 3 ft (block by K. Felder)
0:03.0,,,35-25,,Offensive rebound by Team
0:00.0,,,35-28,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by J. Lamb)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,35-28,,Shooting foul by R. Jefferson (drawn by N. Batum)
11:48.0,,,35-29,1,N. Batum makes free throw 1 of 2
11:48.0,,,35-30,1,N. Batum makes free throw 2 of 2
11:36.0,K. Love makes 2-pt shot from 6 ft (assist by R. Jefferson),2,37-30,,
11:18.0,,,37-30,,J. Lamb misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by K. Love,,37-30,,
11:03.0,I. Shumpert makes 2-pt shot from 18 ft,2,39-30,,
10:46.0,,,39-30,,N. Batum misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by K. Love,,39-30,,
10:34.0,K. Felder makes 2-pt shot from 2 ft,2,41-30,,
10:17.0,,,41-30,,F. Kaminsky misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by I. Shumpert,,41-30,,
10:00.0,K. Felder makes 3-pt shot from 23 ft (assist by I. Shumpert),3,44-30,,
9:51.0,,,44-30,,Charlotte full timeout
9:33.0,,,44-30,,F. Kaminsky misses 2-pt shot from 14 ft
9:32.0,Defensive rebound by I. Shumpert,,44-30,,
