time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. M. Plumlee (T. Snell gains possession),,,,Jump ball: J. Hamilton vs. M. Plumlee (T. Snell gains possession)
11:40.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Plumlee)
11:24.0,Shooting foul by T. Snell (drawn by B. Bogdanovic),,0-2,,
11:24.0,B. Bogdanovic makes free throw 1 of 2,1,1-2,,
11:24.0,B. Bogdanovic makes free throw 2 of 2,1,2-2,,
11:06.0,,,2-4,2,M. Dellavedova makes 2-pt shot from 10 ft
10:52.0,B. Bogdanovic misses 3-pt shot from 26 ft,,2-4,,
10:51.0,,,2-4,,Defensive rebound by M. Dellavedova
10:41.0,,,2-4,,J. Parker misses 2-pt shot from 7 ft
10:40.0,Defensive rebound by B. Bogdanovic,,2-4,,
10:33.0,T. Booker misses 3-pt shot from 26 ft,,2-4,,
10:32.0,,,2-4,,Defensive rebound by G. Antetokounmpo
10:18.0,,,2-4,,G. Antetokounmpo misses 2-pt shot from 18 ft
10:16.0,Defensive rebound by T. Booker,,2-4,,
10:04.0,J. Lin misses 3-pt shot from 26 ft,,2-4,,
10:03.0,,,2-4,,Defensive rebound by J. Parker
9:41.0,,,2-4,,M. Plumlee misses 2-pt shot from 10 ft
9:40.0,Defensive rebound by B. Bogdanovic,,2-4,,
9:33.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by G. Antetokounmpo),,2-4,,
9:31.0,,,2-4,,Defensive rebound by J. Parker
9:20.0,,,2-4,,J. Parker misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by T. Booker,,2-4,,
9:14.0,T. Booker makes 2-pt shot at rim,2,4-4,,
9:02.0,Personal foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),,4-4,,
9:02.0,,,4-4,,G. Monroe enters the game for M. Plumlee
8:54.0,,,4-4,,G. Antetokounmpo misses 2-pt shot at rim
8:52.0,Defensive rebound by T. Booker,,4-4,,
8:50.0,,,4-4,,Personal foul by J. Parker (drawn by T. Booker)
8:42.0,J. Lin misses 2-pt shot from 17 ft,,4-4,,
8:41.0,,,4-4,,Defensive rebound by J. Parker
8:34.0,,,4-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
8:20.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Lin),2,6-6,,
8:04.0,,,6-6,,R. Vaughn enters the game for T. Snell
7:53.0,,,6-8,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:33.0,B. Bogdanovic makes 2-pt shot from 21 ft,2,8-8,,
7:07.0,,,8-8,,J. Parker misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by R. Hollis-Jefferson,,8-8,,
6:58.0,B. Bogdanovic misses 3-pt shot from 24 ft,,8-8,,
6:56.0,,,8-8,,Defensive rebound by G. Antetokounmpo
6:53.0,,,8-8,,Shooting foul by T. Booker (drawn by J. Parker)
6:53.0,,,8-9,1,J. Parker makes free throw 1 of 2
6:53.0,,,8-10,1,J. Parker makes free throw 2 of 2
6:53.0,A. Bennett enters the game for T. Booker,,8-9,,
6:40.0,Turnover by J. Lin (lost ball; steal by G. Monroe),,8-10,,
6:10.0,,,8-12,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
6:08.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Dellavedova),,8-12,,
6:08.0,,,8-12,,Turnover by G. Monroe (lost ball; steal by J. Hamilton)
5:59.0,,,8-12,,Milwaukee full timeout
5:59.0,J. Harris enters the game for B. Bogdanovic,,8-12,,
5:59.0,G. Vasquez enters the game for J. Lin,,8-12,,
5:43.0,A. Bennett misses 3-pt shot from 23 ft,,8-12,,
5:42.0,Jump ball: G. Antetokounmpo vs. R. Hollis-Jefferson (G. Monroe gains possession),,,,Jump ball: G. Antetokounmpo vs. R. Hollis-Jefferson (G. Monroe gains possession)
5:42.0,,,8-12,,Defensive rebound by Team
5:25.0,,,8-15,3,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Monroe)
5:08.0,A. Bennett misses 2-pt shot from 9 ft,,8-15,,
5:07.0,,,8-15,,Defensive rebound by J. Parker
4:48.0,,,8-15,,G. Monroe misses 2-pt shot from 6 ft
4:45.0,,,8-15,,Offensive rebound by G. Monroe
4:45.0,,,8-15,,G. Monroe misses 2-pt shot from 1 ft
4:43.0,,,8-15,,Offensive rebound by J. Parker
4:42.0,,,8-17,2,J. Parker makes 2-pt shot from 1 ft
4:20.0,G. Vasquez misses 2-pt shot from 8 ft,,8-17,,
4:17.0,,,8-17,,Defensive rebound by M. Dellavedova
4:10.0,,,8-17,,R. Vaughn misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by G. Vasquez,,8-17,,
3:57.0,J. Harris misses 3-pt shot from 24 ft,,8-17,,
3:55.0,,,8-17,,Defensive rebound by R. Vaughn
3:47.0,,,8-17,,J. Parker misses 2-pt shot from 4 ft (block by J. Hamilton)
3:43.0,Defensive rebound by R. Hollis-Jefferson,,8-17,,
3:41.0,G. Vasquez makes 2-pt shot from 15 ft,2,10-17,,
3:41.0,,,10-17,,Milwaukee full timeout
3:41.0,L. Scola enters the game for R. Hollis-Jefferson,,10-17,,
3:41.0,S. Kilpatrick enters the game for J. Hamilton,,10-17,,
3:41.0,,,10-17,,M. Teletovic enters the game for J. Parker
3:41.0,,,10-17,,M. Brogdon enters the game for M. Dellavedova
3:26.0,,,10-17,,M. Brogdon misses 2-pt shot at rim
3:24.0,Defensive rebound by J. Harris,,10-17,,
3:14.0,A. Bennett misses 3-pt shot from 27 ft,,10-17,,
3:13.0,,,10-17,,Defensive rebound by G. Monroe
2:53.0,,,10-20,3,M. Teletovic makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
2:36.0,,,10-20,,M. Beasley enters the game for G. Antetokounmpo
2:36.0,J. Lin enters the game for A. Bennett,,10-20,,
2:36.0,T. Booker enters the game for G. Vasquez,,10-20,,
2:26.0,J. Lin misses 2-pt shot from 18 ft,,10-20,,
2:24.0,Offensive rebound by L. Scola,,10-20,,
2:20.0,J. Lin makes 3-pt shot from 27 ft (assist by S. Kilpatrick),3,13-20,,
2:06.0,,,13-20,,Shooting foul by L. Scola (drawn by G. Monroe)
2:06.0,,,13-21,1,G. Monroe makes free throw 1 of 2
2:06.0,,,13-22,1,G. Monroe makes free throw 2 of 2
1:54.0,S. Kilpatrick misses 3-pt shot from 25 ft,,13-22,,
1:51.0,Offensive rebound by L. Scola,,13-22,,
1:43.0,Turnover by J. Lin (bad pass; steal by M. Brogdon),,13-22,,
1:34.0,,,13-22,,G. Monroe misses 2-pt shot from 1 ft (block by T. Booker)
1:30.0,Defensive rebound by Team,,13-22,,
1:29.0,,,13-22,,Personal foul by M. Brogdon (drawn by J. Lin)
1:22.0,L. Scola makes 2-pt shot at rim,2,15-22,,
1:02.0,,,15-24,2,R. Vaughn makes 2-pt shot from 16 ft
0:48.0,Turnover by J. Harris (offensive foul),,15-24,,
0:48.0,Offensive charge foul by J. Harris,,15-24,,
0:34.0,,,15-24,,M. Brogdon misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by T. Booker,,15-24,,
0:29.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,17-24,,
0:29.0,Shooting foul by M. Beasley (drawn by S. Kilpatrick),,17-24,,
0:29.0,S. Kilpatrick makes free throw 1 of 1,1,18-24,,
0:13.0,,,18-24,,M. Brogdon misses 2-pt shot from 8 ft (block by S. Kilpatrick)
0:13.0,,,18-24,,Offensive rebound by Team
0:10.0,,,18-24,,R. Vaughn misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by J. Lin,,18-24,,
0:03.0,J. Lin misses 2-pt shot from 2 ft (block by R. Vaughn),,18-24,,
0:02.0,,,18-24,,Defensive rebound by R. Vaughn
0:00.0,,,18-24,,R. Vaughn misses 3-pt shot from 35 ft
0:00.0,,,18-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,B. Bogdanovic makes 2-pt shot from 11 ft (assist by J. Lin),2,20-24,,
11:15.0,,,20-24,,T. Snell misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by T. Booker,,20-24,,
11:04.0,J. Lin misses 3-pt shot from 26 ft,,20-24,,
11:03.0,Offensive rebound by L. Scola,,20-24,,
10:52.0,T. Booker misses 2-pt shot from 6 ft,,20-24,,
10:51.0,,,20-24,,Defensive rebound by M. Teletovic
10:40.0,,,20-24,,Shooting foul by S. Kilpatrick (drawn by M. Plumlee)
10:40.0,,,20-24,,M. Plumlee misses free throw 1 of 2
10:40.0,,,20-24,,Offensive rebound by Team
10:40.0,,,20-25,1,M. Plumlee makes free throw 2 of 2
10:31.0,,,20-25,,Def 3 sec tech foul by M. Brogdon
10:31.0,B. Bogdanovic makes technical free throw,1,21-25,,
10:25.0,S. Kilpatrick misses 2-pt shot from 7 ft,,21-25,,
10:25.0,Offensive rebound by Team,,21-25,,
10:21.0,Turnover by L. Scola (bad pass),,21-25,,
10:12.0,,,21-25,,M. Brogdon misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by T. Booker,,21-25,,
10:04.0,Shooting foul by M. Plumlee (drawn by T. Booker),,21-25,,
10:04.0,T. Booker makes free throw 1 of 2,1,22-25,,
10:04.0,T. Booker makes free throw 2 of 2,1,23-25,,
9:50.0,,,23-27,2,M. Beasley makes 2-pt shot from 20 ft (assist by M. Teletovic)
9:37.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by L. Scola),3,26-27,,
9:17.0,,,26-27,,Turnover by M. Brogdon (lost ball; steal by L. Scola)
9:00.0,J. Lin misses 2-pt shot from 2 ft,,26-27,,
8:57.0,Offensive rebound by J. Lin,,26-27,,
8:56.0,J. Lin makes 2-pt shot from 1 ft,2,28-27,,
8:56.0,,,28-27,,Milwaukee full timeout
8:56.0,A. Bennett enters the game for T. Booker,,28-27,,
8:56.0,G. Vasquez enters the game for J. Lin,,28-27,,
8:56.0,,,28-27,,J. Henson enters the game for M. Plumlee
8:56.0,,,28-27,,M. Dellavedova enters the game for M. Brogdon
8:56.0,,,28-27,,J. Parker enters the game for M. Beasley
8:39.0,,,28-29,2,T. Snell makes 2-pt shot from 10 ft (assist by M. Dellavedova)
8:27.0,Offensive charge foul by B. Bogdanovic,,28-29,,
8:27.0,Turnover by B. Bogdanovic (offensive foul),,28-29,,
8:17.0,,,28-29,,Turnover by J. Parker (bad pass; steal by S. Kilpatrick)
8:13.0,Turnover by S. Kilpatrick (bad pass; steal by J. Henson),,28-29,,
8:08.0,,,28-31,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova)
7:43.0,L. Scola makes 3-pt shot at rim (assist by S. Kilpatrick),3,31-31,,
7:43.0,Personal foul by S. Kilpatrick (drawn by J. Henson),,31-31,,
7:36.0,,,31-31,,M. Dellavedova misses 2-pt shot from 1 ft
