time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. S. Mejri (W. Matthews gains possession),,,,Jump ball: C. Capela vs. S. Mejri (W. Matthews gains possession)
11:37.0,H. Barnes makes 2-pt shot from 13 ft,2,2-0,,
11:20.0,,,2-2,2,P. Beverley makes 2-pt shot from 12 ft (assist by J. Harden)
11:05.0,D. Williams makes 2-pt shot from 6 ft,2,4-2,,
10:47.0,,,4-2,,J. Harden misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by S. Mejri,,4-2,,
10:35.0,W. Matthews makes 2-pt shot from 18 ft,2,6-2,,
10:14.0,,,6-4,2,J. Harden makes 2-pt shot from 2 ft
10:14.0,,,6-4,,Shooting foul by S. Mejri (drawn by J. Harden)
10:14.0,,,6-5,1,J. Harden makes free throw 1 of 1
9:59.0,D. Williams misses 3-pt shot from 24 ft,,6-5,,
9:57.0,,,6-5,,Defensive rebound by J. Harden
9:52.0,,,6-5,,Turnover by J. Harden (lost ball; steal by S. Mejri)
9:46.0,W. Matthews misses 3-pt shot from 25 ft,,6-5,,
9:45.0,,,6-5,,Defensive rebound by P. Beverley
9:37.0,,,6-5,,Shooting foul by D. Williams (drawn by J. Harden)
9:37.0,,,6-5,,J. Harden misses free throw 1 of 3
9:37.0,,,6-5,,Offensive rebound by Team
9:37.0,,,6-6,1,J. Harden makes free throw 2 of 3
9:37.0,,,6-7,1,J. Harden makes free throw 3 of 3
9:18.0,D. Finney-Smith misses 3-pt shot from 24 ft,,6-7,,
9:17.0,,,6-7,,Defensive rebound by C. Capela
9:12.0,,,6-9,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
8:57.0,D. Williams makes 2-pt shot from 2 ft,2,8-9,,
8:43.0,,,8-11,2,J. Harden makes 2-pt shot from 5 ft
8:28.0,Shooting foul by P. Beverley (drawn by W. Matthews),,8-11,,
8:28.0,W. Matthews makes free throw 1 of 2,1,9-11,,
8:28.0,W. Matthews misses free throw 2 of 2,,9-11,,
8:28.0,,,9-11,,Defensive rebound by R. Anderson
8:13.0,,,9-11,,R. Anderson misses 2-pt shot from 10 ft
8:12.0,,,9-11,,Offensive rebound by C. Capela
8:00.0,,,9-11,,R. Anderson misses 2-pt shot from 5 ft (block by D. Finney-Smith)
7:59.0,Defensive rebound by D. Finney-Smith,,9-11,,
7:51.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Williams),3,12-11,,
7:34.0,,,12-13,2,R. Anderson makes 2-pt shot from 23 ft (assist by J. Harden)
7:12.0,D. Finney-Smith misses 2-pt shot from 19 ft,,12-13,,
7:11.0,Offensive rebound by S. Mejri,,12-13,,
6:55.0,H. Barnes misses 2-pt shot from 11 ft,,12-13,,
6:54.0,,,12-13,,Defensive rebound by C. Capela
6:43.0,,,12-15,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:22.0,H. Barnes misses 2-pt shot from 12 ft,,12-15,,
6:21.0,,,12-15,,Defensive rebound by J. Harden
6:14.0,,,12-15,,T. Ariza misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by D. Williams,,12-15,,
6:13.0,,,12-15,,Personal foul by P. Beverley (drawn by D. Williams)
6:13.0,Dallas full timeout,,12-15,,
6:13.0,,,12-15,,E. Gordon enters the game for P. Beverley
6:04.0,D. Williams misses 3-pt shot from 25 ft,,12-15,,
6:03.0,,,12-15,,Defensive rebound by R. Anderson
5:48.0,,,12-18,3,E. Gordon makes 3-pt shot from 23 ft (assist by C. Capela)
5:25.0,H. Barnes misses 2-pt shot from 16 ft,,12-18,,
5:24.0,,,12-18,,Defensive rebound by T. Ariza
5:18.0,,,12-21,3,J. Harden makes 3-pt shot from 25 ft
5:01.0,S. Mejri misses 2-pt shot from 19 ft,,12-21,,
5:00.0,,,12-21,,Defensive rebound by T. Ariza
4:48.0,,,12-21,,R. Anderson misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by S. Mejri,,12-21,,
4:34.0,W. Matthews misses 3-pt shot from 24 ft,,12-21,,
4:33.0,,,12-21,,Defensive rebound by T. Ariza
4:27.0,,,12-21,,Turnover by E. Gordon (bad pass; steal by W. Matthews)
4:23.0,Shooting foul by E. Gordon (drawn by W. Matthews),,12-21,,
4:23.0,W. Matthews makes free throw 1 of 2,1,13-21,,
4:23.0,W. Matthews makes free throw 2 of 2,1,14-21,,
4:23.0,,,13-21,,M. Harrell enters the game for R. Anderson
4:23.0,,,13-21,,S. Dekker enters the game for C. Capela
4:23.0,D. Powell enters the game for H. Barnes,,13-21,,
4:23.0,D. Harris enters the game for S. Mejri,,13-21,,
4:23.0,S. Curry enters the game for D. Williams,,13-21,,
4:13.0,,,14-23,2,S. Dekker makes 2-pt shot from 2 ft (assist by E. Gordon)
3:48.0,S. Curry makes 3-pt shot from 24 ft (assist by W. Matthews),3,17-23,,
3:31.0,,,17-25,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
3:13.0,D. Powell makes 2-pt shot at rim (assist by D. Harris),2,19-25,,
3:07.0,,,19-27,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
3:06.0,Dallas full timeout,,19-27,,
2:51.0,W. Matthews misses 2-pt shot from 21 ft,,19-27,,
2:50.0,,,19-27,,Defensive rebound by S. Dekker
2:44.0,,,19-30,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
2:15.0,Shooting foul by S. Dekker (drawn by W. Matthews),,19-30,,
2:15.0,W. Matthews makes 2-pt shot from 1 ft (assist by S. Curry),2,21-30,,
2:15.0,,,21-30,,Houston full timeout
2:15.0,W. Matthews makes free throw 1 of 1,1,22-30,,
2:15.0,,,21-30,,C. Brewer enters the game for T. Ariza
1:52.0,,,22-30,,Turnover by J. Harden (lost ball)
1:33.0,D. Finney-Smith makes 2-pt shot at rim (assist by W. Matthews),2,24-30,,
1:17.0,,,24-30,,Offensive charge foul by S. Dekker
1:17.0,,,24-30,,Turnover by S. Dekker (offensive foul)
1:02.0,W. Matthews misses 2-pt shot from 4 ft,,24-30,,
1:00.0,Offensive rebound by D. Powell,,24-30,,
0:59.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Powell),3,27-30,,
0:41.0,,,27-30,,S. Dekker misses 2-pt shot from 3 ft (block by D. Finney-Smith)
0:40.0,,,27-30,,Offensive rebound by Team
0:36.0,,,27-33,3,M. Harrell makes 3-pt shot from 24 ft
0:18.0,Turnover by D. Harris (bad pass; steal by J. Harden),,27-33,,
0:01.0,,,27-33,,Shooting foul by D. Finney-Smith (drawn by J. Harden)
0:01.0,,,27-34,1,J. Harden makes free throw 1 of 3
0:01.0,,,27-35,1,J. Harden makes free throw 2 of 3
0:01.0,,,27-36,1,J. Harden makes free throw 3 of 3
0:00.0,D. Harris misses 3-pt shot from 58 ft,,27-36,,
0:00.0,Offensive rebound by Team,,27-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-39,3,C. Brewer makes 3-pt shot from 24 ft (assist by P. Beverley)
11:12.0,Turnover by N. Brussino (lost ball; steal by M. Harrell),,27-39,,
11:07.0,,,27-39,,Offensive charge foul by C. Brewer
11:07.0,,,27-39,,Turnover by C. Brewer (offensive foul)
10:53.0,Shooting foul by M. Harrell (drawn by H. Barnes),,27-39,,
10:53.0,H. Barnes makes free throw 1 of 2,1,28-39,,
10:53.0,H. Barnes makes free throw 2 of 2,1,29-39,,
10:37.0,,,29-42,3,E. Gordon makes 3-pt shot from 25 ft (assist by S. Dekker)
10:13.0,Turnover by D. Powell (lost ball; steal by P. Beverley),,29-42,,
10:03.0,,,29-42,,Shooting foul by N. Brussino (drawn by P. Beverley)
10:03.0,,,29-43,1,P. Beverley makes free throw 1 of 2
10:03.0,,,29-43,,P. Beverley misses free throw 2 of 2
10:03.0,Defensive rebound by N. Brussino,,29-43,,
10:03.0,,,29-43,,C. Capela enters the game for M. Harrell
9:45.0,H. Barnes makes 3-pt shot from 23 ft (assist by N. Brussino),3,32-43,,
9:27.0,,,32-43,,E. Gordon misses 2-pt shot from 11 ft
9:26.0,,,32-43,,Offensive rebound by Team
9:17.0,,,32-43,,C. Capela misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by N. Brussino,,32-43,,
9:02.0,Shooting foul by P. Beverley (drawn by D. Williams),,32-43,,
9:02.0,D. Williams makes free throw 1 of 2,1,33-43,,
9:02.0,D. Williams makes free throw 2 of 2,1,34-43,,
9:02.0,,,33-43,,J. Harden enters the game for P. Beverley
8:42.0,,,34-43,,Shooting foul by H. Barnes (drawn by C. Capela)
8:42.0,Official timeout,,34-43,,
8:42.0,,,34-44,1,C. Capela makes free throw 1 of 2
8:42.0,,,34-45,1,C. Capela makes free throw 2 of 2
8:42.0,S. Mejri enters the game for D. Powell,,34-43,,
8:36.0,,,34-45,,Personal foul by E. Gordon (drawn by D. Williams)
8:34.0,,,34-45,,Personal foul by J. Harden (drawn by H. Barnes)
8:22.0,S. Curry misses 3-pt shot from 24 ft (block by C. Brewer),,34-45,,
8:21.0,,,34-45,,Defensive rebound by C. Capela
8:15.0,,,34-45,,E. Gordon misses 3-pt shot from 25 ft
8:14.0,,,34-45,,Offensive rebound by Team
8:08.0,,,34-45,,Turnover by C. Capela (bad pass)
8:00.0,D. Williams makes 3-pt shot from 25 ft,3,37-45,,
7:32.0,,,37-45,,C. Capela misses 2-pt shot from 4 ft
7:31.0,,,37-45,,Offensive rebound by C. Capela
