time,Sacramento,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:33.0,,,0-0,,A. Roberson misses 3-pt shot from 25 ft
12:00.0,Jump ball: S. Adams vs. K. Koufos (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. K. Koufos (V. Oladipo gains possession)
11:33.0,,,0-0,,Offensive rebound by Team
11:33.0,,,0-0,,Turnover by Team (shot clock)
11:12.0,Turnover by W. Cauley-Stein (traveling),,0-0,,
10:58.0,,,0-2,2,S. Adams makes 2-pt shot from 4 ft (assist by A. Roberson)
10:40.0,K. Koufos misses 2-pt shot from 5 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by V. Oladipo
10:30.0,,,0-2,,V. Oladipo misses 2-pt shot from 14 ft
10:29.0,,,0-2,,Offensive rebound by S. Adams
10:25.0,,,0-2,,Turnover by S. Adams (lost ball; steal by B. Hield)
10:17.0,K. Koufos misses 2-pt shot from 4 ft,,0-2,,
10:15.0,,,0-2,,Defensive rebound by Team
10:11.0,,,0-2,,Shooting foul by W. Cauley-Stein (drawn by T. Gibson)
10:11.0,,,0-3,1,T. Gibson makes free throw 1 of 2
10:11.0,,,0-4,1,T. Gibson makes free throw 2 of 2
9:53.0,B. Hield misses 3-pt shot from 25 ft,,0-4,,
9:51.0,Offensive rebound by K. Koufos,,0-4,,
9:41.0,B. Hield misses 3-pt shot from 24 ft,,0-4,,
9:40.0,,,0-4,,Defensive rebound by T. Gibson
9:31.0,Personal foul by D. Collison (drawn by R. Westbrook),,0-4,,
9:21.0,,,0-6,2,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook)
8:55.0,,,0-6,,Violation by T. Gibson (kicked ball)
8:53.0,,,0-6,,Personal block foul by T. Gibson (drawn by W. Cauley-Stein)
8:47.0,,,0-6,,Def 3 sec tech foul by S. Adams
8:47.0,D. Collison makes technical free throw,1,1-6,,
8:37.0,D. Collison makes 2-pt shot from 4 ft,2,3-6,,
8:24.0,,,3-6,,T. Gibson misses 2-pt shot from 14 ft
8:23.0,Defensive rebound by B. Hield,,3-6,,
8:03.0,D. Collison misses 2-pt shot from 18 ft (block by S. Adams),,3-6,,
8:03.0,Offensive rebound by K. Koufos,,3-6,,
8:03.0,,,3-6,,Personal foul by T. Gibson (drawn by K. Koufos)
8:03.0,,,3-6,,D. Sabonis enters the game for T. Gibson
7:52.0,G. Temple misses 3-pt shot from 25 ft,,3-6,,
7:52.0,,,3-6,,Defensive rebound by S. Adams
7:33.0,,,3-9,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
7:24.0,D. Collison makes 2-pt shot from 1 ft,2,5-9,,
7:24.0,Shooting foul by S. Adams (drawn by D. Collison),,5-9,,
7:24.0,D. Collison makes free throw 1 of 1,1,6-9,,
7:15.0,,,6-9,,Turnover by V. Oladipo (lost ball; steal by W. Cauley-Stein)
7:08.0,K. Koufos makes 2-pt shot from 2 ft (assist by G. Temple),2,8-9,,
6:53.0,,,8-9,,V. Oladipo misses 2-pt shot from 6 ft
6:53.0,Defensive rebound by Team,,8-9,,
6:38.0,B. Hield makes 2-pt shot from 10 ft (assist by K. Koufos),2,10-9,,
6:24.0,,,10-9,,S. Adams misses 2-pt shot from 5 ft (block by K. Koufos)
6:23.0,Defensive rebound by K. Koufos,,10-9,,
6:08.0,K. Koufos misses 2-pt shot from 1 ft,,10-9,,
6:07.0,,,10-9,,Defensive rebound by S. Adams
6:05.0,Personal block foul by D. Collison (drawn by R. Westbrook),,10-9,,
6:05.0,,,10-9,,Oklahoma City full timeout
6:05.0,S. Labissiere enters the game for K. Koufos,,10-9,,
5:59.0,,,10-11,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:40.0,D. Collison misses 2-pt shot from 16 ft,,10-11,,
5:40.0,,,10-11,,Defensive rebound by V. Oladipo
5:29.0,,,10-11,,V. Oladipo misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by D. Collison,,10-11,,
5:09.0,S. Labissiere misses 2-pt shot from 15 ft,,10-11,,
5:09.0,,,10-11,,Defensive rebound by R. Westbrook
4:52.0,,,10-11,,D. Sabonis misses 2-pt shot from 10 ft
4:52.0,,,10-11,,Offensive rebound by S. Adams
4:52.0,Personal foul by W. Cauley-Stein (drawn by S. Adams),,10-11,,
4:52.0,,,10-11,,A. Abrines enters the game for V. Oladipo
