time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. L. Nance (S. Labissiere gains possession),,,,Jump ball: W. Cauley-Stein vs. L. Nance (S. Labissiere gains possession)
11:46.0,B. Hield makes 3-pt shot from 26 ft (assist by D. Collison),3,3-0,,
11:27.0,,,3-3,3,J. Clarkson makes 3-pt shot from 24 ft (assist by B. Ingram)
10:58.0,B. Hield misses 2-pt shot from 3 ft,,3-3,,
10:56.0,,,3-3,,Defensive rebound by L. Nance
10:39.0,,,3-5,2,B. Ingram makes 2-pt shot from 8 ft
10:15.0,Shooting foul by J. Randle (drawn by W. Cauley-Stein),,3-5,,
10:15.0,W. Cauley-Stein makes free throw 1 of 2,1,4-5,,
10:15.0,W. Cauley-Stein misses free throw 2 of 2,,4-5,,
10:14.0,,,4-5,,Defensive rebound by D. Russell
9:54.0,,,4-5,,D. Russell misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by D. Collison,,4-5,,
9:46.0,D. Collison makes 2-pt shot from 19 ft,2,6-5,,
9:36.0,,,6-5,,J. Clarkson misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by S. Labissiere,,6-5,,
9:12.0,W. Cauley-Stein makes 2-pt shot from 19 ft,2,8-5,,
9:01.0,,,8-5,,J. Randle misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by D. Collison,,8-5,,
8:44.0,W. Cauley-Stein makes 2-pt shot from 11 ft (assist by D. Collison),2,10-5,,
8:23.0,,,10-5,,Turnover by J. Clarkson (bad pass)
8:09.0,S. Labissiere makes 2-pt shot at rim (assist by D. Collison),2,12-5,,
7:47.0,,,12-7,2,J. Randle makes 2-pt shot from 8 ft (assist by L. Nance)
7:21.0,B. Hield misses 2-pt shot from 2 ft,,12-7,,
7:19.0,Offensive rebound by W. Cauley-Stein,,12-7,,
7:18.0,W. Cauley-Stein misses 2-pt shot at rim,,12-7,,
7:17.0,Offensive rebound by W. Cauley-Stein,,12-7,,
7:16.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,14-7,,
7:05.0,,,14-7,,L. Nance misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by A. Afflalo,,14-7,,
