time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Koufos,,,,Jump ball: A. Davis vs. K. Koufos
11:44.0,,,0-2,2,K. Koufos makes 2-pt shot from 3 ft (assist by D. Cousins)
11:27.0,D. Cunningham misses 3-pt shot from 23 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by D. Collison
11:13.0,,,0-4,2,D. Cousins makes 2-pt shot from 18 ft
10:49.0,A. Davis misses 2-pt shot from 18 ft,,0-4,,
10:47.0,,,0-4,,Defensive rebound by K. Koufos
10:34.0,,,0-4,,A. Afflalo misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by D. Cunningham,,0-4,,
10:31.0,Turnover by D. Cunningham (bad pass; steal by D. Cousins),,0-4,,
10:21.0,,,0-6,2,K. Koufos makes 2-pt shot from 10 ft
10:11.0,A. Davis makes 2-pt shot from 12 ft (assist by J. Holiday),2,2-6,,
10:11.0,Technical foul by Team,,2-6,,
10:11.0,,,2-6,,D. Collison misses technical free throw
10:11.0,,,2-6,,Offensive rebound by Team
9:48.0,,,2-6,,D. Collison misses 2-pt shot from 9 ft
9:47.0,,,2-6,,Offensive rebound by D. Cousins
9:47.0,,,2-8,2,D. Cousins makes 2-pt shot at rim
9:36.0,B. Hield makes 3-pt shot from 24 ft (assist by J. Holiday),3,5-8,,
9:16.0,,,5-8,,D. Cousins misses 3-pt shot from 26 ft
9:15.0,,,5-8,,Offensive rebound by B. McLemore
9:04.0,,,5-8,,D. Cousins misses 2-pt shot from 8 ft
9:04.0,Defensive rebound by J. Holiday,,5-8,,
8:57.0,S. Hill makes 3-pt shot from 25 ft (assist by J. Holiday),3,8-8,,
8:42.0,,,8-10,2,D. Collison makes 2-pt shot from 4 ft
8:23.0,D. Cunningham misses 2-pt shot from 21 ft,,8-10,,
8:23.0,,,8-10,,Defensive rebound by K. Koufos
8:07.0,,,8-13,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Collison)
7:57.0,J. Holiday makes 3-pt shot from 25 ft,3,11-13,,
7:46.0,,,11-13,,Turnover by D. Collison (bad pass)
7:31.0,A. Davis misses 2-pt shot from 19 ft,,11-13,,
7:29.0,,,11-13,,Defensive rebound by D. Cousins
7:16.0,Personal foul by D. Cunningham (drawn by D. Cousins),,11-13,,
7:10.0,,,11-13,,K. Koufos misses 2-pt shot from 6 ft
7:10.0,,,11-13,,Offensive rebound by K. Koufos
7:08.0,,,11-13,,K. Koufos misses 2-pt shot from 5 ft
7:07.0,,,11-13,,Offensive rebound by K. Koufos
7:07.0,,,11-13,,K. Koufos misses 2-pt shot from 2 ft
7:06.0,Defensive rebound by D. Cunningham,,11-13,,
7:00.0,B. Hield misses 3-pt shot from 28 ft,,11-13,,
6:58.0,,,11-13,,Defensive rebound by D. Collison
6:52.0,,,11-13,,Turnover by D. Cousins (lost ball; steal by J. Holiday)
6:48.0,J. Holiday makes 2-pt shot from 3 ft,2,13-13,,
6:30.0,,,13-13,,Turnover by B. McLemore (lost ball; steal by J. Holiday)
6:21.0,D. Cunningham makes 2-pt shot from 9 ft (assist by A. Davis),2,15-13,,
6:12.0,,,15-13,,Sacramento full timeout
6:05.0,Def 3 sec tech foul by A. Davis,,15-13,,
6:05.0,,,15-14,1,A. Afflalo makes technical free throw
5:52.0,,,15-16,2,D. Cousins makes 2-pt shot from 20 ft (assist by A. Afflalo)
5:35.0,A. Davis makes 2-pt shot at rim,2,17-16,,
5:18.0,,,17-16,,Turnover by K. Koufos (lost ball; steal by J. Holiday)
5:15.0,B. Hield misses 2-pt shot from 2 ft (block by A. Afflalo),,17-16,,
5:15.0,Offensive rebound by Team,,17-16,,
5:12.0,S. Hill makes 3-pt shot from 23 ft (assist by J. Holiday),3,20-16,,
4:59.0,,,20-16,,Turnover by D. Cousins (bad pass; steal by A. Davis)
4:55.0,B. Hield makes 2-pt shot from 3 ft (assist by A. Davis),2,22-16,,
4:39.0,,,22-16,,D. Cousins misses 3-pt shot from 25 ft
4:39.0,,,22-16,,Offensive rebound by Team
4:39.0,Loose ball foul by J. Holiday (drawn by A. Afflalo),,22-16,,
4:39.0,,,22-16,,M. Barnes enters the game for A. Afflalo
4:39.0,,,22-16,,A. Tolliver enters the game for K. Koufos
4:18.0,,,22-19,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
4:08.0,A. Davis misses 2-pt shot from 4 ft (block by D. Cousins),,22-19,,
4:08.0,Offensive rebound by Team,,22-19,,
4:08.0,D. Motiejunas enters the game for D. Cunningham,,22-19,,
3:52.0,J. Holiday misses 2-pt shot from 8 ft (block by B. McLemore),,22-19,,
3:52.0,Offensive rebound by J. Holiday,,22-19,,
3:52.0,Turnover by Team (shot clock),,22-19,,
3:28.0,,,22-19,,Turnover by M. Barnes (bad pass; steal by D. Motiejunas)
3:28.0,,,22-19,,Personal foul by B. McLemore (drawn by A. Davis)
3:11.0,D. Motiejunas misses 2-pt shot from 7 ft,,22-19,,
3:11.0,,,22-19,,Defensive rebound by D. Cousins
3:02.0,,,22-19,,Shooting foul by D. Motiejunas (drawn by D. Cousins)
3:02.0,,,22-19,,D. Cousins misses free throw 1 of 2
3:02.0,,,22-19,,Offensive rebound by Team
3:02.0,,,22-20,1,D. Cousins makes free throw 2 of 2
3:02.0,T. Evans enters the game for B. Hield,,22-19,,
3:02.0,,,22-19,,M. Richardson enters the game for B. McLemore
2:48.0,,,22-20,,Personal foul by A. Tolliver (drawn by A. Davis)
2:48.0,New Orleans full timeout,,22-20,,
2:48.0,,,22-20,,A. Afflalo enters the game for D. Collison
2:36.0,A. Davis misses 2-pt shot from 8 ft,,22-20,,
2:35.0,,,22-20,,Defensive rebound by D. Cousins
2:17.0,,,22-20,,M. Richardson misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by D. Motiejunas,,22-20,,
2:07.0,Shooting foul by A. Afflalo (drawn by J. Holiday),,22-20,,
2:07.0,J. Holiday makes free throw 1 of 2,1,23-20,,
2:07.0,J. Holiday makes free throw 2 of 2,1,24-20,,
2:07.0,L. Galloway enters the game for S. Hill,,23-20,,
1:51.0,,,24-20,,A. Tolliver misses 2-pt shot from 17 ft
1:50.0,Defensive rebound by D. Motiejunas,,24-20,,
1:42.0,Shooting foul by A. Tolliver (drawn by A. Davis),,24-20,,
1:42.0,A. Davis makes free throw 1 of 2,1,25-20,,
1:42.0,A. Davis makes free throw 2 of 2,1,26-20,,
1:30.0,,,26-20,,A. Tolliver misses 2-pt shot from 5 ft
1:30.0,Defensive rebound by Team,,26-20,,
1:30.0,,,26-20,,Loose ball foul by D. Cousins (drawn by D. Motiejunas)
1:30.0,D. Motiejunas makes free throw 1 of 2,1,27-20,,
1:30.0,D. Motiejunas misses free throw 2 of 2,,27-20,,
1:30.0,D. Cunningham enters the game for A. Davis,,27-20,,
1:29.0,,,27-20,,Defensive rebound by M. Barnes
1:07.0,,,27-20,,A. Tolliver misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by D. Cunningham,,27-20,,
1:06.0,,,27-20,,Technical foul by D. Cousins
1:06.0,L. Galloway misses technical free throw,,27-20,,
1:06.0,Offensive rebound by Team,,27-20,,
1:06.0,,,27-20,,W. Cauley-Stein enters the game for D. Cousins
1:06.0,T. Frazier enters the game for J. Holiday,,27-20,,
0:50.0,D. Motiejunas makes 2-pt shot from 11 ft (assist by L. Galloway),2,29-20,,
0:32.0,,,29-23,3,M. Barnes makes 3-pt shot from 24 ft (assist by W. Cauley-Stein)
0:24.0,L. Galloway misses 2-pt shot from 20 ft,,29-23,,
0:22.0,,,29-23,,Defensive rebound by M. Richardson
0:00.0,,,29-23,,A. Afflalo misses 2-pt shot from 17 ft
0:00.0,,,29-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,D. Motiejunas misses 3-pt shot from 25 ft,,29-23,,
11:37.0,,,29-23,,Defensive rebound by D. Collison
11:18.0,,,29-23,,Turnover by W. Cauley-Stein (bad pass; steal by T. Evans)
11:12.0,L. Galloway misses 3-pt shot from 26 ft,,29-23,,
11:11.0,,,29-23,,Defensive rebound by A. Tolliver
11:02.0,,,29-23,,A. Tolliver misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by D. Motiejunas,,29-23,,
10:47.0,T. Evans misses 2-pt shot from 6 ft,,29-23,,
10:47.0,,,29-23,,Defensive rebound by Team
10:47.0,Loose ball foul by D. Motiejunas (drawn by M. Barnes),,29-23,,
10:23.0,,,29-23,,W. Cauley-Stein misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by D. Motiejunas,,29-23,,
10:13.0,D. Cunningham misses 3-pt shot from 25 ft,,29-23,,
10:11.0,,,29-23,,Defensive rebound by A. Tolliver
10:02.0,,,29-23,,Shooting foul by T. Frazier (drawn by D. Collison)
10:02.0,,,29-24,1,D. Collison makes free throw 1 of 2
10:02.0,,,29-25,1,D. Collison makes free throw 2 of 2
10:02.0,S. Hill enters the game for L. Galloway,,29-24,,
10:02.0,A. Davis enters the game for D. Cunningham,,29-24,,
9:51.0,A. Davis makes 2-pt shot from 5 ft (assist by T. Frazier),2,31-25,,
9:51.0,Shooting foul by A. Tolliver (drawn by A. Davis),,31-25,,
9:51.0,A. Davis makes free throw 1 of 1,1,32-25,,
9:38.0,Personal foul by T. Frazier (drawn by A. Tolliver),,32-25,,
