time,Charlotte,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. C. Zeller (T. Booker gains possession),,,,Jump ball: B. Lopez vs. C. Zeller (T. Booker gains possession)
11:41.0,,,0-2,2,T. Booker makes 2-pt shot from 7 ft
11:29.0,K. Walker makes 2-pt shot from 3 ft,2,2-2,,
11:12.0,,,2-2,,Turnover by B. Lopez (lost ball; steal by C. Zeller)
11:00.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by T. Booker
10:46.0,,,2-2,,J. Lin misses 2-pt shot from 8 ft
10:45.0,Defensive rebound by M. Kidd-Gilchrist,,2-2,,
10:35.0,K. Walker misses 2-pt shot from 1 ft (block by B. Lopez),,2-2,,
10:33.0,,,2-2,,Defensive rebound by T. Booker
10:24.0,,,2-2,,S. Kilpatrick misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by N. Batum,,2-2,,
10:15.0,Shooting foul by T. Booker (drawn by N. Batum),,2-2,,
10:15.0,N. Batum makes free throw 1 of 2,1,3-2,,
10:15.0,N. Batum makes free throw 2 of 2,1,4-2,,
10:06.0,,,4-2,,J. Harris misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by K. Walker,,4-2,,
9:55.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft,,4-2,,
9:53.0,,,4-2,,Defensive rebound by T. Booker
9:49.0,,,4-5,3,J. Lin makes 3-pt shot from 25 ft (assist by T. Booker)
9:28.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum),2,6-5,,
9:11.0,,,6-5,,Turnover by T. Booker (bad pass; steal by N. Batum)
9:09.0,Shooting foul by S. Kilpatrick (drawn by N. Batum),,6-5,,
9:09.0,N. Batum makes free throw 1 of 2,1,7-5,,
9:09.0,N. Batum makes free throw 2 of 2,1,8-5,,
8:54.0,,,8-7,2,S. Kilpatrick makes 2-pt shot from 17 ft
8:49.0,Turnover by M. Williams (bad pass; steal by J. Lin),,8-7,,
8:43.0,,,8-9,2,S. Kilpatrick makes 2-pt shot from 5 ft (assist by J. Lin)
8:27.0,M. Williams makes 2-pt shot from 18 ft (assist by N. Batum),2,10-9,,
8:03.0,,,10-12,3,B. Lopez makes 3-pt shot from 24 ft (assist by J. Lin)
7:56.0,Charlotte full timeout,,10-12,,
7:46.0,Shooting foul by J. Harris (drawn by N. Batum),,10-12,,
7:46.0,N. Batum makes free throw 1 of 2,1,11-12,,
7:46.0,N. Batum makes free throw 2 of 2,1,12-12,,
7:31.0,,,12-12,,Turnover by S. Kilpatrick (lost ball)
7:16.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft,,12-12,,
7:15.0,Offensive rebound by M. Williams,,12-12,,
7:11.0,M. Williams makes 2-pt shot from 2 ft,2,14-12,,
7:08.0,,,14-12,,S. Kilpatrick misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
7:07.0,Defensive rebound by Team,,14-12,,
6:55.0,,,14-12,,Violation by B. Lopez (kicked ball)
6:55.0,,,14-12,,J. Hamilton enters the game for B. Lopez
6:48.0,C. Zeller makes 2-pt shot from 11 ft (assist by N. Batum),2,16-12,,
6:40.0,,,16-14,2,J. Lin makes 2-pt shot from 2 ft
6:24.0,N. Batum makes 2-pt shot from 6 ft,2,18-14,,
6:11.0,,,18-14,,Turnover by J. Hamilton (bad pass; steal by N. Batum)
5:58.0,,,18-14,,Shooting block foul by J. Lin (drawn by K. Walker)
5:58.0,K. Walker makes free throw 1 of 2,1,19-14,,
5:58.0,K. Walker makes free throw 2 of 2,1,20-14,,
5:58.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19-14,,
5:38.0,,,20-14,,J. Lin misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by C. Zeller,,20-14,,
5:30.0,K. Walker makes 3-pt shot from 25 ft,3,23-14,,
