time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. Z. Pachulia (T. Lawson gains possession),,,,Jump ball: K. Koufos vs. Z. Pachulia (T. Lawson gains possession)
11:52.0,Turnover by B. Hield (lost ball; steal by D. Green),,0-0,,
11:35.0,,,0-3,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
11:12.0,A. Afflalo misses 2-pt shot from 12 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by Z. Pachulia
11:03.0,,,0-3,,P. McCaw misses 3-pt shot from 23 ft
11:03.0,Defensive rebound by A. Afflalo,,0-3,,
10:46.0,B. Hield makes 3-pt shot from 23 ft (assist by K. Koufos),3,3-3,,
10:24.0,,,3-3,,D. Green misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by K. Koufos,,3-3,,
10:14.0,T. Lawson makes 3-pt shot from 25 ft (assist by B. Hield),3,6-3,,
10:01.0,,,6-5,2,P. McCaw makes 2-pt shot from 6 ft (assist by D. Green)
9:46.0,Shooting foul by P. McCaw (drawn by B. Hield),,6-5,,
9:46.0,B. Hield makes free throw 1 of 2,1,7-5,,
9:46.0,B. Hield makes free throw 2 of 2,1,8-5,,
9:34.0,,,8-5,,Turnover by Z. Pachulia (bad pass; steal by B. Hield)
9:25.0,T. Lawson misses 2-pt shot from 14 ft,,8-5,,
9:24.0,,,8-5,,Defensive rebound by Team
9:14.0,,,8-5,,Turnover by D. Green (bad pass)
8:49.0,Turnover by Team (shot clock),,8-5,,
8:36.0,,,8-7,2,S. Curry makes 2-pt shot from 16 ft
8:19.0,B. Hield makes 2-pt shot from 11 ft,2,10-7,,
8:13.0,,,10-7,,Shooting foul by K. Koufos (drawn by Z. Pachulia)
8:13.0,,,10-8,1,Z. Pachulia makes free throw 1 of 2
8:13.0,,,10-9,1,Z. Pachulia makes free throw 2 of 2
7:49.0,K. Koufos misses 2-pt shot from 9 ft,,10-9,,
7:49.0,,,10-9,,Defensive rebound by S. Curry
7:40.0,,,10-9,,S. Curry misses 3-pt shot from 27 ft
7:40.0,Defensive rebound by W. Cauley-Stein,,10-9,,
7:30.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Hield),2,12-9,,
7:16.0,,,12-9,,K. Thompson misses 3-pt shot from 27 ft
7:16.0,Defensive rebound by K. Koufos,,12-9,,
7:05.0,T. Lawson makes 2-pt shot from 1 ft,2,14-9,,
7:05.0,,,14-9,,Golden State full timeout
6:41.0,,,14-9,,Turnover by Team (shot clock)
6:15.0,B. Hield misses 3-pt shot from 27 ft (block by P. McCaw),,14-9,,
6:14.0,,,14-9,,Defensive rebound by S. Curry
6:12.0,,,14-11,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
5:39.0,T. Lawson makes 2-pt shot from 1 ft (assist by B. Hield),2,16-11,,
5:30.0,,,16-13,2,P. McCaw makes 2-pt shot from 2 ft (assist by Z. Pachulia)
5:14.0,A. Afflalo misses 2-pt shot from 12 ft,,16-13,,
5:13.0,,,16-13,,Defensive rebound by K. Thompson
5:09.0,,,16-13,,K. Thompson misses 3-pt shot from 28 ft
5:09.0,Defensive rebound by Team,,16-13,,
5:09.0,,,16-13,,S. Livingston enters the game for P. McCaw
5:09.0,,,16-13,,A. Iguodala enters the game for D. Green
4:53.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,16-13,,
4:53.0,,,16-13,,Defensive rebound by Z. Pachulia
4:46.0,,,16-15,2,S. Livingston makes 2-pt shot from 2 ft (assist by S. Curry)
4:21.0,A. Afflalo misses 3-pt shot from 27 ft,,16-15,,
4:20.0,,,16-15,,Defensive rebound by Z. Pachulia
4:16.0,L. Galloway enters the game for T. Lawson,,16-15,,
4:13.0,,,16-17,2,S. Livingston makes 2-pt shot at rim (assist by S. Curry)
3:49.0,G. Papagiannis enters the game for K. Koufos,,16-17,,
3:49.0,,,16-17,,J. McGee enters the game for Z. Pachulia
3:49.0,Sacramento full timeout,,16-17,,
3:49.0,,,16-17,,D. Green enters the game for K. Thompson
3:44.0,W. Cauley-Stein makes 2-pt shot from 10 ft,2,18-17,,
3:26.0,,,18-17,,Turnover by D. Green (bad pass)
3:11.0,A. Afflalo misses 2-pt shot from 15 ft,,18-17,,
3:10.0,,,18-17,,Defensive rebound by J. McGee
3:00.0,,,18-17,,S. Curry misses 3-pt shot from 25 ft
2:59.0,,,18-17,,Offensive rebound by J. McGee
2:44.0,Personal foul by L. Galloway (drawn by S. Curry),,18-17,,
2:44.0,G. Temple enters the game for B. Hield,,18-17,,
2:44.0,B. McLemore enters the game for A. Afflalo,,18-17,,
2:31.0,,,18-17,,A. Iguodala misses 3-pt shot from 25 ft
2:31.0,,,18-17,,Offensive rebound by J. McGee
2:26.0,,,18-20,3,S. Curry makes 3-pt shot from 27 ft (assist by J. McGee)
2:06.0,B. McLemore makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,20-20,,
1:39.0,,,20-20,,S. Curry misses 2-pt shot from 11 ft
1:39.0,,,20-20,,Offensive rebound by J. McGee
1:34.0,,,20-20,,Shooting foul by W. Cauley-Stein (drawn by D. Green)
1:34.0,,,20-20,,D. Green misses free throw 1 of 2
1:34.0,,,20-20,,Offensive rebound by Team
1:34.0,,,20-21,1,D. Green makes free throw 2 of 2
1:34.0,S. Labissiere enters the game for W. Cauley-Stein,,20-20,,
1:17.0,G. Temple misses 2-pt shot from 3 ft,,20-21,,
1:16.0,,,20-21,,Defensive rebound by J. McGee
1:16.0,Personal foul by G. Temple (drawn by J. McGee),,20-21,,
1:16.0,,,20-22,1,J. McGee makes free throw 1 of 2
1:16.0,,,20-23,1,J. McGee makes free throw 2 of 2
1:03.0,G. Temple misses 2-pt shot from 19 ft,,20-23,,
1:02.0,,,20-23,,Defensive rebound by A. Iguodala
0:58.0,,,20-25,2,A. Iguodala makes 2-pt shot from 2 ft
0:46.0,Turnover by G. Papagiannis (lost ball; steal by S. Livingston),,20-25,,
0:41.0,,,20-27,2,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston)
0:29.0,,,20-27,,Violation by S. Livingston (kicked ball)
0:22.0,L. Galloway misses 2-pt shot from 13 ft,,20-27,,
0:21.0,,,20-27,,Defensive rebound by S. Curry
0:00.0,,,20-27,,D. Green misses 2-pt shot from 7 ft
0:00.0,,,20-27,,Offensive rebound by Team
0:00.0,,,20-27,,Turnover by D. Green (traveling)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,20-27,,A. Iguodala misses 2-pt shot from 18 ft
11:37.0,Defensive rebound by S. Labissiere,,20-27,,
11:28.0,,,20-27,,Personal foul by M. Barnes (drawn by S. Labissiere)
11:20.0,L. Galloway makes 3-pt shot from 26 ft (assist by S. Labissiere),3,23-27,,
11:04.0,,,23-27,,K. Thompson misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by L. Galloway,,23-27,,
10:59.0,L. Galloway misses 2-pt shot from 4 ft (block by D. West),,23-27,,
10:58.0,,,23-27,,Defensive rebound by Team
10:41.0,,,23-30,3,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala)
10:13.0,S. Labissiere makes 2-pt shot from 12 ft (assist by G. Temple),2,25-30,,
10:00.0,,,25-32,2,I. Clark makes 2-pt shot from 3 ft (assist by D. West)
9:41.0,S. Labissiere misses 2-pt shot from 18 ft,,25-32,,
9:40.0,,,25-32,,Defensive rebound by D. West
9:29.0,,,25-32,,I. Clark misses 2-pt shot from 8 ft
9:29.0,Defensive rebound by S. Labissiere,,25-32,,
9:19.0,Turnover by B. McLemore (lost ball; steal by D. West),,25-32,,
9:14.0,,,25-34,2,D. West makes 2-pt shot from 2 ft (assist by I. Clark)
9:14.0,Sacramento full timeout,,25-34,,
8:54.0,G. Papagiannis makes 2-pt shot from 8 ft,2,27-34,,
8:34.0,,,27-36,2,K. Thompson makes 2-pt shot from 19 ft (assist by A. Iguodala)
8:18.0,L. Galloway misses 2-pt shot from 19 ft,,27-36,,
8:18.0,,,27-36,,Defensive rebound by D. West
8:07.0,,,27-36,,K. Thompson misses 3-pt shot from 25 ft (block by G. Temple)
8:06.0,Defensive rebound by G. Temple,,27-36,,
8:03.0,G. Temple makes 2-pt shot from 3 ft,2,29-36,,
7:47.0,,,29-38,2,D. West makes 2-pt shot from 19 ft (assist by A. Iguodala)
7:31.0,G. Papagiannis makes 2-pt shot at rim (assist by S. Labissiere),2,31-38,,
7:31.0,Shooting foul by D. West (drawn by G. Papagiannis),,31-38,,
7:31.0,G. Papagiannis makes free throw 1 of 1,1,32-38,,
7:31.0,,,31-38,,D. Green enters the game for A. Iguodala
7:31.0,T. Lawson enters the game for B. McLemore,,31-38,,
7:14.0,,,32-40,2,I. Clark makes 2-pt shot from 1 ft (assist by D. West)
7:00.0,G. Temple misses 2-pt shot from 10 ft (block by D. West),,32-40,,
7:00.0,Offensive rebound by Team,,32-40,,
