time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (A. Horford gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (A. Horford gains possession)
11:43.0,,,0-0,,A. Horford misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by N. Powell,,0-0,,
11:24.0,J. Valanciunas misses 2-pt shot from 13 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by A. Bradley
11:15.0,,,0-3,3,A. Horford makes 3-pt shot from 25 ft (assist by A. Bradley)
10:56.0,D. DeRozan misses 2-pt shot from 16 ft,,0-3,,
10:55.0,,,0-3,,Defensive rebound by A. Bradley
10:50.0,,,0-3,,Turnover by M. Smart (step out of bounds)
10:36.0,Shooting foul by A. Johnson (drawn by N. Powell),,0-3,,
10:36.0,N. Powell makes free throw 1 of 2,1,1-3,,
10:36.0,N. Powell makes free throw 2 of 2,1,2-3,,
10:24.0,,,2-6,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Crowder)
10:04.0,Turnover by D. DeRozan (lost ball; steal by J. Crowder),,2-6,,
9:45.0,,,2-6,,J. Crowder misses 2-pt shot from 21 ft
9:45.0,Defensive rebound by J. Valanciunas,,2-6,,
9:30.0,K. Lowry makes 2-pt shot from 2 ft (assist by N. Powell),2,4-6,,
9:21.0,,,4-8,2,A. Bradley makes 2-pt shot from 17 ft
8:57.0,N. Powell makes 3-pt shot from 26 ft (assist by D. DeRozan),3,7-8,,
8:35.0,,,7-11,3,A. Johnson makes 3-pt shot from 24 ft (assist by M. Smart)
8:05.0,N. Powell makes 2-pt shot from 3 ft,2,9-11,,
7:55.0,,,9-11,,Shooting foul by N. Powell (drawn by M. Smart)
7:55.0,,,9-12,1,M. Smart makes free throw 1 of 2
7:55.0,,,9-13,1,M. Smart makes free throw 2 of 2
7:38.0,J. Valanciunas makes 2-pt shot from 3 ft,2,11-13,,
7:20.0,,,11-13,,A. Johnson misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by D. DeRozan,,11-13,,
7:10.0,D. DeRozan misses 2-pt shot from 21 ft,,11-13,,
7:09.0,,,11-13,,Defensive rebound by J. Crowder
6:56.0,,,11-16,3,M. Smart makes 3-pt shot from 23 ft (assist by A. Horford)
6:36.0,K. Lowry makes 3-pt shot from 25 ft,3,14-16,,
6:17.0,,,14-16,,A. Johnson misses 3-pt shot from 25 ft
