time,Denver,pts.away,score,pts.home,Milwaukee
1:16.0,Defensive rebound by J. Hernangomez,,30-15,,
0:54.0,W. Chandler misses 3-pt shot from 30 ft,,30-15,,
0:52.0,,,30-15,,Defensive rebound by Team
0:52.0,D. Arthur enters the game for W. Chandler,,30-15,,
0:34.0,,,30-15,,K. Middleton misses 2-pt shot from 8 ft
0:32.0,,,30-15,,Offensive rebound by G. Monroe
0:26.0,,,30-15,,J. Terry misses 3-pt shot from 24 ft
0:25.0,,,30-15,,Offensive rebound by J. Terry
0:11.0,Personal take foul by J. Hernangomez,,30-15,,
0:04.0,,,30-15,,Turnover by K. Middleton (lost ball; steal by M. Plumlee)
0:01.0,J. Hernangomez makes 2-pt shot at rim,2,32-15,,
0:00.0,,,32-15,,J. Terry misses 2-pt shot from 20 ft
0:00.0,,,32-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,32-15,,Personal foul by K. Middleton
11:36.0,W. Barton misses 3-pt shot from 25 ft,,32-15,,
11:33.0,,,32-15,,Defensive rebound by G. Monroe
11:25.0,,,32-15,,G. Monroe misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by E. Mudiay,,32-15,,
11:15.0,E. Mudiay misses 2-pt shot from 15 ft,,32-15,,
11:13.0,,,32-15,,Defensive rebound by K. Middleton
10:51.0,,,32-15,,M. Teletovic misses 2-pt shot from 1 ft
10:49.0,Defensive rebound by E. Mudiay,,32-15,,
10:40.0,M. Plumlee makes 2-pt shot from 10 ft (assist by E. Mudiay),2,34-15,,
10:28.0,,,34-17,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:28.0,,,34-17,,Shooting foul by M. Plumlee (drawn by G. Monroe)
10:28.0,,,34-18,1,G. Monroe makes free throw 1 of 1
10:09.0,E. Mudiay makes 3-pt shot from 27 ft (assist by W. Barton),3,37-18,,
9:52.0,,,37-20,2,K. Middleton makes 2-pt shot from 14 ft (assist by G. Monroe)
9:43.0,W. Barton makes 2-pt shot from 2 ft,2,39-20,,
9:21.0,,,39-20,,G. Monroe misses 2-pt shot from 1 ft
9:21.0,,,39-20,,Offensive rebound by G. Monroe
9:21.0,,,39-20,,G. Monroe misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by Team,,39-20,,
9:20.0,Jump ball: G. Monroe vs. M. Plumlee (W. Barton gains possession),,,,Jump ball: G. Monroe vs. M. Plumlee (W. Barton gains possession)
9:12.0,Shooting foul by M. Dellavedova,,39-20,,
9:12.0,J. Hernangomez makes free throw 1 of 3,1,40-20,,
9:12.0,J. Hernangomez makes free throw 2 of 3,1,41-20,,
9:12.0,J. Hernangomez makes free throw 3 of 3,1,42-20,,
8:55.0,,,42-22,2,K. Middleton makes 2-pt shot from 7 ft (assist by M. Dellavedova)
8:35.0,J. Hernangomez misses 3-pt shot from 25 ft,,42-22,,
8:34.0,,,42-22,,Defensive rebound by M. Teletovic
8:26.0,,,42-22,,K. Middleton misses 2-pt shot from 8 ft
8:25.0,Defensive rebound by J. Hernangomez,,42-22,,
8:20.0,W. Barton makes 2-pt shot from 3 ft,2,44-22,,
8:20.0,Shooting foul by M. Dellavedova (drawn by W. Barton),,44-22,,
8:20.0,Official timeout,,44-22,,
8:20.0,W. Barton makes free throw 1 of 1,1,45-22,,
8:20.0,,,44-22,,A. Toupane enters the game for M. Dellavedova
8:20.0,,,44-22,,T. Maker enters the game for G. Monroe
8:20.0,,,44-22,,T. Snell enters the game for K. Middleton
8:20.0,,,44-22,,M. Brogdon enters the game for J. Terry
7:54.0,,,45-22,,M. Teletovic misses 2-pt shot from 16 ft
7:53.0,Defensive rebound by D. Arthur,,45-22,,
7:47.0,W. Barton makes 2-pt shot from 4 ft,2,47-22,,
7:31.0,,,47-22,,A. Toupane misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by M. Plumlee,,47-22,,
7:22.0,E. Mudiay misses 2-pt shot from 2 ft,,47-22,,
7:20.0,Offensive rebound by W. Barton,,47-22,,
7:20.0,W. Barton misses 2-pt shot from 2 ft,,47-22,,
7:19.0,,,47-22,,Defensive rebound by M. Brogdon
7:06.0,,,47-22,,T. Snell misses 3-pt shot from 28 ft
7:05.0,Defensive rebound by M. Plumlee,,47-22,,
6:52.0,M. Plumlee misses 2-pt shot from 2 ft,,47-22,,
6:50.0,Offensive rebound by D. Arthur,,47-22,,
6:50.0,D. Arthur makes 2-pt shot from 1 ft,2,49-22,,
6:39.0,Personal foul by W. Barton (drawn by T. Snell),,49-22,,
6:39.0,,,49-22,,G. Antetokounmpo enters the game for M. Teletovic
6:39.0,W. Chandler enters the game for D. Arthur,,49-22,,
6:25.0,,,49-22,,G. Antetokounmpo misses 2-pt shot from 22 ft
6:24.0,Defensive rebound by E. Mudiay,,49-22,,
6:08.0,W. Chandler misses 3-pt shot from 25 ft,,49-22,,
6:08.0,Offensive rebound by Team,,49-22,,
6:08.0,,,49-22,,Loose ball foul by T. Maker (drawn by M. Plumlee)
6:08.0,,,49-22,,J. Henson enters the game for T. Maker
6:00.0,E. Mudiay makes 2-pt shot from 20 ft,2,51-22,,
5:48.0,,,51-22,,M. Brogdon misses 2-pt shot from 7 ft
5:48.0,,,51-22,,Offensive rebound by Team
5:48.0,Personal foul by W. Barton (drawn by J. Henson),,51-22,,
5:48.0,,,51-22,,Milwaukee full timeout
5:48.0,D. Gallinari enters the game for J. Hernangomez,,51-22,,
5:37.0,,,51-25,3,M. Brogdon makes 3-pt shot from 28 ft (assist by T. Snell)
5:16.0,Turnover by E. Mudiay (bad pass; steal by J. Henson),,51-25,,
