time,Denver,pts.away,score,pts.home,Milwaukee
1:35.0,D. Gallinari misses 3-pt shot from 29 ft,,108-96,,
1:34.0,Offensive rebound by G. Harris,,108-96,,
1:32.0,G. Harris makes 2-pt shot from 1 ft,2,110-96,,
1:19.0,,,110-96,,J. Henson misses 2-pt shot from 19 ft
1:18.0,Defensive rebound by N. Jokic,,110-96,,
0:59.0,J. Murray misses 2-pt shot from 15 ft (block by G. Antetokounmpo),,110-96,,
0:56.0,,,110-96,,Defensive rebound by G. Antetokounmpo
0:50.0,,,110-96,,M. Brogdon misses 2-pt shot from 1 ft
0:50.0,,,110-96,,Offensive rebound by J. Henson
0:50.0,,,110-98,2,J. Henson makes 2-pt shot at rim
0:34.0,G. Harris misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,110-98,,
0:33.0,,,110-98,,Defensive rebound by G. Antetokounmpo
0:33.0,,,110-98,,Turnover by G. Antetokounmpo (bad pass)
0:21.0,W. Chandler misses 2-pt shot from 3 ft,,110-98,,
0:19.0,,,110-98,,Defensive rebound by J. Henson
0:00.0,End of 4th quarter,,,,End of 4th quarter
