time,Brooklyn,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Nurkic,,,,Jump ball: B. Lopez vs. J. Nurkic
11:45.0,J. Lin misses 2-pt shot from 3 ft,,0-0,,
11:44.0,Offensive rebound by R. Hollis-Jefferson,,0-0,,
11:42.0,B. Lopez makes 2-pt shot from 4 ft (assist by R. Hollis-Jefferson),2,2-0,,
11:42.0,Shooting foul by J. Nurkic (drawn by B. Lopez),,2-0,,
11:42.0,B. Lopez makes free throw 1 of 1,1,3-0,,
11:26.0,Personal foul by R. Hollis-Jefferson (drawn by N. Vonleh),,3-0,,
11:23.0,,,3-2,2,C. McCollum makes 2-pt shot from 14 ft (assist by M. Harkless)
11:05.0,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Vonleh),,3-2,,
10:56.0,,,3-5,3,M. Harkless makes 3-pt shot from 23 ft (assist by C. McCollum)
10:35.0,Turnover by B. Lopez (bad pass; steal by M. Harkless),,3-5,,
10:30.0,,,3-7,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
10:30.0,,,3-7,,Shooting foul by R. Foye (drawn by J. Nurkic)
10:30.0,,,3-8,1,J. Nurkic makes free throw 1 of 1
10:24.0,Turnover by R. Hollis-Jefferson (lost ball; steal by N. Vonleh),,3-8,,
10:20.0,,,3-8,,Shooting foul by C. LeVert (drawn by J. Nurkic)
10:20.0,,,3-8,,J. Nurkic misses free throw 1 of 2
10:20.0,,,3-8,,Offensive rebound by Team
10:20.0,,,3-8,,J. Nurkic misses free throw 2 of 2
10:19.0,Defensive rebound by R. Hollis-Jefferson,,3-8,,
10:04.0,B. Lopez makes 3-pt shot from 26 ft (assist by R. Foye),3,6-8,,
9:48.0,,,6-11,3,D. Lillard makes 3-pt shot from 26 ft
9:35.0,J. Lin makes 2-pt shot from 1 ft,2,8-11,,
9:26.0,,,8-11,,D. Lillard misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by Team,,8-11,,
9:19.0,J. Lin misses 2-pt shot from 1 ft,,8-11,,
9:18.0,,,8-11,,Defensive rebound by J. Nurkic
9:12.0,,,8-13,2,D. Lillard makes 2-pt shot from 2 ft
9:12.0,Brooklyn full timeout,,8-13,,
9:12.0,T. Booker enters the game for R. Hollis-Jefferson,,8-13,,
8:54.0,B. Lopez misses 2-pt shot from 6 ft,,8-13,,
8:51.0,,,8-13,,Defensive rebound by N. Vonleh
8:40.0,,,8-15,2,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic)
8:27.0,C. LeVert makes 2-pt shot from 1 ft (assist by B. Lopez),2,10-15,,
8:09.0,,,10-15,,N. Vonleh misses 2-pt shot from 22 ft
8:08.0,Defensive rebound by T. Booker,,10-15,,
7:56.0,T. Booker makes 2-pt shot from 2 ft (assist by C. LeVert),2,12-15,,
7:35.0,,,12-17,2,N. Vonleh makes 2-pt shot from 19 ft
7:20.0,T. Booker misses 3-pt shot from 25 ft,,12-17,,
7:19.0,,,12-17,,Defensive rebound by D. Lillard
7:06.0,Personal foul by J. Lin (drawn by J. Nurkic),,12-17,,
