time,Atlanta,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Howard (D. Schroder gains possession),,,,Jump ball: B. Biyombo vs. D. Howard (D. Schroder gains possession)
11:45.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder),2,2-0,,
11:26.0,,,2-0,,J. Meeks misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by P. Millsap,,2-0,,
11:06.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by P. Millsap),2,4-0,,
10:45.0,,,4-0,,E. Payton misses 2-pt shot from 2 ft (block by D. Howard)
10:42.0,Defensive rebound by D. Howard,,4-0,,
10:19.0,Turnover by Team (shot clock),,4-0,,
10:10.0,,,4-0,,B. Biyombo misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by D. Schroder,,4-0,,
10:01.0,Turnover by D. Schroder (bad pass; steal by J. Meeks),,4-0,,
9:54.0,,,4-0,,S. Ibaka misses 2-pt shot from 1 ft
9:52.0,Defensive rebound by P. Millsap,,4-0,,
9:47.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,6-0,,
9:47.0,,,6-0,,Orlando full timeout
9:32.0,,,6-0,,E. Payton misses 2-pt shot from 5 ft
9:30.0,Defensive rebound by T. Sefolosha,,6-0,,
9:18.0,P. Millsap misses 3-pt shot from 25 ft,,6-0,,
9:17.0,,,6-0,,Defensive rebound by J. Meeks
9:08.0,,,6-0,,Turnover by S. Ibaka (lost ball; steal by P. Millsap)
9:02.0,P. Millsap misses 2-pt shot from 1 ft (block by S. Ibaka),,6-0,,
9:00.0,,,6-0,,Defensive rebound by A. Gordon
8:58.0,Personal foul by K. Bazemore (drawn by J. Meeks),,6-0,,
8:54.0,,,6-0,,Turnover by B. Biyombo (bad pass; steal by K. Bazemore)
8:50.0,K. Bazemore makes 2-pt shot from 1 ft,2,8-0,,
8:34.0,,,8-2,2,J. Meeks makes 2-pt shot from 9 ft
8:20.0,P. Millsap misses 2-pt shot from 9 ft,,8-2,,
8:19.0,,,8-2,,Defensive rebound by E. Payton
8:11.0,,,8-4,2,J. Meeks makes 2-pt shot from 21 ft
7:50.0,P. Millsap makes 2-pt shot from 9 ft,2,10-4,,
7:50.0,Shooting foul by S. Ibaka (drawn by P. Millsap),,10-4,,
7:50.0,P. Millsap misses free throw 1 of 1,,10-4,,
7:48.0,,,10-4,,Defensive rebound by S. Ibaka
7:39.0,,,10-7,3,A. Gordon makes 3-pt shot from 26 ft
7:22.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore),2,12-7,,
7:22.0,Shooting foul by J. Meeks (drawn by D. Howard),,12-7,,
7:22.0,D. Howard makes free throw 1 of 1,1,13-7,,
6:56.0,,,13-7,,A. Gordon misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by D. Howard,,13-7,,
6:46.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,15-7,,
6:27.0,,,15-7,,Turnover by B. Biyombo (lost ball; steal by P. Millsap)
6:13.0,Offensive charge foul by P. Millsap,,15-7,,
6:13.0,Turnover by P. Millsap (offensive foul),,15-7,,
6:04.0,,,15-7,,Shooting foul by D. Howard (drawn by S. Ibaka)
6:04.0,,,15-9,2,S. Ibaka makes 2-pt shot from 3 ft (assist by E. Payton)
6:04.0,,,15-10,1,S. Ibaka makes free throw 1 of 1
5:56.0,D. Schroder makes 2-pt shot from 21 ft (assist by P. Millsap),2,17-10,,
5:40.0,,,17-10,,J. Meeks misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by D. Schroder,,17-10,,
5:29.0,,,17-10,,Personal foul by A. Gordon (drawn by K. Bazemore)
5:29.0,,,17-10,,E. Fournier enters the game for J. Meeks
5:29.0,,,17-10,,N. Vucevic enters the game for B. Biyombo
5:29.0,K. Korver enters the game for K. Bazemore,,17-10,,
5:23.0,Turnover by P. Millsap (lost ball; steal by E. Payton),,17-10,,
5:19.0,,,17-10,,E. Payton misses 2-pt shot from 5 ft
5:16.0,Defensive rebound by D. Schroder,,17-10,,
5:13.0,Turnover by D. Schroder (bad pass; steal by S. Ibaka),,17-10,,
4:55.0,,,17-12,2,A. Gordon makes 2-pt shot from 18 ft (assist by E. Payton)
4:41.0,T. Sefolosha misses 2-pt shot from 8 ft,,17-12,,
4:40.0,,,17-12,,Defensive rebound by S. Ibaka
4:32.0,,,17-15,3,A. Gordon makes 3-pt shot from 26 ft (assist by E. Payton)
4:10.0,,,17-15,,Violation by S. Ibaka (def goaltending)
4:10.0,P. Millsap makes 2-pt shot from 2 ft,2,19-15,,
3:46.0,,,19-15,,S. Ibaka misses 2-pt shot from 12 ft
3:45.0,Defensive rebound by D. Howard,,19-15,,
3:33.0,P. Millsap makes 2-pt shot from 12 ft (assist by K. Korver),2,21-15,,
3:20.0,,,21-15,,Turnover by E. Fournier (lost ball; steal by P. Millsap)
3:08.0,Turnover by P. Millsap (lost ball; steal by E. Fournier),,21-15,,
3:02.0,,,21-15,,E. Payton misses 2-pt shot from 2 ft
3:02.0,,,21-15,,Offensive rebound by A. Gordon
3:02.0,,,21-17,2,A. Gordon makes 2-pt shot from 1 ft
3:02.0,Atlanta full timeout,,21-17,,
3:02.0,T. Hardaway enters the game for T. Sefolosha,,21-17,,
3:02.0,M. Delaney enters the game for D. Howard,,21-17,,
3:02.0,M. Muscala enters the game for D. Schroder,,21-17,,
2:46.0,K. Korver misses 2-pt shot from 17 ft,,21-17,,
2:45.0,,,21-17,,Defensive rebound by A. Gordon
2:28.0,,,21-17,,S. Ibaka misses 3-pt shot from 26 ft
2:27.0,,,21-17,,Offensive rebound by A. Gordon
2:24.0,,,21-19,2,E. Payton makes 2-pt shot from 2 ft (assist by A. Gordon)
2:00.0,Turnover by M. Muscala (lost ball; steal by E. Payton),,21-19,,
1:57.0,,,21-21,2,E. Payton makes 2-pt shot from 3 ft
1:57.0,,,21-21,,Shooting foul by M. Delaney (drawn by E. Payton)
1:57.0,,,21-22,1,E. Payton makes free throw 1 of 1
1:57.0,K. Humphries enters the game for P. Millsap,,21-21,,
1:57.0,,,21-21,,J. Green enters the game for A. Gordon
1:42.0,K. Korver misses 2-pt shot from 14 ft,,21-22,,
1:41.0,,,21-22,,Defensive rebound by N. Vucevic
1:29.0,,,21-22,,Turnover by S. Ibaka (lost ball; steal by M. Muscala)
1:12.0,M. Delaney misses 2-pt shot from 17 ft,,21-22,,
1:11.0,,,21-22,,Defensive rebound by S. Ibaka
0:56.0,,,21-24,2,N. Vucevic makes 2-pt shot from 8 ft
0:39.0,K. Humphries misses 2-pt shot at rim (block by J. Green),,21-24,,
0:39.0,Offensive rebound by Team,,21-24,,
0:39.0,,,21-24,,D. Augustin enters the game for E. Payton
0:34.0,T. Hardaway misses 3-pt shot from 27 ft,,21-24,,
0:33.0,,,21-24,,Defensive rebound by E. Fournier
0:27.0,,,21-26,2,E. Fournier makes 2-pt shot from 1 ft
0:06.0,M. Delaney makes 2-pt shot from 21 ft,2,23-26,,
0:00.0,,,23-26,,D. Augustin misses 3-pt shot from 26 ft
0:00.0,,,23-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,23-26,,J. Green misses 2-pt shot from 20 ft
11:40.0,Defensive rebound by M. Delaney,,23-26,,
11:31.0,Shooting foul by J. Green (drawn by K. Humphries),,23-26,,
11:31.0,K. Humphries makes free throw 1 of 2,1,24-26,,
11:31.0,K. Humphries makes free throw 2 of 2,1,25-26,,
11:27.0,,,25-26,,E. Fournier misses 2-pt shot at rim
11:25.0,Defensive rebound by K. Korver,,25-26,,
11:13.0,T. Hardaway makes 2-pt shot from 9 ft (assist by K. Korver),2,27-26,,
10:55.0,,,27-26,,Turnover by N. Vucevic (traveling)
10:45.0,M. Muscala makes 2-pt shot at rim (assist by K. Korver),2,29-26,,
10:23.0,,,29-26,,N. Vucevic misses 2-pt shot from 11 ft
10:22.0,Defensive rebound by K. Korver,,29-26,,
10:06.0,T. Hardaway misses 2-pt shot from 18 ft,,29-26,,
10:04.0,,,29-26,,Defensive rebound by N. Vucevic
9:52.0,,,29-26,,Turnover by N. Vucevic (bad pass; steal by K. Korver)
9:46.0,K. Korver misses 3-pt shot from 28 ft,,29-26,,
9:44.0,,,29-26,,Defensive rebound by D. Augustin
9:29.0,,,29-29,3,D. Augustin makes 3-pt shot from 27 ft (assist by N. Vucevic)
9:08.0,K. Humphries misses 2-pt shot from 20 ft,,29-29,,
9:06.0,,,29-29,,Defensive rebound by N. Vucevic
8:57.0,,,29-29,,N. Vucevic misses 3-pt shot from 25 ft
8:55.0,,,29-29,,Offensive rebound by B. Biyombo
8:51.0,,,29-29,,D. Augustin misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by T. Hardaway,,29-29,,
8:37.0,M. Delaney makes 2-pt shot from 17 ft,2,31-29,,
8:22.0,,,31-29,,Shooting foul by M. Muscala (drawn by B. Biyombo)
8:22.0,Official timeout,,31-29,,
8:22.0,,,31-30,1,B. Biyombo makes free throw 1 of 2
8:22.0,,,31-31,1,B. Biyombo makes free throw 2 of 2
8:22.0,K. Bazemore enters the game for K. Korver,,31-29,,
8:02.0,Turnover by T. Hardaway (lost ball; steal by B. Biyombo),,31-31,,
7:42.0,,,31-31,,Turnover by N. Vucevic (bad pass)
7:24.0,K. Humphries makes 2-pt shot from 19 ft (assist by K. Bazemore),2,33-31,,
7:08.0,,,33-31,,Shooting foul by K. Bazemore (drawn by J. Green)
7:08.0,,,33-31,,J. Green misses free throw 1 of 2
7:08.0,,,33-31,,Offensive rebound by Team
7:08.0,,,33-32,1,J. Green makes free throw 2 of 2
7:08.0,D. Howard enters the game for K. Humphries,,33-31,,
7:08.0,D. Schroder enters the game for T. Hardaway,,33-31,,
6:54.0,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder),3,36-32,,
6:39.0,,,36-34,2,N. Vucevic makes 2-pt shot from 19 ft (assist by D. Augustin)
6:28.0,M. Muscala makes 3-pt shot from 25 ft (assist by D. Schroder),3,39-34,,
6:07.0,,,39-36,2,E. Fournier makes 2-pt shot from 15 ft (assist by N. Vucevic)
5:50.0,D. Schroder makes 2-pt shot from 2 ft,2,41-36,,
5:35.0,,,41-38,2,J. Green makes 2-pt shot from 6 ft
5:23.0,D. Schroder makes 2-pt shot from 18 ft,2,43-38,,
5:21.0,,,43-38,,Orlando full timeout
5:21.0,P. Millsap enters the game for M. Delaney,,43-38,,
5:21.0,T. Sefolosha enters the game for M. Muscala,,43-38,,
5:21.0,,,43-38,,S. Ibaka enters the game for N. Vucevic
5:21.0,,,43-38,,E. Payton enters the game for D. Augustin
5:06.0,,,43-38,,Turnover by E. Fournier (lost ball; steal by D. Howard)
4:57.0,K. Bazemore makes 3-pt shot from 26 ft (assist by P. Millsap),3,46-38,,
4:38.0,,,46-40,2,J. Green makes 2-pt shot from 13 ft
4:18.0,D. Howard misses 2-pt shot from 18 ft,,46-40,,
4:17.0,,,46-40,,Defensive rebound by J. Green
4:12.0,,,46-40,,E. Fournier misses 3-pt shot from 27 ft
4:11.0,Defensive rebound by T. Sefolosha,,46-40,,
4:00.0,T. Sefolosha misses 2-pt shot from 5 ft,,46-40,,
3:59.0,,,46-40,,Defensive rebound by S. Ibaka
3:53.0,,,46-42,2,E. Payton makes 2-pt shot from 2 ft
3:53.0,,,46-42,,Shooting foul by T. Sefolosha (drawn by E. Payton)
3:53.0,,,46-43,1,E. Payton makes free throw 1 of 1
3:53.0,,,46-42,,A. Gordon enters the game for B. Biyombo
3:53.0,,,46-42,,J. Meeks enters the game for E. Fournier
3:53.0,,,46-42,,N. Vucevic enters the game for J. Green
3:39.0,Shooting foul by S. Ibaka (drawn by P. Millsap),,46-43,,
3:39.0,P. Millsap misses free throw 1 of 2,,46-43,,
3:39.0,Offensive rebound by Team,,46-43,,
3:39.0,P. Millsap misses free throw 2 of 2,,46-43,,
3:38.0,,,46-43,,Defensive rebound by S. Ibaka
3:25.0,,,46-43,,A. Gordon misses 2-pt shot from 11 ft
3:24.0,Defensive rebound by D. Howard,,46-43,,
3:15.0,Turnover by P. Millsap (traveling),,46-43,,
3:15.0,Violation by Team (jump ball),,46-43,,
3:07.0,,,46-43,,N. Vucevic misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by D. Howard,,46-43,,
2:49.0,T. Sefolosha makes 2-pt shot from 1 ft,2,48-43,,
2:31.0,,,48-43,,N. Vucevic misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by D. Schroder,,48-43,,
2:24.0,Atlanta full timeout,,48-43,,
2:21.0,D. Schroder makes 2-pt shot from 15 ft (assist by P. Millsap),2,50-43,,
2:02.0,,,50-43,,E. Payton misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by Team,,50-43,,
2:02.0,T. Hardaway enters the game for K. Bazemore,,50-43,,
1:52.0,D. Schroder makes 2-pt shot from 21 ft,2,52-43,,
1:31.0,,,52-43,,N. Vucevic misses 2-pt shot from 20 ft
1:29.0,,,52-43,,Offensive rebound by S. Ibaka
1:27.0,,,52-45,2,S. Ibaka makes 2-pt shot from 8 ft
1:02.0,T. Sefolosha misses 2-pt shot from 2 ft,,52-45,,
1:00.0,Offensive rebound by D. Howard,,52-45,,
1:00.0,D. Howard misses 2-pt shot from 2 ft,,52-45,,
0:59.0,,,52-45,,Defensive rebound by N. Vucevic
0:58.0,,,52-45,,Turnover by A. Gordon (traveling)
0:58.0,,,52-45,,J. Green enters the game for S. Ibaka
0:44.0,Turnover by D. Schroder (bad pass; steal by N. Vucevic),,52-45,,
0:35.0,,,52-45,,Turnover by E. Payton (lost ball; steal by D. Schroder)
0:34.0,,,52-45,,Personal take foul by E. Payton (drawn by D. Schroder)
0:28.0,P. Millsap misses 3-pt shot from 26 ft,,52-45,,
0:27.0,,,52-45,,Defensive rebound by N. Vucevic
0:17.0,,,52-45,,Orlando full timeout
0:17.0,,,52-45,,E. Fournier enters the game for A. Gordon
0:08.0,,,52-47,2,N. Vucevic makes 2-pt shot at rim
0:08.0,Atlanta full timeout,,52-47,,
0:08.0,K. Bazemore enters the game for T. Sefolosha,,52-47,,
0:08.0,K. Korver enters the game for D. Howard,,52-47,,
0:08.0,,,52-47,,A. Gordon enters the game for E. Fournier
0:00.0,D. Schroder misses 2-pt shot from 2 ft (block by N. Vucevic),,52-47,,
0:00.0,Offensive rebound by Team,,52-47,,
0:00.0,D. Schroder misses 2-pt shot from 2 ft (block by N. Vucevic),,52-47,,
0:00.0,Offensive rebound by Team,,52-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,52-47,,A. Gordon misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by D. Howard,,52-47,,
11:17.0,K. Bazemore misses 2-pt shot from 2 ft,,52-47,,
11:15.0,,,52-47,,Defensive rebound by A. Gordon
11:08.0,,,52-47,,B. Biyombo misses 2-pt shot from 1 ft
11:06.0,,,52-47,,Offensive rebound by A. Gordon
11:02.0,,,52-47,,S. Ibaka misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by T. Sefolosha,,52-47,,
10:41.0,D. Schroder makes 2-pt shot from 2 ft,2,54-47,,
10:31.0,,,54-49,2,E. Payton makes 2-pt shot from 2 ft
10:13.0,D. Schroder misses 3-pt shot from 26 ft,,54-49,,
10:11.0,,,54-49,,Defensive rebound by E. Payton
10:04.0,,,54-49,,E. Payton misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by P. Millsap,,54-49,,
9:49.0,P. Millsap misses 2-pt shot from 3 ft,,54-49,,
9:47.0,,,54-49,,Defensive rebound by S. Ibaka
9:44.0,,,54-51,2,J. Meeks makes 2-pt shot at rim (assist by E. Payton)
9:19.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Howard),2,56-51,,
9:02.0,,,56-53,2,J. Meeks makes 2-pt shot from 7 ft (assist by E. Payton)
8:48.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder),2,58-53,,
