time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. M. Turner (J. Teague gains possession),,,,Jump ball: R. Holmes vs. M. Turner (J. Teague gains possession)
11:46.0,Turnover by J. Teague (bad pass; steal by T. McConnell),,0-0,,
11:37.0,,,0-0,,J. Anderson misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by M. Ellis,,0-0,,
11:27.0,M. Turner misses 2-pt shot from 6 ft (block by D. Saric),,0-0,,
11:25.0,Offensive rebound by M. Turner,,0-0,,
11:22.0,M. Turner makes 2-pt shot from 1 ft,2,2-0,,
11:12.0,,,2-0,,Turnover by T. McConnell (bad pass)
11:07.0,Turnover by M. Turner (traveling),,2-0,,
10:48.0,,,2-2,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by D. Saric)
10:32.0,M. Ellis makes 2-pt shot from 18 ft (assist by P. George),2,4-2,,
10:16.0,,,4-2,,Turnover by J. Anderson (bad pass; steal by J. Teague)
10:10.0,T. Young makes 2-pt shot at rim (assist by M. Ellis),2,6-2,,
9:51.0,,,6-2,,T. McConnell misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by M. Turner,,6-2,,
9:45.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,8-2,,
9:29.0,,,8-2,,Turnover by D. Saric (lost ball)
9:25.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,11-2,,
9:25.0,,,11-2,,Philadelphia full timeout
9:12.0,,,11-4,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by D. Saric)
8:56.0,P. George misses 3-pt shot from 24 ft,,11-4,,
8:54.0,,,11-4,,Defensive rebound by T. McConnell
8:45.0,,,11-4,,D. Saric misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by T. Young,,11-4,,
8:38.0,,,11-4,,Personal foul by R. Holmes (drawn by M. Turner)
8:30.0,P. George makes 2-pt shot from 16 ft (assist by M. Turner),2,13-4,,
8:19.0,,,13-4,,R. Holmes misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by M. Turner,,13-4,,
8:16.0,Turnover by M. Turner (bad pass; steal by D. Saric),,13-4,,
7:52.0,,,13-4,,J. Anderson misses 3-pt shot from 25 ft (block by P. George)
7:51.0,Defensive rebound by T. Young,,13-4,,
7:44.0,P. George makes 3-pt shot from 27 ft (assist by T. Young),3,16-4,,
7:26.0,,,16-4,,Shooting foul by J. Teague (drawn by J. Anderson)
7:26.0,,,16-5,1,J. Anderson makes free throw 1 of 2
7:26.0,,,16-6,1,J. Anderson makes free throw 2 of 2
7:12.0,Shooting foul by R. Holmes (drawn by M. Turner),,16-6,,
7:12.0,M. Turner makes free throw 1 of 2,1,17-6,,
7:12.0,M. Turner makes free throw 2 of 2,1,18-6,,
7:12.0,,,17-6,,G. Henderson enters the game for J. Anderson
7:12.0,,,17-6,,T. Splitter enters the game for R. Holmes
7:02.0,,,18-6,,Turnover by T. Splitter (bad pass)
6:52.0,Shooting foul by T. McConnell (drawn by P. George),,18-6,,
6:52.0,P. George makes free throw 1 of 2,1,19-6,,
6:52.0,P. George makes free throw 2 of 2,1,20-6,,
6:52.0,,,19-6,,N. Stauskas enters the game for T. Luwawu-Cabarrot
6:30.0,,,20-6,,G. Henderson misses 2-pt shot from 17 ft
6:30.0,,,20-6,,Offensive rebound by Team
6:28.0,,,20-6,,Turnover by T. McConnell (bad pass; steal by P. George)
6:23.0,T. Young makes 2-pt shot at rim (assist by P. George),2,22-6,,
6:03.0,,,22-6,,T. Splitter misses 2-pt shot from 3 ft (block by M. Turner)
6:00.0,,,22-6,,Offensive rebound by G. Henderson
5:59.0,,,22-8,2,G. Henderson makes 2-pt shot from 3 ft
5:53.0,J. Teague makes 2-pt shot from 21 ft,2,24-8,,
5:36.0,,,24-8,,Shooting foul by M. Turner (drawn by T. Splitter)
5:36.0,,,24-9,1,T. Splitter makes free throw 1 of 2
5:36.0,,,24-10,1,T. Splitter makes free throw 2 of 2
5:36.0,,,24-9,,A. Poythress enters the game for D. Saric
5:19.0,M. Turner misses 2-pt shot from 2 ft,,24-10,,
5:18.0,,,24-10,,Defensive rebound by T. Splitter
4:59.0,Personal foul by T. Young (drawn by G. Henderson),,24-10,,
4:45.0,,,24-10,,G. Henderson misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by J. Teague,,24-10,,
4:31.0,P. George makes 2-pt shot from 16 ft,2,26-10,,
4:11.0,,,26-10,,T. McConnell misses 2-pt shot at rim
4:09.0,Defensive rebound by M. Turner,,26-10,,
3:58.0,T. Young misses 2-pt shot from 6 ft,,26-10,,
3:57.0,,,26-10,,Defensive rebound by T. Splitter
3:49.0,,,26-10,,N. Stauskas misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by M. Turner,,26-10,,
3:31.0,P. George makes 2-pt shot from 1 ft,2,28-10,,
3:19.0,,,28-12,2,T. McConnell makes 2-pt shot from 2 ft
3:16.0,,,28-12,,S. Long enters the game for T. Splitter
3:16.0,,,28-12,,T. Luwawu-Cabarrot enters the game for T. McConnell
3:16.0,Indiana full timeout,,28-12,,
3:16.0,K. Seraphin enters the game for T. Young,,28-12,,
3:16.0,C. Miles enters the game for M. Turner,,28-12,,
3:04.0,P. George misses 3-pt shot from 25 ft,,28-12,,
3:03.0,,,28-12,,Defensive rebound by S. Long
2:46.0,,,28-12,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by M. Ellis)
2:41.0,P. George makes 3-pt shot from 26 ft (assist by M. Ellis),3,31-12,,
2:25.0,,,31-12,,S. Long misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by J. Teague,,31-12,,
2:17.0,P. George misses 3-pt shot from 25 ft,,31-12,,
2:15.0,,,31-12,,Defensive rebound by T. Luwawu-Cabarrot
2:13.0,Personal foul by J. Teague (drawn by T. Luwawu-Cabarrot),,31-12,,
2:13.0,L. Stephenson enters the game for M. Ellis,,31-12,,
2:13.0,,,31-12,,J. Anderson enters the game for G. Henderson
2:13.0,A. Brooks enters the game for J. Teague,,31-12,,
2:06.0,,,31-12,,T. Luwawu-Cabarrot misses 2-pt shot from 15 ft
2:04.0,Defensive rebound by C. Miles,,31-12,,
1:55.0,L. Stephenson makes 2-pt shot from 15 ft (assist by A. Brooks),2,33-12,,
1:41.0,,,33-15,3,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by N. Stauskas)
1:08.0,K. Seraphin makes 2-pt shot from 17 ft (assist by L. Stephenson),2,35-15,,
0:57.0,,,35-15,,N. Stauskas misses 2-pt shot from 1 ft
0:57.0,,,35-15,,Offensive rebound by S. Long
0:57.0,,,35-17,2,S. Long makes 2-pt shot from 1 ft
0:44.0,L. Stephenson misses 2-pt shot from 10 ft,,35-17,,
0:43.0,,,35-17,,Defensive rebound by S. Long
0:31.0,,,35-17,,Turnover by J. Anderson (traveling)
0:31.0,L. Allen enters the game for P. George,,35-17,,
0:19.0,K. Seraphin misses 2-pt shot from 4 ft,,35-17,,
0:18.0,,,35-17,,Defensive rebound by S. Long
0:04.0,,,35-20,3,N. Stauskas makes 3-pt shot from 26 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Personal foul by K. Seraphin (drawn by S. Long),,35-20,,
11:28.0,,,35-20,,N. Stauskas misses 2-pt shot from 13 ft
11:27.0,Defensive rebound by K. Seraphin,,35-20,,
11:15.0,C. Miles misses 3-pt shot from 25 ft,,35-20,,
11:13.0,Offensive rebound by L. Allen,,35-20,,
11:01.0,L. Allen misses 2-pt shot from 2 ft,,35-20,,
11:00.0,Offensive rebound by L. Allen,,35-20,,
10:59.0,L. Allen makes 2-pt shot from 1 ft,2,37-20,,
10:45.0,,,37-20,,S. Long misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by L. Stephenson,,37-20,,
10:35.0,K. Seraphin makes 2-pt shot from 8 ft (assist by L. Stephenson),2,39-20,,
10:23.0,,,39-22,2,N. Stauskas makes 2-pt shot from 11 ft
10:07.0,C. Miles misses 2-pt shot from 2 ft,,39-22,,
10:05.0,Offensive rebound by L. Allen,,39-22,,
9:59.0,A. Brooks misses 2-pt shot from 2 ft,,39-22,,
9:57.0,Offensive rebound by K. Seraphin,,39-22,,
9:56.0,K. Seraphin makes 2-pt shot at rim,2,41-22,,
9:38.0,,,41-25,3,A. Poythress makes 3-pt shot from 24 ft (assist by S. Long)
9:24.0,,,41-25,,Personal foul by T. Luwawu-Cabarrot
9:24.0,,,41-25,,T. McConnell enters the game for N. Stauskas
9:24.0,,,41-25,,D. Saric enters the game for A. Poythress
9:24.0,,,41-25,,R. Holmes enters the game for S. Long
9:15.0,A. Brooks makes 3-pt shot from 27 ft (assist by L. Allen),3,44-25,,
