time,Houston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. T. Thompson (R. Anderson gains possession),,,,Jump ball: C. Capela vs. T. Thompson (R. Anderson gains possession)
11:56.0,Turnover by T. Ariza (back court),,0-0,,
11:44.0,,,0-2,2,K. Love makes 2-pt shot from 16 ft (assist by L. James)
11:23.0,E. Gordon misses 3-pt shot from 26 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by Team
11:12.0,,,0-2,,J. Smith misses 3-pt shot from 22 ft
11:11.0,Defensive rebound by Team,,0-2,,
11:00.0,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon),2,2-2,,
11:00.0,Shooting foul by K. Irving (drawn by C. Capela),,2-2,,
11:00.0,C. Capela misses free throw 1 of 1,,2-2,,
10:57.0,,,2-2,,Defensive rebound by T. Thompson
10:47.0,Personal foul by C. Capela (drawn by T. Thompson),,2-2,,
10:39.0,,,2-5,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving)
10:27.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-5,,
10:05.0,,,4-7,2,K. Irving makes 2-pt shot at rim (assist by T. Thompson)
9:51.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,6-7,,
9:40.0,,,6-9,2,K. Love makes 2-pt shot from 10 ft (assist by K. Irving)
9:27.0,E. Gordon makes 2-pt shot from 7 ft (assist by J. Harden),2,8-9,,
9:14.0,,,8-9,,K. Love misses 2-pt shot from 6 ft
9:12.0,,,8-9,,Offensive rebound by T. Thompson
9:08.0,,,8-9,,J. Smith misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by Team,,8-9,,
8:54.0,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela),3,11-9,,
8:38.0,,,11-9,,L. James misses 2-pt shot from 21 ft
8:38.0,Defensive rebound by J. Harden,,11-9,,
8:32.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,13-9,,
8:19.0,,,13-11,2,K. Love makes 2-pt shot from 17 ft
8:10.0,R. Anderson misses 3-pt shot from 30 ft,,13-11,,
8:09.0,,,13-11,,Defensive rebound by L. James
8:09.0,Loose ball foul by C. Capela (drawn by L. James),,13-11,,
8:09.0,N. Hilario enters the game for C. Capela,,13-11,,
7:47.0,,,13-11,,K. Love misses 2-pt shot from 8 ft
7:45.0,Defensive rebound by J. Harden,,13-11,,
7:42.0,Shooting foul by T. Thompson (drawn by N. Hilario),,13-11,,
7:42.0,N. Hilario makes free throw 1 of 2,1,14-11,,
7:42.0,N. Hilario makes free throw 2 of 2,1,15-11,,
7:36.0,Violation by T. Ariza (kicked ball),,15-11,,
7:27.0,,,15-13,2,T. Thompson makes 2-pt shot from 1 ft
7:18.0,J. Harden misses 3-pt shot from 26 ft,,15-13,,
7:18.0,,,15-13,,Defensive rebound by L. James
7:01.0,,,15-13,,K. Love misses 2-pt shot from 8 ft
7:00.0,Defensive rebound by J. Harden,,15-13,,
6:52.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,17-13,,
6:33.0,,,17-13,,K. Irving misses 2-pt shot from 20 ft
6:33.0,Defensive rebound by N. Hilario,,17-13,,
6:31.0,,,17-13,,Personal foul by J. Smith (drawn by J. Harden)
6:05.0,R. Anderson makes 3-pt shot from 24 ft (assist by N. Hilario),3,20-13,,
5:44.0,,,20-13,,Offensive charge foul by L. James
5:44.0,,,20-13,,Turnover by L. James (offensive foul)
5:44.0,,,20-13,,Cleveland full timeout
5:44.0,K. McDaniels enters the game for E. Gordon,,20-13,,
5:22.0,N. Hilario makes 2-pt shot from 2 ft,2,22-13,,
5:07.0,,,22-16,3,J. Smith makes 3-pt shot from 25 ft (assist by T. Thompson)
4:53.0,T. Ariza misses 3-pt shot from 24 ft,,22-16,,
4:52.0,Offensive rebound by R. Anderson,,22-16,,
4:52.0,R. Anderson misses 2-pt shot from 1 ft,,22-16,,
4:50.0,Offensive rebound by R. Anderson,,22-16,,
4:50.0,R. Anderson misses 2-pt shot from 1 ft,,22-16,,
4:47.0,,,22-16,,Defensive rebound by L. James
4:30.0,,,22-16,,K. Irving misses 2-pt shot from 21 ft
4:30.0,Defensive rebound by K. McDaniels,,22-16,,
4:22.0,T. Ariza misses 3-pt shot from 24 ft,,22-16,,
4:21.0,,,22-16,,Defensive rebound by L. James
4:15.0,,,22-18,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
4:02.0,J. Harden makes 2-pt shot from 1 ft,2,24-18,,
3:50.0,,,24-18,,Shooting foul by R. Anderson (drawn by K. Irving)
3:50.0,,,24-19,1,K. Irving makes free throw 1 of 2
3:50.0,,,24-20,1,K. Irving makes free throw 2 of 2
3:50.0,,,24-19,,R. Jefferson enters the game for K. Love
3:50.0,,,24-19,,I. Shumpert enters the game for L. James
3:50.0,S. Dekker enters the game for T. Ariza,,24-19,,
3:50.0,C. Brewer enters the game for R. Anderson,,24-19,,
3:40.0,S. Dekker misses 3-pt shot from 24 ft,,24-20,,
3:37.0,,,24-20,,Defensive rebound by J. Smith
3:25.0,,,24-22,2,K. Irving makes 2-pt shot from 1 ft
3:13.0,J. Harden makes 2-pt shot from 1 ft (assist by N. Hilario),2,26-22,,
2:54.0,,,26-25,3,I. Shumpert makes 3-pt shot from 26 ft (assist by K. Irving)
2:34.0,S. Dekker misses 2-pt shot from 6 ft,,26-25,,
2:34.0,Offensive rebound by N. Hilario,,26-25,,
2:34.0,Shooting foul by R. Jefferson (drawn by N. Hilario),,26-25,,
2:34.0,Houston full timeout,,26-25,,
2:34.0,N. Hilario misses free throw 1 of 2,,26-25,,
2:34.0,Offensive rebound by Team,,26-25,,
2:34.0,N. Hilario makes free throw 2 of 2,1,27-25,,
2:34.0,,,26-25,,K. Love enters the game for K. Irving
2:15.0,,,27-27,2,K. Love makes 2-pt shot from 16 ft
