time,Charlotte,pts.away,score,pts.home,Utah
5:15.0,,,18-12,,Turnover by T. Lyles (bad pass)
5:00.0,M. Williams misses 2-pt shot from 12 ft,,18-12,,
5:00.0,,,18-12,,Defensive rebound by T. Lyles
4:38.0,,,18-12,,A. Burks misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by M. Kidd-Gilchrist,,18-12,,
4:21.0,K. Walker misses 2-pt shot from 14 ft,,18-12,,
4:20.0,,,18-12,,Defensive rebound by G. Hayward
4:10.0,,,18-12,,Shooting foul by F. Kaminsky (drawn by A. Burks)
4:10.0,,,18-13,1,A. Burks makes free throw 1 of 2
4:10.0,,,18-13,,A. Burks misses free throw 2 of 2
4:10.0,M. Plumlee enters the game for F. Kaminsky,,18-13,,
4:10.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,18-13,,
4:10.0,,,18-13,,R. Gobert enters the game for D. Favors
4:10.0,,,18-13,,D. Exum enters the game for G. Hill
4:09.0,Defensive rebound by M. Belinelli,,18-13,,
4:00.0,Shooting foul by T. Lyles (drawn by J. Lamb),,18-13,,
4:00.0,J. Lamb makes free throw 1 of 2,1,19-13,,
4:00.0,J. Lamb makes free throw 2 of 2,1,20-13,,
3:51.0,,,20-13,,G. Hayward misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by M. Williams,,20-13,,
3:42.0,J. Lamb makes 2-pt shot from 6 ft (assist by K. Walker),2,22-13,,
3:30.0,Personal foul by K. Walker (drawn by D. Exum),,22-13,,
3:30.0,B. Roberts enters the game for K. Walker,,22-13,,
3:23.0,,,22-13,,A. Burks misses 2-pt shot from 5 ft
3:23.0,Defensive rebound by M. Plumlee,,22-13,,
3:10.0,B. Roberts makes 2-pt shot from 12 ft,2,24-13,,
2:46.0,,,24-15,2,G. Hayward makes 2-pt shot from 7 ft
2:37.0,Offensive foul by M. Williams,,24-15,,
2:37.0,Turnover by M. Williams (offensive foul),,24-15,,
2:37.0,,,24-15,,J. Johnson enters the game for G. Hayward
2:37.0,M. Kidd-Gilchrist enters the game for M. Williams,,24-15,,
2:19.0,,,24-15,,Shooting foul by M. Kidd-Gilchrist (drawn by T. Lyles)
2:19.0,,,24-16,1,T. Lyles makes free throw 1 of 2
2:19.0,,,24-16,,T. Lyles misses free throw 2 of 2
2:18.0,Defensive rebound by M. Plumlee,,24-16,,
2:09.0,B. Roberts misses 2-pt shot from 21 ft,,24-16,,
2:09.0,,,24-16,,Defensive rebound by R. Gobert
2:00.0,,,24-16,,A. Burks misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by M. Plumlee,,24-16,,
1:49.0,M. Plumlee makes 2-pt shot from 7 ft,2,26-16,,
1:35.0,,,26-16,,D. Exum misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by M. Plumlee,,26-16,,
1:19.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Lamb),2,28-16,,
1:04.0,,,28-16,,Shooting foul by M. Plumlee (drawn by R. Gobert)
1:04.0,,,28-17,1,R. Gobert makes free throw 1 of 2
1:04.0,,,28-18,1,R. Gobert makes free throw 2 of 2
1:04.0,,,28-17,,J. Ingles enters the game for T. Lyles
0:56.0,,,28-18,,Personal foul by D. Exum (drawn by B. Roberts)
0:42.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,28-18,,
0:41.0,,,28-18,,Defensive rebound by R. Gobert
0:33.0,,,28-20,2,D. Exum makes 2-pt shot from 2 ft
0:09.0,B. Roberts misses 2-pt shot from 2 ft,,28-20,,
0:08.0,,,28-20,,Defensive rebound by J. Johnson
