time,Charlotte,pts.away,score,pts.home,Utah
2:28.0,,,96-96,,Defensive rebound by G. Hill
2:22.0,,,96-98,2,J. Johnson makes 2-pt shot from 3 ft
2:22.0,Charlotte full timeout,,96-98,,
2:22.0,Charlotte full timeout,,96-98,,
1:59.0,F. Kaminsky misses 3-pt shot from 27 ft,,96-98,,
1:58.0,Offensive rebound by Team,,96-98,,
1:58.0,Turnover by Team (shot clock),,96-98,,
1:42.0,,,96-100,2,G. Hayward makes 2-pt shot from 18 ft (assist by G. Hill)
1:20.0,F. Kaminsky misses 2-pt shot from 2 ft,,96-100,,
1:20.0,,,96-100,,Defensive rebound by R. Gobert
0:59.0,,,96-103,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Hayward)
0:59.0,Charlotte full timeout,,96-103,,
0:59.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,96-103,,
0:50.0,M. Belinelli misses 2-pt shot from 12 ft,,96-103,,
0:50.0,,,96-103,,Defensive rebound by R. Gobert
0:42.0,Personal foul by F. Kaminsky (drawn by G. Hayward),,96-103,,
0:42.0,,,96-103,,G. Hayward misses free throw 1 of 2
0:42.0,,,96-103,,Offensive rebound by Team
0:42.0,,,96-104,1,G. Hayward makes free throw 2 of 2
0:33.0,K. Walker makes 2-pt shot from 2 ft,2,98-104,,
0:26.0,Personal foul by F. Kaminsky (drawn by J. Ingles),,98-104,,
0:26.0,,,98-105,1,J. Ingles makes free throw 1 of 2
0:26.0,,,98-105,,J. Ingles misses free throw 2 of 2
0:26.0,J. Lamb enters the game for F. Kaminsky,,98-104,,
0:25.0,Defensive rebound by N. Batum,,98-105,,
0:15.0,M. Williams misses 3-pt shot from 25 ft,,98-105,,
0:15.0,,,98-105,,Defensive rebound by G. Hayward
0:07.0,,,98-105,,Turnover by J. Johnson (bad pass; steal by M. Williams)
0:01.0,J. Lamb misses 3-pt shot from 25 ft,,98-105,,
0:01.0,,,98-105,,Defensive rebound by J. Johnson
0:00.0,End of 4th quarter,,,,End of 4th quarter
