time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (B. Griffin gains possession)
11:48.0,,,0-0,,Def 3 sec tech foul by T. Chandler
11:48.0,J. Redick makes technical free throw,1,1-0,,
11:43.0,R. Felton misses 2-pt shot from 9 ft,,1-0,,
11:40.0,Offensive rebound by D. Jordan,,1-0,,
11:40.0,D. Jordan makes 2-pt shot at rim,2,3-0,,
11:22.0,,,3-0,,M. Chriss misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by A. Rivers,,3-0,,
11:10.0,Shooting foul by T. Warren (drawn by D. Jordan),,3-0,,
11:10.0,D. Jordan misses free throw 1 of 2,,3-0,,
11:10.0,Offensive rebound by Team,,3-0,,
11:10.0,D. Jordan misses free throw 2 of 2,,3-0,,
11:09.0,Offensive rebound by B. Griffin,,3-0,,
11:01.0,J. Redick makes 2-pt shot from 21 ft,2,5-0,,
10:44.0,,,5-0,,M. Chriss misses 3-pt shot from 26 ft
10:44.0,Defensive rebound by D. Jordan,,5-0,,
10:36.0,J. Redick misses 2-pt shot from 22 ft,,5-0,,
10:36.0,,,5-0,,Defensive rebound by T. Chandler
10:29.0,,,5-0,,D. Booker misses 2-pt shot from 22 ft
10:27.0,,,5-0,,Offensive rebound by M. Chriss
10:27.0,,,5-0,,M. Chriss misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by D. Jordan,,5-0,,
10:23.0,Shooting foul by T. Chandler (drawn by B. Griffin),,5-0,,
10:23.0,B. Griffin makes free throw 1 of 2,1,6-0,,
10:23.0,B. Griffin makes free throw 2 of 2,1,7-0,,
10:04.0,,,7-0,,D. Booker misses 2-pt shot from 5 ft
10:02.0,,,7-0,,Offensive rebound by M. Chriss
10:02.0,,,7-0,,M. Chriss misses 2-pt shot from 2 ft
10:01.0,,,7-0,,Offensive rebound by D. Booker
9:58.0,,,7-2,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
9:37.0,B. Griffin makes 2-pt shot from 3 ft,2,9-2,,
9:23.0,,,9-2,,E. Bledsoe misses 2-pt shot from 21 ft
