time,Houston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Harrell vs. M. Turner (R. Anderson gains possession),,,,Jump ball: M. Harrell vs. M. Turner (R. Anderson gains possession)
11:43.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,2-0,,
11:24.0,,,2-0,,Turnover by J. Teague (bad pass; steal by T. Ariza)
11:10.0,M. Harrell misses 2-pt shot from 2 ft (block by P. George),,2-0,,
11:09.0,,,2-0,,Defensive rebound by C. Miles
11:02.0,,,2-0,,T. Young misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by T. Ariza,,2-0,,
10:50.0,P. Beverley misses 2-pt shot from 5 ft,,2-0,,
10:49.0,Offensive rebound by M. Harrell,,2-0,,
10:49.0,M. Harrell misses 2-pt shot from 2 ft,,2-0,,
10:45.0,Offensive rebound by M. Harrell,,2-0,,
10:45.0,Jump ball: M. Harrell vs. M. Turner (J. Harden gains possession),,,,Jump ball: M. Harrell vs. M. Turner (J. Harden gains possession)
10:35.0,R. Anderson misses 2-pt shot from 14 ft,,2-0,,
10:35.0,,,2-0,,Defensive rebound by P. George
10:28.0,,,2-0,,C. Miles misses 3-pt shot from 27 ft
10:27.0,Defensive rebound by R. Anderson,,2-0,,
10:09.0,J. Harden misses 3-pt shot from 26 ft,,2-0,,
10:09.0,,,2-0,,Defensive rebound by M. Turner
9:58.0,,,2-2,2,T. Young makes 2-pt shot from 3 ft (assist by J. Teague)
9:52.0,Turnover by J. Harden (bad pass; steal by T. Young),,2-2,,
9:46.0,,,2-2,,P. George misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by T. Ariza,,2-2,,
9:24.0,J. Harden misses 2-pt shot from 17 ft,,2-2,,
9:23.0,,,2-2,,Defensive rebound by M. Turner
9:11.0,,,2-4,2,J. Teague makes 2-pt shot from 3 ft (assist by P. George)
8:53.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,5-4,,
8:35.0,,,5-6,2,M. Turner makes 2-pt shot from 4 ft
8:35.0,,,5-6,,Shooting foul by T. Ariza (drawn by M. Turner)
8:35.0,,,5-7,1,M. Turner makes free throw 1 of 1
8:19.0,R. Anderson makes 2-pt shot from 1 ft,2,7-7,,
8:00.0,,,7-7,,M. Turner misses 2-pt shot from 4 ft
7:59.0,,,7-7,,Offensive rebound by T. Young
7:54.0,,,7-10,3,P. George makes 3-pt shot from 24 ft (assist by T. Young)
7:40.0,T. Ariza misses 2-pt shot from 2 ft,,7-10,,
7:39.0,Offensive rebound by M. Harrell,,7-10,,
7:35.0,Shooting foul by C. Miles (drawn by R. Anderson),,7-10,,
7:35.0,R. Anderson makes free throw 1 of 2,1,8-10,,
7:35.0,R. Anderson makes free throw 2 of 2,1,9-10,,
7:20.0,,,9-10,,Turnover by M. Turner (lost ball)
7:04.0,Turnover by P. Beverley (lost ball),,9-10,,
6:46.0,,,9-12,2,P. George makes 2-pt shot from 17 ft
6:35.0,T. Ariza misses 3-pt shot from 25 ft,,9-12,,
6:34.0,,,9-12,,Defensive rebound by M. Turner
6:29.0,Shooting block foul by M. Harrell (drawn by T. Young),,9-12,,
6:29.0,,,9-12,,T. Young misses free throw 1 of 2
6:29.0,,,9-12,,Offensive rebound by Team
6:29.0,,,9-13,1,T. Young makes free throw 2 of 2
6:17.0,J. Harden misses 3-pt shot from 26 ft,,9-13,,
6:17.0,,,9-13,,Defensive rebound by T. Young
6:01.0,,,9-15,2,T. Young makes 2-pt shot from 17 ft
5:44.0,M. Harrell misses 2-pt shot at rim,,9-15,,
5:43.0,,,9-15,,Defensive rebound by M. Turner
5:34.0,Personal foul by P. Beverley (drawn by M. Turner),,9-15,,
5:34.0,,,9-15,,Indiana full timeout
5:34.0,C. Capela enters the game for M. Harrell,,9-15,,
5:34.0,E. Gordon enters the game for P. Beverley,,9-15,,
5:27.0,,,9-17,2,P. George makes 2-pt shot from 1 ft
5:09.0,Shooting foul by C. Miles (drawn by C. Capela),,9-17,,
5:09.0,C. Capela makes free throw 1 of 2,1,10-17,,
5:09.0,C. Capela makes free throw 2 of 2,1,11-17,,
5:09.0,,,10-17,,G. Robinson enters the game for C. Miles
4:51.0,,,11-17,,Turnover by J. Teague (bad pass; steal by J. Harden)
4:44.0,C. Capela misses 2-pt shot at rim,,11-17,,
4:44.0,,,11-17,,Defensive rebound by P. George
4:37.0,,,11-17,,J. Teague misses 2-pt shot from 12 ft
4:36.0,Defensive rebound by C. Capela,,11-17,,
4:26.0,T. Ariza misses 3-pt shot from 23 ft,,11-17,,
4:26.0,,,11-17,,Defensive rebound by P. George
4:18.0,,,11-19,2,P. George makes 2-pt shot from 19 ft
3:53.0,J. Harden misses 3-pt shot from 27 ft,,11-19,,
3:52.0,,,11-19,,Defensive rebound by P. George
3:48.0,,,11-19,,Turnover by P. George (bad pass; steal by J. Harden)
3:42.0,Shooting foul by J. Teague (drawn by E. Gordon),,11-19,,
3:42.0,E. Gordon makes free throw 1 of 2,1,12-19,,
3:42.0,E. Gordon makes free throw 2 of 2,1,13-19,,
3:42.0,S. Dekker enters the game for R. Anderson,,12-19,,
3:42.0,,,12-19,,L. Allen enters the game for T. Young
3:31.0,,,13-21,2,M. Turner makes 2-pt shot from 4 ft (assist by P. George)
3:31.0,,,13-21,,Shooting foul by S. Dekker (drawn by M. Turner)
3:31.0,,,13-22,1,M. Turner makes free throw 1 of 1
3:18.0,E. Gordon misses 3-pt shot from 25 ft,,13-22,,
3:16.0,,,13-22,,Defensive rebound by P. George
3:05.0,,,13-22,,P. George misses 2-pt shot from 15 ft
3:04.0,Defensive rebound by J. Harden,,13-22,,
2:44.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,15-22,,
2:24.0,,,15-22,,Shooting foul by E. Gordon (drawn by M. Turner)
2:24.0,Houston full timeout,,15-22,,
2:24.0,,,15-23,1,M. Turner makes free throw 1 of 2
2:24.0,,,15-23,,M. Turner misses free throw 2 of 2
2:22.0,Defensive rebound by T. Ariza,,15-23,,
2:22.0,Turnover by T. Ariza (step out of bounds),,15-23,,
2:15.0,,,15-25,2,G. Robinson makes 2-pt shot at rim (assist by J. Teague)
1:55.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,17-25,,
1:39.0,,,17-27,2,L. Allen makes 2-pt shot from 20 ft (assist by J. Teague)
1:27.0,Turnover by E. Gordon (lost ball; steal by J. Teague),,17-27,,
1:16.0,,,17-29,2,L. Allen makes 2-pt shot from 2 ft (assist by J. Teague)
1:01.0,J. Harden misses 2-pt shot from 2 ft,,17-29,,
1:00.0,,,17-29,,Defensive rebound by L. Allen
0:57.0,,,17-31,2,P. George makes 2-pt shot at rim (assist by J. Teague)
0:57.0,Houston full timeout,,17-31,,
0:57.0,C. Brewer enters the game for T. Ariza,,17-31,,
0:45.0,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela),2,19-31,,
0:45.0,Shooting foul by L. Allen (drawn by J. Harden),,19-31,,
0:45.0,J. Harden makes free throw 1 of 1,1,20-31,,
0:31.0,,,20-31,,P. George misses 2-pt shot from 20 ft
0:30.0,Defensive rebound by C. Capela,,20-31,,
0:24.0,E. Gordon misses 3-pt shot from 24 ft,,20-31,,
0:23.0,,,20-31,,Defensive rebound by L. Allen
0:00.0,Violation by C. Capela (def goaltending),,20-31,,
0:00.0,,,20-33,2,L. Allen makes 2-pt shot from 3 ft (assist by P. George)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,20-33,,A. Brooks misses 3-pt shot from 27 ft
11:37.0,Defensive rebound by C. Brewer,,20-33,,
11:23.0,Shooting foul by A. Jefferson (drawn by P. Beverley),,20-33,,
11:23.0,P. Beverley makes free throw 1 of 2,1,21-33,,
11:23.0,P. Beverley makes free throw 2 of 2,1,22-33,,
11:13.0,,,22-36,3,G. Robinson makes 3-pt shot from 25 ft (assist by M. Ellis)
10:51.0,P. Beverley misses 3-pt shot from 26 ft,,22-36,,
10:51.0,,,22-36,,Defensive rebound by Team
10:34.0,,,22-38,2,A. Jefferson makes 2-pt shot at rim (assist by M. Ellis)
10:25.0,,,22-38,,Personal foul by A. Jefferson (drawn by E. Gordon)
10:16.0,C. Capela makes 2-pt shot from 12 ft,2,24-38,,
10:02.0,,,24-40,2,A. Jefferson makes 2-pt shot from 10 ft
9:44.0,C. Capela misses 2-pt shot from 13 ft,,24-40,,
9:44.0,,,24-40,,Defensive rebound by G. Robinson
9:27.0,,,24-42,2,L. Allen makes 2-pt shot from 18 ft (assist by A. Jefferson)
9:12.0,E. Gordon makes 2-pt shot from 19 ft,2,26-42,,
9:01.0,,,26-42,,Turnover by M. Ellis (lost ball)
9:01.0,M. Harrell enters the game for C. Capela,,26-42,,
8:53.0,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley),3,29-42,,
8:28.0,,,29-42,,A. Jefferson misses 2-pt shot at rim
8:27.0,,,29-42,,Offensive rebound by G. Robinson
8:26.0,,,29-42,,G. Robinson misses 2-pt shot from 1 ft (block by E. Gordon)
8:25.0,Defensive rebound by P. Beverley,,29-42,,
8:18.0,P. Beverley makes 3-pt shot from 23 ft (assist by E. Gordon),3,32-42,,
8:17.0,,,32-42,,Indiana full timeout
8:17.0,,,32-42,,T. Young enters the game for L. Allen
8:05.0,,,32-42,,M. Ellis misses 2-pt shot from 16 ft
8:05.0,Defensive rebound by P. Beverley,,32-42,,
7:46.0,Shooting foul by A. Jefferson (drawn by E. Gordon),,32-42,,
7:46.0,E. Gordon misses free throw 1 of 2,,32-42,,
7:46.0,Offensive rebound by Team,,32-42,,
7:46.0,E. Gordon misses free throw 2 of 2,,32-42,,
7:46.0,,,32-42,,Defensive rebound by A. Brooks
7:46.0,,,32-42,,M. Turner enters the game for A. Jefferson
7:46.0,,,32-42,,P. George enters the game for G. Robinson
7:31.0,,,32-44,2,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis)
7:24.0,,,32-44,,Personal foul by A. Brooks (drawn by E. Gordon)
7:12.0,S. Dekker misses 3-pt shot from 28 ft,,32-44,,
7:10.0,,,32-44,,Defensive rebound by M. Ellis
6:58.0,,,32-44,,T. Young misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by S. Dekker,,32-44,,
6:51.0,P. Beverley misses 2-pt shot from 7 ft,,32-44,,
6:51.0,Offensive rebound by Team,,32-44,,
6:51.0,,,32-44,,J. Teague enters the game for A. Brooks
6:42.0,P. Beverley misses 2-pt shot from 10 ft,,32-44,,
6:41.0,Offensive rebound by M. Harrell,,32-44,,
6:37.0,C. Brewer misses 3-pt shot from 28 ft,,32-44,,
6:36.0,Offensive rebound by P. Beverley,,32-44,,
6:27.0,E. Gordon misses 3-pt shot from 28 ft,,32-44,,
6:26.0,Offensive rebound by M. Harrell,,32-44,,
6:22.0,M. Harrell makes 2-pt shot from 6 ft,2,34-44,,
6:13.0,,,34-46,2,J. Teague makes 2-pt shot from 1 ft
6:13.0,,,34-46,,Shooting foul by P. Beverley (drawn by J. Teague)
6:13.0,,,34-47,1,J. Teague makes free throw 1 of 1
6:13.0,,,34-46,,C. Miles enters the game for M. Ellis
5:48.0,S. Dekker misses 3-pt shot from 23 ft,,34-47,,
5:48.0,,,34-47,,Defensive rebound by J. Teague
5:32.0,Personal foul by E. Gordon (drawn by J. Teague),,34-47,,
5:32.0,Official timeout,,34-47,,
5:32.0,T. Ariza enters the game for E. Gordon,,34-47,,
5:32.0,R. Anderson enters the game for S. Dekker,,34-47,,
5:32.0,J. Harden enters the game for C. Brewer,,34-47,,
5:20.0,,,34-47,,Turnover by J. Teague (bad pass; steal by P. Beverley)
