time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: N. Jokic vs. D. Jordan (A. Rivers gains possession)
11:37.0,,,0-0,,Shooting foul by N. Jokic (drawn by D. Jordan)
11:37.0,,,0-0,,D. Jordan misses free throw 1 of 2
11:37.0,,,0-0,,Offensive rebound by Team
11:37.0,,,0-1,1,D. Jordan makes free throw 2 of 2
11:16.0,E. Mudiay makes 2-pt shot from 14 ft,2,2-1,,
11:01.0,,,2-1,,W. Johnson misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by E. Mudiay,,2-1,,
10:53.0,G. Harris misses 2-pt shot from 5 ft,,2-1,,
10:50.0,,,2-1,,Defensive rebound by W. Johnson
10:34.0,,,2-1,,A. Rivers misses 3-pt shot from 27 ft
10:33.0,Defensive rebound by D. Gallinari,,2-1,,
10:28.0,Turnover by D. Gallinari (bad pass; steal by J. Crawford),,2-1,,
10:23.0,,,2-3,2,J. Crawford makes 2-pt shot from 13 ft
10:11.0,Shooting foul by L. Mbah a Moute (drawn by D. Gallinari),,2-3,,
10:11.0,D. Gallinari makes free throw 1 of 2,1,3-3,,
10:11.0,D. Gallinari makes free throw 2 of 2,1,4-3,,
9:59.0,,,4-3,,Turnover by J. Crawford (bad pass; steal by E. Mudiay)
9:53.0,E. Mudiay misses 2-pt shot from 24 ft,,4-3,,
9:49.0,,,4-3,,Defensive rebound by W. Johnson
9:44.0,,,4-3,,L. Mbah a Moute misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by N. Jokic,,4-3,,
9:25.0,Turnover by W. Chandler (bad pass; steal by A. Rivers),,4-3,,
9:19.0,,,4-3,,A. Rivers misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by E. Mudiay,,4-3,,
9:12.0,D. Gallinari makes 2-pt shot at rim (assist by W. Chandler),2,6-3,,
8:56.0,,,6-3,,J. Crawford misses 3-pt shot from 27 ft
8:55.0,Defensive rebound by W. Chandler,,6-3,,
8:46.0,G. Harris misses 2-pt shot from 15 ft,,6-3,,
8:45.0,,,6-3,,Defensive rebound by D. Jordan
8:42.0,,,6-5,2,D. Jordan makes 2-pt shot from 2 ft (assist by W. Johnson)
8:42.0,,,6-5,,Shooting foul by W. Chandler (drawn by D. Jordan)
