time,Minnesota,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. K. Towns (W. Cauley-Stein gains possession),,,,Jump ball: K. Koufos vs. K. Towns (W. Cauley-Stein gains possession)
11:36.0,,,0-0,,D. Collison misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by G. Dieng,,0-0,,
11:14.0,B. Rush misses 3-pt shot from 25 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by K. Koufos
11:04.0,,,0-0,,T. Lawson misses 2-pt shot from 16 ft
11:03.0,Defensive rebound by B. Rush,,0-0,,
10:44.0,Turnover by R. Rubio (bad pass; steal by W. Cauley-Stein),,0-0,,
10:40.0,,,0-0,,T. Lawson misses 2-pt shot from 3 ft (block by B. Rush)
10:36.0,Defensive rebound by R. Rubio,,0-0,,
10:34.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,2-0,,
10:15.0,,,2-2,2,K. Koufos makes 2-pt shot from 11 ft
10:01.0,A. Wiggins misses 2-pt shot from 17 ft,,2-2,,
10:01.0,,,2-2,,Defensive rebound by K. Koufos
9:57.0,Personal foul by R. Rubio (drawn by B. McLemore),,2-2,,
9:40.0,,,2-4,2,B. McLemore makes 2-pt shot from 18 ft (assist by D. Collison)
9:21.0,R. Rubio makes 2-pt shot from 4 ft (assist by G. Dieng),2,4-4,,
9:12.0,,,4-6,2,D. Collison makes 2-pt shot from 17 ft
8:50.0,A. Wiggins makes 2-pt shot from 19 ft,2,6-6,,
8:44.0,,,6-8,2,K. Koufos makes 2-pt shot from 1 ft (assist by T. Lawson)
8:39.0,Minnesota full timeout,,6-8,,
8:31.0,R. Rubio misses 2-pt shot from 11 ft,,6-8,,
8:30.0,,,6-8,,Defensive rebound by K. Koufos
8:09.0,,,6-8,,B. McLemore misses 2-pt shot from 3 ft
8:08.0,Defensive rebound by K. Towns,,6-8,,
7:54.0,G. Dieng misses 3-pt shot from 24 ft,,6-8,,
7:52.0,,,6-8,,Defensive rebound by Team
7:37.0,,,6-10,2,W. Cauley-Stein makes 2-pt shot from 7 ft
7:16.0,R. Rubio misses 2-pt shot from 21 ft,,6-10,,
7:16.0,,,6-10,,Defensive rebound by W. Cauley-Stein
7:12.0,Violation by K. Towns (def goaltending),,6-10,,
7:12.0,,,6-12,2,D. Collison makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
7:00.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,8-12,,
6:55.0,Personal foul by K. Towns (drawn by W. Cauley-Stein),,8-12,,
6:46.0,,,8-14,2,B. McLemore makes 2-pt shot from 19 ft (assist by W. Cauley-Stein)
6:32.0,Turnover by B. Rush (bad pass),,8-14,,
6:24.0,,,8-14,,Turnover by T. Lawson (bad pass; steal by R. Rubio)
6:13.0,G. Dieng misses 2-pt shot from 19 ft,,8-14,,
6:12.0,,,8-14,,Defensive rebound by B. McLemore
6:06.0,,,8-16,2,K. Koufos makes 2-pt shot from 5 ft (assist by B. McLemore)
5:48.0,Turnover by G. Dieng (lost ball; steal by T. Lawson),,8-16,,
5:35.0,,,8-16,,K. Koufos misses 2-pt shot from 15 ft
5:34.0,Defensive rebound by R. Rubio,,8-16,,
5:22.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,10-16,,
5:17.0,,,10-16,,Sacramento full timeout
5:04.0,,,10-16,,W. Cauley-Stein misses 2-pt shot from 16 ft (block by K. Towns)
5:03.0,,,10-16,,Offensive rebound by B. McLemore
5:03.0,,,10-16,,B. McLemore misses 2-pt shot from 2 ft
5:01.0,,,10-16,,Offensive rebound by K. Koufos
5:00.0,,,10-18,2,K. Koufos makes 2-pt shot from 2 ft
4:46.0,Shooting foul by W. Cauley-Stein (drawn by G. Dieng),,10-18,,
4:46.0,G. Dieng makes free throw 1 of 2,1,11-18,,
4:46.0,G. Dieng makes free throw 2 of 2,1,12-18,,
4:46.0,N. Bjelica enters the game for K. Towns,,11-18,,
4:46.0,,,11-18,,T. Evans enters the game for T. Lawson
4:46.0,,,11-18,,A. Tolliver enters the game for K. Koufos
4:26.0,,,12-18,,W. Cauley-Stein misses 2-pt shot from 12 ft
4:25.0,Defensive rebound by G. Dieng,,12-18,,
4:16.0,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio),3,15-18,,
3:47.0,,,15-21,3,B. McLemore makes 3-pt shot from 23 ft (assist by T. Evans)
3:39.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,17-21,,
3:16.0,,,17-23,2,W. Cauley-Stein makes 2-pt shot from 2 ft
3:16.0,,,17-23,,Shooting foul by G. Dieng (drawn by W. Cauley-Stein)
3:16.0,,,17-23,,W. Cauley-Stein misses free throw 1 of 1
3:16.0,,,17-23,,B. Hield enters the game for B. McLemore
3:15.0,Defensive rebound by G. Dieng,,17-23,,
3:01.0,G. Dieng misses 2-pt shot at rim (block by W. Cauley-Stein),,17-23,,
3:00.0,,,17-23,,Defensive rebound by B. Hield
2:45.0,,,17-23,,D. Collison misses 2-pt shot from 14 ft
2:45.0,Defensive rebound by G. Dieng,,17-23,,
2:35.0,,,17-23,,Personal foul by T. Evans (drawn by A. Wiggins)
2:35.0,Minnesota full timeout,,17-23,,
2:23.0,N. Bjelica misses 2-pt shot from 8 ft,,17-23,,
2:22.0,,,17-23,,Defensive rebound by A. Tolliver
2:00.0,,,17-23,,Turnover by B. Hield (bad pass; steal by A. Wiggins)
1:55.0,B. Rush misses 2-pt shot from 2 ft (block by T. Evans),,17-23,,
1:53.0,,,17-23,,Defensive rebound by W. Cauley-Stein
1:49.0,,,17-23,,Turnover by B. Hield (lost ball; steal by A. Wiggins)
1:45.0,Shooting foul by W. Cauley-Stein (drawn by A. Wiggins),,17-23,,
1:45.0,A. Wiggins makes free throw 1 of 2,1,18-23,,
1:45.0,A. Wiggins makes free throw 2 of 2,1,19-23,,
1:45.0,,,18-23,,S. Labissiere enters the game for W. Cauley-Stein
1:45.0,S. Muhammad enters the game for B. Rush,,18-23,,
1:20.0,,,19-23,,D. Collison misses 3-pt shot from 27 ft
1:19.0,Defensive rebound by A. Wiggins,,19-23,,
1:08.0,G. Dieng misses 2-pt shot from 18 ft,,19-23,,
1:08.0,Offensive rebound by Team,,19-23,,
1:08.0,,,19-23,,Loose ball foul by S. Labissiere (drawn by A. Wiggins)
1:08.0,A. Wiggins misses free throw 1 of 2,,19-23,,
1:08.0,Offensive rebound by Team,,19-23,,
1:08.0,A. Wiggins makes free throw 2 of 2,1,20-23,,
1:08.0,K. Dunn enters the game for G. Dieng,,19-23,,
1:08.0,C. Aldrich enters the game for R. Rubio,,19-23,,
0:52.0,,,20-23,,Turnover by T. Evans (bad pass; steal by A. Wiggins)
0:44.0,A. Wiggins misses 2-pt shot from 9 ft,,20-23,,
0:43.0,,,20-23,,Defensive rebound by B. Hield
0:39.0,,,20-25,2,B. Hield makes 2-pt shot from 1 ft
0:29.0,Turnover by C. Aldrich (traveling),,20-25,,
0:08.0,,,20-25,,T. Evans misses 2-pt shot from 4 ft (block by C. Aldrich)
0:05.0,Defensive rebound by N. Bjelica,,20-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,S. Muhammad misses 3-pt shot from 25 ft,,20-25,,
11:37.0,,,20-25,,Defensive rebound by B. Hield
11:35.0,,,20-25,,Turnover by B. Hield (lost ball; steal by K. Dunn)
11:29.0,N. Bjelica misses 3-pt shot from 23 ft,,20-25,,
11:29.0,,,20-25,,Defensive rebound by S. Labissiere
11:19.0,,,20-27,2,S. Labissiere makes 2-pt shot at rim (assist by T. Lawson)
10:59.0,S. Muhammad misses 2-pt shot from 10 ft,,20-27,,
10:58.0,,,20-27,,Defensive rebound by S. Labissiere
10:48.0,,,20-27,,T. Lawson misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by N. Bjelica,,20-27,,
10:41.0,T. Jones makes 3-pt shot from 23 ft (assist by K. Dunn),3,23-27,,
10:22.0,,,23-27,,A. Tolliver misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by K. Towns,,23-27,,
10:14.0,T. Jones misses 3-pt shot from 25 ft,,23-27,,
10:12.0,,,23-27,,Defensive rebound by A. Tolliver
10:06.0,,,23-27,,T. Evans misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by N. Bjelica,,23-27,,
9:59.0,Turnover by S. Muhammad (bad pass; steal by A. Tolliver),,23-27,,
9:52.0,,,23-27,,B. Hield misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by K. Towns,,23-27,,
9:43.0,,,23-27,,Personal foul by S. Labissiere (drawn by K. Towns)
9:29.0,N. Bjelica makes 2-pt shot from 8 ft,2,25-27,,
9:21.0,,,25-27,,Sacramento full timeout
9:06.0,,,25-29,2,S. Labissiere makes 2-pt shot from 17 ft (assist by A. Tolliver)
8:50.0,Turnover by T. Jones (bad pass; steal by T. Lawson),,25-29,,
8:46.0,,,25-31,2,T. Lawson makes 2-pt shot from 5 ft
8:31.0,K. Towns makes 2-pt shot from 7 ft (assist by T. Jones),2,27-31,,
8:13.0,,,27-31,,T. Evans misses 2-pt shot from 3 ft
8:12.0,Defensive rebound by N. Bjelica,,27-31,,
8:01.0,K. Towns makes 2-pt shot from 16 ft (assist by T. Jones),2,29-31,,
7:38.0,,,29-31,,S. Labissiere misses 2-pt shot from 6 ft (block by K. Towns)
7:38.0,Defensive rebound by Team,,29-31,,
7:38.0,,,29-31,,K. Koufos enters the game for A. Tolliver
7:38.0,Jump ball: S. Labissiere vs. K. Towns (K. Dunn gains possession),,,,Jump ball: S. Labissiere vs. K. Towns (K. Dunn gains possession)
7:32.0,K. Dunn misses 2-pt shot from 4 ft (block by S. Labissiere),,29-31,,
7:32.0,Offensive rebound by Team,,29-31,,
7:25.0,S. Muhammad makes 2-pt shot from 12 ft,2,31-31,,
7:10.0,,,31-31,,Turnover by K. Koufos (lost ball)
6:55.0,T. Jones misses 3-pt shot from 26 ft,,31-31,,
6:55.0,Offensive rebound by Team,,31-31,,
6:55.0,,,31-31,,W. Cauley-Stein enters the game for S. Labissiere
6:53.0,K. Towns makes 2-pt shot from 6 ft (assist by S. Muhammad),2,33-31,,
6:53.0,Shooting foul by T. Evans (drawn by K. Towns),,33-31,,
6:53.0,K. Towns makes free throw 1 of 1,1,34-31,,
6:53.0,,,33-31,,B. McLemore enters the game for T. Evans
6:35.0,,,34-31,,B. McLemore misses 2-pt shot from 4 ft (block by K. Dunn)
6:34.0,Defensive rebound by T. Jones,,34-31,,
6:27.0,K. Dunn makes 2-pt shot from 9 ft (assist by T. Jones),2,36-31,,
6:15.0,,,36-31,,Turnover by T. Lawson (bad pass; steal by S. Muhammad)
6:09.0,T. Jones misses 2-pt shot from 4 ft,,36-31,,
6:08.0,Offensive rebound by K. Towns,,36-31,,
6:08.0,K. Towns makes 2-pt shot at rim,2,38-31,,
5:58.0,,,38-31,,Sacramento full timeout
5:58.0,Official timeout,,38-31,,
5:58.0,,,38-31,,D. Collison enters the game for B. Hield
5:47.0,,,38-33,2,B. McLemore makes 2-pt shot from 16 ft (assist by W. Cauley-Stein)
5:27.0,K. Towns makes 2-pt shot from 12 ft,2,40-33,,
5:15.0,,,40-33,,Shooting foul by K. Dunn (drawn by K. Koufos)
5:15.0,,,40-34,1,K. Koufos makes free throw 1 of 2
5:15.0,,,40-35,1,K. Koufos makes free throw 2 of 2
5:15.0,A. Wiggins enters the game for S. Muhammad,,40-34,,
5:07.0,N. Bjelica misses 3-pt shot from 26 ft,,40-35,,
5:06.0,,,40-35,,Defensive rebound by K. Koufos
4:53.0,,,40-37,2,K. Koufos makes 2-pt shot from 4 ft (assist by T. Lawson)
4:35.0,A. Wiggins misses 2-pt shot from 11 ft,,40-37,,
4:33.0,Offensive rebound by N. Bjelica,,40-37,,
4:33.0,N. Bjelica misses 2-pt shot from 3 ft,,40-37,,
4:33.0,Offensive rebound by K. Dunn,,40-37,,
4:33.0,,,40-37,,Personal foul by T. Lawson (drawn by K. Dunn)
4:33.0,R. Rubio enters the game for K. Dunn,,40-37,,
4:26.0,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Towns),3,43-37,,
4:08.0,,,43-37,,D. Collison misses 2-pt shot from 9 ft
4:08.0,,,43-37,,Offensive rebound by D. Collison
4:01.0,,,43-37,,W. Cauley-Stein misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by Team,,43-37,,
4:01.0,,,43-37,,Loose ball foul by K. Koufos (drawn by N. Bjelica)
3:45.0,R. Rubio misses 2-pt shot from 17 ft,,43-37,,
3:44.0,Offensive rebound by N. Bjelica,,43-37,,
3:39.0,A. Wiggins misses 3-pt shot from 26 ft,,43-37,,
3:38.0,,,43-37,,Defensive rebound by Team
3:27.0,,,43-37,,T. Lawson misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by N. Bjelica,,43-37,,
3:21.0,,,43-37,,Personal foul by T. Lawson (drawn by R. Rubio)
3:21.0,R. Rubio makes free throw 1 of 2,1,44-37,,
3:21.0,R. Rubio makes free throw 2 of 2,1,45-37,,
3:11.0,Violation by N. Bjelica (kicked ball),,45-37,,
3:01.0,,,45-37,,B. McLemore misses 2-pt shot from 4 ft
3:00.0,Defensive rebound by R. Rubio,,45-37,,
2:52.0,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio),3,48-37,,
2:36.0,,,48-37,,D. Collison misses 2-pt shot from 4 ft (block by K. Towns)
2:36.0,,,48-37,,Offensive rebound by Team
2:36.0,Minnesota full timeout,,48-37,,
2:32.0,,,48-37,,Turnover by W. Cauley-Stein (bad pass; steal by A. Wiggins)
2:26.0,A. Wiggins makes 2-pt shot from 2 ft,2,50-37,,
2:04.0,Personal foul by K. Towns (drawn by W. Cauley-Stein),,50-37,,
2:04.0,,,50-38,1,W. Cauley-Stein makes free throw 1 of 2
2:04.0,,,50-39,1,W. Cauley-Stein makes free throw 2 of 2
1:54.0,N. Bjelica misses 2-pt shot from 10 ft,,50-39,,
1:54.0,Offensive rebound by Team,,50-39,,
1:33.0,N. Bjelica makes 3-pt shot from 24 ft (assist by R. Rubio),3,53-39,,
1:23.0,,,53-39,,Turnover by B. McLemore (lost ball)
1:09.0,N. Bjelica misses 2-pt shot from 13 ft,,53-39,,
