time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (D. Sabonis gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (D. Sabonis gains possession)
11:38.0,A. Roberson misses 2-pt shot from 4 ft (block by D. Green),,0-0,,
11:36.0,Offensive rebound by S. Adams,,0-0,,
11:35.0,S. Adams makes 2-pt shot from 6 ft,2,2-0,,
11:19.0,,,2-3,3,K. Durant makes 3-pt shot from 28 ft (assist by D. Green)
10:56.0,A. Roberson misses 3-pt shot from 25 ft,,2-3,,
10:56.0,Offensive rebound by S. Adams,,2-3,,
10:48.0,S. Adams makes 2-pt shot from 1 ft,2,4-3,,
10:34.0,,,4-3,,Turnover by D. Green (bad pass; steal by D. Sabonis)
10:30.0,Turnover by R. Westbrook (bad pass),,4-3,,
10:15.0,,,4-3,,D. Green misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by D. Sabonis,,4-3,,
10:10.0,Shooting foul by K. Thompson (drawn by R. Westbrook),,4-3,,
10:10.0,R. Westbrook makes free throw 1 of 2,1,5-3,,
10:10.0,R. Westbrook makes free throw 2 of 2,1,6-3,,
9:54.0,,,6-5,2,S. Curry makes 2-pt shot from 1 ft
9:39.0,D. Sabonis makes 2-pt shot from 3 ft (assist by R. Westbrook),2,8-5,,
9:28.0,,,8-5,,D. Green misses 2-pt shot from 3 ft
9:27.0,Defensive rebound by D. Sabonis,,8-5,,
9:14.0,R. Westbrook makes 2-pt shot from 14 ft,2,10-5,,
8:59.0,,,10-7,2,S. Curry makes 2-pt shot from 2 ft
8:46.0,R. Westbrook makes 2-pt shot from 5 ft,2,12-7,,
8:34.0,,,12-7,,S. Curry misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by D. Sabonis,,12-7,,
8:34.0,,,12-7,,Technical foul by Team
8:34.0,R. Westbrook misses technical free throw,,12-7,,
8:34.0,Offensive rebound by Team,,12-7,,
8:19.0,V. Oladipo makes 3-pt shot from 27 ft (assist by D. Sabonis),3,15-7,,
