time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,A. Afflalo misses 2-pt shot from 20 ft,,0-0,,
12:00.0,Jump ball: C. Capela vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: C. Capela vs. K. Koufos (D. Cousins gains possession)
11:33.0,,,0-0,,Defensive rebound by J. Harden
11:24.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:07.0,D. Cousins makes 2-pt shot from 1 ft,2,2-2,,
10:54.0,,,2-4,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
10:44.0,D. Collison makes 2-pt shot from 1 ft,2,4-4,,
10:41.0,,,4-4,,Houston full timeout
10:26.0,,,4-6,2,J. Harden makes 2-pt shot from 10 ft
10:07.0,D. Collison makes 3-pt shot from 24 ft (assist by D. Cousins),3,7-6,,
9:50.0,,,7-6,,R. Anderson misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by D. Cousins,,7-6,,
9:39.0,D. Collison misses 2-pt shot from 20 ft,,7-6,,
9:38.0,,,7-6,,Defensive rebound by R. Anderson
9:35.0,,,7-6,,Shooting foul by A. Afflalo (drawn by T. Ariza)
9:35.0,,,7-7,1,T. Ariza makes free throw 1 of 2
9:35.0,,,7-8,1,T. Ariza makes free throw 2 of 2
9:25.0,,,7-8,,Personal foul by C. Capela (drawn by D. Cousins)
9:11.0,D. Cousins misses 2-pt shot from 21 ft,,7-8,,
9:10.0,,,7-8,,Defensive rebound by T. Ariza
9:02.0,,,7-11,3,R. Anderson makes 3-pt shot from 24 ft (assist by P. Beverley)
8:43.0,G. Temple misses 3-pt shot from 27 ft,,7-11,,
8:42.0,Offensive rebound by K. Koufos,,7-11,,
8:39.0,K. Koufos makes 2-pt shot from 2 ft,2,9-11,,
8:28.0,,,9-11,,R. Anderson misses 3-pt shot from 27 ft
8:27.0,Defensive rebound by D. Collison,,9-11,,
8:23.0,,,9-11,,Personal foul by R. Anderson (drawn by D. Cousins)
8:11.0,K. Koufos makes 2-pt shot from 6 ft,2,11-11,,
8:06.0,,,11-11,,Shooting foul by K. Koufos (drawn by C. Capela)
8:06.0,,,11-11,,C. Capela misses free throw 1 of 2
8:06.0,,,11-11,,Offensive rebound by Team
8:06.0,,,11-11,,C. Capela misses free throw 2 of 2
8:06.0,Defensive rebound by G. Temple,,11-11,,
7:42.0,A. Afflalo misses 3-pt shot from 24 ft,,11-11,,
7:41.0,,,11-11,,Defensive rebound by R. Anderson
7:32.0,,,11-13,2,J. Harden makes 2-pt shot from 16 ft
7:21.0,,,11-13,,Personal block foul by C. Capela (drawn by G. Temple)
7:21.0,,,11-13,,N. Hilario enters the game for C. Capela
7:13.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison),3,14-13,,
7:02.0,,,14-13,,Shooting foul by D. Cousins (drawn by R. Anderson)
7:02.0,,,14-14,1,R. Anderson makes free throw 1 of 2
7:02.0,,,14-15,1,R. Anderson makes free throw 2 of 2
6:41.0,D. Cousins makes 2-pt shot from 7 ft,2,16-15,,
6:32.0,,,16-15,,R. Anderson misses 3-pt shot from 26 ft
6:31.0,,,16-15,,Offensive rebound by P. Beverley
6:27.0,,,16-17,2,R. Anderson makes 2-pt shot at rim (assist by T. Ariza)
6:12.0,D. Cousins misses 3-pt shot from 25 ft,,16-17,,
6:11.0,,,16-17,,Defensive rebound by J. Harden
6:04.0,,,16-17,,J. Harden misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by K. Koufos,,16-17,,
5:52.0,K. Koufos makes 2-pt shot from 2 ft (assist by G. Temple),2,18-17,,
5:44.0,,,18-19,2,N. Hilario makes 2-pt shot from 2 ft (assist by T. Ariza)
5:44.0,,,18-19,,Shooting foul by K. Koufos (drawn by N. Hilario)
5:44.0,,,18-20,1,N. Hilario makes free throw 1 of 1
5:44.0,,,18-19,,E. Gordon enters the game for P. Beverley
5:26.0,G. Temple makes 3-pt shot from 27 ft (assist by D. Collison),3,21-20,,
5:06.0,,,21-23,3,R. Anderson makes 3-pt shot from 28 ft (assist by N. Hilario)
4:49.0,D. Collison misses 2-pt shot from 3 ft,,21-23,,
4:47.0,,,21-23,,Defensive rebound by R. Anderson
4:46.0,,,21-23,,Turnover by R. Anderson (bad pass)
4:46.0,T. Lawson enters the game for A. Afflalo,,21-23,,
4:24.0,D. Cousins misses 2-pt shot from 5 ft,,21-23,,
4:23.0,,,21-23,,Defensive rebound by N. Hilario
4:15.0,,,21-25,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
