time,Phoenix,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Len vs. N. Vucevic (E. Payton gains possession)
11:42.0,,,0-0,,N. Vucevic misses 2-pt shot from 6 ft (block by A. Len)
11:40.0,Defensive rebound by D. Booker,,0-0,,
11:20.0,Shooting foul by E. Fournier (drawn by A. Len),,0-0,,
11:20.0,A. Len makes free throw 1 of 2,1,1-0,,
11:20.0,A. Len makes free throw 2 of 2,1,2-0,,
11:09.0,,,2-2,2,E. Payton makes 2-pt shot from 2 ft
10:52.0,B. Knight misses 3-pt shot from 24 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by S. Ibaka
10:48.0,,,2-4,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
10:41.0,Turnover by A. Len (bad pass; steal by E. Payton),,2-4,,
10:36.0,,,2-4,,E. Fournier misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by E. Bledsoe,,2-4,,
10:31.0,E. Bledsoe misses 2-pt shot from 16 ft,,2-4,,
10:30.0,,,2-4,,Defensive rebound by Team
10:17.0,,,2-4,,J. Green misses 2-pt shot from 9 ft
10:16.0,Defensive rebound by E. Bledsoe,,2-4,,
10:09.0,D. Booker misses 3-pt shot from 26 ft,,2-4,,
10:09.0,,,2-4,,Defensive rebound by Team
9:58.0,,,2-4,,S. Ibaka misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by A. Len,,2-4,,
9:45.0,B. Knight misses 2-pt shot from 9 ft,,2-4,,
9:44.0,,,2-4,,Defensive rebound by S. Ibaka
9:28.0,,,2-6,2,N. Vucevic makes 2-pt shot from 15 ft
9:05.0,,,2-6,,Def 3 sec tech foul by N. Vucevic
9:05.0,E. Bledsoe misses technical free throw,,2-6,,
9:05.0,Offensive rebound by Team,,2-6,,
8:54.0,A. Len makes 2-pt shot from 1 ft (assist by D. Booker),2,4-6,,
8:40.0,,,4-6,,E. Payton misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by A. Len,,4-6,,
8:33.0,M. Chriss makes 2-pt shot at rim (assist by B. Knight),2,6-6,,
8:14.0,,,6-6,,Turnover by E. Payton (bad pass; steal by E. Bledsoe)
8:06.0,D. Booker makes 3-pt shot from 27 ft (assist by E. Bledsoe),3,9-6,,
8:06.0,,,9-6,,Orlando full timeout
7:50.0,,,9-6,,Shooting foul by M. Chriss (drawn by J. Green)
7:50.0,,,9-7,1,J. Green makes free throw 1 of 2
7:50.0,,,9-8,1,J. Green makes free throw 2 of 2
7:37.0,M. Chriss makes 2-pt shot from 21 ft (assist by E. Bledsoe),2,11-8,,
7:13.0,,,11-10,2,E. Fournier makes 2-pt shot from 2 ft
6:53.0,Turnover by B. Knight (lost ball; steal by J. Green),,11-10,,
6:49.0,,,11-12,2,E. Payton makes 2-pt shot from 5 ft
6:49.0,,,11-12,,Shooting foul by M. Chriss (drawn by E. Payton)
6:49.0,,,11-13,1,E. Payton makes free throw 1 of 1
6:49.0,J. Dudley enters the game for M. Chriss,,11-12,,
6:25.0,B. Knight makes 3-pt shot from 25 ft (assist by J. Dudley),3,14-13,,
6:10.0,Personal foul by B. Knight (drawn by E. Fournier),,14-13,,
5:58.0,,,14-13,,N. Vucevic misses 2-pt shot from 16 ft
5:57.0,Defensive rebound by E. Bledsoe,,14-13,,
5:50.0,E. Bledsoe misses 2-pt shot from 19 ft,,14-13,,
5:49.0,Offensive rebound by A. Len,,14-13,,
5:46.0,A. Len misses 2-pt shot from 4 ft,,14-13,,
5:44.0,,,14-13,,Defensive rebound by J. Green
5:39.0,,,14-13,,N. Vucevic misses 2-pt shot from 2 ft
5:37.0,Defensive rebound by J. Dudley,,14-13,,
5:28.0,E. Bledsoe misses 3-pt shot from 26 ft,,14-13,,
5:27.0,,,14-13,,Defensive rebound by N. Vucevic
5:24.0,,,14-13,,Offensive charge foul by E. Payton
5:24.0,,,14-13,,Turnover by E. Payton (offensive foul)
5:13.0,B. Knight makes 2-pt shot from 18 ft,2,16-13,,
4:50.0,,,16-13,,J. Green misses 2-pt shot from 21 ft
4:49.0,Defensive rebound by A. Len,,16-13,,
4:37.0,D. Booker misses 2-pt shot from 11 ft,,16-13,,
4:36.0,,,16-13,,Defensive rebound by N. Vucevic
4:25.0,,,16-15,2,N. Vucevic makes 2-pt shot from 1 ft (assist by J. Green)
4:12.0,Offensive foul by B. Knight,,16-15,,
4:12.0,Turnover by B. Knight (offensive foul),,16-15,,
4:12.0,,,16-15,,A. Gordon enters the game for J. Green
4:12.0,,,16-15,,B. Biyombo enters the game for N. Vucevic
4:12.0,P. Tucker enters the game for B. Knight,,16-15,,
4:02.0,,,16-18,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
3:40.0,E. Bledsoe makes 2-pt shot from 3 ft,2,18-18,,
3:22.0,,,18-18,,E. Fournier misses 2-pt shot from 6 ft
3:20.0,,,18-18,,Offensive rebound by E. Fournier
3:20.0,,,18-18,,E. Fournier misses 2-pt shot from 4 ft (block by A. Len)
3:20.0,,,18-18,,Offensive rebound by Team
3:09.0,,,18-18,,A. Gordon misses 3-pt shot from 26 ft
3:08.0,Defensive rebound by J. Dudley,,18-18,,
2:59.0,A. Len makes 2-pt shot from 5 ft,2,20-18,,
2:45.0,,,20-18,,E. Payton misses 2-pt shot from 1 ft
2:43.0,,,20-18,,Offensive rebound by E. Payton
2:28.0,,,20-18,,E. Payton misses 2-pt shot from 2 ft
2:25.0,Defensive rebound by D. Booker,,20-18,,
2:16.0,E. Bledsoe misses 2-pt shot from 1 ft,,20-18,,
2:14.0,Offensive rebound by A. Len,,20-18,,
2:13.0,A. Len misses 2-pt shot from 2 ft,,20-18,,
2:11.0,,,20-18,,Defensive rebound by E. Fournier
2:04.0,,,20-20,2,A. Gordon makes 2-pt shot from 1 ft
1:42.0,E. Bledsoe misses 2-pt shot from 22 ft,,20-20,,
1:41.0,,,20-20,,Defensive rebound by A. Gordon
1:33.0,,,20-20,,A. Gordon misses 2-pt shot from 14 ft
1:32.0,,,20-20,,Offensive rebound by B. Biyombo
1:18.0,,,20-20,,E. Payton misses 2-pt shot from 20 ft
1:15.0,Defensive rebound by Team,,20-20,,
1:15.0,Phoenix full timeout,,20-20,,
1:15.0,D. Bender enters the game for A. Len,,20-20,,
1:15.0,,,20-20,,D. Augustin enters the game for S. Ibaka
1:15.0,,,20-20,,D. Rudez enters the game for E. Payton
0:58.0,P. Tucker makes 2-pt shot from 5 ft,2,22-20,,
0:38.0,,,22-20,,A. Gordon misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by P. Tucker,,22-20,,
0:33.0,Turnover by E. Bledsoe (bad pass),,22-20,,
0:25.0,Personal foul by D. Booker (drawn by E. Fournier),,22-20,,
0:18.0,,,22-20,,E. Fournier misses 2-pt shot from 2 ft
0:16.0,,,22-20,,Offensive rebound by Team
0:08.0,Personal foul by D. Bender (drawn by E. Fournier),,22-20,,
0:08.0,,,22-21,1,E. Fournier makes free throw 1 of 2
0:08.0,,,22-22,1,E. Fournier makes free throw 2 of 2
0:08.0,,,22-21,,J. Green enters the game for D. Rudez
0:02.0,Shooting foul by A. Gordon (drawn by E. Bledsoe),,22-22,,
0:02.0,E. Bledsoe makes free throw 1 of 2,1,23-22,,
0:02.0,E. Bledsoe makes free throw 2 of 2,1,24-22,,
0:02.0,,,23-22,,D. Rudez enters the game for J. Green
0:00.0,,,24-22,,D. Augustin misses 3-pt shot from 59 ft
0:00.0,,,24-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,T. Ulis makes 2-pt shot from 15 ft,2,26-22,,
