time,Golden State,pts.away,score,pts.home,Portland
6:08.0,Z. Pachulia misses 2-pt shot from 3 ft (block by N. Vonleh),,9-14,,
6:06.0,,,9-14,,Defensive rebound by D. Lillard
6:04.0,Shooting block foul by D. Green (drawn by M. Harkless),,9-14,,
6:04.0,,,9-15,1,M. Harkless makes free throw 1 of 2
6:04.0,,,9-15,,M. Harkless misses free throw 2 of 2
6:04.0,A. Iguodala enters the game for D. Green,,9-15,,
6:03.0,,,9-15,,Offensive rebound by N. Vonleh
5:51.0,,,9-15,,M. Harkless misses 2-pt shot from 2 ft
5:50.0,,,9-15,,Offensive rebound by N. Vonleh
5:50.0,,,9-17,2,N. Vonleh makes 2-pt shot at rim
5:34.0,S. Curry misses 3-pt shot from 27 ft,,9-17,,
5:33.0,,,9-17,,Defensive rebound by D. Lillard
5:26.0,,,9-17,,E. Turner misses 2-pt shot from 15 ft
5:26.0,Defensive rebound by Z. Pachulia,,9-17,,
5:26.0,,,9-17,,Personal foul by N. Vonleh (drawn by Z. Pachulia)
5:26.0,J. McGee enters the game for Z. Pachulia,,9-17,,
5:26.0,,,9-17,,A. Aminu enters the game for M. Harkless
5:26.0,,,9-17,,A. Crabbe enters the game for E. Turner
5:16.0,Shooting foul by A. Aminu (drawn by P. McCaw),,9-17,,
5:16.0,P. McCaw misses free throw 1 of 2,,9-17,,
5:16.0,Offensive rebound by Team,,9-17,,
5:16.0,P. McCaw makes free throw 2 of 2,1,10-17,,
5:06.0,,,10-20,3,D. Lillard makes 3-pt shot from 28 ft
4:49.0,K. Thompson makes 2-pt shot from 2 ft,2,12-20,,
4:35.0,,,12-20,,C. McCollum misses 2-pt shot from 1 ft
4:35.0,,,12-20,,Offensive rebound by Team
4:30.0,,,12-20,,N. Vonleh misses 2-pt shot from 20 ft
4:29.0,Defensive rebound by J. McGee,,12-20,,
4:22.0,A. Iguodala makes 2-pt shot from 2 ft,2,14-20,,
4:22.0,Shooting foul by C. McCollum (drawn by A. Iguodala),,14-20,,
4:22.0,A. Iguodala misses free throw 1 of 1,,14-20,,
4:22.0,,,14-20,,S. Napier enters the game for C. McCollum
4:20.0,,,14-20,,Defensive rebound by A. Aminu
4:18.0,,,14-20,,Turnover by A. Aminu (lost ball; steal by P. McCaw)
4:16.0,J. McGee makes 2-pt shot at rim (assist by P. McCaw),2,16-20,,
4:16.0,,,16-20,,Portland full timeout
3:56.0,,,16-20,,D. Lillard misses 2-pt shot from 3 ft
3:54.0,,,16-20,,Offensive rebound by N. Vonleh
3:54.0,,,16-22,2,N. Vonleh makes 2-pt shot at rim
3:31.0,P. McCaw makes 3-pt shot from 22 ft (assist by A. Iguodala),3,19-22,,
3:20.0,,,19-24,2,A. Crabbe makes 2-pt shot from 11 ft (assist by D. Lillard)
3:04.0,A. Iguodala misses 3-pt shot from 25 ft,,19-24,,
3:03.0,,,19-24,,Defensive rebound by A. Aminu
2:48.0,,,19-24,,A. Aminu misses 2-pt shot from 2 ft (block by P. McCaw)
2:47.0,,,19-24,,Offensive rebound by A. Aminu
2:45.0,,,19-24,,Turnover by A. Aminu (lost ball; steal by S. Curry)
2:37.0,J. McGee makes 2-pt shot from 1 ft (assist by P. McCaw),2,21-24,,
2:23.0,,,21-27,3,D. Lillard makes 3-pt shot from 25 ft (assist by N. Vonleh)
2:08.0,S. Curry misses 2-pt shot from 2 ft,,21-27,,
2:06.0,Offensive rebound by J. McGee,,21-27,,
2:06.0,J. McGee misses 2-pt shot from 2 ft,,21-27,,
2:05.0,,,21-27,,Defensive rebound by N. Vonleh
1:57.0,,,21-29,2,D. Lillard makes 2-pt shot from 18 ft
1:57.0,Golden State full timeout,,21-29,,
1:57.0,I. Clark enters the game for P. McCaw,,21-29,,
1:57.0,D. Green enters the game for K. Thompson,,21-29,,
1:40.0,A. Iguodala misses 3-pt shot from 24 ft,,21-29,,
1:40.0,Offensive rebound by Team,,21-29,,
1:40.0,,,21-29,,Loose ball foul by S. Napier (drawn by J. McGee)
1:40.0,J. McGee makes free throw 1 of 2,1,22-29,,
1:40.0,J. McGee makes free throw 2 of 2,1,23-29,,
1:26.0,,,23-32,3,D. Lillard makes 3-pt shot from 26 ft
1:08.0,D. Green makes 3-pt shot from 25 ft (assist by A. Iguodala),3,26-32,,
0:57.0,,,26-34,2,A. Aminu makes 2-pt shot from 18 ft (assist by N. Vonleh)
0:57.0,Shooting block foul by D. Green (drawn by A. Aminu),,26-34,,
0:57.0,,,26-35,1,A. Aminu makes free throw 1 of 1
0:49.0,,,26-35,,Personal foul by D. Lillard (drawn by A. Iguodala)
0:49.0,A. Iguodala makes free throw 1 of 2,1,27-35,,
0:49.0,A. Iguodala makes free throw 2 of 2,1,28-35,,
0:33.0,,,28-35,,Turnover by D. Lillard (bad pass)
0:29.0,,,28-35,,Personal foul by S. Napier (drawn by S. Curry)
