time,San Antonio,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Lee vs. J. Valanciunas (J. Sullinger gains possession),,,,Jump ball: D. Lee vs. J. Valanciunas (J. Sullinger gains possession)
11:39.0,,,0-0,,J. Valanciunas misses 2-pt shot from 5 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:39.0,,,0-0,,Personal foul by J. Sullinger (drawn by K. Anderson)
11:06.0,D. Murray misses 2-pt shot from 1 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by J. Valanciunas
11:01.0,,,0-0,,K. Lowry misses 2-pt shot from 7 ft (block by D. Green)
10:58.0,Defensive rebound by L. Aldridge,,0-0,,
10:48.0,L. Aldridge makes 2-pt shot from 16 ft,2,2-0,,
10:27.0,,,2-0,,Shooting foul by D. Murray (drawn by K. Lowry)
10:27.0,,,2-1,1,K. Lowry makes free throw 1 of 2
10:27.0,,,2-2,1,K. Lowry makes free throw 2 of 2
10:12.0,D. Murray misses 2-pt shot from 4 ft (block by K. Lowry),,2-2,,
10:12.0,Offensive rebound by Team,,2-2,,
10:07.0,D. Lee misses 2-pt shot from 21 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by D. Carroll
9:49.0,,,2-2,,J. Sullinger misses 2-pt shot from 10 ft
9:49.0,Defensive rebound by D. Green,,2-2,,
9:43.0,D. Lee makes 2-pt shot at rim (assist by K. Anderson),2,4-2,,
9:27.0,,,4-2,,Turnover by K. Lowry (bad pass; steal by D. Green)
9:19.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Murray),2,6-2,,
8:55.0,,,6-2,,J. Sullinger misses 2-pt shot from 8 ft
8:54.0,Defensive rebound by D. Lee,,6-2,,
8:42.0,D. Lee makes 2-pt shot at rim (assist by L. Aldridge),2,8-2,,
8:42.0,,,8-2,,Toronto full timeout
8:31.0,Def 3 sec tech foul by L. Aldridge,,8-2,,
8:31.0,,,8-3,1,K. Lowry makes technical free throw
8:19.0,,,8-3,,N. Powell misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by L. Aldridge,,8-3,,
8:12.0,Turnover by D. Murray (bad pass; steal by N. Powell),,8-3,,
8:08.0,,,8-5,2,N. Powell makes 2-pt shot at rim
7:50.0,Shooting foul by J. Valanciunas (drawn by D. Lee),,8-5,,
7:50.0,D. Lee makes free throw 1 of 2,1,9-5,,
7:50.0,D. Lee makes free throw 2 of 2,1,10-5,,
7:30.0,,,10-5,,J. Valanciunas misses 2-pt shot from 15 ft
7:30.0,Defensive rebound by L. Aldridge,,10-5,,
7:22.0,D. Murray misses 2-pt shot from 12 ft,,10-5,,
7:22.0,,,10-5,,Defensive rebound by J. Sullinger
7:14.0,,,10-5,,Shooting foul by L. Aldridge (drawn by D. Carroll)
7:14.0,,,10-6,1,D. Carroll makes free throw 1 of 2
7:14.0,,,10-7,1,D. Carroll makes free throw 2 of 2
7:14.0,P. Mills enters the game for D. Murray,,10-6,,
6:54.0,D. Green misses 3-pt shot from 25 ft,,10-7,,
6:54.0,,,10-7,,Defensive rebound by Team
6:34.0,,,10-7,,K. Lowry misses 2-pt shot from 13 ft
6:34.0,,,10-7,,Offensive rebound by J. Sullinger
6:31.0,,,10-7,,J. Sullinger misses 2-pt shot from 3 ft (block by D. Green)
6:28.0,,,10-7,,Offensive rebound by J. Valanciunas
6:24.0,,,10-9,2,J. Valanciunas makes 2-pt shot from 3 ft
6:14.0,K. Anderson misses 2-pt shot from 22 ft,,10-9,,
6:14.0,Offensive rebound by L. Aldridge,,10-9,,
6:10.0,,,10-9,,Personal foul by N. Powell
6:10.0,M. Ginobili enters the game for D. Green,,10-9,,
6:10.0,D. Dedmon enters the game for D. Lee,,10-9,,
