time,Portland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. N. Vonleh (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. N. Vonleh (D. Green gains possession)
11:44.0,,,0-0,,K. Thompson misses 3-pt shot from 28 ft
11:43.0,,,0-0,,Offensive rebound by D. Green
11:39.0,,,0-0,,Turnover by K. Thompson (dbl dribble)
11:26.0,C. McCollum misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by D. Green
11:18.0,,,0-2,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Green)
11:01.0,M. Harkless makes 3-pt shot from 24 ft (assist by E. Turner),3,3-2,,
10:40.0,,,3-2,,P. McCaw misses 2-pt shot from 1 ft (block by N. Vonleh)
10:38.0,,,3-2,,Offensive rebound by S. Curry
10:37.0,,,3-2,,S. Curry misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by D. Lillard,,3-2,,
10:27.0,E. Turner misses 3-pt shot from 23 ft,,3-2,,
10:26.0,,,3-2,,Defensive rebound by D. Green
10:17.0,,,3-2,,S. Curry misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by M. Harkless,,3-2,,
10:03.0,C. McCollum misses 3-pt shot from 26 ft,,3-2,,
10:02.0,,,3-2,,Defensive rebound by D. Green
9:57.0,,,3-2,,Turnover by D. Green (bad pass)
9:44.0,D. Lillard makes 2-pt shot from 9 ft,2,5-2,,
9:29.0,,,5-4,2,Z. Pachulia makes 2-pt shot from 15 ft
9:06.0,D. Lillard makes 2-pt shot from 3 ft (assist by N. Vonleh),2,7-4,,
8:56.0,,,7-4,,Offensive foul by Z. Pachulia
8:56.0,,,7-4,,Turnover by Z. Pachulia (offensive foul)
8:50.0,D. Lillard makes 2-pt shot from 2 ft,2,9-4,,
8:36.0,,,9-4,,Shooting foul by M. Harkless (drawn by P. McCaw)
8:36.0,,,9-5,1,P. McCaw makes free throw 1 of 2
8:36.0,,,9-6,1,P. McCaw makes free throw 2 of 2
8:23.0,Turnover by E. Turner (bad pass),,9-6,,
8:12.0,,,9-9,3,D. Green makes 3-pt shot from 24 ft (assist by K. Thompson)
7:53.0,M. Harkless misses 3-pt shot from 25 ft,,9-9,,
7:53.0,,,9-9,,Defensive rebound by D. Green
7:47.0,,,9-12,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
7:32.0,Turnover by C. McCollum (bad pass; steal by S. Curry),,9-12,,
7:27.0,,,9-15,3,S. Curry makes 3-pt shot from 26 ft
7:27.0,Portland full timeout,,9-15,,
7:08.0,C. McCollum misses 2-pt shot from 10 ft,,9-15,,
7:07.0,Offensive rebound by M. Harkless,,9-15,,
7:07.0,M. Harkless misses 2-pt shot at rim,,9-15,,
7:06.0,,,9-15,,Defensive rebound by Z. Pachulia
7:03.0,Violation by E. Turner (kicked ball),,9-15,,
6:48.0,,,9-15,,S. Curry misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by E. Turner,,9-15,,
6:47.0,,,9-15,,Personal foul by D. Green (drawn by E. Turner)
6:33.0,M. Harkless misses 2-pt shot from 5 ft (block by D. Green),,9-15,,
6:32.0,,,9-15,,Defensive rebound by P. McCaw
6:25.0,,,9-17,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
6:25.0,,,9-17,,Shooting foul by C. McCollum (drawn by K. Thompson)
6:25.0,,,9-18,1,K. Thompson makes free throw 1 of 1
5:55.0,Turnover by E. Turner (bad pass; steal by D. Green),,9-18,,
5:50.0,Shooting foul by K. Thompson (drawn by M. Harkless),,9-18,,
5:50.0,,,9-18,,Turnover by K. Thompson (offensive foul)
5:50.0,M. Harkless makes free throw 1 of 2,1,10-18,,
5:50.0,M. Harkless makes free throw 2 of 2,1,11-18,,
5:50.0,,,10-18,,A. Iguodala enters the game for D. Green
5:43.0,,,11-20,2,K. Thompson makes 2-pt shot from 19 ft (assist by A. Iguodala)
5:24.0,M. Harkless misses 2-pt shot from 2 ft,,11-20,,
5:23.0,,,11-20,,Defensive rebound by P. McCaw
5:19.0,,,11-22,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by A. Iguodala)
5:19.0,Portland full timeout,,11-22,,
5:18.0,A. Crabbe enters the game for N. Vonleh,,11-22,,
5:18.0,A. Aminu enters the game for E. Turner,,11-22,,
5:02.0,D. Lillard misses 2-pt shot from 1 ft,,11-22,,
5:02.0,,,11-22,,Defensive rebound by Z. Pachulia
4:52.0,,,11-22,,K. Thompson misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by A. Aminu,,11-22,,
4:42.0,C. McCollum misses 2-pt shot from 1 ft,,11-22,,
4:42.0,,,11-22,,Defensive rebound by Z. Pachulia
4:39.0,,,11-22,,J. McGee enters the game for Z. Pachulia
4:37.0,Personal foul by M. Harkless (drawn by A. Iguodala),,11-22,,
4:37.0,M. Leonard enters the game for M. Harkless,,11-22,,
4:30.0,,,11-24,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
4:15.0,Offensive foul by D. Lillard,,11-24,,
4:15.0,Turnover by D. Lillard (offensive foul),,11-24,,
4:15.0,Violation by Team (delay of game),,11-24,,
4:15.0,P. Connaughton enters the game for M. Leonard,,11-24,,
4:06.0,,,11-24,,Turnover by K. Thompson (traveling)
3:53.0,C. McCollum makes 2-pt shot from 1 ft,2,13-24,,
3:49.0,,,13-24,,Shooting foul by A. Aminu (drawn by S. Curry)
3:49.0,,,13-24,,S. Curry misses free throw 1 of 3
3:49.0,,,13-24,,Offensive rebound by Team
3:49.0,,,13-25,1,S. Curry makes free throw 2 of 3
3:49.0,,,13-25,,S. Curry misses free throw 3 of 3
3:49.0,,,13-24,,I. Clark enters the game for P. McCaw
3:49.0,,,13-24,,D. Green enters the game for K. Thompson
3:47.0,Defensive rebound by A. Crabbe,,13-25,,
3:41.0,D. Lillard makes 2-pt shot from 3 ft,2,15-25,,
3:28.0,,,15-25,,Turnover by S. Curry (lost ball)
3:16.0,D. Lillard misses 3-pt shot from 26 ft,,15-25,,
3:16.0,,,15-25,,Defensive rebound by D. Green
