time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (D. Favors gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (D. Favors gains possession)
11:44.0,,,0-0,,G. Hayward misses 2-pt shot from 4 ft (block by J. Green)
11:42.0,Defensive rebound by M. Gasol,,0-0,,
11:23.0,M. Gasol makes 2-pt shot from 9 ft,2,2-0,,
10:58.0,,,2-0,,J. Ingles misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by J. Ennis,,2-0,,
10:48.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,5-0,,
10:26.0,,,5-0,,R. Gobert misses 2-pt shot at rim
10:25.0,,,5-0,,Offensive rebound by D. Exum
10:21.0,,,5-3,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum)
10:07.0,,,5-3,,T. Lyles enters the game for R. Gobert
10:04.0,J. Green misses 2-pt shot from 1 ft,,5-3,,
10:04.0,,,5-3,,Defensive rebound by D. Favors
9:53.0,,,5-5,2,D. Exum makes 2-pt shot from 2 ft
9:41.0,M. Conley makes 2-pt shot from 2 ft,2,7-5,,
9:28.0,,,7-5,,J. Ingles misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by J. Green,,7-5,,
9:22.0,,,7-5,,Personal foul by D. Favors (drawn by M. Gasol)
9:22.0,,,7-5,,R. Gobert enters the game for T. Lyles
9:15.0,M. Gasol misses 3-pt shot from 24 ft,,7-5,,
9:14.0,,,7-5,,Defensive rebound by G. Hayward
8:54.0,Violation by J. Green (kicked ball),,7-5,,
8:43.0,,,7-7,2,D. Favors makes 2-pt shot from 11 ft (assist by R. Gobert)
8:30.0,M. Conley makes 2-pt shot from 14 ft,2,9-7,,
8:11.0,,,9-7,,Shooting foul by C. Parsons (drawn by D. Favors)
8:11.0,,,9-8,1,D. Favors makes free throw 1 of 2
8:11.0,,,9-9,1,D. Favors makes free throw 2 of 2
8:03.0,Shooting foul by D. Exum (drawn by C. Parsons),,9-9,,
8:03.0,C. Parsons makes free throw 1 of 3,1,10-9,,
8:03.0,C. Parsons makes free throw 2 of 3,1,11-9,,
8:03.0,C. Parsons makes free throw 3 of 3,1,12-9,,
7:55.0,Personal foul by J. Ennis (drawn by G. Hayward),,12-9,,
7:44.0,,,12-11,2,D. Exum makes 2-pt shot from 1 ft
7:30.0,C. Parsons misses 2-pt shot from 5 ft,,12-11,,
7:30.0,Offensive rebound by Team,,12-11,,
7:30.0,,,12-11,,Loose ball foul by J. Ingles (drawn by M. Gasol)
7:23.0,M. Conley misses 3-pt shot from 24 ft,,12-11,,
7:22.0,Offensive rebound by J. Green,,12-11,,
7:20.0,J. Green makes 2-pt shot at rim,2,14-11,,
7:06.0,,,14-13,2,G. Hayward makes 2-pt shot from 19 ft
6:45.0,C. Parsons makes 2-pt shot from 3 ft (assist by M. Conley),2,16-13,,
6:41.0,,,16-13,,Utah full timeout
6:41.0,V. Carter enters the game for C. Parsons,,16-13,,
6:32.0,,,16-13,,Turnover by R. Gobert (lost ball; steal by M. Conley)
6:29.0,Shooting foul by G. Hayward (drawn by J. Green),,16-13,,
6:29.0,J. Green makes free throw 1 of 2,1,17-13,,
6:29.0,J. Green makes free throw 2 of 2,1,18-13,,
6:29.0,A. Harrison enters the game for M. Conley,,17-13,,
6:29.0,,,17-13,,S. Mack enters the game for D. Exum
6:10.0,,,18-15,2,J. Ingles makes 2-pt shot from 2 ft (assist by S. Mack)
5:56.0,M. Gasol makes 2-pt shot from 17 ft (assist by V. Carter),2,20-15,,
5:41.0,Personal foul by J. Ennis (drawn by G. Hayward),,20-15,,
5:41.0,,,20-15,,T. Lyles enters the game for D. Favors
5:41.0,Z. Randolph enters the game for J. Green,,20-15,,
5:34.0,,,20-15,,G. Hayward misses 2-pt shot from 21 ft
5:33.0,Defensive rebound by V. Carter,,20-15,,
5:16.0,M. Gasol misses 2-pt shot from 7 ft,,20-15,,
5:15.0,,,20-15,,Defensive rebound by R. Gobert
5:03.0,,,20-15,,Turnover by G. Hayward (traveling)
5:03.0,,,20-15,,Violation by Team (jump ball)
4:43.0,Z. Randolph makes 2-pt shot from 9 ft,2,22-15,,
4:25.0,,,22-17,2,T. Lyles makes 2-pt shot from 13 ft
4:06.0,M. Gasol makes 2-pt shot from 7 ft,2,24-17,,
3:46.0,,,24-19,2,T. Lyles makes 2-pt shot from 19 ft (assist by S. Mack)
3:24.0,V. Carter misses 2-pt shot from 3 ft (block by R. Gobert),,24-19,,
3:23.0,Offensive rebound by V. Carter,,24-19,,
