time,Milwaukee,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. I. Zubac (G. Antetokounmpo gains possession),,,,Jump ball: T. Maker vs. I. Zubac (G. Antetokounmpo gains possession)
11:49.0,G. Antetokounmpo makes 2-pt shot at rim,2,2-0,,
11:31.0,,,2-0,,B. Ingram misses 2-pt shot from 4 ft
11:29.0,,,2-0,,Offensive rebound by Team
11:23.0,,,2-0,,J. Randle misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by T. Snell,,2-0,,
11:04.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Maker),2,4-0,,
10:45.0,,,4-0,,Turnover by J. Randle (bad pass; steal by T. Maker)
10:42.0,Offensive foul by G. Antetokounmpo,,4-0,,
10:42.0,Turnover by G. Antetokounmpo (offensive foul),,4-0,,
10:33.0,,,4-3,3,N. Young makes 3-pt shot from 25 ft (assist by I. Zubac)
10:16.0,T. Maker misses 3-pt shot from 24 ft,,4-3,,
10:14.0,,,4-3,,Defensive rebound by J. Randle
10:07.0,,,4-5,2,N. Young makes 2-pt shot from 2 ft (assist by J. Randle)
9:52.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,4-5,,
9:51.0,,,4-5,,Defensive rebound by N. Young
9:45.0,,,4-7,2,J. Clarkson makes 2-pt shot from 2 ft (assist by N. Young)
9:24.0,K. Middleton makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,6-7,,
9:11.0,,,6-9,2,N. Young makes 2-pt shot at rim (assist by J. Clarkson)
8:58.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,9-9,,
8:34.0,,,9-9,,J. Clarkson misses 2-pt shot from 4 ft
8:32.0,,,9-9,,Offensive rebound by J. Randle
8:32.0,,,9-11,2,J. Randle makes 2-pt shot from 1 ft
8:08.0,T. Maker misses 3-pt shot from 25 ft (block by J. Randle),,9-11,,
8:05.0,,,9-11,,Defensive rebound by I. Zubac
7:50.0,,,9-13,2,I. Zubac makes 2-pt shot at rim (assist by N. Young)
7:35.0,T. Snell makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,11-13,,
7:35.0,Shooting foul by N. Young (drawn by T. Snell),,11-13,,
7:35.0,T. Snell makes free throw 1 of 1,1,12-13,,
7:35.0,G. Monroe enters the game for T. Maker,,11-13,,
7:17.0,,,12-15,2,I. Zubac makes 2-pt shot from 14 ft (assist by B. Ingram)
6:52.0,M. Brogdon misses 3-pt shot from 25 ft,,12-15,,
6:51.0,,,12-15,,Defensive rebound by J. Randle
6:34.0,,,12-15,,B. Ingram misses 2-pt shot from 3 ft
6:33.0,Defensive rebound by G. Monroe,,12-15,,
6:29.0,Shooting foul by B. Ingram (drawn by K. Middleton),,12-15,,
6:29.0,,,12-15,,LA Lakers full timeout
6:29.0,K. Middleton makes free throw 1 of 2,1,13-15,,
6:29.0,K. Middleton makes free throw 2 of 2,1,14-15,,
6:29.0,M. Dellavedova enters the game for M. Brogdon,,12-15,,
6:08.0,,,14-17,2,I. Zubac makes 2-pt shot from 4 ft (assist by B. Ingram)
5:46.0,M. Dellavedova misses 2-pt shot from 4 ft,,14-17,,
5:45.0,,,14-17,,Defensive rebound by I. Zubac
5:33.0,,,14-17,,I. Zubac misses 2-pt shot from 8 ft
5:31.0,Defensive rebound by G. Monroe,,14-17,,
5:17.0,T. Snell misses 2-pt shot from 19 ft,,14-17,,
5:13.0,Offensive rebound by M. Dellavedova,,14-17,,
5:09.0,T. Snell misses 3-pt shot from 26 ft,,14-17,,
5:07.0,,,14-17,,Defensive rebound by J. Clarkson
4:59.0,,,14-17,,J. Randle misses 2-pt shot from 4 ft (block by G. Monroe)
4:57.0,,,14-17,,Offensive rebound by J. Randle
4:57.0,,,14-17,,J. Randle misses 2-pt shot from 1 ft (block by G. Monroe)
4:55.0,Defensive rebound by G. Antetokounmpo,,14-17,,
4:48.0,K. Middleton makes 2-pt shot from 21 ft (assist by G. Antetokounmpo),2,16-17,,
4:22.0,,,16-17,,Turnover by J. Clarkson (bad pass; steal by G. Monroe)
4:18.0,T. Snell makes 2-pt shot at rim,2,18-17,,
4:18.0,,,18-17,,LA Lakers full timeout
4:18.0,,,18-17,,D. Russell enters the game for I. Zubac
4:18.0,,,18-17,,L. Nance enters the game for N. Young
4:18.0,M. Teletovic enters the game for G. Antetokounmpo,,18-17,,
4:00.0,,,18-20,3,B. Ingram makes 3-pt shot from 27 ft (assist by J. Clarkson)
3:45.0,K. Middleton makes 2-pt shot from 2 ft (assist by G. Monroe),2,20-20,,
3:45.0,Shooting foul by B. Ingram (drawn by K. Middleton),,20-20,,
3:45.0,K. Middleton makes free throw 1 of 1,1,21-20,,
3:45.0,J. Terry enters the game for T. Snell,,20-20,,
3:45.0,,,20-20,,C. Brewer enters the game for B. Ingram
3:32.0,,,21-20,,Turnover by D. Russell (bad pass; steal by K. Middleton)
3:29.0,Turnover by K. Middleton (bad pass),,21-20,,
3:12.0,,,21-20,,Turnover by J. Clarkson (bad pass; steal by M. Dellavedova)
3:06.0,G. Monroe makes 2-pt shot from 2 ft (assist by J. Terry),2,23-20,,
2:57.0,,,23-20,,J. Clarkson misses 3-pt shot from 27 ft
2:54.0,Defensive rebound by G. Monroe,,23-20,,
2:44.0,K. Middleton misses 3-pt shot from 23 ft,,23-20,,
2:43.0,,,23-20,,Defensive rebound by D. Russell
2:35.0,,,23-22,2,D. Russell makes 2-pt shot from 19 ft
2:19.0,Turnover by G. Monroe (bad pass; steal by J. Clarkson),,23-22,,
2:06.0,Milwaukee full timeout,,23-22,,
2:06.0,M. Brogdon enters the game for K. Middleton,,23-22,,
2:06.0,,,23-22,,I. Zubac enters the game for J. Randle
2:03.0,,,23-24,2,I. Zubac makes 2-pt shot from 19 ft (assist by D. Russell)
1:40.0,G. Monroe makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,25-24,,
1:24.0,,,25-24,,C. Brewer misses 2-pt shot from 2 ft
1:20.0,,,25-24,,Offensive rebound by I. Zubac
1:20.0,,,25-24,,I. Zubac misses 2-pt shot from 3 ft
1:18.0,Defensive rebound by G. Monroe,,25-24,,
1:08.0,G. Monroe makes 2-pt shot from 1 ft,2,27-24,,
1:01.0,Personal foul by M. Teletovic (drawn by D. Russell),,27-24,,
0:53.0,,,27-24,,D. Russell misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by M. Teletovic,,27-24,,
0:51.0,Shooting foul by C. Brewer (drawn by J. Terry),,27-24,,
0:51.0,J. Terry makes free throw 1 of 2,1,28-24,,
0:51.0,J. Terry makes free throw 2 of 2,1,29-24,,
0:39.0,,,29-24,,D. Russell misses 2-pt shot from 18 ft
0:37.0,Defensive rebound by M. Teletovic,,29-24,,
0:34.0,G. Monroe makes 2-pt shot at rim (assist by J. Terry),2,31-24,,
0:11.0,,,31-24,,L. Nance misses 3-pt shot from 27 ft
0:09.0,Defensive rebound by M. Brogdon,,31-24,,
0:02.0,J. Terry misses 3-pt shot from 27 ft,,31-24,,
0:00.0,Offensive rebound by Team,,31-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,31-24,,L. Nance misses 2-pt shot at rim
11:41.0,Defensive rebound by M. Teletovic,,31-24,,
11:36.0,Turnover by M. Brogdon (lost ball),,31-24,,
11:21.0,,,31-26,2,L. Nance makes 2-pt shot from 16 ft (assist by C. Brewer)
11:05.0,Turnover by J. Terry (bad pass; steal by L. Nance),,31-26,,
11:01.0,,,31-28,2,L. Nance makes 2-pt shot at rim
10:41.0,J. Terry makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,34-28,,
10:21.0,,,34-28,,I. Zubac misses 2-pt shot from 4 ft
10:20.0,Defensive rebound by M. Brogdon,,34-28,,
10:13.0,M. Teletovic misses 3-pt shot from 24 ft,,34-28,,
10:11.0,,,34-28,,Defensive rebound by C. Brewer
10:04.0,,,34-30,2,I. Zubac makes 2-pt shot from 2 ft (assist by C. Brewer)
9:47.0,M. Teletovic makes 3-pt shot from 29 ft (assist by M. Dellavedova),3,37-30,,
9:29.0,G. Antetokounmpo enters the game for G. Monroe,,37-30,,
9:29.0,J. Henson enters the game for M. Dellavedova,,37-30,,
9:29.0,,,37-30,,N. Young enters the game for I. Zubac
9:17.0,,,37-33,3,D. Russell makes 3-pt shot from 27 ft (assist by C. Brewer)
8:56.0,Shooting foul by L. Nance (drawn by M. Teletovic),,37-33,,
8:56.0,M. Teletovic makes 2-pt shot from 7 ft,2,39-33,,
8:56.0,Official timeout,,39-33,,
8:56.0,M. Teletovic misses free throw 1 of 1,,39-33,,
8:56.0,Offensive rebound by G. Antetokounmpo,,39-33,,
8:56.0,,,39-33,,J. Randle enters the game for C. Brewer
8:56.0,,,39-33,,B. Ingram enters the game for T. Ennis
8:43.0,Jump ball: J. Henson vs. L. Nance (J. Terry gains possession),,,,Jump ball: J. Henson vs. L. Nance (J. Terry gains possession)
8:33.0,G. Antetokounmpo makes 2-pt shot from 4 ft (assist by J. Terry),2,41-33,,
8:14.0,,,41-33,,N. Young misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by G. Antetokounmpo,,41-33,,
8:05.0,G. Antetokounmpo makes 2-pt shot from 10 ft,2,43-33,,
8:05.0,Shooting foul by J. Randle (drawn by G. Antetokounmpo),,43-33,,
8:05.0,G. Antetokounmpo makes free throw 1 of 1,1,44-33,,
7:53.0,,,44-33,,Turnover by D. Russell (bad pass)
7:37.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,44-33,,
7:35.0,,,44-33,,Defensive rebound by N. Young
7:34.0,Personal foul by J. Terry (drawn by D. Russell),,44-33,,
7:27.0,,,44-33,,Shooting foul by J. Henson (drawn by D. Russell)
7:27.0,,,44-34,1,D. Russell makes free throw 1 of 2
7:27.0,,,44-34,,D. Russell misses free throw 2 of 2
7:27.0,T. Snell enters the game for J. Terry,,44-34,,
7:26.0,Defensive rebound by M. Teletovic,,44-34,,
7:15.0,M. Brogdon misses 3-pt shot from 27 ft,,44-34,,
7:15.0,Offensive rebound by Team,,44-34,,
7:15.0,,,44-34,,Loose ball foul by L. Nance (drawn by J. Henson)
7:15.0,M. Dellavedova enters the game for M. Brogdon,,44-34,,
7:06.0,M. Teletovic misses 3-pt shot from 26 ft,,44-34,,
7:04.0,,,44-34,,Defensive rebound by D. Russell
6:58.0,,,44-34,,D. Russell misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
6:57.0,,,44-34,,Offensive rebound by Team
6:57.0,K. Middleton enters the game for M. Teletovic,,44-34,,
6:44.0,,,44-34,,Turnover by B. Ingram (bad pass; steal by T. Snell)
6:41.0,,,44-34,,Personal block foul by B. Ingram (drawn by G. Antetokounmpo)
6:41.0,,,44-34,,J. Clarkson enters the game for B. Ingram
6:33.0,M. Dellavedova misses 2-pt shot from 7 ft (block by J. Clarkson),,44-34,,
6:32.0,Offensive rebound by J. Henson,,44-34,,
6:30.0,J. Henson makes 2-pt shot at rim,2,46-34,,
6:13.0,,,46-37,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle)
5:54.0,K. Middleton makes 2-pt shot from 15 ft,2,48-37,,
5:43.0,,,48-37,,Turnover by L. Nance (lost ball)
5:43.0,,,48-37,,LA Lakers full timeout
5:43.0,,,48-37,,I. Zubac enters the game for L. Nance
5:22.0,K. Middleton makes 2-pt shot from 17 ft,2,50-37,,
4:54.0,,,50-37,,J. Randle misses 2-pt shot from 4 ft
4:52.0,Defensive rebound by K. Middleton,,50-37,,
4:46.0,M. Dellavedova misses 3-pt shot from 27 ft,,50-37,,
4:45.0,,,50-37,,Defensive rebound by J. Clarkson
4:40.0,Personal foul by J. Henson (drawn by I. Zubac),,50-37,,
4:34.0,,,50-40,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
4:19.0,,,50-40,,Personal foul by I. Zubac (drawn by J. Henson)
4:19.0,J. Henson misses free throw 1 of 2,,50-40,,
4:19.0,Offensive rebound by Team,,50-40,,
4:19.0,J. Henson misses free throw 2 of 2,,50-40,,
4:18.0,,,50-40,,Defensive rebound by I. Zubac
4:01.0,,,50-40,,I. Zubac misses 2-pt shot from 5 ft (block by J. Henson)
4:01.0,,,50-40,,Offensive rebound by Team
3:56.0,,,50-40,,D. Russell misses 3-pt shot from 24 ft
3:55.0,,,50-40,,Offensive rebound by J. Clarkson
3:54.0,,,50-40,,I. Zubac misses 2-pt shot from 20 ft (block by G. Antetokounmpo)
3:52.0,Defensive rebound by K. Middleton,,50-40,,
3:46.0,,,50-40,,Personal foul by N. Young (drawn by J. Henson)
3:46.0,,,50-40,,Technical foul by N. Young (drawn by J. Henson)
3:46.0,K. Middleton makes technical free throw,1,51-40,,
3:46.0,J. Henson makes free throw 1 of 2,1,52-40,,
3:46.0,J. Henson makes free throw 2 of 2,1,53-40,,
3:25.0,,,53-40,,J. Clarkson misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by T. Snell,,53-40,,
3:08.0,K. Middleton makes 2-pt shot from 7 ft,2,55-40,,
2:58.0,Personal foul by K. Middleton (drawn by J. Clarkson),,55-40,,
2:58.0,Milwaukee full timeout,,55-40,,
2:45.0,,,55-43,3,N. Young makes 3-pt shot from 24 ft (assist by J. Randle)
2:25.0,K. Middleton misses 2-pt shot from 16 ft,,55-43,,
2:23.0,Offensive rebound by J. Henson,,55-43,,
2:14.0,T. Snell misses 2-pt shot from 8 ft,,55-43,,
2:11.0,Offensive rebound by J. Henson,,55-43,,
2:10.0,J. Henson makes 2-pt shot from 4 ft,2,57-43,,
