time,Oklahoma City,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Valanciunas (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. J. Valanciunas (R. Westbrook gains possession)
11:39.0,,,0-0,,Personal foul by C. Joseph (drawn by S. Adams)
11:32.0,Turnover by R. Westbrook (bad pass; steal by D. Carroll),,0-0,,
11:11.0,,,0-0,,Turnover by D. Carroll (bad pass)
10:51.0,S. Adams makes 2-pt shot from 5 ft,2,2-0,,
10:40.0,,,2-0,,Turnover by J. Valanciunas (lost ball; steal by S. Adams)
10:29.0,S. Adams misses 2-pt shot from 2 ft (block by J. Valanciunas),,2-0,,
10:26.0,,,2-0,,Defensive rebound by C. Joseph
10:13.0,,,2-0,,S. Ibaka misses 3-pt shot from 27 ft
10:13.0,Defensive rebound by A. Roberson,,2-0,,
9:53.0,R. Westbrook misses 3-pt shot from 27 ft,,2-0,,
9:53.0,,,2-0,,Defensive rebound by J. Valanciunas
9:46.0,,,2-2,2,C. Joseph makes 2-pt shot from 18 ft
9:32.0,A. Roberson makes 2-pt shot from 1 ft (assist by V. Oladipo),2,4-2,,
9:18.0,,,4-2,,S. Ibaka misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by A. Roberson,,4-2,,
9:12.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,6-2,,
8:46.0,,,6-2,,C. Joseph misses 2-pt shot from 16 ft
8:45.0,Defensive rebound by A. Roberson,,6-2,,
8:40.0,R. Westbrook makes 2-pt shot from 2 ft,2,8-2,,
8:26.0,,,8-2,,D. DeRozan misses 2-pt shot from 4 ft (block by S. Adams)
8:25.0,Defensive rebound by R. Westbrook,,8-2,,
8:22.0,A. Roberson misses 2-pt shot from 2 ft (block by S. Ibaka),,8-2,,
8:22.0,Offensive rebound by Team,,8-2,,
8:17.0,V. Oladipo misses 2-pt shot from 15 ft,,8-2,,
8:17.0,Offensive rebound by S. Adams,,8-2,,
8:12.0,S. Adams misses 2-pt shot from 3 ft,,8-2,,
8:12.0,,,8-2,,Defensive rebound by J. Valanciunas
7:56.0,,,8-4,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
7:56.0,,,8-4,,Shooting foul by R. Westbrook (drawn by J. Valanciunas)
7:56.0,,,8-5,1,J. Valanciunas makes free throw 1 of 1
7:45.0,T. Gibson misses 2-pt shot from 16 ft,,8-5,,
7:45.0,Offensive rebound by Team,,8-5,,
7:45.0,,,8-5,,Loose ball foul by J. Valanciunas (drawn by S. Adams)
7:39.0,Turnover by V. Oladipo (lost ball; steal by C. Joseph),,8-5,,
7:31.0,,,8-7,2,D. Carroll makes 2-pt shot from 2 ft (assist by C. Joseph)
7:17.0,Shooting foul by S. Ibaka (drawn by T. Gibson),,8-7,,
7:17.0,T. Gibson misses free throw 1 of 2,,8-7,,
7:17.0,Offensive rebound by Team,,8-7,,
7:17.0,T. Gibson makes free throw 2 of 2,1,9-7,,
6:54.0,,,9-7,,Turnover by C. Joseph (lost ball; steal by T. Gibson)
6:49.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,11-7,,
6:41.0,,,11-7,,Toronto full timeout
6:29.0,,,11-7,,J. Valanciunas misses 2-pt shot from 14 ft
6:28.0,,,11-7,,Offensive rebound by Team
6:16.0,,,11-7,,D. DeRozan misses 2-pt shot from 22 ft
6:16.0,Defensive rebound by Team,,11-7,,
6:16.0,,,11-7,,Loose ball foul by J. Valanciunas (drawn by S. Adams)
6:16.0,,,11-7,,J. Poeltl enters the game for J. Valanciunas
6:07.0,A. Roberson makes 2-pt shot from 4 ft (assist by R. Westbrook),2,13-7,,
5:49.0,,,13-7,,S. Ibaka misses 2-pt shot from 19 ft
5:48.0,Defensive rebound by R. Westbrook,,13-7,,
5:43.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,15-7,,
5:29.0,,,15-9,2,D. DeRozan makes 2-pt shot from 3 ft
5:14.0,V. Oladipo makes 3-pt shot from 26 ft (assist by S. Adams),3,18-9,,
5:01.0,,,18-9,,S. Ibaka misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by V. Oladipo,,18-9,,
4:49.0,T. Gibson makes 2-pt shot from 15 ft (assist by A. Roberson),2,20-9,,
4:39.0,,,20-9,,Toronto full timeout
4:39.0,E. Kanter enters the game for S. Adams,,20-9,,
4:39.0,A. Abrines enters the game for V. Oladipo,,20-9,,
4:39.0,,,20-9,,P. Tucker enters the game for D. Carroll
4:39.0,,,20-9,,P. Patterson enters the game for S. Ibaka
4:24.0,,,20-12,3,C. Joseph makes 3-pt shot from 23 ft (assist by P. Patterson)
4:09.0,T. Gibson misses 2-pt shot from 17 ft,,20-12,,
4:09.0,,,20-12,,Defensive rebound by D. DeRozan
3:59.0,,,20-12,,P. Patterson misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by R. Westbrook,,20-12,,
3:54.0,T. Gibson makes 2-pt shot from 4 ft (assist by R. Westbrook),2,22-12,,
3:54.0,Shooting foul by P. Patterson (drawn by T. Gibson),,22-12,,
3:54.0,T. Gibson makes free throw 1 of 1,1,23-12,,
3:33.0,,,23-14,2,J. Poeltl makes 2-pt shot from 4 ft (assist by D. DeRozan)
3:18.0,E. Kanter makes 2-pt shot from 1 ft (assist by T. Gibson),2,25-14,,
3:07.0,,,25-14,,Turnover by D. DeRozan (bad pass)
3:07.0,D. Sabonis enters the game for T. Gibson,,25-14,,
2:57.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Poeltl),,25-14,,
