time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Nowitzki (S. Curry gains possession),,,,Jump ball: R. Gobert vs. D. Nowitzki (S. Curry gains possession)
11:37.0,,,0-0,,Turnover by S. Curry (bad pass; steal by J. Ingles)
11:35.0,G. Hill makes 2-pt shot from 2 ft (assist by J. Ingles),2,2-0,,
11:12.0,,,2-3,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams)
10:50.0,G. Hill misses 3-pt shot from 24 ft,,2-3,,
10:49.0,,,2-3,,Defensive rebound by D. Nowitzki
10:41.0,,,2-5,2,H. Barnes makes 2-pt shot from 18 ft
10:25.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,5-5,,
10:12.0,,,5-5,,Turnover by D. Williams (bad pass)
10:01.0,J. Ingles misses 3-pt shot from 23 ft,,5-5,,
10:00.0,,,5-5,,Defensive rebound by W. Matthews
9:38.0,,,5-5,,D. Williams misses 2-pt shot at rim (block by R. Gobert)
9:35.0,,,5-5,,Offensive rebound by D. Williams
9:34.0,,,5-5,,S. Curry misses 2-pt shot from 22 ft
9:30.0,Defensive rebound by R. Gobert,,5-5,,
9:26.0,G. Hayward misses 3-pt shot from 25 ft,,5-5,,
9:25.0,,,5-5,,Defensive rebound by D. Nowitzki
9:15.0,,,5-5,,D. Nowitzki misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by G. Hayward,,5-5,,
9:00.0,Turnover by G. Hayward (bad pass; steal by W. Matthews),,5-5,,
8:57.0,,,5-5,,W. Matthews misses 2-pt shot from 1 ft
8:56.0,,,5-5,,Offensive rebound by H. Barnes
8:56.0,,,5-5,,Shooting foul by G. Hill (drawn by H. Barnes)
8:56.0,,,5-5,,H. Barnes misses free throw 1 of 2
8:56.0,,,5-5,,Offensive rebound by Team
8:56.0,,,5-6,1,H. Barnes makes free throw 2 of 2
8:41.0,D. Favors misses 2-pt shot from 19 ft,,5-6,,
8:39.0,,,5-6,,Defensive rebound by H. Barnes
8:31.0,,,5-6,,W. Matthews misses 2-pt shot from 3 ft (block by G. Hayward)
8:31.0,,,5-6,,Offensive rebound by Team
8:31.0,Inbound foul by G. Hayward,,5-6,,
8:31.0,,,5-7,1,D. Nowitzki makes free throw 1 of 1
8:28.0,,,5-7,,Turnover by D. Williams (bad pass; steal by G. Hayward)
8:19.0,G. Hill makes 2-pt shot from 2 ft,2,7-7,,
7:59.0,,,7-7,,H. Barnes misses 2-pt shot from 21 ft
7:58.0,Defensive rebound by R. Gobert,,7-7,,
7:47.0,Turnover by R. Gobert (traveling),,7-7,,
7:33.0,,,7-7,,D. Nowitzki misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by R. Gobert,,7-7,,
7:16.0,G. Hill misses 3-pt shot from 23 ft,,7-7,,
