time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside,,,,Jump ball: M. Gortat vs. H. Whiteside
11:57.0,,,0-0,,Turnover by Team (back court)
11:46.0,M. Gortat misses 2-pt shot at rim,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. McRoberts
11:22.0,,,0-0,,R. McGruder misses 2-pt shot from 13 ft
11:21.0,,,0-0,,Offensive rebound by J. McRoberts
11:13.0,,,0-0,,W. Ellington misses 3-pt shot from 25 ft
11:12.0,,,0-0,,Offensive rebound by R. McGruder
11:02.0,,,0-0,,H. Whiteside misses 2-pt shot from 7 ft
11:01.0,Defensive rebound by M. Morris,,0-0,,
10:52.0,J. Wall makes 2-pt shot from 20 ft,2,2-0,,
10:30.0,,,2-0,,W. Ellington misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by M. Morris,,2-0,,
10:23.0,O. Porter misses 3-pt shot from 24 ft,,2-0,,
10:22.0,,,2-0,,Defensive rebound by J. McRoberts
10:17.0,,,2-2,2,W. Ellington makes 2-pt shot from 2 ft (assist by R. McGruder)
10:17.0,,,2-2,,Shooting foul by B. Beal (drawn by W. Ellington)
10:17.0,,,2-3,1,W. Ellington makes free throw 1 of 1
10:01.0,B. Beal misses 3-pt shot from 26 ft,,2-3,,
10:00.0,,,2-3,,Defensive rebound by H. Whiteside
9:43.0,,,2-5,2,G. Dragic makes 2-pt shot from 18 ft
9:34.0,O. Porter makes 2-pt shot from 16 ft (assist by M. Morris),2,4-5,,
9:14.0,,,4-5,,J. McRoberts misses 2-pt shot from 6 ft
9:13.0,,,4-5,,Offensive rebound by J. McRoberts
9:07.0,,,4-7,2,R. McGruder makes 2-pt shot from 14 ft (assist by J. McRoberts)
9:01.0,J. Wall misses 2-pt shot from 3 ft,,4-7,,
9:00.0,,,4-7,,Defensive rebound by J. McRoberts
8:47.0,,,4-7,,J. McRoberts misses 3-pt shot from 25 ft
8:46.0,,,4-7,,Offensive rebound by Team
8:45.0,Loose ball foul by M. Gortat (drawn by H. Whiteside),,4-7,,
8:37.0,,,4-7,,Turnover by G. Dragic (bad pass; steal by B. Beal)
8:34.0,B. Beal makes 2-pt shot from 1 ft,2,6-7,,
8:34.0,Shooting foul by W. Ellington (drawn by B. Beal),,6-7,,
8:34.0,B. Beal makes free throw 1 of 1,1,7-7,,
8:24.0,Personal foul by J. Wall (drawn by G. Dragic),,7-7,,
8:09.0,,,7-7,,R. McGruder misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by Team,,7-7,,
7:52.0,Turnover by O. Porter (traveling),,7-7,,
7:35.0,,,7-9,2,H. Whiteside makes 2-pt shot from 1 ft
7:30.0,J. Wall makes 2-pt shot from 2 ft (assist by M. Morris),2,9-9,,
7:06.0,,,9-9,,H. Whiteside misses 2-pt shot from 10 ft
7:05.0,Defensive rebound by O. Porter,,9-9,,
6:52.0,J. Wall misses 2-pt shot from 3 ft (block by W. Ellington),,9-9,,
6:51.0,,,9-9,,Defensive rebound by H. Whiteside
6:44.0,,,9-9,,G. Dragic misses 2-pt shot from 3 ft
6:41.0,,,9-9,,Offensive rebound by J. McRoberts
6:41.0,,,9-11,2,J. McRoberts makes 2-pt shot at rim
6:38.0,J. Wall misses 2-pt shot from 2 ft (block by H. Whiteside),,9-11,,
6:37.0,Offensive rebound by Team,,9-11,,
6:37.0,Shooting foul by R. McGruder (drawn by M. Gortat),,9-11,,
6:37.0,M. Gortat misses free throw 1 of 2,,9-11,,
6:37.0,Offensive rebound by Team,,9-11,,
6:37.0,M. Gortat makes free throw 2 of 2,1,10-11,,
6:37.0,,,9-11,,T. Johnson enters the game for R. McGruder
6:24.0,,,10-11,,H. Whiteside misses 2-pt shot from 6 ft
6:23.0,Defensive rebound by B. Beal,,10-11,,
6:13.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,12-11,,
6:13.0,Shooting foul by J. McRoberts (drawn by B. Beal),,12-11,,
6:13.0,B. Beal makes free throw 1 of 1,1,13-11,,
5:56.0,,,13-11,,W. Ellington misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by M. Gortat,,13-11,,
5:48.0,J. Wall misses 2-pt shot from 5 ft,,13-11,,
5:47.0,Offensive rebound by J. Wall,,13-11,,
5:46.0,J. Wall makes 2-pt shot from 3 ft,2,15-11,,
5:25.0,,,15-14,3,J. McRoberts makes 3-pt shot from 25 ft (assist by T. Johnson)
5:14.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,18-14,,
4:54.0,,,18-16,2,G. Dragic makes 2-pt shot from 17 ft (assist by W. Ellington)
4:44.0,M. Gortat misses 2-pt shot from 2 ft (block by H. Whiteside),,18-16,,
4:43.0,Offensive rebound by M. Gortat,,18-16,,
4:42.0,Turnover by M. Gortat (bad pass),,18-16,,
4:42.0,,,18-16,,Miami full timeout
4:42.0,K. Oubre enters the game for M. Morris,,18-16,,
4:42.0,,,18-16,,J. Richardson enters the game for W. Ellington
4:42.0,,,18-16,,Violation by Team (jump ball)
4:24.0,Personal foul by O. Porter (drawn by J. McRoberts),,18-16,,
4:24.0,,,18-16,,J. Johnson enters the game for J. McRoberts
4:16.0,,,18-16,,G. Dragic misses 3-pt shot from 25 ft
4:15.0,,,18-16,,Offensive rebound by H. Whiteside
4:14.0,,,18-18,2,H. Whiteside makes 2-pt shot at rim
3:58.0,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall),2,20-18,,
3:36.0,,,20-21,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson)
3:20.0,Shooting foul by T. Johnson (drawn by B. Beal),,20-21,,
3:20.0,B. Beal makes free throw 1 of 2,1,21-21,,
3:20.0,B. Beal makes free throw 2 of 2,1,22-21,,
2:57.0,,,22-23,2,J. Johnson makes 2-pt shot from 2 ft
2:37.0,K. Oubre misses 3-pt shot from 24 ft,,22-23,,
2:36.0,,,22-23,,Defensive rebound by H. Whiteside
2:30.0,,,22-25,2,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson)
2:16.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,25-25,,
2:03.0,,,25-27,2,G. Dragic makes 2-pt shot from 1 ft
1:56.0,Washington full timeout,,25-27,,
1:56.0,M. Thornton enters the game for B. Beal,,25-27,,
1:56.0,,,25-27,,W. Reed enters the game for H. Whiteside
1:47.0,J. Wall misses 2-pt shot from 1 ft,,25-27,,
1:46.0,Offensive rebound by M. Gortat,,25-27,,
1:34.0,Turnover by K. Oubre (lost ball; steal by T. Johnson),,25-27,,
1:17.0,,,25-27,,G. Dragic misses 2-pt shot from 5 ft
1:16.0,Defensive rebound by O. Porter,,25-27,,
1:11.0,,,25-27,,Personal foul by G. Dragic (drawn by M. Thornton)
1:11.0,M. Thornton makes free throw 1 of 2,1,26-27,,
1:11.0,M. Thornton makes free throw 2 of 2,1,27-27,,
1:11.0,T. Burke enters the game for J. Wall,,26-27,,
