time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. B. Lopez (J. Lin gains possession),,,,Jump ball: D. Howard vs. B. Lopez (J. Lin gains possession)
11:46.0,Turnover by J. Lin (lost ball),,0-0,,
11:35.0,,,0-0,,Turnover by E. Ilyasova (traveling)
11:24.0,B. Lopez misses 2-pt shot from 9 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by D. Howard
11:14.0,,,0-0,,Shooting foul by R. Hollis-Jefferson (drawn by D. Howard)
11:14.0,,,0-1,1,D. Howard makes free throw 1 of 2
11:14.0,,,0-1,,D. Howard misses free throw 2 of 2
11:13.0,Defensive rebound by B. Lopez,,0-1,,
11:02.0,Turnover by B. Lopez (bad pass; steal by D. Howard),,0-1,,
10:57.0,,,0-3,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder)
10:44.0,Turnover by C. LeVert (bad pass; steal by T. Hardaway),,0-3,,
10:34.0,,,0-3,,D. Schroder misses 2-pt shot from 12 ft
10:31.0,Defensive rebound by C. LeVert,,0-3,,
10:18.0,B. Lopez makes 2-pt shot from 11 ft (assist by J. Lin),2,2-3,,
10:04.0,,,2-3,,D. Howard misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by R. Hollis-Jefferson,,2-3,,
9:56.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,2-3,,
9:55.0,,,2-3,,Defensive rebound by E. Ilyasova
9:42.0,,,2-3,,D. Schroder misses 2-pt shot from 4 ft
9:40.0,Defensive rebound by R. Foye,,2-3,,
9:36.0,,,2-3,,Violation by T. Waller-Prince (def goaltending)
9:36.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by R. Foye),2,4-3,,
9:24.0,,,4-3,,T. Waller-Prince misses 2-pt shot from 18 ft
9:23.0,Defensive rebound by R. Hollis-Jefferson,,4-3,,
9:16.0,B. Lopez makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,7-3,,
8:56.0,,,7-5,2,D. Schroder makes 2-pt shot at rim (assist by T. Hardaway)
8:42.0,Shooting foul by E. Ilyasova (drawn by J. Lin),,7-5,,
8:42.0,J. Lin makes 2-pt shot from 3 ft,2,9-5,,
8:42.0,J. Lin makes free throw 1 of 1,1,10-5,,
8:31.0,,,10-5,,T. Hardaway misses 2-pt shot from 19 ft
8:28.0,,,10-5,,Offensive rebound by D. Howard
8:26.0,,,10-5,,Turnover by D. Howard (lost ball; steal by R. Foye)
8:17.0,B. Lopez misses 3-pt shot from 25 ft,,10-5,,
8:16.0,,,10-5,,Defensive rebound by T. Hardaway
8:09.0,,,10-5,,T. Hardaway misses 3-pt shot from 25 ft
8:07.0,,,10-5,,Offensive rebound by E. Ilyasova
8:05.0,,,10-7,2,E. Ilyasova makes 2-pt shot from 1 ft
7:46.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,10-7,,
7:43.0,,,10-7,,Defensive rebound by E. Ilyasova
7:33.0,,,10-7,,T. Waller-Prince misses 2-pt shot from 14 ft
7:29.0,Defensive rebound by B. Lopez,,10-7,,
7:25.0,R. Foye misses 3-pt shot from 24 ft,,10-7,,
7:21.0,,,10-7,,Defensive rebound by D. Howard
7:12.0,,,10-7,,Turnover by D. Howard (lost ball; steal by J. Lin)
7:01.0,Q. Acy enters the game for R. Hollis-Jefferson,,10-7,,
6:51.0,J. Lin misses 2-pt shot from 1 ft,,10-7,,
6:49.0,,,10-7,,Defensive rebound by D. Howard
6:41.0,,,10-10,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
6:26.0,C. LeVert misses 3-pt shot from 25 ft,,10-10,,
6:24.0,,,10-10,,Defensive rebound by D. Schroder
6:19.0,,,10-12,2,D. Howard makes 2-pt shot from 2 ft (assist by T. Hardaway)
6:19.0,,,10-12,,Shooting foul by B. Lopez (drawn by D. Howard)
6:19.0,Brooklyn full timeout,,10-12,,
6:19.0,,,10-12,,D. Howard misses free throw 1 of 1
6:17.0,Defensive rebound by Q. Acy,,10-12,,
6:00.0,J. Lin misses 3-pt shot from 25 ft,,10-12,,
5:56.0,,,10-12,,Defensive rebound by D. Schroder
5:51.0,,,10-12,,D. Schroder misses 2-pt shot from 1 ft
5:45.0,,,10-12,,Offensive rebound by D. Howard
5:45.0,,,10-14,2,D. Howard makes 2-pt shot at rim
5:38.0,Shooting foul by T. Waller-Prince (drawn by B. Lopez),,10-14,,
5:38.0,B. Lopez makes free throw 1 of 2,1,11-14,,
5:38.0,B. Lopez misses free throw 2 of 2,,11-14,,
5:38.0,,,11-14,,Defensive rebound by D. Howard
5:38.0,I. Whitehead enters the game for R. Foye,,11-14,,
5:38.0,K. McDaniels enters the game for C. LeVert,,11-14,,
