time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (L. Aldridge gains possession)
11:40.0,P. Gasol misses 3-pt shot from 27 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Green
11:26.0,,,0-0,,K. Durant misses 2-pt shot from 12 ft
11:25.0,Defensive rebound by K. Leonard,,0-0,,
11:12.0,L. Aldridge misses 2-pt shot from 9 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by S. Curry
11:08.0,,,0-0,,Turnover by S. Curry (bad pass)
10:53.0,K. Leonard makes 2-pt shot from 14 ft (assist by P. Mills),2,2-0,,
10:35.0,,,2-0,,K. Thompson misses 2-pt shot from 5 ft
10:33.0,,,2-0,,Offensive rebound by Z. Pachulia
10:33.0,,,2-0,,Z. Pachulia misses 2-pt shot from 4 ft
10:33.0,,,2-0,,Offensive rebound by Team
10:33.0,Personal foul by D. Green (drawn by Z. Pachulia),,2-0,,
10:22.0,,,2-0,,D. Green misses 2-pt shot from 2 ft (block by P. Gasol)
10:20.0,Defensive rebound by K. Leonard,,2-0,,
10:14.0,P. Gasol makes 2-pt shot from 3 ft (assist by L. Aldridge),2,4-0,,
10:14.0,Shooting foul by K. Thompson (drawn by P. Gasol),,4-0,,
10:14.0,P. Gasol makes free throw 1 of 1,1,5-0,,
9:53.0,,,5-2,2,S. Curry makes 2-pt shot from 21 ft (assist by K. Durant)
9:32.0,L. Aldridge misses 2-pt shot from 16 ft,,5-2,,
9:32.0,,,5-2,,Defensive rebound by Z. Pachulia
9:26.0,,,5-2,,K. Durant misses 3-pt shot from 28 ft
9:26.0,Defensive rebound by L. Aldridge,,5-2,,
9:13.0,Turnover by K. Leonard (bad pass; steal by K. Thompson),,5-2,,
9:07.0,,,5-2,,S. Curry misses 2-pt shot from 3 ft (block by D. Green)
9:06.0,,,5-2,,Offensive rebound by K. Thompson
9:05.0,,,5-4,2,K. Thompson makes 2-pt shot from 21 ft
8:47.0,Turnover by P. Mills (bad pass; steal by D. Green),,5-4,,
8:40.0,,,5-6,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
8:39.0,San Antonio full timeout,,5-6,,
8:15.0,D. Green misses 2-pt shot from 10 ft,,5-6,,
8:14.0,,,5-6,,Defensive rebound by S. Curry
8:06.0,,,5-8,2,K. Durant makes 2-pt shot from 2 ft (assist by D. Green)
7:52.0,P. Gasol makes 2-pt shot from 14 ft,2,7-8,,
7:52.0,,,7-8,,Violation by K. Durant (def goaltending)
7:37.0,,,7-8,,K. Thompson misses 2-pt shot from 3 ft
7:36.0,,,7-8,,Offensive rebound by Z. Pachulia
7:35.0,,,7-8,,Z. Pachulia misses 2-pt shot from 1 ft
7:32.0,,,7-8,,Offensive rebound by Z. Pachulia
7:32.0,,,7-8,,Turnover by Z. Pachulia (lost ball; steal by D. Green)
7:21.0,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Gasol),2,9-8,,
7:10.0,,,9-8,,K. Thompson misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by K. Leonard,,9-8,,
6:52.0,L. Aldridge makes 2-pt shot from 7 ft,2,11-8,,
6:46.0,,,11-8,,Turnover by K. Durant (lost ball; steal by L. Aldridge)
6:42.0,Offensive foul by L. Aldridge,,11-8,,
6:42.0,Turnover by L. Aldridge (offensive foul),,11-8,,
6:25.0,,,11-8,,Shooting foul by K. Leonard (drawn by S. Curry)
6:25.0,,,11-9,1,S. Curry makes free throw 1 of 3
6:25.0,,,11-9,,S. Curry misses free throw 2 of 3
6:25.0,,,11-9,,Offensive rebound by Team
6:25.0,,,11-10,1,S. Curry makes free throw 3 of 3
6:12.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,14-10,,
5:48.0,,,14-10,,K. Thompson misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by P. Gasol,,14-10,,
5:25.0,P. Gasol misses 2-pt shot from 8 ft,,14-10,,
5:24.0,,,14-10,,Defensive rebound by K. Durant
5:19.0,Personal foul by P. Gasol (drawn by K. Durant),,14-10,,
5:19.0,,,14-11,1,K. Durant makes free throw 1 of 2
5:19.0,,,14-11,,K. Durant misses free throw 2 of 2
5:19.0,,,14-11,,A. Iguodala enters the game for D. Green
5:19.0,,,14-11,,J. McGee enters the game for Z. Pachulia
5:19.0,J. Simmons enters the game for D. Green,,14-11,,
5:18.0,Defensive rebound by L. Aldridge,,14-11,,
5:03.0,Turnover by P. Gasol (bad pass; steal by A. Iguodala),,14-11,,
4:58.0,,,14-11,,Shooting foul by P. Gasol (drawn by J. McGee)
4:58.0,,,14-11,,J. McGee misses free throw 1 of 2
4:58.0,,,14-11,,Offensive rebound by Team
4:58.0,,,14-12,1,J. McGee makes free throw 2 of 2
4:58.0,D. Lee enters the game for P. Gasol,,14-11,,
4:38.0,P. Mills makes 2-pt shot from 5 ft (assist by L. Aldridge),2,16-12,,
4:27.0,,,16-14,2,K. Durant makes 2-pt shot from 21 ft (assist by A. Iguodala)
4:05.0,P. Mills misses 3-pt shot from 25 ft,,16-14,,
4:05.0,Offensive rebound by D. Lee,,16-14,,
3:52.0,,,16-14,,Personal foul by J. McGee (drawn by K. Leonard)
3:52.0,,,16-14,,S. Livingston enters the game for K. Thompson
3:52.0,D. Murray enters the game for P. Mills,,16-14,,
3:41.0,K. Leonard makes 2-pt shot at rim,2,18-14,,
3:21.0,,,18-14,,K. Durant misses 2-pt shot from 1 ft (block by D. Murray)
3:20.0,Defensive rebound by L. Aldridge,,18-14,,
3:13.0,K. Leonard misses 3-pt shot from 24 ft,,18-14,,
3:12.0,,,18-14,,Defensive rebound by S. Livingston
2:58.0,,,18-14,,S. Curry misses 3-pt shot from 27 ft
2:57.0,Defensive rebound by D. Lee,,18-14,,
2:41.0,D. Murray misses 2-pt shot from 14 ft,,18-14,,
2:40.0,,,18-14,,Defensive rebound by J. McGee
2:23.0,,,18-14,,S. Livingston misses 2-pt shot from 12 ft
2:23.0,Defensive rebound by D. Lee,,18-14,,
2:07.0,L. Aldridge makes 2-pt shot from 3 ft,2,20-14,,
2:07.0,Shooting foul by J. McGee (drawn by L. Aldridge),,20-14,,
2:07.0,,,20-14,,Golden State full timeout
2:07.0,L. Aldridge makes free throw 1 of 1,1,21-14,,
2:07.0,,,20-14,,D. Green enters the game for K. Durant
2:07.0,M. Ginobili enters the game for K. Leonard,,20-14,,
1:49.0,,,21-14,,Turnover by D. Green (bad pass)
1:30.0,J. Simmons makes 2-pt shot from 2 ft (assist by D. Lee),2,23-14,,
1:14.0,,,23-16,2,A. Iguodala makes 2-pt shot from 17 ft
0:55.0,L. Aldridge makes 2-pt shot from 15 ft,2,25-16,,
0:42.0,,,25-16,,Turnover by D. Green (bad pass; steal by D. Murray)
0:35.0,J. Simmons makes 3-pt shot from 24 ft,3,28-16,,
0:29.0,,,28-16,,S. Curry misses 3-pt shot from 32 ft
0:29.0,Defensive rebound by Team,,28-16,,
0:12.0,Turnover by D. Murray (lost ball; steal by S. Curry),,28-16,,
0:06.0,,,28-16,,Turnover by J. McGee (lost ball; steal by M. Ginobili)
0:01.0,L. Aldridge makes 2-pt shot at rim (assist by D. Murray),2,30-16,,
0:00.0,,,30-16,,S. Curry misses 3-pt shot from 62 ft
0:00.0,,,30-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,30-18,2,M. Barnes makes 2-pt shot from 2 ft (assist by D. Green)
11:27.0,J. Simmons misses 2-pt shot from 18 ft (block by D. West),,30-18,,
11:27.0,Offensive rebound by Team,,30-18,,
11:20.0,,,30-18,,Personal block foul by D. Green (drawn by J. Simmons)
11:20.0,K. Leonard enters the game for D. Murray,,30-18,,
11:13.0,Turnover by M. Ginobili (bad pass; steal by K. Thompson),,30-18,,
11:06.0,,,30-18,,Offensive foul by D. West
11:06.0,,,30-18,,Turnover by D. West (offensive foul)
10:53.0,K. Leonard makes 2-pt shot at rim,2,32-18,,
10:35.0,,,32-18,,Shooting foul by J. Simmons (drawn by K. Thompson)
10:35.0,,,32-18,,K. Thompson misses free throw 1 of 2
10:35.0,,,32-18,,Offensive rebound by Team
10:35.0,,,32-19,1,K. Thompson makes free throw 2 of 2
10:35.0,P. Mills enters the game for J. Simmons,,32-18,,
10:21.0,K. Leonard misses 2-pt shot from 15 ft,,32-19,,
10:21.0,,,32-19,,Defensive rebound by M. Barnes
10:11.0,,,32-19,,Turnover by D. Green (bad pass; steal by K. Leonard)
10:03.0,P. Mills misses 3-pt shot from 25 ft,,32-19,,
10:03.0,,,32-19,,Defensive rebound by Team
9:47.0,,,32-19,,D. West misses 2-pt shot from 9 ft
9:47.0,Defensive rebound by M. Ginobili,,32-19,,
9:34.0,M. Ginobili makes 3-pt shot from 26 ft (assist by D. Green),3,35-19,,
9:23.0,Personal foul by K. Leonard (drawn by D. Green),,35-19,,
9:20.0,,,35-19,,D. West misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by D. Lee,,35-19,,
9:03.0,K. Leonard makes 2-pt shot from 1 ft,2,37-19,,
9:03.0,,,37-19,,Golden State full timeout
9:03.0,,,37-19,,K. Durant enters the game for M. Barnes
8:51.0,,,37-19,,K. Thompson misses 2-pt shot from 20 ft
8:50.0,Defensive rebound by D. Lee,,37-19,,
8:30.0,Shooting foul by K. Durant (drawn by M. Ginobili),,37-19,,
8:30.0,M. Ginobili misses free throw 1 of 2,,37-19,,
8:30.0,Offensive rebound by Team,,37-19,,
8:30.0,M. Ginobili makes free throw 2 of 2,1,38-19,,
8:21.0,,,38-19,,Turnover by A. Iguodala (bad pass; steal by M. Ginobili)
8:19.0,M. Ginobili makes 2-pt shot from 2 ft,2,40-19,,
8:19.0,Shooting foul by D. Green (drawn by M. Ginobili),,40-19,,
8:19.0,M. Ginobili makes free throw 1 of 1,1,41-19,,
8:19.0,,,40-19,,M. Barnes enters the game for D. Green
8:19.0,,,40-19,,S. Livingston enters the game for A. Iguodala
8:06.0,,,41-19,,K. Durant misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by P. Mills,,41-19,,
7:52.0,Shooting foul by M. Barnes (drawn by K. Leonard),,41-19,,
7:52.0,K. Leonard makes free throw 1 of 3,1,42-19,,
7:52.0,K. Leonard makes free throw 2 of 3,1,43-19,,
7:52.0,K. Leonard makes free throw 3 of 3,1,44-19,,
7:52.0,L. Aldridge enters the game for D. Lee,,43-19,,
7:52.0,,,43-19,,S. Curry enters the game for K. Thompson
7:36.0,,,44-21,2,K. Durant makes 2-pt shot from 17 ft
7:25.0,P. Mills misses 2-pt shot from 22 ft,,44-21,,
7:24.0,Offensive rebound by D. Green,,44-21,,
7:12.0,K. Leonard misses 2-pt shot from 10 ft,,44-21,,
7:11.0,Offensive rebound by P. Mills,,44-21,,
7:05.0,Shooting foul by D. West (drawn by K. Leonard),,44-21,,
7:05.0,K. Leonard makes free throw 1 of 2,1,45-21,,
7:05.0,K. Leonard makes free throw 2 of 2,1,46-21,,
7:05.0,J. Simmons enters the game for M. Ginobili,,45-21,,
7:05.0,,,45-21,,Z. Pachulia enters the game for D. West
6:49.0,,,46-23,2,K. Durant makes 2-pt shot from 6 ft
6:30.0,Turnover by D. Green (offensive goaltending),,46-23,,
6:12.0,,,46-25,2,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia)
5:47.0,L. Aldridge misses 2-pt shot from 15 ft,,46-25,,
5:46.0,,,46-25,,Defensive rebound by K. Durant
5:41.0,,,46-25,,Shooting foul by L. Aldridge (drawn by K. Durant)
5:41.0,Official timeout,,46-25,,
5:41.0,,,46-26,1,K. Durant makes free throw 1 of 2
5:41.0,,,46-27,1,K. Durant makes free throw 2 of 2
5:41.0,P. Gasol enters the game for D. Green,,46-25,,
5:21.0,K. Leonard misses 3-pt shot from 26 ft (block by K. Durant),,46-27,,
5:20.0,Offensive rebound by K. Leonard,,46-27,,
5:18.0,P. Mills misses 3-pt shot from 26 ft,,46-27,,
5:18.0,,,46-27,,Defensive rebound by Team
5:18.0,Loose ball foul by P. Gasol (drawn by M. Barnes),,46-27,,
5:18.0,D. Lee enters the game for P. Gasol,,46-27,,
5:11.0,Personal foul by J. Simmons (drawn by S. Curry),,46-27,,
5:11.0,,,46-28,1,S. Curry makes free throw 1 of 2
5:11.0,,,46-29,1,S. Curry makes free throw 2 of 2
5:09.0,Turnover by D. Lee (bad pass; steal by S. Curry),,46-29,,
5:05.0,,,46-32,3,S. Curry makes 3-pt shot from 24 ft
5:05.0,San Antonio full timeout,,46-32,,
5:05.0,M. Ginobili enters the game for J. Simmons,,46-32,,
4:43.0,K. Leonard misses 2-pt shot from 7 ft,,46-32,,
4:42.0,Offensive rebound by K. Leonard,,46-32,,
4:37.0,L. Aldridge misses 2-pt shot from 15 ft,,46-32,,
4:36.0,Offensive rebound by K. Leonard,,46-32,,
4:30.0,K. Leonard misses 3-pt shot from 27 ft,,46-32,,
4:28.0,Offensive rebound by D. Lee,,46-32,,
4:23.0,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Leonard),2,48-32,,
4:12.0,,,48-32,,S. Livingston misses 2-pt shot from 10 ft
4:11.0,,,48-32,,Offensive rebound by K. Durant
4:09.0,,,48-32,,K. Durant misses 2-pt shot from 14 ft
4:04.0,,,48-32,,Offensive rebound by S. Livingston
4:04.0,,,48-32,,S. Livingston misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by K. Leonard,,48-32,,
3:47.0,,,48-32,,Violation by Z. Pachulia (kicked ball)
3:47.0,,,48-32,,D. Green enters the game for M. Barnes
3:47.0,,,48-32,,K. Thompson enters the game for S. Livingston
3:32.0,K. Leonard makes 2-pt shot from 12 ft,2,50-32,,
3:19.0,,,50-35,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Durant)
2:52.0,M. Ginobili makes 2-pt shot from 11 ft (assist by K. Leonard),2,52-35,,
2:42.0,,,52-35,,Turnover by S. Curry (bad pass; steal by P. Mills)
2:25.0,K. Leonard makes 2-pt shot from 2 ft,2,54-35,,
2:25.0,Shooting foul by D. Green (drawn by K. Leonard),,54-35,,
