time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. H. Whiteside (K. Bazemore gains possession),,,,Jump ball: D. Howard vs. H. Whiteside (K. Bazemore gains possession)
11:33.0,Turnover by D. Schroder (lost ball; steal by H. Whiteside),,0-0,,
11:14.0,,,0-0,,Turnover by Team (back court)
11:06.0,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap),2,2-0,,
10:49.0,,,2-0,,H. Whiteside misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by D. Howard,,2-0,,
10:28.0,D. Schroder makes 2-pt shot from 2 ft,2,4-0,,
10:17.0,,,4-0,,Turnover by L. Babbitt (bad pass; steal by P. Millsap)
10:02.0,P. Millsap misses 3-pt shot from 25 ft,,4-0,,
10:01.0,,,4-0,,Defensive rebound by H. Whiteside
9:50.0,,,4-0,,G. Dragic misses 2-pt shot from 16 ft
9:49.0,Defensive rebound by D. Howard,,4-0,,
9:40.0,T. Hardaway misses 2-pt shot from 1 ft (block by H. Whiteside),,4-0,,
9:39.0,,,4-0,,Defensive rebound by G. Dragic
9:33.0,,,4-2,2,G. Dragic makes 2-pt shot from 2 ft
9:20.0,P. Millsap makes 2-pt shot from 15 ft (assist by K. Bazemore),2,6-2,,
9:20.0,Shooting foul by L. Babbitt (drawn by P. Millsap),,6-2,,
9:20.0,P. Millsap makes free throw 1 of 1,1,7-2,,
9:02.0,,,7-5,3,L. Babbitt makes 3-pt shot from 24 ft (assist by D. Waiters)
8:49.0,T. Hardaway misses 3-pt shot from 24 ft,,7-5,,
8:48.0,,,7-5,,Defensive rebound by G. Dragic
8:42.0,,,7-8,3,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic)
8:30.0,Turnover by K. Bazemore (bad pass; steal by D. Waiters),,7-8,,
8:23.0,,,7-11,3,L. Babbitt makes 3-pt shot from 23 ft (assist by R. McGruder)
8:22.0,Atlanta full timeout,,7-11,,
8:15.0,,,7-11,,Violation by G. Dragic (kicked ball)
8:06.0,Turnover by D. Schroder (bad pass; steal by L. Babbitt),,7-11,,
8:01.0,,,7-13,2,D. Waiters makes 2-pt shot from 2 ft
7:38.0,K. Bazemore misses 2-pt shot from 8 ft,,7-13,,
7:37.0,Offensive rebound by D. Howard,,7-13,,
7:33.0,K. Bazemore makes 2-pt shot from 5 ft (assist by D. Howard),2,9-13,,
7:33.0,Shooting foul by D. Waiters (drawn by K. Bazemore),,9-13,,
7:33.0,K. Bazemore makes free throw 1 of 1,1,10-13,,
7:07.0,,,10-13,,R. McGruder misses 2-pt shot from 11 ft
7:06.0,,,10-13,,Offensive rebound by R. McGruder
7:04.0,,,10-15,2,R. McGruder makes 2-pt shot from 3 ft
6:51.0,D. Howard misses 2-pt shot from 15 ft,,10-15,,
6:50.0,,,10-15,,Defensive rebound by H. Whiteside
6:39.0,,,10-15,,H. Whiteside misses 2-pt shot from 6 ft (block by D. Howard)
6:38.0,Defensive rebound by P. Millsap,,10-15,,
6:24.0,P. Millsap makes 2-pt shot from 12 ft,2,12-15,,
6:09.0,,,12-15,,H. Whiteside misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by D. Schroder,,12-15,,
5:54.0,K. Bazemore misses 3-pt shot from 24 ft,,12-15,,
5:53.0,,,12-15,,Defensive rebound by D. Waiters
5:40.0,,,12-15,,L. Babbitt misses 3-pt shot from 25 ft
5:39.0,,,12-15,,Offensive rebound by D. Waiters
5:35.0,,,12-17,2,D. Waiters makes 2-pt shot from 15 ft
5:28.0,,,12-17,,T. Johnson enters the game for D. Waiters
5:28.0,M. Dunleavy enters the game for K. Bazemore,,12-17,,
5:24.0,D. Schroder makes 2-pt shot from 16 ft (assist by T. Hardaway),2,14-17,,
5:10.0,,,14-17,,T. Johnson misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by P. Millsap,,14-17,,
4:59.0,D. Howard misses 2-pt shot from 4 ft,,14-17,,
4:58.0,,,14-17,,Defensive rebound by L. Babbitt
4:49.0,,,14-19,2,L. Babbitt makes 2-pt shot from 12 ft (assist by G. Dragic)
4:29.0,P. Millsap makes 2-pt shot from 16 ft,2,16-19,,
4:13.0,,,16-21,2,H. Whiteside makes 2-pt shot from 7 ft (assist by T. Johnson)
3:58.0,T. Hardaway misses 3-pt shot from 25 ft,,16-21,,
3:57.0,,,16-21,,Defensive rebound by H. Whiteside
3:53.0,,,16-21,,R. McGruder misses 2-pt shot from 3 ft
3:52.0,,,16-21,,Offensive rebound by T. Johnson
3:41.0,,,16-21,,G. Dragic misses 2-pt shot from 12 ft
3:40.0,,,16-21,,Offensive rebound by Team
