time,Phoenix,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Thompson (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. T. Thompson (E. Bledsoe gains possession)
11:44.0,Turnover by E. Bledsoe (bad pass; steal by L. James),,0-0,,
11:40.0,,,0-2,2,L. James makes 2-pt shot at rim
11:40.0,,,0-2,,Shooting foul by T. Warren (drawn by L. James)
11:40.0,,,0-2,,L. James misses free throw 1 of 1
11:38.0,Defensive rebound by T. Chandler,,0-2,,
11:20.0,Turnover by E. Bledsoe (bad pass),,0-2,,
11:03.0,,,0-2,,K. Irving misses 3-pt shot from 23 ft
11:03.0,Defensive rebound by M. Chriss,,0-2,,
10:49.0,T. Chandler makes 2-pt shot from 1 ft (assist by T. Warren),2,2-2,,
10:36.0,,,2-2,,J. Jones misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by D. Booker,,2-2,,
10:29.0,D. Booker makes 2-pt shot from 20 ft,2,4-2,,
10:16.0,Personal foul by D. Booker (drawn by I. Shumpert),,4-2,,
10:07.0,,,4-4,2,K. Irving makes 2-pt shot from 19 ft
9:53.0,M. Chriss makes 2-pt shot at rim (assist by D. Booker),2,6-4,,
9:31.0,,,6-6,2,J. Jones makes 2-pt shot from 14 ft
9:21.0,Shooting foul by T. Thompson (drawn by T. Chandler),,6-6,,
9:21.0,T. Chandler makes free throw 1 of 2,1,7-6,,
9:21.0,T. Chandler makes free throw 2 of 2,1,8-6,,
9:09.0,,,8-6,,Turnover by J. Jones (bad pass; steal by E. Bledsoe)
9:05.0,Turnover by D. Booker (lost ball; steal by I. Shumpert),,8-6,,
8:56.0,,,8-9,3,J. Jones makes 3-pt shot from 24 ft (assist by L. James)
8:34.0,Turnover by D. Booker (offensive foul),,8-9,,
8:34.0,Offensive foul by D. Booker,,8-9,,
8:18.0,,,8-9,,T. Thompson misses 2-pt shot from 6 ft (block by T. Chandler)
8:16.0,Defensive rebound by T. Chandler,,8-9,,
8:06.0,T. Chandler makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,10-9,,
7:41.0,,,10-9,,L. James misses 3-pt shot from 27 ft
7:40.0,,,10-9,,Offensive rebound by Team
7:25.0,,,10-12,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
7:08.0,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Thompson),,10-12,,
7:07.0,,,10-12,,Defensive rebound by K. Irving
7:00.0,,,10-15,3,J. Jones makes 3-pt shot from 23 ft (assist by K. Irving)
7:00.0,Phoenix full timeout,,10-15,,
7:00.0,P. Tucker enters the game for D. Booker,,10-15,,
6:43.0,T. Chandler misses 2-pt shot from 2 ft (block by J. Jones),,10-15,,
6:41.0,,,10-15,,Defensive rebound by T. Thompson
6:36.0,,,10-17,2,K. Irving makes 2-pt shot from 1 ft
6:08.0,E. Bledsoe makes 3-pt shot from 26 ft,3,13-17,,
5:50.0,Def 3 sec tech foul by T. Chandler,,13-17,,
5:50.0,,,13-17,,K. Irving misses technical free throw
5:50.0,,,13-17,,Offensive rebound by Team
5:46.0,,,13-17,,Turnover by K. Irving (bad pass; steal by P. Tucker)
5:35.0,E. Bledsoe misses 3-pt shot from 25 ft,,13-17,,
5:34.0,,,13-17,,Defensive rebound by I. Shumpert
5:21.0,,,13-19,2,L. James makes 2-pt shot from 1 ft
5:21.0,,,13-19,,Shooting foul by M. Chriss (drawn by L. James)
5:21.0,,,13-20,1,L. James makes free throw 1 of 1
5:07.0,T. Chandler misses 2-pt shot from 2 ft,,13-20,,
5:07.0,,,13-20,,Defensive rebound by T. Thompson
4:56.0,,,13-20,,K. Irving misses 2-pt shot from 7 ft
4:55.0,Defensive rebound by E. Bledsoe,,13-20,,
4:49.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,15-20,,
4:35.0,,,15-23,3,I. Shumpert makes 3-pt shot from 26 ft (assist by L. James)
4:22.0,Turnover by E. Bledsoe (lost ball),,15-23,,
4:12.0,,,15-23,,Turnover by L. James (bad pass; steal by T. Warren)
4:11.0,,,15-23,,Personal foul by K. Irving (drawn by E. Bledsoe)
3:57.0,A. Len enters the game for T. Chandler,,15-23,,
3:47.0,Turnover by Team (shot clock),,15-23,,
3:35.0,,,15-23,,J. Jones misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by E. Bledsoe,,15-23,,
3:18.0,A. Len makes 2-pt shot from 9 ft (assist by M. Chriss),2,17-23,,
