time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas,,,,Jump ball: R. Lopez vs. J. Valanciunas
11:44.0,J. Valanciunas makes 2-pt shot from 15 ft (assist by J. Poeltl),2,2-0,,
11:32.0,,,2-0,,Turnover by J. Butler (step out of bounds)
11:14.0,J. Valanciunas makes 2-pt shot from 10 ft (assist by K. Lowry),2,4-0,,
10:57.0,,,4-2,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
10:35.0,K. Lowry misses 2-pt shot from 18 ft,,4-2,,
10:34.0,,,4-2,,Defensive rebound by J. Butler
10:20.0,,,4-4,2,T. Gibson makes 2-pt shot from 2 ft
10:04.0,D. DeRozan misses 2-pt shot from 13 ft,,4-4,,
10:03.0,,,4-4,,Defensive rebound by R. Lopez
9:54.0,,,4-6,2,J. Butler makes 2-pt shot from 3 ft
9:48.0,Turnover by D. DeRozan (lost ball; steal by J. Butler),,4-6,,
9:43.0,,,4-8,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
9:38.0,Toronto full timeout,,4-8,,
9:18.0,D. DeRozan misses 2-pt shot from 22 ft,,4-8,,
9:17.0,Offensive rebound by Team,,4-8,,
9:17.0,,,4-8,,Loose ball foul by T. Gibson (drawn by J. Poeltl)
9:11.0,K. Lowry makes 2-pt shot from 19 ft,2,6-8,,
8:44.0,,,6-8,,J. Grant misses 2-pt shot from 20 ft
8:42.0,,,6-8,,Offensive rebound by Team
8:36.0,,,6-8,,R. Lopez misses 2-pt shot from 15 ft
8:35.0,Defensive rebound by D. DeRozan,,6-8,,
8:19.0,J. Valanciunas misses 2-pt shot from 10 ft,,6-8,,
8:19.0,,,6-8,,Defensive rebound by R. Lopez
8:10.0,,,6-10,2,M. Carter-Williams makes 2-pt shot from 11 ft
7:52.0,D. Carroll makes 2-pt shot from 16 ft,2,8-10,,
7:31.0,,,8-10,,Shooting foul by J. Poeltl (drawn by T. Gibson)
7:31.0,,,8-11,1,T. Gibson makes free throw 1 of 2
7:31.0,,,8-12,1,T. Gibson makes free throw 2 of 2
7:16.0,D. DeRozan misses 2-pt shot from 19 ft,,8-12,,
7:16.0,,,8-12,,Defensive rebound by M. Carter-Williams
7:07.0,,,8-12,,R. Lopez misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by J. Valanciunas,,8-12,,
6:52.0,Turnover by D. DeRozan (bad pass),,8-12,,
6:42.0,Personal foul by D. DeRozan (drawn by M. Carter-Williams),,8-12,,
6:31.0,,,8-12,,T. Gibson misses 2-pt shot from 8 ft
6:30.0,,,8-12,,Offensive rebound by R. Lopez
6:30.0,,,8-12,,R. Lopez misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by J. Valanciunas,,8-12,,
6:15.0,D. DeRozan misses 2-pt shot from 3 ft (block by R. Lopez),,8-12,,
6:13.0,Offensive rebound by Team,,8-12,,
6:09.0,D. DeRozan misses 2-pt shot from 14 ft,,8-12,,
6:08.0,Offensive rebound by J. Valanciunas,,8-12,,
6:08.0,J. Valanciunas misses 2-pt shot from 1 ft,,8-12,,
6:07.0,Offensive rebound by J. Valanciunas,,8-12,,
6:07.0,J. Valanciunas makes 2-pt shot from 3 ft,2,10-12,,
5:52.0,,,10-12,,R. Lopez misses 2-pt shot from 3 ft (block by J. Poeltl)
5:51.0,,,10-12,,Offensive rebound by Team
5:43.0,,,10-12,,Turnover by J. Butler (lost ball; steal by D. Carroll)
5:21.0,Turnover by K. Lowry (bad pass; steal by J. Grant),,10-12,,
5:16.0,,,10-12,,J. Grant misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by K. Lowry,,10-12,,
5:07.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,12-12,,
4:56.0,,,12-14,2,M. Carter-Williams makes 2-pt shot from 3 ft
4:47.0,K. Lowry misses 3-pt shot from 25 ft,,12-14,,
4:46.0,,,12-14,,Defensive rebound by R. Lopez
4:34.0,C. Joseph enters the game for K. Lowry,,12-14,,
4:34.0,L. Nogueira enters the game for J. Poeltl,,12-14,,
4:34.0,,,12-14,,D. McDermott enters the game for J. Grant
4:17.0,,,12-14,,J. Butler misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by D. DeRozan,,12-14,,
4:09.0,D. DeRozan makes 2-pt shot from 18 ft,2,14-14,,
3:52.0,,,14-14,,J. Butler misses 2-pt shot from 7 ft
3:52.0,Defensive rebound by J. Valanciunas,,14-14,,
3:42.0,,,14-14,,Def 3 sec tech foul by R. Lopez
3:42.0,D. DeRozan makes technical free throw,1,15-14,,
3:42.0,,,15-14,,B. Portis enters the game for T. Gibson
3:42.0,,,15-14,,R. Rondo enters the game for M. Carter-Williams
3:34.0,Turnover by C. Joseph (bad pass; steal by J. Butler),,15-14,,
3:32.0,,,15-16,2,J. Butler makes 2-pt shot from 3 ft
3:10.0,D. DeRozan misses 2-pt shot from 3 ft,,15-16,,
3:09.0,Offensive rebound by J. Valanciunas,,15-16,,
3:09.0,J. Valanciunas makes 2-pt shot from 3 ft,2,17-16,,
3:02.0,,,17-16,,Turnover by R. Rondo (bad pass; steal by C. Joseph)
2:53.0,J. Valanciunas misses 2-pt shot from 5 ft (block by B. Portis),,17-16,,
2:51.0,,,17-16,,Defensive rebound by R. Lopez
2:40.0,,,17-16,,Shooting foul by J. Valanciunas (drawn by B. Portis)
2:40.0,,,17-16,,Chicago full timeout
2:40.0,Technical foul by J. Valanciunas (drawn by B. Portis),,17-16,,
2:40.0,,,17-17,1,J. Butler makes technical free throw
2:40.0,,,17-18,1,B. Portis makes free throw 1 of 2
2:40.0,,,17-19,1,B. Portis makes free throw 2 of 2
2:40.0,J. Poeltl enters the game for J. Valanciunas,,17-16,,
