time,Toronto,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. J. Valanciunas (K. Durant gains possession),,,,Jump ball: Z. Pachulia vs. J. Valanciunas (K. Durant gains possession)
11:49.0,,,0-2,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
11:32.0,D. DeRozan misses 2-pt shot from 19 ft (block by D. Green),,0-2,,
11:31.0,,,0-2,,Defensive rebound by K. Thompson
11:26.0,,,0-4,2,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson)
10:58.0,D. DeRozan makes 2-pt shot from 21 ft (assist by K. Lowry),2,2-4,,
10:51.0,,,2-4,,Z. Pachulia misses 2-pt shot from 3 ft (block by J. Valanciunas)
10:49.0,,,2-4,,Offensive rebound by Z. Pachulia
10:48.0,,,2-6,2,Z. Pachulia makes 2-pt shot from 2 ft
10:33.0,D. DeRozan misses 2-pt shot from 18 ft,,2-6,,
10:33.0,Offensive rebound by D. DeRozan,,2-6,,
10:20.0,K. Lowry misses 3-pt shot from 28 ft,,2-6,,
10:20.0,Offensive rebound by P. Siakam,,2-6,,
10:19.0,P. Siakam misses 2-pt shot from 2 ft (block by K. Durant),,2-6,,
10:14.0,Offensive rebound by D. Carroll,,2-6,,
10:01.0,D. Carroll misses 2-pt shot from 9 ft (block by K. Durant),,2-6,,
9:59.0,,,2-6,,Defensive rebound by K. Thompson
9:44.0,,,2-9,3,K. Thompson makes 3-pt shot from 27 ft
9:24.0,J. Valanciunas misses 2-pt shot from 3 ft,,2-9,,
9:23.0,,,2-9,,Defensive rebound by K. Durant
9:16.0,,,2-11,2,K. Durant makes 2-pt shot from 2 ft
9:09.0,Toronto full timeout,,2-11,,
9:00.0,Shooting foul by Z. Pachulia (drawn by J. Valanciunas),,2-11,,
9:00.0,J. Valanciunas makes free throw 1 of 2,1,3-11,,
9:00.0,J. Valanciunas makes free throw 2 of 2,1,4-11,,
8:46.0,,,4-13,2,S. Curry makes 2-pt shot from 13 ft (assist by K. Durant)
8:27.0,D. DeRozan misses 2-pt shot from 21 ft,,4-13,,
8:26.0,,,4-13,,Defensive rebound by S. Curry
8:20.0,,,4-16,3,K. Thompson makes 3-pt shot from 28 ft (assist by S. Curry)
7:55.0,D. Carroll misses 2-pt shot from 22 ft,,4-16,,
7:54.0,,,4-16,,Defensive rebound by S. Curry
7:49.0,,,4-19,3,S. Curry makes 3-pt shot from 27 ft
7:40.0,Toronto full timeout,,4-19,,
