time,Phoenix,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Noah (D. Rose gains possession),,,,Jump ball: T. Chandler vs. J. Noah (D. Rose gains possession)
11:35.0,,,0-3,3,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose)
11:15.0,E. Bledsoe makes 2-pt shot from 2 ft,2,2-3,,
10:59.0,,,2-3,,C. Anthony misses 2-pt shot from 19 ft
10:57.0,Defensive rebound by T. Chandler,,2-3,,
10:50.0,M. Chriss makes 2-pt shot at rim (assist by T. Warren),2,4-3,,
10:50.0,Shooting foul by K. Porzingis (drawn by M. Chriss),,4-3,,
10:50.0,M. Chriss misses free throw 1 of 1,,4-3,,
10:48.0,,,4-3,,Defensive rebound by J. Noah
10:36.0,,,4-5,2,C. Lee makes 2-pt shot from 20 ft (assist by J. Noah)
10:27.0,E. Bledsoe misses 2-pt shot from 3 ft,,4-5,,
10:25.0,,,4-5,,Defensive rebound by C. Anthony
10:16.0,,,4-7,2,C. Anthony makes 2-pt shot from 2 ft
9:57.0,D. Booker makes 2-pt shot from 11 ft,2,6-7,,
9:46.0,,,6-9,2,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Noah)
9:33.0,E. Bledsoe makes 2-pt shot from 5 ft,2,8-9,,
9:22.0,,,8-11,2,D. Rose makes 2-pt shot from 20 ft (assist by J. Noah)
9:04.0,,,8-11,,Personal foul by C. Anthony
8:58.0,Turnover by D. Booker (traveling),,8-11,,
8:45.0,,,8-13,2,D. Rose makes 2-pt shot from 1 ft
8:28.0,M. Chriss misses 3-pt shot from 24 ft,,8-13,,
8:26.0,,,8-13,,Defensive rebound by J. Noah
8:24.0,,,8-13,,Turnover by J. Noah (bad pass; steal by D. Booker)
8:13.0,T. Warren makes 2-pt shot from 5 ft (assist by D. Booker),2,10-13,,
8:02.0,,,10-13,,C. Anthony misses 2-pt shot from 18 ft
8:00.0,Defensive rebound by M. Chriss,,10-13,,
7:46.0,D. Booker misses 2-pt shot from 3 ft,,10-13,,
7:42.0,Offensive rebound by M. Chriss,,10-13,,
7:42.0,M. Chriss makes 2-pt shot at rim,2,12-13,,
7:23.0,,,12-16,3,C. Anthony makes 3-pt shot from 25 ft (assist by D. Rose)
7:09.0,Shooting foul by J. Noah (drawn by T. Chandler),,12-16,,
7:09.0,T. Chandler makes free throw 1 of 2,1,13-16,,
7:09.0,T. Chandler makes free throw 2 of 2,1,14-16,,
6:49.0,,,14-18,2,D. Rose makes 2-pt shot from 4 ft
6:37.0,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker),3,17-18,,
6:34.0,,,17-18,,New York full timeout
6:10.0,,,17-18,,D. Rose misses 2-pt shot from 5 ft
6:08.0,,,17-18,,Offensive rebound by J. Noah
6:08.0,,,17-18,,J. Noah misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by T. Chandler,,17-18,,
5:48.0,T. Warren misses 2-pt shot from 9 ft,,17-18,,
5:46.0,,,17-18,,Defensive rebound by J. Noah
5:39.0,,,17-20,2,C. Anthony makes 2-pt shot from 15 ft
5:39.0,,,17-20,,Shooting foul by T. Warren (drawn by C. Anthony)
5:39.0,,,17-21,1,C. Anthony makes free throw 1 of 1
5:39.0,P. Tucker enters the game for T. Warren,,17-20,,
