time,Phoenix,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. D. Nowitzki (E. Bledsoe gains possession),,,,Jump ball: M. Chriss vs. D. Nowitzki (E. Bledsoe gains possession)
11:35.0,D. Jones makes 2-pt shot from 16 ft (assist by M. Chriss),2,2-0,,
11:18.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 22 ft (assist by W. Matthews)
11:00.0,Turnover by E. Bledsoe (lost ball),,2-2,,
10:43.0,,,2-4,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by S. Curry)
10:30.0,E. Bledsoe misses 3-pt shot from 24 ft,,2-4,,
10:29.0,,,2-4,,Defensive rebound by S. Curry
10:22.0,,,2-7,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Curry)
10:07.0,Shooting foul by Y. Ferrell (drawn by D. Booker),,2-7,,
10:07.0,D. Booker makes free throw 1 of 2,1,3-7,,
10:07.0,D. Booker makes free throw 2 of 2,1,4-7,,
9:55.0,,,4-7,,Turnover by S. Curry (bad pass)
9:38.0,M. Chriss misses 3-pt shot from 25 ft,,4-7,,
9:37.0,,,4-7,,Defensive rebound by W. Matthews
9:28.0,,,4-7,,H. Barnes misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by D. Jones,,4-7,,
9:21.0,E. Bledsoe misses 2-pt shot from 16 ft,,4-7,,
9:18.0,,,4-7,,Defensive rebound by H. Barnes
9:07.0,,,4-7,,Shooting foul by T. Warren (drawn by D. Nowitzki)
9:07.0,,,4-8,1,D. Nowitzki makes free throw 1 of 2
9:07.0,,,4-9,1,D. Nowitzki makes free throw 2 of 2
8:49.0,E. Bledsoe makes 2-pt shot from 18 ft,2,6-9,,
8:29.0,,,6-9,,S. Curry misses 2-pt shot from 1 ft (block by M. Chriss)
8:27.0,Defensive rebound by E. Bledsoe,,6-9,,
8:22.0,E. Bledsoe misses 2-pt shot from 19 ft,,6-9,,
8:21.0,,,6-9,,Defensive rebound by D. Nowitzki
8:10.0,,,6-11,2,Y. Ferrell makes 2-pt shot from 1 ft
8:00.0,T. Warren misses 2-pt shot from 20 ft,,6-11,,
7:59.0,,,6-11,,Defensive rebound by D. Nowitzki
7:48.0,,,6-13,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by Y. Ferrell)
7:48.0,Phoenix full timeout,,6-13,,
7:35.0,T. Warren makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,8-13,,
7:20.0,,,8-13,,Turnover by S. Curry (bad pass)
7:08.0,E. Bledsoe misses 3-pt shot from 24 ft,,8-13,,
7:07.0,,,8-13,,Defensive rebound by D. Nowitzki
6:55.0,,,8-13,,H. Barnes misses 2-pt shot from 5 ft (block by T. Warren)
6:53.0,Defensive rebound by D. Jones,,8-13,,
6:50.0,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe),2,10-13,,
6:24.0,,,10-13,,S. Curry misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by M. Chriss,,10-13,,
6:15.0,E. Bledsoe misses 2-pt shot from 23 ft,,10-13,,
6:14.0,,,10-13,,Defensive rebound by Team
6:14.0,,,10-13,,S. Mejri enters the game for D. Nowitzki
6:04.0,,,10-13,,S. Mejri misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by T. Warren,,10-13,,
5:55.0,D. Booker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,13-13,,
5:40.0,,,13-13,,Shooting foul by M. Chriss (drawn by Y. Ferrell)
5:40.0,,,13-14,1,Y. Ferrell makes free throw 1 of 2
5:40.0,,,13-15,1,Y. Ferrell makes free throw 2 of 2
5:22.0,,,13-15,,Personal foul by S. Mejri (drawn by M. Chriss)
5:14.0,M. Chriss makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,16-15,,
4:55.0,,,16-15,,Offensive charge foul by H. Barnes
4:55.0,,,16-15,,Turnover by H. Barnes (offensive foul)
4:55.0,,,16-15,,D. Powell enters the game for S. Mejri
4:47.0,E. Bledsoe makes 2-pt shot from 4 ft,2,18-15,,
4:26.0,,,18-15,,Shooting foul by T. Warren (drawn by H. Barnes)
4:26.0,,,18-16,1,H. Barnes makes free throw 1 of 2
4:26.0,,,18-17,1,H. Barnes makes free throw 2 of 2
4:17.0,Shooting foul by Y. Ferrell (drawn by E. Bledsoe),,18-17,,
4:17.0,E. Bledsoe makes free throw 1 of 3,1,19-17,,
4:17.0,E. Bledsoe makes free throw 2 of 3,1,20-17,,
4:17.0,E. Bledsoe makes free throw 3 of 3,1,21-17,,
4:17.0,J. Dudley enters the game for T. Warren,,20-17,,
4:17.0,,,20-17,,J. Barea enters the game for Y. Ferrell
4:03.0,,,21-17,,W. Matthews misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by M. Chriss,,21-17,,
3:51.0,Turnover by D. Jones (bad pass),,21-17,,
3:38.0,Def 3 sec tech foul by M. Chriss,,21-17,,
3:38.0,,,21-18,1,S. Curry makes technical free throw
