time,Oklahoma City,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. D. Howard (V. Oladipo gains possession)
11:36.0,S. Adams misses 2-pt shot from 4 ft,,0-0,,
11:34.0,Offensive rebound by S. Adams,,0-0,,
11:22.0,Turnover by S. Adams (lost ball; steal by D. Howard),,0-0,,
11:22.0,,,0-0,,K. Bazemore misses 2-pt shot from 2 ft
11:22.0,,,0-0,,Offensive rebound by K. Bazemore
11:13.0,,,0-0,,Turnover by K. Bazemore (lost ball; steal by V. Oladipo)
11:08.0,V. Oladipo misses 2-pt shot at rim,,0-0,,
11:08.0,,,0-0,,Defensive rebound by Team
10:52.0,,,0-0,,P. Millsap misses 2-pt shot from 3 ft
10:51.0,Defensive rebound by R. Westbrook,,0-0,,
10:48.0,Turnover by A. Roberson (lost ball; steal by D. Schroder),,0-0,,
10:21.0,,,0-0,,K. Bazemore misses 3-pt shot from 24 ft
10:20.0,,,0-0,,Offensive rebound by Team
10:14.0,,,0-0,,K. Bazemore misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by S. Adams,,0-0,,
10:05.0,D. Sabonis misses 3-pt shot from 24 ft,,0-0,,
10:02.0,,,0-0,,Defensive rebound by D. Howard
9:54.0,,,0-0,,Shooting foul by A. Roberson (drawn by D. Schroder)
9:54.0,,,0-1,1,D. Schroder makes free throw 1 of 2
9:54.0,,,0-2,1,D. Schroder makes free throw 2 of 2
9:48.0,Turnover by R. Westbrook (bad pass),,0-2,,
9:31.0,,,0-2,,T. Sefolosha misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by R. Westbrook,,0-2,,
9:20.0,,,0-2,,Personal foul by P. Millsap (drawn by R. Westbrook)
9:10.0,R. Westbrook misses 2-pt shot from 20 ft,,0-2,,
9:09.0,,,0-2,,Defensive rebound by D. Howard
9:00.0,,,0-2,,Turnover by K. Bazemore (bad pass; steal by D. Sabonis)
8:56.0,V. Oladipo misses 2-pt shot from 2 ft (block by T. Sefolosha),,0-2,,
8:56.0,Offensive rebound by Team,,0-2,,
8:52.0,V. Oladipo makes 3-pt shot from 24 ft (assist by D. Sabonis),3,3-2,,
8:38.0,,,3-2,,D. Schroder misses 2-pt shot from 19 ft
8:37.0,,,3-2,,Offensive rebound by D. Howard
8:33.0,,,3-2,,Turnover by D. Howard (bad pass)
8:25.0,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook),2,5-2,,
8:06.0,,,5-4,2,P. Millsap makes 2-pt shot from 7 ft (assist by D. Howard)
7:55.0,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha),,5-4,,
7:48.0,,,5-6,2,T. Sefolosha makes 2-pt shot from 3 ft (assist by D. Schroder)
7:33.0,A. Roberson misses 2-pt shot from 3 ft,,5-6,,
7:33.0,,,5-6,,Defensive rebound by Team
7:11.0,,,5-8,2,P. Millsap makes 2-pt shot from 16 ft (assist by K. Bazemore)
6:58.0,S. Adams misses 2-pt shot from 9 ft,,5-8,,
6:56.0,,,5-8,,Defensive rebound by P. Millsap
6:53.0,Personal foul by S. Adams (drawn by D. Howard),,5-8,,
6:53.0,,,5-8,,M. Muscala enters the game for D. Howard
6:46.0,,,5-8,,P. Millsap misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by R. Westbrook,,5-8,,
6:30.0,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook),2,7-8,,
6:21.0,Personal foul by D. Sabonis (drawn by P. Millsap),,7-8,,
6:14.0,,,7-10,2,M. Muscala makes 2-pt shot from 19 ft (assist by K. Bazemore)
6:01.0,Shooting foul by M. Muscala (drawn by R. Westbrook),,7-10,,
6:01.0,R. Westbrook makes free throw 1 of 2,1,8-10,,
6:01.0,R. Westbrook misses free throw 2 of 2,,8-10,,
5:57.0,Offensive rebound by S. Adams,,8-10,,
5:57.0,S. Adams misses 2-pt shot from 2 ft (block by M. Muscala),,8-10,,
5:57.0,,,8-10,,Defensive rebound by Team
5:57.0,Loose ball foul by S. Adams (drawn by T. Sefolosha),,8-10,,
5:57.0,,,8-10,,Atlanta full timeout
5:57.0,E. Kanter enters the game for S. Adams,,8-10,,
5:57.0,A. Morrow enters the game for V. Oladipo,,8-10,,
5:38.0,,,8-10,,P. Millsap misses 2-pt shot from 13 ft
5:36.0,Defensive rebound by R. Westbrook,,8-10,,
5:27.0,Shooting foul by M. Muscala (drawn by E. Kanter),,8-10,,
5:27.0,E. Kanter makes free throw 1 of 2,1,9-10,,
5:27.0,E. Kanter makes free throw 2 of 2,1,10-10,,
5:10.0,,,10-12,2,D. Schroder makes 2-pt shot from 2 ft (assist by M. Muscala)
4:58.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,12-12,,
4:44.0,,,12-12,,Shooting foul by D. Sabonis (drawn by M. Muscala)
4:44.0,,,12-13,1,M. Muscala makes free throw 1 of 2
4:44.0,,,12-14,1,M. Muscala makes free throw 2 of 2
4:44.0,J. Lauvergne enters the game for D. Sabonis,,12-13,,
4:44.0,,,12-13,,K. Korver enters the game for K. Bazemore
4:31.0,Turnover by R. Westbrook (lost ball; steal by T. Sefolosha),,12-14,,
4:27.0,,,12-16,2,T. Sefolosha makes 2-pt shot at rim
4:04.0,R. Westbrook misses 3-pt shot from 24 ft,,12-16,,
4:03.0,,,12-16,,Defensive rebound by M. Muscala
3:49.0,Personal foul by J. Lauvergne (drawn by M. Muscala),,12-16,,
3:49.0,,,12-17,1,M. Muscala makes free throw 1 of 2
3:49.0,,,12-18,1,M. Muscala makes free throw 2 of 2
3:49.0,,,12-17,,T. Hardaway enters the game for P. Millsap
3:23.0,E. Kanter misses 2-pt shot from 14 ft,,12-18,,
3:21.0,,,12-18,,Defensive rebound by D. Schroder
3:14.0,,,12-18,,T. Hardaway misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by R. Westbrook,,12-18,,
3:09.0,Turnover by R. Westbrook (lost ball; steal by K. Korver),,12-18,,
3:08.0,,,12-18,,Turnover by M. Muscala (lost ball)
3:08.0,Oklahoma City full timeout,,12-18,,
3:08.0,,,12-18,,P. Millsap enters the game for T. Sefolosha
3:08.0,,,12-18,,D. Howard enters the game for M. Muscala
3:08.0,V. Oladipo enters the game for A. Roberson,,12-18,,
3:08.0,S. Christon enters the game for R. Westbrook,,12-18,,
3:05.0,A. Morrow misses 2-pt shot from 20 ft,,12-18,,
3:02.0,,,12-18,,Defensive rebound by T. Hardaway
2:58.0,,,12-18,,Offensive foul by D. Howard
2:58.0,,,12-18,,Turnover by D. Howard (offensive foul)
2:43.0,V. Oladipo misses 3-pt shot from 24 ft,,12-18,,
2:41.0,Offensive rebound by J. Lauvergne,,12-18,,
2:37.0,A. Morrow makes 3-pt shot from 25 ft (assist by J. Lauvergne),3,15-18,,
2:27.0,Personal foul by V. Oladipo (drawn by P. Millsap),,15-18,,
2:27.0,,,15-19,1,P. Millsap makes free throw 1 of 2
2:27.0,,,15-19,,P. Millsap misses free throw 2 of 2
2:27.0,,,15-19,,M. Delaney enters the game for D. Schroder
2:25.0,Defensive rebound by E. Kanter,,15-19,,
2:13.0,Turnover by J. Lauvergne (bad pass; steal by T. Hardaway),,15-19,,
2:02.0,,,15-19,,D. Howard misses 2-pt shot from 2 ft (block by J. Lauvergne)
2:02.0,Defensive rebound by Team,,15-19,,
1:48.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by S. Christon),2,17-19,,
1:29.0,,,17-19,,Turnover by D. Howard (lost ball; steal by J. Lauvergne)
1:19.0,Turnover by J. Lauvergne (bad pass; steal by P. Millsap),,17-19,,
1:15.0,,,17-21,2,P. Millsap makes 2-pt shot from 2 ft (assist by T. Hardaway)
1:15.0,,,17-21,,Shooting foul by J. Lauvergne (drawn by P. Millsap)
1:15.0,,,17-21,,P. Millsap misses free throw 1 of 1
1:15.0,J. Grant enters the game for J. Lauvergne,,17-21,,
1:13.0,Defensive rebound by J. Grant,,17-21,,
0:58.0,Shooting foul by D. Howard (drawn by E. Kanter),,17-21,,
0:58.0,E. Kanter misses free throw 1 of 2,,17-21,,
0:58.0,Offensive rebound by Team,,17-21,,
0:58.0,E. Kanter makes free throw 2 of 2,1,18-21,,
0:58.0,,,17-21,,K. Humphries enters the game for D. Howard
0:42.0,,,18-21,,K. Humphries misses 2-pt shot from 8 ft
0:40.0,Defensive rebound by E. Kanter,,18-21,,
0:31.0,E. Kanter makes 3-pt shot from 25 ft (assist by S. Christon),3,21-21,,
0:11.0,,,21-21,,M. Delaney misses 2-pt shot from 21 ft
0:09.0,,,21-21,,Offensive rebound by K. Humphries
0:08.0,,,21-21,,Turnover by K. Humphries (lost ball; steal by J. Grant)
0:08.0,Jump ball: J. Grant vs. K. Humphries (E. Kanter gains possession),,,,Jump ball: J. Grant vs. K. Humphries (E. Kanter gains possession)
0:01.0,J. Grant makes 2-pt shot at rim (assist by S. Christon),2,23-21,,
0:01.0,,,23-21,,Turnover by T. Hardaway (bad pass; steal by S. Christon)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,23-21,,Turnover by M. Delaney (step out of bounds)
11:21.0,J. Grant makes 2-pt shot from 3 ft,2,25-21,,
11:10.0,,,25-24,3,K. Korver makes 3-pt shot from 25 ft (assist by T. Hardaway)
10:57.0,V. Oladipo makes 2-pt shot from 15 ft (assist by J. Grant),2,27-24,,
10:43.0,Personal foul by J. Grant (drawn by P. Millsap),,27-24,,
10:42.0,Personal foul by A. Morrow (drawn by T. Hardaway),,27-24,,
10:40.0,Personal foul by V. Oladipo (drawn by P. Millsap),,27-24,,
10:33.0,,,27-26,2,K. Humphries makes 2-pt shot from 2 ft (assist by M. Delaney)
10:10.0,A. Morrow makes 3-pt shot from 24 ft (assist by E. Kanter),3,30-26,,
9:50.0,,,30-28,2,T. Hardaway makes 2-pt shot from 1 ft
9:39.0,,,30-28,,Personal foul by K. Korver (drawn by A. Morrow)
9:39.0,,,30-28,,M. Muscala enters the game for K. Humphries
9:39.0,A. Roberson enters the game for A. Morrow,,30-28,,
9:28.0,V. Oladipo misses 3-pt shot from 25 ft,,30-28,,
9:26.0,,,30-28,,Defensive rebound by P. Millsap
