time,Brooklyn,pts.away,score,pts.home,LA Lakers
4:31.0,,,19-23,,LA Lakers full timeout
4:31.0,J. Harris enters the game for B. Bogdanovic,,19-23,,
4:31.0,,,19-23,,J. Clarkson enters the game for L. Deng
4:31.0,,,19-23,,B. Ingram enters the game for T. Mozgov
4:31.0,,,19-23,,L. Nance enters the game for N. Young
4:14.0,,,19-23,,Turnover by J. Randle (bad pass; steal by R. Hollis-Jefferson)
4:08.0,J. Harris misses 3-pt shot from 25 ft,,19-23,,
4:04.0,,,19-23,,Defensive rebound by J. Randle
3:59.0,,,19-25,2,L. Nance makes 2-pt shot from 3 ft (assist by J. Randle)
3:51.0,Turnover by R. Hollis-Jefferson (lost ball; steal by L. Nance),,19-25,,
3:47.0,,,19-27,2,D. Russell makes 2-pt shot at rim (assist by J. Clarkson)
3:28.0,Shooting foul by L. Nance (drawn by B. Lopez),,19-27,,
3:28.0,B. Lopez makes free throw 1 of 2,1,20-27,,
3:28.0,B. Lopez makes free throw 2 of 2,1,21-27,,
3:28.0,,,20-27,,T. Black enters the game for J. Randle
3:28.0,Y. Ferrell enters the game for R. Foye,,20-27,,
3:28.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,20-27,,
3:12.0,,,21-27,,J. Clarkson misses 2-pt shot from 4 ft
3:11.0,Defensive rebound by S. Kilpatrick,,21-27,,
2:49.0,J. Harris misses 3-pt shot from 26 ft,,21-27,,
2:48.0,Offensive rebound by B. Lopez,,21-27,,
2:44.0,B. Lopez misses 2-pt shot from 8 ft,,21-27,,
2:40.0,,,21-27,,Defensive rebound by L. Nance
2:35.0,,,21-27,,D. Russell misses 2-pt shot from 10 ft
2:33.0,Defensive rebound by J. Hamilton,,21-27,,
2:27.0,B. Lopez misses 2-pt shot from 2 ft,,21-27,,
2:27.0,Offensive rebound by Team,,21-27,,
2:27.0,,,21-27,,L. Williams enters the game for D. Russell
2:27.0,T. Booker enters the game for B. Lopez,,21-27,,
2:16.0,T. Booker makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,24-27,,
2:00.0,,,24-27,,J. Clarkson misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by T. Booker,,24-27,,
1:54.0,T. Booker makes 2-pt shot from 2 ft,2,26-27,,
1:41.0,,,26-27,,T. Black misses 2-pt shot at rim (block by T. Booker)
1:40.0,,,26-27,,Offensive rebound by T. Black
1:30.0,,,26-27,,L. Williams misses 3-pt shot from 27 ft
1:29.0,Defensive rebound by J. Hamilton,,26-27,,
1:16.0,Y. Ferrell misses 3-pt shot from 26 ft,,26-27,,
1:15.0,,,26-27,,Defensive rebound by L. Williams
1:14.0,,,26-27,,Turnover by L. Williams (bad pass)
1:05.0,S. Kilpatrick misses 2-pt shot from 4 ft,,26-27,,
1:01.0,,,26-27,,Defensive rebound by T. Black
0:55.0,,,26-27,,J. Clarkson misses 3-pt shot from 27 ft
0:54.0,Defensive rebound by J. Hamilton,,26-27,,
0:46.0,J. Hamilton makes 3-pt shot from 28 ft (assist by Y. Ferrell),3,29-27,,
0:23.0,,,29-27,,J. Clarkson misses 2-pt shot from 13 ft
0:23.0,,,29-27,,Offensive rebound by Team
0:22.0,,,29-27,,Turnover by Team (shot clock)
0:22.0,L. Scola enters the game for J. Hamilton,,29-27,,
0:04.0,L. Scola misses 3-pt shot from 24 ft,,29-27,,
0:02.0,Offensive rebound by T. Booker,,29-27,,
0:01.0,T. Booker misses 2-pt shot from 16 ft,,29-27,,
0:00.0,Offensive rebound by Team,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-27,,Turnover by B. Ingram (bad pass; steal by L. Scola)
11:39.0,L. Scola makes 2-pt shot from 1 ft (assist by R. Foye),2,31-27,,
11:26.0,,,31-27,,Turnover by J. Clarkson (bad pass; steal by J. Hamilton)
11:22.0,Turnover by Y. Ferrell (bad pass; steal by J. Clarkson),,31-27,,
11:16.0,,,31-29,2,L. Williams makes 2-pt shot from 1 ft
11:01.0,B. Bogdanovic misses 3-pt shot from 26 ft,,31-29,,
10:59.0,,,31-29,,Defensive rebound by L. Nance
10:51.0,,,31-29,,L. Nance misses 2-pt shot from 13 ft
10:50.0,Defensive rebound by Team,,31-29,,
10:50.0,,,31-29,,L. Deng enters the game for T. Black
10:42.0,Shooting foul by L. Nance (drawn by Y. Ferrell),,31-29,,
10:42.0,Y. Ferrell misses free throw 1 of 2,,31-29,,
10:42.0,Offensive rebound by Team,,31-29,,
10:42.0,Y. Ferrell makes free throw 2 of 2,1,32-29,,
10:29.0,,,32-32,3,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Nance)
10:12.0,L. Scola misses 2-pt shot from 13 ft,,32-32,,
10:10.0,,,32-32,,Defensive rebound by L. Williams
9:59.0,,,32-32,,L. Nance misses 2-pt shot from 17 ft
9:58.0,Defensive rebound by R. Foye,,32-32,,
9:50.0,J. Hamilton misses 3-pt shot from 22 ft,,32-32,,
9:49.0,,,32-32,,Defensive rebound by L. Nance
9:35.0,,,32-32,,L. Williams misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by L. Scola,,32-32,,
9:27.0,R. Foye misses 3-pt shot from 26 ft,,32-32,,
9:25.0,Offensive rebound by L. Scola,,32-32,,
9:22.0,Turnover by L. Scola (lost ball; steal by J. Clarkson),,32-32,,
9:15.0,,,32-34,2,J. Clarkson makes 2-pt shot from 1 ft
8:56.0,B. Bogdanovic misses 2-pt shot from 10 ft,,32-34,,
8:54.0,,,32-34,,Defensive rebound by J. Clarkson
8:48.0,Personal foul by Y. Ferrell (drawn by L. Nance),,32-34,,
8:48.0,Official timeout,,32-34,,
8:48.0,I. Whitehead enters the game for Y. Ferrell,,32-34,,
8:33.0,,,32-36,2,L. Williams makes 2-pt shot from 2 ft
8:21.0,Turnover by B. Bogdanovic (bad pass),,32-36,,
8:09.0,Personal foul by B. Bogdanovic (drawn by B. Ingram),,32-36,,
8:00.0,,,32-38,2,B. Ingram makes 2-pt shot from 1 ft
7:37.0,I. Whitehead makes 2-pt shot from 2 ft (assist by L. Scola),2,34-38,,
7:25.0,,,34-38,,L. Williams misses 2-pt shot from 10 ft
7:23.0,Defensive rebound by L. Scola,,34-38,,
7:14.0,R. Foye makes 2-pt shot from 7 ft,2,36-38,,
7:04.0,,,36-38,,Turnover by L. Williams (bad pass; steal by B. Bogdanovic)
7:00.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,38-38,,
7:00.0,Shooting foul by L. Nance (drawn by B. Bogdanovic),,38-38,,
7:00.0,B. Bogdanovic makes free throw 1 of 1,1,39-38,,
7:00.0,J. Harris enters the game for R. Foye,,38-38,,
7:00.0,,,38-38,,J. Randle enters the game for L. Nance
6:44.0,,,39-38,,Shooting foul by L. Scola (drawn by J. Randle)
6:44.0,,,39-39,1,J. Randle makes free throw 1 of 2
6:44.0,,,39-39,,J. Randle misses free throw 2 of 2
6:44.0,,,39-39,,D. Russell enters the game for L. Williams
6:43.0,Defensive rebound by L. Scola,,39-39,,
6:28.0,B. Bogdanovic makes 2-pt shot from 6 ft,2,41-39,,
6:10.0,,,41-41,2,J. Randle makes 2-pt shot from 4 ft
6:05.0,,,41-41,,Violation by J. Randle (def goaltending)
6:05.0,L. Scola makes 2-pt shot from 1 ft,2,43-41,,
6:05.0,Shooting foul by J. Randle (drawn by L. Scola),,43-41,,
6:05.0,L. Scola misses free throw 1 of 1,,43-41,,
6:05.0,T. Booker enters the game for J. Hamilton,,43-41,,
6:05.0,,,43-41,,N. Young enters the game for L. Deng
6:05.0,,,43-41,,T. Mozgov enters the game for J. Clarkson
6:01.0,,,43-41,,Defensive rebound by B. Ingram
5:48.0,,,43-41,,T. Mozgov misses 2-pt shot from 4 ft
5:45.0,Defensive rebound by T. Booker,,43-41,,
5:39.0,B. Bogdanovic misses 2-pt shot from 14 ft,,43-41,,
5:37.0,,,43-41,,Defensive rebound by D. Russell
5:31.0,,,43-41,,D. Russell misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by B. Bogdanovic,,43-41,,
5:12.0,I. Whitehead misses 2-pt shot from 15 ft (block by B. Ingram),,43-41,,
5:12.0,Offensive rebound by Team,,43-41,,
5:12.0,,,43-41,,LA Lakers full timeout
5:12.0,B. Lopez enters the game for L. Scola,,43-41,,
5:05.0,B. Bogdanovic makes 2-pt shot at rim,2,45-41,,
4:42.0,Personal foul by T. Booker (drawn by J. Randle),,45-41,,
4:42.0,,,45-41,,J. Randle misses free throw 1 of 2
4:42.0,,,45-41,,Offensive rebound by Team
4:42.0,,,45-42,1,J. Randle makes free throw 2 of 2
4:42.0,,,45-41,,J. Clarkson enters the game for B. Ingram
4:31.0,Turnover by I. Whitehead (bad pass; steal by D. Russell),,45-42,,
4:26.0,,,45-42,,J. Clarkson misses 3-pt shot from 27 ft
4:21.0,Defensive rebound by B. Lopez,,45-42,,
4:18.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Booker),2,47-42,,
4:18.0,,,47-42,,LA Lakers full timeout
4:18.0,S. Kilpatrick enters the game for B. Bogdanovic,,47-42,,
4:18.0,R. Hollis-Jefferson enters the game for I. Whitehead,,47-42,,
3:55.0,,,47-44,2,J. Randle makes 2-pt shot from 6 ft
3:41.0,Turnover by J. Harris (bad pass; steal by D. Russell),,47-44,,
3:36.0,,,47-46,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
3:16.0,S. Kilpatrick misses 3-pt shot from 25 ft,,47-46,,
3:15.0,,,47-46,,Defensive rebound by D. Russell
3:09.0,,,47-46,,J. Clarkson misses 3-pt shot from 26 ft
3:08.0,,,47-46,,Offensive rebound by D. Russell
3:06.0,,,47-46,,Shooting foul by S. Kilpatrick (drawn by T. Mozgov)
3:06.0,,,47-47,1,T. Mozgov makes free throw 1 of 2
3:06.0,,,47-48,1,T. Mozgov makes free throw 2 of 2
2:53.0,B. Lopez makes 3-pt shot from 27 ft (assist by S. Kilpatrick),3,50-48,,
2:35.0,,,50-50,2,D. Russell makes 2-pt shot from 9 ft
2:23.0,J. Harris misses 3-pt shot from 25 ft,,50-50,,
2:22.0,,,50-50,,Defensive rebound by D. Russell
2:17.0,Brooklyn full timeout,,50-50,,
2:14.0,,,50-52,2,N. Young makes 2-pt shot from 17 ft (assist by J. Clarkson)
1:59.0,B. Lopez misses 3-pt shot from 25 ft,,50-52,,
1:58.0,,,50-52,,Defensive rebound by D. Russell
1:48.0,,,50-52,,D. Russell misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by S. Kilpatrick,,50-52,,
1:33.0,B. Lopez misses 2-pt shot from 4 ft,,50-52,,
1:31.0,Offensive rebound by B. Lopez,,50-52,,
1:31.0,Shooting foul by D. Russell (drawn by B. Lopez),,50-52,,
1:31.0,B. Lopez makes free throw 1 of 2,1,51-52,,
1:31.0,B. Lopez misses free throw 2 of 2,,51-52,,
1:30.0,,,51-52,,Defensive rebound by J. Randle
1:11.0,,,51-52,,J. Clarkson misses 2-pt shot from 2 ft
1:09.0,Defensive rebound by B. Lopez,,51-52,,
1:04.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,51-52,,
1:02.0,,,51-52,,Defensive rebound by T. Mozgov
0:47.0,Personal foul by R. Hollis-Jefferson (drawn by J. Randle),,51-52,,
0:47.0,,,51-53,1,J. Randle makes free throw 1 of 2
0:47.0,,,51-53,,J. Randle misses free throw 2 of 2
0:47.0,I. Whitehead enters the game for S. Kilpatrick,,51-53,,
0:44.0,Defensive rebound by B. Lopez,,51-53,,
0:31.0,Turnover by T. Booker (lost ball; steal by J. Clarkson),,51-53,,
0:26.0,,,51-56,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
0:04.0,Turnover by I. Whitehead (traveling),,51-56,,
0:04.0,,,51-56,,L. Williams enters the game for T. Mozgov
0:02.0,,,51-56,,D. Russell misses 3-pt shot from 60 ft
0:00.0,,,51-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-56,,L. Deng misses 2-pt shot from 15 ft
11:44.0,Defensive rebound by T. Booker,,51-56,,
11:38.0,S. Kilpatrick misses 2-pt shot from 6 ft,,51-56,,
11:36.0,,,51-56,,Defensive rebound by T. Mozgov
11:29.0,,,51-56,,T. Mozgov misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by B. Bogdanovic,,51-56,,
11:24.0,B. Bogdanovic misses 2-pt shot from 1 ft,,51-56,,
11:21.0,Offensive rebound by S. Kilpatrick,,51-56,,
11:21.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,53-56,,
11:09.0,,,53-56,,Shooting foul by B. Lopez (drawn by J. Randle)
11:09.0,,,53-57,1,J. Randle makes free throw 1 of 2
11:09.0,,,53-58,1,J. Randle makes free throw 2 of 2
11:00.0,B. Lopez misses 3-pt shot from 26 ft,,53-58,,
10:59.0,Jump ball: B. Lopez vs. T. Mozgov (L. Deng gains possession),,,,Jump ball: B. Lopez vs. T. Mozgov (L. Deng gains possession)
10:59.0,,,53-58,,Offensive rebound by Team
10:47.0,,,53-58,,Shooting foul by R. Hollis-Jefferson (drawn by L. Deng)
10:47.0,,,53-58,,L. Deng misses free throw 1 of 2
10:47.0,,,53-58,,Offensive rebound by Team
10:47.0,,,53-59,1,L. Deng makes free throw 2 of 2
10:32.0,Shooting foul by L. Deng (drawn by B. Bogdanovic),,53-59,,
10:32.0,B. Bogdanovic makes free throw 1 of 2,1,54-59,,
10:32.0,B. Bogdanovic makes free throw 2 of 2,1,55-59,,
10:16.0,,,55-59,,N. Young misses 3-pt shot from 28 ft
10:14.0,,,55-59,,Offensive rebound by L. Deng
10:13.0,,,55-59,,L. Deng misses 2-pt shot from 2 ft
10:13.0,,,55-59,,Offensive rebound by L. Deng
10:13.0,,,55-59,,Shooting foul by S. Kilpatrick (drawn by L. Deng)
10:13.0,,,55-60,1,L. Deng makes free throw 1 of 2
10:13.0,,,55-60,,L. Deng misses free throw 2 of 2
10:11.0,Defensive rebound by S. Kilpatrick,,55-60,,
10:00.0,B. Bogdanovic misses 3-pt shot from 26 ft,,55-60,,
9:58.0,,,55-60,,Defensive rebound by J. Randle
9:53.0,,,55-60,,T. Mozgov misses 2-pt shot at rim
9:49.0,,,55-60,,Offensive rebound by L. Deng
9:47.0,,,55-62,2,L. Deng makes 2-pt shot from 3 ft
9:40.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,55-62,,
9:38.0,,,55-62,,Defensive rebound by L. Deng
9:30.0,,,55-62,,N. Young misses 2-pt shot from 2 ft
9:28.0,,,55-62,,Offensive rebound by T. Mozgov
9:19.0,,,55-64,2,D. Russell makes 2-pt shot from 8 ft
9:19.0,Brooklyn full timeout,,55-64,,
9:19.0,R. Foye enters the game for S. Kilpatrick,,55-64,,
9:03.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez),2,57-64,,
8:46.0,,,57-66,2,T. Mozgov makes 2-pt shot at rim (assist by N. Young)
8:22.0,B. Lopez misses 3-pt shot from 26 ft,,57-66,,
8:21.0,,,57-66,,Defensive rebound by D. Russell
8:15.0,,,57-66,,N. Young misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by R. Foye,,57-66,,
8:05.0,Turnover by B. Lopez (dbl dribble),,57-66,,
8:05.0,J. Hamilton enters the game for T. Booker,,57-66,,
7:56.0,,,57-66,,D. Russell misses 2-pt shot from 4 ft
7:49.0,,,57-66,,Offensive rebound by T. Mozgov
7:49.0,,,57-68,2,T. Mozgov makes 2-pt shot at rim
7:41.0,J. Hamilton makes 2-pt shot from 5 ft (assist by R. Foye),2,59-68,,
7:30.0,,,59-68,,Turnover by J. Randle (bad pass; steal by B. Bogdanovic)
7:21.0,Turnover by B. Lopez (bad pass; steal by D. Russell),,59-68,,
7:17.0,,,59-68,,Turnover by D. Russell (bad pass; steal by R. Hollis-Jefferson)
7:11.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,61-68,,
7:10.0,,,61-68,,LA Lakers full timeout
7:10.0,J. Harris enters the game for R. Hollis-Jefferson,,61-68,,
6:54.0,,,61-70,2,J. Randle makes 2-pt shot from 7 ft (assist by N. Young)
6:26.0,B. Lopez misses 2-pt shot from 8 ft,,61-70,,
6:24.0,,,61-70,,Defensive rebound by J. Randle
6:18.0,,,61-70,,Shooting foul by J. Hamilton (drawn by T. Mozgov)
6:18.0,,,61-71,1,T. Mozgov makes free throw 1 of 2
6:18.0,,,61-72,1,T. Mozgov makes free throw 2 of 2
5:59.0,B. Lopez misses 2-pt shot from 4 ft,,61-72,,
5:58.0,Offensive rebound by B. Lopez,,61-72,,
5:58.0,B. Lopez makes 2-pt shot from 3 ft,2,63-72,,
5:58.0,Shooting foul by T. Mozgov (drawn by B. Lopez),,63-72,,
5:58.0,B. Lopez makes free throw 1 of 1,1,64-72,,
5:41.0,,,64-75,3,D. Russell makes 3-pt shot from 26 ft
5:24.0,R. Foye misses 2-pt shot from 10 ft,,64-75,,
5:23.0,,,64-75,,Defensive rebound by J. Randle
5:17.0,,,64-77,2,L. Deng makes 2-pt shot from 10 ft (assist by J. Randle)
5:08.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by R. Foye),3,67-77,,
4:59.0,,,67-80,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Randle)
4:42.0,B. Lopez makes 3-pt shot from 24 ft (assist by R. Foye),3,70-80,,
4:34.0,,,70-80,,D. Russell misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by J. Hamilton,,70-80,,
4:24.0,B. Lopez makes 3-pt shot from 26 ft (assist by R. Foye),3,73-80,,
3:59.0,,,73-80,,Shooting foul by B. Lopez (drawn by L. Deng)
3:59.0,,,73-81,1,L. Deng makes free throw 1 of 2
3:59.0,,,73-82,1,L. Deng makes free throw 2 of 2
3:59.0,S. Kilpatrick enters the game for B. Bogdanovic,,73-81,,
3:59.0,T. Booker enters the game for R. Foye,,73-81,,
3:59.0,Y. Ferrell enters the game for J. Hamilton,,73-81,,
3:59.0,,,73-81,,T. Black enters the game for T. Mozgov
3:59.0,,,73-81,,B. Ingram enters the game for N. Young
3:45.0,J. Harris makes 3-pt shot from 25 ft,3,76-82,,
3:29.0,,,76-82,,L. Deng misses 2-pt shot from 16 ft
3:28.0,Defensive rebound by T. Booker,,76-82,,
3:12.0,J. Harris misses 3-pt shot from 26 ft,,76-82,,
3:11.0,Offensive rebound by Team,,76-82,,
3:11.0,,,76-82,,J. Clarkson enters the game for L. Deng
3:11.0,,,76-82,,L. Williams enters the game for D. Russell
3:07.0,J. Harris misses 3-pt shot from 26 ft,,76-82,,
3:06.0,,,76-82,,Defensive rebound by J. Randle
2:53.0,,,76-82,,J. Clarkson misses 3-pt shot from 27 ft
2:52.0,Defensive rebound by Y. Ferrell,,76-82,,
2:43.0,T. Booker misses 2-pt shot from 2 ft,,76-82,,
2:41.0,,,76-82,,Defensive rebound by J. Clarkson
2:37.0,,,76-82,,J. Randle misses 2-pt shot from 2 ft (block by B. Lopez)
2:36.0,,,76-82,,Offensive rebound by T. Black
2:36.0,,,76-84,2,T. Black makes 2-pt shot from 1 ft
2:36.0,,,76-84,,Shooting foul by S. Kilpatrick (drawn by T. Black)
2:36.0,,,76-85,1,T. Black makes free throw 1 of 1
2:36.0,J. Hamilton enters the game for B. Lopez,,76-84,,
2:36.0,,,76-84,,L. Nance enters the game for J. Randle
2:26.0,Y. Ferrell makes 3-pt shot from 25 ft,3,79-85,,
1:58.0,,,79-87,2,T. Black makes 2-pt shot from 4 ft (assist by L. Williams)
1:45.0,Turnover by S. Kilpatrick (bad pass; steal by J. Clarkson),,79-87,,
1:40.0,,,79-89,2,J. Clarkson makes 2-pt shot from 4 ft
1:40.0,,,79-89,,Shooting foul by Y. Ferrell (drawn by J. Clarkson)
1:40.0,,,79-90,1,J. Clarkson makes free throw 1 of 1
1:33.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,81-90,,
1:33.0,Shooting foul by L. Nance (drawn by S. Kilpatrick),,81-90,,
1:33.0,S. Kilpatrick misses free throw 1 of 1,,81-90,,
1:26.0,,,81-90,,Defensive rebound by B. Ingram
1:19.0,,,81-90,,Offensive foul by J. Clarkson
1:19.0,,,81-90,,Turnover by J. Clarkson (offensive foul)
1:09.0,Y. Ferrell makes 2-pt shot from 2 ft,2,83-90,,
0:57.0,,,83-90,,T. Black misses 2-pt shot from 2 ft
0:55.0,Defensive rebound by J. Hamilton,,83-90,,
0:53.0,Turnover by J. Hamilton (bad pass; steal by J. Clarkson),,83-90,,
0:39.0,Personal foul by Y. Ferrell (drawn by T. Black),,83-90,,
0:39.0,,,83-91,1,T. Black makes free throw 1 of 2
0:39.0,,,83-91,,T. Black misses free throw 2 of 2
0:37.0,Defensive rebound by T. Booker,,83-91,,
0:28.0,Shooting foul by T. Black (drawn by Y. Ferrell),,83-91,,
0:28.0,Y. Ferrell makes free throw 1 of 2,1,84-91,,
0:28.0,Y. Ferrell makes free throw 2 of 2,1,85-91,,
0:04.0,,,85-91,,L. Williams misses 2-pt shot from 1 ft
0:04.0,,,85-91,,Offensive rebound by T. Black
0:04.0,,,85-93,2,T. Black makes 2-pt shot at rim
0:01.0,S. Kilpatrick misses 3-pt shot from 26 ft,,85-93,,
0:00.0,Offensive rebound by Team,,85-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,J. Harris makes 2-pt shot from 2 ft,2,87-93,,
11:24.0,,,87-93,,B. Ingram misses 2-pt shot at rim
11:21.0,Defensive rebound by L. Scola,,87-93,,
11:14.0,R. Foye makes 3-pt shot from 28 ft,3,90-93,,
11:06.0,Personal foul by J. Harris (drawn by B. Ingram),,90-93,,
10:52.0,,,90-95,2,L. Nance makes 2-pt shot at rim (assist by T. Black)
10:28.0,L. Scola misses 2-pt shot from 5 ft,,90-95,,
10:25.0,,,90-95,,Defensive rebound by T. Black
10:15.0,,,90-95,,B. Ingram misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by J. Hamilton,,90-95,,
10:05.0,J. Harris makes 2-pt shot from 2 ft (assist by L. Scola),2,92-95,,
9:53.0,,,92-95,,Shooting foul by Y. Ferrell
9:53.0,,,92-96,1,L. Williams makes free throw 1 of 2
9:53.0,,,92-97,1,L. Williams makes free throw 2 of 2
9:53.0,I. Whitehead enters the game for Y. Ferrell,,92-96,,
9:53.0,,,92-96,,N. Young enters the game for B. Ingram
9:40.0,R. Foye misses 3-pt shot from 27 ft,,92-97,,
9:38.0,Offensive rebound by L. Scola,,92-97,,
9:37.0,L. Scola misses 2-pt shot from 2 ft,,92-97,,
9:36.0,,,92-97,,Defensive rebound by T. Black
9:31.0,,,92-97,,L. Williams misses 2-pt shot from 6 ft
9:27.0,,,92-97,,Offensive rebound by J. Clarkson
9:11.0,,,92-99,2,T. Black makes 2-pt shot from 3 ft (assist by N. Young)
8:59.0,,,92-99,,Personal foul by J. Clarkson (drawn by I. Whitehead)
8:59.0,Official timeout,,92-99,,
8:56.0,J. Hamilton misses 3-pt shot from 25 ft,,92-99,,
8:56.0,Offensive rebound by Team,,92-99,,
8:56.0,,,92-99,,Loose ball foul by N. Young (drawn by J. Harris)
8:53.0,,,92-99,,Personal foul by J. Clarkson (drawn by R. Foye)
8:42.0,J. Hamilton misses 3-pt shot from 25 ft,,92-99,,
8:41.0,,,92-99,,Defensive rebound by N. Young
8:35.0,,,92-99,,L. Williams misses 2-pt shot from 12 ft
8:34.0,,,92-99,,Offensive rebound by T. Black
8:34.0,,,92-99,,Shooting foul by L. Scola (drawn by T. Black)
