time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (A. Roberson gains possession),,,,Jump ball: S. Adams vs. K. Towns (A. Roberson gains possession)
11:39.0,D. Sabonis misses 3-pt shot from 25 ft,,0-0,,
11:38.0,Offensive rebound by V. Oladipo,,0-0,,
11:30.0,S. Adams misses 2-pt shot from 7 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by K. Towns
11:11.0,,,0-2,2,K. Towns makes 2-pt shot from 5 ft (assist by G. Dieng)
11:05.0,Offensive foul by S. Adams,,0-2,,
11:05.0,Turnover by S. Adams (offensive foul),,0-2,,
10:47.0,,,0-2,,A. Wiggins misses 2-pt shot from 4 ft
10:46.0,Defensive rebound by D. Sabonis,,0-2,,
10:40.0,V. Oladipo misses 2-pt shot from 19 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by K. Towns
10:32.0,,,0-2,,A. Wiggins misses 2-pt shot from 1 ft
10:31.0,,,0-2,,Offensive rebound by Team
10:17.0,,,0-2,,G. Dieng misses 2-pt shot from 7 ft
10:16.0,Defensive rebound by R. Westbrook,,0-2,,
10:08.0,D. Sabonis makes 2-pt shot from 3 ft (assist by R. Westbrook),2,2-2,,
10:08.0,Shooting foul by G. Dieng (drawn by D. Sabonis),,2-2,,
10:08.0,D. Sabonis misses free throw 1 of 1,,2-2,,
10:08.0,,,2-2,,Defensive rebound by K. Towns
9:54.0,,,2-4,2,K. Towns makes 2-pt shot from 1 ft
9:48.0,,,2-4,,Personal foul by K. Towns (drawn by S. Adams)
9:36.0,R. Westbrook makes 2-pt shot from 3 ft,2,4-4,,
9:21.0,,,4-6,2,A. Wiggins makes 2-pt shot from 6 ft (assist by K. Towns)
9:21.0,,,4-6,,Shooting foul by R. Westbrook (drawn by A. Wiggins)
9:21.0,,,4-7,1,A. Wiggins makes free throw 1 of 1
9:10.0,V. Oladipo makes 2-pt shot from 19 ft,2,6-7,,
8:56.0,,,6-10,3,B. Rush makes 3-pt shot from 23 ft (assist by R. Rubio)
8:43.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,8-10,,
8:29.0,,,8-12,2,K. Towns makes 2-pt shot from 4 ft (assist by R. Rubio)
8:17.0,D. Sabonis misses 2-pt shot from 4 ft (block by K. Towns),,8-12,,
8:15.0,,,8-12,,Defensive rebound by K. Towns
8:08.0,,,8-12,,Turnover by A. Wiggins (bad pass; steal by S. Adams)
8:03.0,Oklahoma City full timeout,,8-12,,
7:56.0,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook),2,10-12,,
7:41.0,,,10-12,,Turnover by B. Rush (bad pass; steal by A. Roberson)
7:35.0,V. Oladipo misses 2-pt shot from 1 ft,,10-12,,
7:34.0,Offensive rebound by R. Westbrook,,10-12,,
