time,New Orleans,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (T. Frazier gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (T. Frazier gains possession)
11:45.0,T. Frazier misses 2-pt shot from 23 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by E. Davis
11:33.0,,,0-0,,M. Harkless misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by A. Davis,,0-0,,
11:15.0,S. Hill makes 3-pt shot from 24 ft (assist by T. Frazier),3,3-0,,
10:54.0,,,3-2,2,M. Harkless makes 2-pt shot from 4 ft (assist by D. Lillard)
10:40.0,E. Moore makes 2-pt shot from 3 ft,2,5-2,,
10:28.0,,,5-2,,M. Harkless misses 2-pt shot from 6 ft
10:28.0,Defensive rebound by O. Asik,,5-2,,
10:19.0,A. Davis misses 2-pt shot from 23 ft,,5-2,,
10:18.0,,,5-2,,Defensive rebound by M. Harkless
10:08.0,,,5-5,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
9:51.0,Shooting foul by D. Lillard (drawn by T. Frazier),,5-5,,
9:51.0,T. Frazier makes free throw 1 of 2,1,6-5,,
9:51.0,T. Frazier makes free throw 2 of 2,1,7-5,,
9:32.0,,,7-7,2,M. Plumlee makes 2-pt shot from 1 ft (assist by C. McCollum)
9:23.0,Shooting foul by M. Harkless (drawn by O. Asik),,7-7,,
9:23.0,O. Asik makes free throw 1 of 2,1,8-7,,
9:23.0,O. Asik makes free throw 2 of 2,1,9-7,,
9:11.0,,,9-7,,D. Lillard misses 2-pt shot from 18 ft
9:10.0,Defensive rebound by O. Asik,,9-7,,
9:04.0,E. Moore misses 2-pt shot from 22 ft,,9-7,,
9:03.0,,,9-7,,Defensive rebound by M. Plumlee
8:54.0,,,9-9,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
8:42.0,E. Moore makes 2-pt shot from 5 ft,2,11-9,,
8:35.0,,,11-11,2,C. McCollum makes 2-pt shot from 20 ft
8:23.0,,,11-11,,Personal foul by C. McCollum (drawn by E. Moore)
8:17.0,Turnover by S. Hill (bad pass; steal by M. Plumlee),,11-11,,
8:09.0,,,11-11,,D. Lillard misses 2-pt shot from 14 ft
8:08.0,,,11-11,,Offensive rebound by M. Plumlee
7:58.0,,,11-11,,C. McCollum misses 2-pt shot from 21 ft
7:56.0,,,11-11,,Offensive rebound by M. Harkless
7:56.0,,,11-13,2,M. Harkless makes 2-pt shot from 1 ft
7:45.0,,,11-13,,Shooting block foul by E. Davis (drawn by A. Davis)
7:45.0,A. Davis misses free throw 1 of 2,,11-13,,
7:45.0,Offensive rebound by Team,,11-13,,
7:45.0,A. Davis misses free throw 2 of 2,,11-13,,
7:45.0,,,11-13,,Defensive rebound by E. Davis
7:33.0,,,11-15,2,C. McCollum makes 2-pt shot from 3 ft (assist by M. Plumlee)
7:11.0,A. Davis makes 2-pt shot from 6 ft,2,13-15,,
6:51.0,,,13-17,2,D. Lillard makes 2-pt shot from 12 ft
6:51.0,,,13-17,,Shooting foul by T. Frazier (drawn by D. Lillard)
6:51.0,,,13-17,,Technical foul by C. McCollum
6:51.0,Technical foul by T. Frazier (drawn by D. Lillard),,13-17,,
6:51.0,,,13-18,1,D. Lillard makes free throw 1 of 1
6:46.0,New Orleans full timeout,,13-18,,
6:35.0,O. Asik makes 2-pt shot at rim (assist by E. Moore),2,15-18,,
6:19.0,Def 3 sec tech foul by O. Asik,,15-18,,
6:19.0,,,15-19,1,D. Lillard makes technical free throw
6:09.0,,,15-22,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
5:53.0,E. Moore makes 2-pt shot from 21 ft,2,17-22,,
5:42.0,,,17-22,,Shooting foul by O. Asik (drawn by E. Davis)
5:42.0,,,17-24,2,E. Davis makes 2-pt shot from 5 ft (assist by D. Lillard)
5:42.0,,,17-25,1,E. Davis makes free throw 1 of 1
5:18.0,T. Frazier misses 2-pt shot from 16 ft,,17-25,,
5:17.0,,,17-25,,Defensive rebound by C. McCollum
5:06.0,,,17-25,,M. Plumlee misses 2-pt shot from 10 ft
5:05.0,,,17-25,,Offensive rebound by M. Plumlee
5:03.0,,,17-25,,M. Plumlee misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by O. Asik,,17-25,,
4:58.0,Shooting foul by C. McCollum (drawn by T. Frazier),,17-25,,
4:58.0,T. Frazier misses free throw 1 of 2,,17-25,,
4:58.0,Offensive rebound by Team,,17-25,,
4:58.0,T. Frazier makes free throw 2 of 2,1,18-25,,
4:58.0,T. Jones enters the game for O. Asik,,17-25,,
4:58.0,J. Holiday enters the game for E. Moore,,17-25,,
4:58.0,,,17-25,,A. Crabbe enters the game for C. McCollum
4:58.0,,,17-25,,E. Turner enters the game for M. Plumlee
4:39.0,,,18-25,,A. Crabbe misses 3-pt shot from 24 ft
4:37.0,,,18-25,,Offensive rebound by M. Harkless
4:33.0,,,18-25,,M. Harkless misses 2-pt shot from 1 ft (block by A. Davis)
4:32.0,Defensive rebound by A. Davis,,18-25,,
4:24.0,A. Davis makes 2-pt shot at rim (assist by T. Frazier),2,20-25,,
4:02.0,,,20-27,2,D. Lillard makes 2-pt shot from 13 ft
3:49.0,J. Holiday makes 2-pt shot from 19 ft,2,22-27,,
3:35.0,,,22-27,,Turnover by A. Crabbe (traveling)
3:24.0,T. Jones misses 3-pt shot from 25 ft,,22-27,,
3:23.0,Offensive rebound by S. Hill,,22-27,,
3:23.0,S. Hill misses 2-pt shot at rim,,22-27,,
3:22.0,,,22-27,,Defensive rebound by A. Crabbe
3:15.0,,,22-27,,A. Crabbe misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by S. Hill,,22-27,,
3:06.0,T. Frazier makes 2-pt shot at rim (assist by J. Holiday),2,24-27,,
3:06.0,Shooting foul by E. Davis (drawn by T. Frazier),,24-27,,
3:06.0,,,24-27,,Portland full timeout
3:06.0,T. Frazier makes free throw 1 of 1,1,25-27,,
3:06.0,B. Hield enters the game for S. Hill,,24-27,,
2:51.0,,,25-27,,E. Turner misses 2-pt shot from 5 ft (block by A. Davis)
2:50.0,,,25-27,,Offensive rebound by Team
2:42.0,,,25-27,,E. Turner misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by A. Davis,,25-27,,
2:23.0,J. Holiday misses 2-pt shot from 20 ft,,25-27,,
2:22.0,,,25-27,,Defensive rebound by D. Lillard
2:14.0,,,25-27,,E. Turner misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by A. Davis,,25-27,,
2:11.0,Shooting foul by A. Crabbe (drawn by J. Holiday),,25-27,,
2:11.0,J. Holiday makes free throw 1 of 2,1,26-27,,
2:11.0,J. Holiday makes free throw 2 of 2,1,27-27,,
2:11.0,L. Galloway enters the game for T. Frazier,,26-27,,
2:00.0,,,27-27,,D. Lillard misses 3-pt shot from 25 ft
1:59.0,,,27-27,,Offensive rebound by E. Davis
1:56.0,,,27-27,,E. Davis misses 2-pt shot from 2 ft
1:56.0,,,27-27,,Offensive rebound by M. Harkless
1:45.0,,,27-29,2,M. Harkless makes 2-pt shot from 2 ft
1:27.0,A. Davis makes 2-pt shot from 17 ft,2,29-29,,
1:11.0,,,29-29,,Turnover by A. Crabbe (bad pass)
1:00.0,T. Jones makes 2-pt shot at rim (assist by J. Holiday),2,31-29,,
0:41.0,,,31-29,,Shooting foul by J. Holiday (drawn by M. Harkless)
0:41.0,,,31-29,,M. Harkless misses free throw 1 of 2
0:41.0,,,31-29,,Offensive rebound by Team
0:41.0,,,31-30,1,M. Harkless makes free throw 2 of 2
0:24.0,B. Hield makes 3-pt shot from 24 ft (assist by A. Davis),3,34-30,,
0:01.0,,,34-30,,D. Lillard misses 2-pt shot from 2 ft
0:01.0,,,34-30,,Offensive rebound by E. Davis
0:01.0,,,34-32,2,E. Davis makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,,,34-32,,Technical foul by Team
11:55.0,B. Hield makes technical free throw,1,35-32,,
11:46.0,,,35-32,,N. Vonleh misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by S. Hill,,35-32,,
11:35.0,J. Holiday misses 2-pt shot from 7 ft,,35-32,,
11:34.0,,,35-32,,Defensive rebound by N. Vonleh
11:23.0,,,35-32,,M. Leonard misses 2-pt shot from 16 ft
11:22.0,Defensive rebound by B. Hield,,35-32,,
11:09.0,J. Holiday makes 3-pt shot from 24 ft (assist by T. Jones),3,38-32,,
10:55.0,,,38-32,,E. Turner misses 2-pt shot from 1 ft
10:55.0,Defensive rebound by S. Hill,,38-32,,
10:41.0,Shooting foul by A. Crabbe (drawn by T. Jones),,38-32,,
10:41.0,T. Jones misses free throw 1 of 2,,38-32,,
10:41.0,Offensive rebound by Team,,38-32,,
10:41.0,T. Jones makes free throw 2 of 2,1,39-32,,
10:23.0,,,39-32,,A. Crabbe misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by Team,,39-32,,
10:06.0,B. Hield makes 2-pt shot from 3 ft,2,41-32,,
10:06.0,,,41-32,,Portland full timeout
9:51.0,,,41-32,,M. Leonard misses 3-pt shot from 24 ft
9:49.0,,,41-32,,Offensive rebound by E. Turner
9:49.0,,,41-34,2,E. Turner makes 2-pt shot at rim
9:36.0,T. Jones misses 2-pt shot from 7 ft,,41-34,,
9:35.0,,,41-34,,Defensive rebound by E. Turner
9:26.0,,,41-34,,N. Vonleh misses 2-pt shot from 7 ft
9:25.0,Defensive rebound by T. Jones,,41-34,,
9:19.0,B. Hield misses 3-pt shot from 25 ft,,41-34,,
9:19.0,,,41-34,,Defensive rebound by M. Leonard
9:09.0,,,41-34,,E. Turner misses 2-pt shot from 14 ft
9:09.0,Defensive rebound by S. Hill,,41-34,,
9:03.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,41-34,,
8:54.0,,,41-34,,C. McCollum misses 2-pt shot from 1 ft (block by B. Hield)
8:54.0,,,41-34,,Offensive rebound by Team
8:46.0,,,41-36,2,A. Crabbe makes 2-pt shot from 17 ft (assist by E. Turner)
8:37.0,J. Holiday makes 2-pt shot at rim,2,43-36,,
8:22.0,,,43-36,,E. Turner misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by T. Jones,,43-36,,
8:17.0,Turnover by L. Galloway (lost ball),,43-36,,
