time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. S. Mejri (E. Mudiay gains possession),,,,Jump ball: N. Jokic vs. S. Mejri (E. Mudiay gains possession)
11:32.0,,,0-0,,D. Gallinari misses 2-pt shot from 22 ft
11:31.0,Defensive rebound by D. Finney-Smith,,0-0,,
11:16.0,H. Barnes makes 2-pt shot from 8 ft (assist by W. Matthews),2,2-0,,
11:04.0,,,2-2,2,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari)
10:45.0,D. Williams misses 2-pt shot from 13 ft,,2-2,,
10:44.0,,,2-2,,Defensive rebound by W. Chandler
10:40.0,Personal foul by S. Mejri (drawn by N. Jokic),,2-2,,
10:31.0,,,2-2,,E. Mudiay misses 2-pt shot from 2 ft
10:31.0,,,2-2,,Offensive rebound by N. Jokic
10:27.0,,,2-2,,N. Jokic misses 2-pt shot from 6 ft
10:26.0,Defensive rebound by D. Williams,,2-2,,
10:15.0,D. Williams makes 2-pt shot from 13 ft,2,4-2,,
10:13.0,,,4-4,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
10:13.0,,,4-4,,Shooting foul by S. Mejri (drawn by N. Jokic)
10:13.0,,,4-5,1,W. Chandler makes free throw 1 of 1
10:13.0,D. Powell enters the game for S. Mejri,,4-4,,
9:59.0,Turnover by D. Finney-Smith (bad pass; steal by D. Gallinari),,4-5,,
9:59.0,,,4-5,,Denver full timeout
9:44.0,,,4-7,2,G. Harris makes 2-pt shot from 5 ft (assist by N. Jokic)
9:26.0,H. Barnes makes 2-pt shot from 13 ft,2,6-7,,
9:12.0,,,6-10,3,D. Gallinari makes 3-pt shot from 26 ft (assist by G. Harris)
8:53.0,D. Williams makes 3-pt shot from 26 ft (assist by W. Matthews),3,9-10,,
8:41.0,,,9-10,,Turnover by G. Harris (lost ball; steal by D. Williams)
8:35.0,D. Finney-Smith makes 2-pt shot at rim (assist by D. Williams),2,11-10,,
8:11.0,,,11-10,,N. Jokic misses 2-pt shot from 3 ft
8:09.0,,,11-10,,Offensive rebound by N. Jokic
8:09.0,,,11-12,2,N. Jokic makes 2-pt shot from 1 ft
7:52.0,Turnover by D. Finney-Smith (lost ball; steal by D. Gallinari),,11-12,,
7:51.0,Personal foul by D. Williams (drawn by W. Chandler),,11-12,,
7:37.0,,,11-15,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
7:18.0,H. Barnes misses 3-pt shot from 26 ft,,11-15,,
7:17.0,,,11-15,,Defensive rebound by W. Chandler
7:11.0,,,11-17,2,W. Chandler makes 2-pt shot from 15 ft
7:10.0,Dallas full timeout,,11-17,,
6:54.0,D. Powell makes 2-pt shot at rim (assist by D. Williams),2,13-17,,
6:36.0,,,13-17,,W. Chandler misses 2-pt shot from 3 ft
6:33.0,,,13-17,,Offensive rebound by W. Chandler
6:33.0,,,13-17,,W. Chandler misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by D. Powell,,13-17,,
6:21.0,D. Finney-Smith misses 2-pt shot from 16 ft,,13-17,,
6:20.0,,,13-17,,Defensive rebound by N. Jokic
6:12.0,,,13-20,3,G. Harris makes 3-pt shot from 24 ft (assist by W. Chandler)
5:54.0,D. Powell misses 2-pt shot from 2 ft,,13-20,,
5:53.0,,,13-20,,Defensive rebound by E. Mudiay
5:48.0,,,13-20,,Offensive charge foul by G. Harris
5:48.0,,,13-20,,Turnover by G. Harris (offensive foul)
5:48.0,J. Barea enters the game for H. Barnes,,13-20,,
5:48.0,A. Hammons enters the game for D. Williams,,13-20,,
5:48.0,S. Curry enters the game for D. Powell,,13-20,,
5:28.0,Turnover by A. Hammons (traveling),,13-20,,
5:23.0,,,13-22,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
5:23.0,Dallas full timeout,,13-22,,
5:23.0,J. Anderson enters the game for D. Finney-Smith,,13-22,,
5:23.0,,,13-22,,W. Barton enters the game for W. Chandler
5:15.0,J. Barea misses 2-pt shot from 22 ft,,13-22,,
5:09.0,Offensive rebound by A. Hammons,,13-22,,
4:49.0,J. Barea makes 2-pt shot from 9 ft,2,15-22,,
4:39.0,,,15-24,2,D. Gallinari makes 2-pt shot from 2 ft
4:24.0,J. Barea makes 2-pt shot from 21 ft,2,17-24,,
4:16.0,,,17-24,,Offensive foul by E. Mudiay
4:16.0,,,17-24,,Turnover by E. Mudiay (offensive foul)
4:16.0,,,17-24,,K. Faried enters the game for N. Jokic
4:16.0,,,17-24,,J. Nelson enters the game for E. Mudiay
3:58.0,A. Hammons makes 3-pt shot from 25 ft (assist by J. Barea),3,20-24,,
3:46.0,,,20-24,,G. Harris misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by J. Barea,,20-24,,
3:33.0,J. Barea makes 2-pt shot from 1 ft,2,22-24,,
3:33.0,,,22-24,,Denver full timeout
3:33.0,,,22-24,,J. Murray enters the game for G. Harris
3:20.0,,,22-24,,D. Gallinari misses 3-pt shot from 26 ft
