time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (T. Harris gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (T. Harris gains possession)
11:48.0,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by T. Harris),2,2-0,,
11:48.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,2-0,,
11:48.0,K. Caldwell-Pope misses free throw 1 of 1,,2-0,,
11:47.0,,,2-0,,Defensive rebound by N. Vucevic
11:31.0,,,2-2,2,E. Fournier makes 2-pt shot from 3 ft
11:14.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,4-2,,
11:02.0,,,4-2,,N. Vucevic misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by I. Smith,,4-2,,
10:49.0,A. Drummond misses 2-pt shot from 7 ft (block by N. Vucevic),,4-2,,
10:49.0,Offensive rebound by A. Drummond,,4-2,,
10:49.0,A. Drummond misses 2-pt shot from 7 ft,,4-2,,
10:49.0,,,4-2,,Defensive rebound by Team
10:34.0,,,4-4,2,N. Vucevic makes 2-pt shot from 18 ft (assist by T. Ross)
10:20.0,I. Smith makes 2-pt shot from 16 ft,2,6-4,,
10:08.0,,,6-6,2,T. Ross makes 2-pt shot from 16 ft (assist by E. Payton)
9:45.0,M. Morris misses 2-pt shot from 16 ft,,6-6,,
9:44.0,,,6-6,,Defensive rebound by A. Gordon
9:34.0,,,6-8,2,E. Fournier makes 2-pt shot from 2 ft
9:14.0,T. Harris misses 3-pt shot from 23 ft,,6-8,,
9:12.0,,,6-8,,Defensive rebound by E. Payton
9:01.0,,,6-8,,Turnover by N. Vucevic (3 sec)
8:47.0,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by T. Ross),,6-8,,
8:44.0,,,6-8,,Defensive rebound by E. Payton
8:36.0,,,6-8,,E. Payton misses 2-pt shot from 11 ft
8:34.0,,,6-8,,Offensive rebound by N. Vucevic
8:34.0,,,6-8,,N. Vucevic misses 2-pt shot from 1 ft
8:34.0,,,6-8,,Offensive rebound by Team
8:13.0,,,6-8,,E. Payton misses 2-pt shot from 9 ft
8:13.0,,,6-8,,Offensive rebound by Team
8:13.0,Personal foul by A. Drummond (drawn by N. Vucevic),,6-8,,
8:05.0,,,6-8,,T. Ross misses 2-pt shot from 19 ft
8:03.0,Defensive rebound by I. Smith,,6-8,,
7:54.0,I. Smith misses 2-pt shot from 9 ft,,6-8,,
7:52.0,,,6-8,,Defensive rebound by Team
7:42.0,,,6-8,,E. Fournier misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by A. Drummond,,6-8,,
7:36.0,Shooting foul by T. Ross (drawn by M. Morris),,6-8,,
7:36.0,M. Morris makes free throw 1 of 2,1,7-8,,
7:36.0,M. Morris makes free throw 2 of 2,1,8-8,,
7:36.0,,,7-8,,M. Hezonja enters the game for T. Ross
7:22.0,,,8-8,,A. Gordon misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by A. Drummond,,8-8,,
7:12.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,8-8,,
7:11.0,,,8-8,,Defensive rebound by A. Gordon
7:04.0,,,8-10,2,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon)
6:44.0,T. Harris misses 2-pt shot from 9 ft,,8-10,,
6:42.0,,,8-10,,Defensive rebound by N. Vucevic
6:36.0,,,8-10,,M. Hezonja misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by A. Drummond,,8-10,,
6:23.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,8-10,,
6:21.0,Offensive rebound by A. Drummond,,8-10,,
6:19.0,A. Drummond misses 2-pt shot from 8 ft,,8-10,,
6:18.0,,,8-10,,Defensive rebound by N. Vucevic
6:13.0,,,8-12,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
6:07.0,Detroit full timeout,,8-12,,
5:56.0,M. Morris misses 2-pt shot from 14 ft,,8-12,,
5:55.0,,,8-12,,Defensive rebound by E. Payton
5:40.0,,,8-14,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
5:19.0,T. Harris makes 2-pt shot from 2 ft,2,10-14,,
5:01.0,,,10-16,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
4:35.0,A. Drummond misses 2-pt shot from 12 ft,,10-16,,
4:35.0,Offensive rebound by Team,,10-16,,
4:35.0,Turnover by Team (shot clock),,10-16,,
4:35.0,A. Baynes enters the game for T. Harris,,10-16,,
4:35.0,J. Leuer enters the game for A. Drummond,,10-16,,
4:27.0,,,10-16,,Turnover by E. Payton (traveling)
4:27.0,R. Jackson enters the game for I. Smith,,10-16,,
4:08.0,M. Morris makes 2-pt shot from 6 ft,2,12-16,,
3:55.0,,,12-16,,E. Fournier misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by J. Leuer,,12-16,,
3:43.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,12-16,,
3:42.0,,,12-16,,Defensive rebound by E. Payton
3:38.0,,,12-16,,E. Payton misses 2-pt shot from 3 ft (block by R. Jackson)
3:38.0,,,12-16,,Offensive rebound by Team
3:30.0,,,12-16,,Shooting foul by A. Baynes (drawn by E. Fournier)
3:30.0,,,12-17,1,E. Fournier makes free throw 1 of 2
3:30.0,,,12-18,1,E. Fournier makes free throw 2 of 2
3:18.0,R. Jackson makes 2-pt shot from 1 ft,2,14-18,,
3:04.0,,,14-18,,N. Vucevic misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by R. Jackson,,14-18,,
2:56.0,A. Baynes makes 2-pt shot from 7 ft (assist by R. Jackson),2,16-18,,
2:44.0,,,16-20,2,N. Vucevic makes 2-pt shot from 1 ft (assist by M. Hezonja)
2:29.0,M. Morris misses 3-pt shot from 23 ft,,16-20,,
2:28.0,,,16-20,,Defensive rebound by N. Vucevic
2:18.0,,,16-20,,N. Vucevic misses 2-pt shot from 14 ft
2:16.0,Defensive rebound by M. Morris,,16-20,,
2:08.0,M. Morris misses 2-pt shot from 13 ft,,16-20,,
2:06.0,Offensive rebound by M. Morris,,16-20,,
1:46.0,Turnover by A. Baynes (lost ball),,16-20,,
1:46.0,,,16-20,,Orlando full timeout
1:46.0,T. Harris enters the game for M. Morris,,16-20,,
1:46.0,S. Johnson enters the game for K. Caldwell-Pope,,16-20,,
1:46.0,,,16-20,,B. Biyombo enters the game for N. Vucevic
1:46.0,,,16-20,,D. Augustin enters the game for E. Payton
1:34.0,,,16-22,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
1:20.0,T. Harris misses 2-pt shot from 10 ft,,16-22,,
1:18.0,Offensive rebound by A. Baynes,,16-22,,
1:18.0,A. Baynes misses 2-pt shot from 3 ft,,16-22,,
1:17.0,,,16-22,,Defensive rebound by A. Gordon
1:12.0,,,16-22,,E. Fournier misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by J. Leuer,,16-22,,
1:04.0,R. Jackson misses 2-pt shot from 3 ft,,16-22,,
1:01.0,,,16-22,,Defensive rebound by E. Fournier
0:53.0,,,16-22,,B. Biyombo misses 2-pt shot from 2 ft
0:50.0,Defensive rebound by A. Baynes,,16-22,,
0:39.0,T. Harris makes 2-pt shot from 17 ft,2,18-22,,
0:13.0,,,18-22,,B. Biyombo misses 2-pt shot from 17 ft
0:12.0,Defensive rebound by J. Leuer,,18-22,,
0:01.0,R. Jackson misses 3-pt shot from 25 ft,,18-22,,
0:00.0,Offensive rebound by A. Baynes,,18-22,,
0:00.0,A. Baynes misses 2-pt shot from 1 ft,,18-22,,
0:00.0,Offensive rebound by Team,,18-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by T. Harris (drawn by B. Biyombo),,18-22,,
11:41.0,,,18-24,2,J. Meeks makes 2-pt shot from 11 ft (assist by C. Watson)
11:29.0,Detroit full timeout,,18-24,,
11:14.0,S. Johnson misses 2-pt shot from 19 ft,,18-24,,
11:13.0,,,18-24,,Defensive rebound by M. Hezonja
10:59.0,,,18-27,3,D. Augustin makes 3-pt shot from 22 ft (assist by M. Hezonja)
10:42.0,Shooting foul by B. Biyombo (drawn by T. Harris),,18-27,,
10:42.0,T. Harris makes free throw 1 of 2,1,19-27,,
10:42.0,T. Harris makes free throw 2 of 2,1,20-27,,
10:30.0,,,20-27,,B. Biyombo misses 2-pt shot from 5 ft
10:28.0,Defensive rebound by J. Leuer,,20-27,,
10:22.0,R. Jackson misses 2-pt shot from 20 ft,,20-27,,
10:19.0,Offensive rebound by R. Jackson,,20-27,,
10:16.0,R. Jackson misses 2-pt shot from 3 ft,,20-27,,
10:16.0,,,20-27,,Defensive rebound by Team
10:16.0,Loose ball foul by T. Harris (drawn by B. Biyombo),,20-27,,
10:01.0,,,20-27,,D. Augustin misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by S. Johnson,,20-27,,
9:55.0,S. Johnson makes 2-pt shot from 2 ft,2,22-27,,
9:43.0,,,22-27,,J. Meeks misses 2-pt shot from 17 ft
9:42.0,Defensive rebound by A. Baynes,,22-27,,
9:27.0,J. Leuer makes 2-pt shot from 2 ft (assist by T. Harris),2,24-27,,
9:21.0,,,24-27,,Orlando full timeout
9:15.0,,,24-29,2,M. Hezonja makes 2-pt shot from 18 ft (assist by B. Biyombo)
9:00.0,R. Jackson misses 2-pt shot from 1 ft,,24-29,,
8:58.0,,,24-29,,Defensive rebound by B. Biyombo
8:52.0,,,24-31,2,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja)
8:35.0,Turnover by J. Leuer (lost ball),,24-31,,
8:35.0,M. Morris enters the game for J. Leuer,,24-31,,
8:13.0,,,24-31,,M. Hezonja misses 2-pt shot from 22 ft
8:12.0,Defensive rebound by R. Jackson,,24-31,,
8:02.0,T. Harris makes 3-pt shot from 25 ft (assist by M. Morris),3,27-31,,
7:45.0,,,27-31,,J. Meeks misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by R. Jackson,,27-31,,
7:33.0,T. Harris misses 2-pt shot from 15 ft,,27-31,,
7:32.0,Offensive rebound by Team,,27-31,,
7:32.0,,,27-31,,Loose ball foul by C. Watson (drawn by M. Morris)
7:32.0,A. Drummond enters the game for A. Baynes,,27-31,,
7:32.0,,,27-31,,T. Ross enters the game for C. Watson
7:25.0,T. Harris misses 3-pt shot from 25 ft,,27-31,,
7:24.0,,,27-31,,Defensive rebound by B. Biyombo
7:07.0,,,27-33,2,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin)
6:46.0,R. Jackson makes 3-pt shot from 26 ft (assist by T. Harris),3,30-33,,
6:30.0,,,30-33,,Offensive foul by B. Biyombo
6:30.0,,,30-33,,Turnover by B. Biyombo (offensive foul)
6:30.0,,,30-33,,E. Payton enters the game for D. Augustin
6:22.0,R. Jackson misses 2-pt shot from 6 ft (block by B. Biyombo),,30-33,,
6:20.0,,,30-33,,Defensive rebound by T. Ross
6:13.0,,,30-35,2,E. Payton makes 2-pt shot from 2 ft (assist by T. Ross)
6:00.0,R. Jackson makes 2-pt shot from 7 ft (assist by A. Drummond),2,32-35,,
5:51.0,,,32-38,3,T. Ross makes 3-pt shot from 25 ft (assist by E. Payton)
5:40.0,Detroit full timeout,,32-38,,
5:40.0,,,32-38,,A. Gordon enters the game for M. Hezonja
5:40.0,I. Smith enters the game for R. Jackson,,32-38,,
5:22.0,I. Smith misses 2-pt shot from 13 ft,,32-38,,
5:21.0,,,32-38,,Defensive rebound by T. Ross
5:03.0,,,32-38,,E. Payton misses 2-pt shot from 13 ft
5:02.0,Defensive rebound by A. Drummond,,32-38,,
4:51.0,M. Morris misses 2-pt shot from 2 ft,,32-38,,
4:49.0,,,32-38,,Defensive rebound by J. Meeks
4:43.0,,,32-38,,A. Gordon misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by I. Smith,,32-38,,
4:34.0,M. Morris misses 3-pt shot from 25 ft,,32-38,,
4:32.0,,,32-38,,Defensive rebound by B. Biyombo
4:24.0,,,32-38,,J. Meeks misses 2-pt shot from 1 ft (block by A. Drummond)
4:20.0,Defensive rebound by A. Drummond,,32-38,,
4:15.0,Turnover by T. Harris (lost ball),,32-38,,
4:15.0,K. Caldwell-Pope enters the game for S. Johnson,,32-38,,
4:15.0,,,32-38,,N. Vucevic enters the game for B. Biyombo
4:15.0,,,32-38,,E. Fournier enters the game for J. Meeks
4:03.0,,,32-41,3,T. Ross makes 3-pt shot from 25 ft (assist by N. Vucevic)
4:03.0,,,32-41,,Shooting foul by M. Morris (drawn by T. Ross)
4:03.0,,,32-42,1,T. Ross makes free throw 1 of 1
