time,New Orleans,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Jokic,,,,Jump ball: A. Davis vs. N. Jokic
11:37.0,S. Hill misses 3-pt shot from 26 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by N. Jokic
11:27.0,,,0-2,2,N. Jokic makes 2-pt shot at rim (assist by W. Chandler)
11:15.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,2-2,,
10:56.0,,,2-2,,N. Jokic misses 2-pt shot from 5 ft
10:55.0,,,2-2,,Offensive rebound by N. Jokic
10:47.0,,,2-4,2,N. Jokic makes 2-pt shot from 6 ft
10:35.0,J. Holiday makes 3-pt shot from 25 ft,3,5-4,,
10:20.0,,,5-6,2,N. Jokic makes 2-pt shot at rim (assist by J. Nelson)
10:08.0,,,5-6,,Violation by G. Harris (kicked ball)
10:01.0,Shooting foul by W. Chandler (drawn by A. Davis),,5-6,,
10:01.0,A. Davis makes free throw 1 of 2,1,6-6,,
10:01.0,A. Davis makes free throw 2 of 2,1,7-6,,
10:00.0,Personal foul by S. Hill (drawn by D. Gallinari),,7-6,,
9:44.0,,,7-8,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
9:39.0,New Orleans full timeout,,7-8,,
9:31.0,A. Davis misses 2-pt shot from 19 ft,,7-8,,
9:30.0,,,7-8,,Defensive rebound by J. Nelson
9:20.0,,,7-8,,W. Chandler misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by Team,,7-8,,
9:05.0,D. Cunningham misses 2-pt shot from 9 ft,,7-8,,
9:04.0,,,7-8,,Defensive rebound by N. Jokic
8:57.0,,,7-11,3,D. Gallinari makes 3-pt shot from 26 ft (assist by G. Harris)
8:57.0,,,7-11,,Shooting foul by A. Davis (drawn by D. Gallinari)
8:57.0,,,7-12,1,D. Gallinari makes free throw 1 of 1
8:42.0,J. Holiday misses 3-pt shot from 24 ft,,7-12,,
8:42.0,,,7-12,,Defensive rebound by D. Gallinari
8:30.0,,,7-14,2,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nelson)
8:18.0,S. Hill makes 3-pt shot from 25 ft (assist by A. Davis),3,10-14,,
7:59.0,,,10-16,2,G. Harris makes 2-pt shot from 14 ft (assist by W. Chandler)
7:42.0,J. Holiday misses 2-pt shot from 2 ft,,10-16,,
7:42.0,,,10-16,,Defensive rebound by N. Jokic
7:32.0,,,10-16,,W. Chandler misses 2-pt shot from 15 ft
7:31.0,Defensive rebound by A. Davis,,10-16,,
7:16.0,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday),2,12-16,,
7:04.0,,,12-19,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson)
6:48.0,J. Holiday misses 3-pt shot from 25 ft,,12-19,,
6:48.0,,,12-19,,Defensive rebound by N. Jokic
6:38.0,,,12-19,,Turnover by J. Nelson (lost ball; steal by J. Holiday)
6:25.0,D. Cunningham misses 3-pt shot from 23 ft,,12-19,,
6:25.0,,,12-19,,Defensive rebound by J. Nelson
6:17.0,,,12-19,,D. Gallinari misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by A. Davis,,12-19,,
6:11.0,Shooting foul by D. Gallinari (drawn by A. Davis),,12-19,,
6:11.0,A. Davis makes free throw 1 of 2,1,13-19,,
6:11.0,A. Davis misses free throw 2 of 2,,13-19,,
6:11.0,E. Moore enters the game for T. Frazier,,13-19,,
6:10.0,,,13-19,,Defensive rebound by N. Jokic
5:55.0,,,13-19,,Turnover by G. Harris (bad pass)
5:55.0,D. Motiejunas enters the game for D. Cunningham,,13-19,,
5:38.0,D. Motiejunas makes 2-pt shot from 7 ft (assist by E. Moore),2,15-19,,
5:22.0,,,15-21,2,W. Chandler makes 2-pt shot from 10 ft
5:05.0,E. Moore misses 2-pt shot from 20 ft,,15-21,,
5:05.0,,,15-21,,Defensive rebound by J. Nelson
4:56.0,,,15-24,3,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson)
4:40.0,S. Hill misses 2-pt shot from 19 ft,,15-24,,
4:39.0,,,15-24,,Defensive rebound by J. Nelson
4:34.0,,,15-24,,D. Gallinari misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by J. Holiday,,15-24,,
4:23.0,D. Motiejunas makes 3-pt shot from 25 ft (assist by A. Davis),3,18-24,,
4:23.0,,,18-24,,Denver full timeout
4:23.0,,,18-24,,W. Barton enters the game for D. Gallinari
4:03.0,,,18-24,,G. Harris misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by S. Hill,,18-24,,
3:49.0,Turnover by D. Motiejunas (bad pass),,18-24,,
3:32.0,,,18-24,,N. Jokic misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by A. Davis,,18-24,,
3:19.0,A. Davis misses 3-pt shot from 26 ft,,18-24,,
3:18.0,,,18-24,,Defensive rebound by N. Jokic
2:59.0,,,18-26,2,G. Harris makes 2-pt shot from 21 ft (assist by J. Nelson)
2:45.0,D. Motiejunas misses 2-pt shot from 2 ft,,18-26,,
2:44.0,Offensive rebound by A. Davis,,18-26,,
2:43.0,A. Davis makes 2-pt shot from 1 ft,2,20-26,,
2:26.0,,,20-26,,W. Chandler misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by S. Hill,,20-26,,
2:26.0,,,20-26,,Loose ball foul by N. Jokic (drawn by S. Hill)
2:26.0,,,20-26,,M. Plumlee enters the game for N. Jokic
2:26.0,,,20-26,,J. Murray enters the game for J. Nelson
2:21.0,J. Crawford enters the game for J. Holiday,,20-26,,
2:19.0,T. Frazier enters the game for S. Hill,,20-26,,
2:12.0,J. Crawford makes 2-pt shot from 7 ft,2,22-26,,
2:03.0,,,22-26,,M. Plumlee misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by A. Davis,,22-26,,
1:52.0,A. Davis makes 2-pt shot from 19 ft,2,24-26,,
1:38.0,,,24-26,,G. Harris misses 2-pt shot from 22 ft
1:37.0,Defensive rebound by D. Motiejunas,,24-26,,
1:27.0,D. Motiejunas misses 2-pt shot from 3 ft,,24-26,,
1:27.0,Offensive rebound by D. Motiejunas,,24-26,,
1:27.0,D. Motiejunas makes 2-pt shot from 3 ft,2,26-26,,
1:27.0,,,26-26,,Violation by M. Plumlee (def goaltending)
1:27.0,Shooting foul by J. Murray (drawn by D. Motiejunas),,26-26,,
1:27.0,D. Motiejunas misses free throw 1 of 1,,26-26,,
1:27.0,,,26-26,,Defensive rebound by K. Faried
1:27.0,,,26-26,,K. Faried enters the game for W. Chandler
1:01.0,,,26-26,,J. Murray misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by D. Motiejunas,,26-26,,
0:58.0,Turnover by A. Davis (lost ball; steal by J. Murray),,26-26,,
0:58.0,Personal take foul by D. Motiejunas (drawn by W. Barton),,26-26,,
0:58.0,A. Ajinca enters the game for A. Davis,,26-26,,
0:54.0,D. Cunningham enters the game for D. Motiejunas,,26-26,,
0:50.0,,,26-26,,W. Barton misses 2-pt shot from 2 ft
0:49.0,Defensive rebound by J. Crawford,,26-26,,
0:40.0,J. Crawford misses 2-pt shot from 18 ft,,26-26,,
0:39.0,,,26-26,,Defensive rebound by M. Plumlee
0:26.0,,,26-26,,M. Plumlee misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by A. Ajinca,,26-26,,
0:02.0,J. Crawford misses 2-pt shot from 18 ft,,26-26,,
