time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. I. Zubac (M. Plumlee gains possession),,,,Jump ball: N. Jokic vs. I. Zubac (M. Plumlee gains possession)
11:45.0,,,0-2,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
11:23.0,J. Randle misses 2-pt shot from 23 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by N. Jokic
11:16.0,,,0-2,,G. Harris misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by D. Nwaba,,0-2,,
11:02.0,I. Zubac makes 2-pt shot from 19 ft (assist by J. Randle),2,2-2,,
10:37.0,,,2-4,2,N. Jokic makes 2-pt shot from 21 ft (assist by D. Gallinari)
10:24.0,B. Ingram makes 2-pt shot at rim (assist by J. Clarkson),2,4-4,,
10:11.0,,,4-7,3,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson)
9:57.0,Shooting foul by N. Jokic (drawn by J. Clarkson),,4-7,,
9:57.0,J. Clarkson misses free throw 1 of 2,,4-7,,
9:57.0,Offensive rebound by Team,,4-7,,
9:57.0,J. Clarkson makes free throw 2 of 2,1,5-7,,
9:47.0,,,5-7,,N. Jokic misses 3-pt shot from 26 ft
9:47.0,,,5-7,,Offensive rebound by M. Plumlee
9:47.0,,,5-7,,M. Plumlee misses 2-pt shot from 2 ft
9:44.0,Defensive rebound by I. Zubac,,5-7,,
9:28.0,J. Randle makes 2-pt shot from 3 ft,2,7-7,,
9:17.0,,,7-9,2,M. Plumlee makes 2-pt shot from 5 ft (assist by J. Nelson)
9:08.0,Turnover by J. Randle (lost ball; steal by M. Plumlee),,7-9,,
8:58.0,,,7-9,,G. Harris misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by J. Randle,,7-9,,
8:49.0,B. Ingram misses 2-pt shot from 21 ft,,7-9,,
8:47.0,,,7-9,,Defensive rebound by J. Nelson
8:45.0,,,7-9,,Shooting foul by B. Ingram (drawn by D. Gallinari)
8:45.0,,,7-10,1,D. Gallinari makes free throw 1 of 2
8:45.0,,,7-11,1,D. Gallinari makes free throw 2 of 2
8:25.0,D. Nwaba misses 2-pt shot from 2 ft (block by M. Plumlee),,7-11,,
8:24.0,Offensive rebound by Team,,7-11,,
8:18.0,J. Randle makes 3-pt shot from 25 ft (assist by J. Clarkson),3,10-11,,
8:03.0,,,10-11,,M. Plumlee misses 2-pt shot from 16 ft
8:02.0,Defensive rebound by J. Clarkson,,10-11,,
7:47.0,I. Zubac misses 2-pt shot from 1 ft,,10-11,,
7:45.0,,,10-11,,Defensive rebound by M. Plumlee
7:40.0,,,10-13,2,N. Jokic makes 2-pt shot at rim (assist by M. Plumlee)
7:40.0,LA Lakers full timeout,,10-13,,
7:26.0,I. Zubac makes 2-pt shot from 7 ft (assist by J. Clarkson),2,12-13,,
7:10.0,,,12-13,,N. Jokic misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by D. Nwaba,,12-13,,
6:56.0,J. Randle misses 2-pt shot from 4 ft,,12-13,,
6:55.0,,,12-13,,Defensive rebound by M. Plumlee
6:53.0,,,12-13,,Shooting foul by J. Randle (drawn by M. Plumlee)
6:53.0,,,12-14,1,M. Plumlee makes free throw 1 of 2
6:53.0,,,12-15,1,M. Plumlee makes free throw 2 of 2
6:39.0,Turnover by J. Clarkson (bad pass; steal by G. Harris),,12-15,,
6:39.0,Personal foul by B. Ingram (drawn by M. Plumlee),,12-15,,
6:34.0,Personal foul by B. Ingram (drawn by D. Gallinari),,12-15,,
6:34.0,C. Brewer enters the game for B. Ingram,,12-15,,
6:20.0,,,12-15,,G. Harris misses 2-pt shot from 8 ft
6:18.0,,,12-15,,Offensive rebound by G. Harris
6:18.0,,,12-15,,G. Harris misses 2-pt shot from 1 ft
6:16.0,,,12-15,,Offensive rebound by G. Harris
6:16.0,,,12-17,2,G. Harris makes 2-pt shot from 2 ft
6:02.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle),3,15-17,,
6:02.0,Shooting foul by G. Harris (drawn by J. Clarkson),,15-17,,
6:02.0,J. Clarkson makes free throw 1 of 1,1,16-17,,
5:50.0,,,16-17,,D. Gallinari misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by J. Randle,,16-17,,
5:23.0,J. Clarkson misses 2-pt shot from 22 ft,,16-17,,
5:23.0,Offensive rebound by J. Randle,,16-17,,
5:03.0,C. Brewer misses 2-pt shot from 6 ft,,16-17,,
5:02.0,,,16-17,,Defensive rebound by M. Plumlee
4:54.0,,,16-17,,J. Nelson misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by J. Clarkson,,16-17,,
4:49.0,,,16-17,,Violation by N. Jokic (kicked ball)
4:49.0,D. Russell enters the game for I. Zubac,,16-17,,
4:49.0,L. Nance enters the game for D. Nwaba,,16-17,,
4:49.0,,,16-17,,J. Murray enters the game for G. Harris
4:49.0,,,16-17,,W. Barton enters the game for M. Plumlee
4:37.0,J. Clarkson makes 2-pt shot from 16 ft (assist by L. Nance),2,18-17,,
4:23.0,,,18-19,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Nelson)
4:14.0,Offensive charge foul by D. Russell,,18-19,,
4:14.0,Turnover by D. Russell (offensive foul),,18-19,,
4:14.0,T. Black enters the game for J. Randle,,18-19,,
3:59.0,,,18-21,2,N. Jokic makes 2-pt shot from 8 ft (assist by J. Murray)
3:39.0,J. Clarkson misses 2-pt shot from 7 ft,,18-21,,
3:38.0,,,18-21,,Defensive rebound by D. Gallinari
3:35.0,,,18-21,,Shooting foul by T. Black (drawn by D. Gallinari)
3:35.0,,,18-22,1,D. Gallinari makes free throw 1 of 2
3:35.0,,,18-23,1,D. Gallinari makes free throw 2 of 2
3:24.0,D. Russell misses 2-pt shot from 5 ft,,18-23,,
3:23.0,,,18-23,,Defensive rebound by N. Jokic
