time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:49.0,T. McConnell misses 2-pt shot from 1 ft (block by F. Kaminsky),,0-0,,
12:00.0,Jump ball: F. Kaminsky vs. N. Noel (E. Ilyasova gains possession),,,,Jump ball: F. Kaminsky vs. N. Noel (E. Ilyasova gains possession)
11:48.0,,,0-0,,Defensive rebound by K. Walker
11:44.0,,,0-0,,Turnover by M. Kidd-Gilchrist (offensive foul)
11:44.0,,,0-0,,Offensive charge foul by M. Kidd-Gilchrist
11:19.0,N. Noel makes 2-pt shot at rim (assist by R. Covington),2,2-0,,
11:06.0,,,2-0,,F. Kaminsky misses 2-pt shot from 1 ft (block by N. Noel)
11:04.0,Defensive rebound by G. Henderson,,2-0,,
10:59.0,G. Henderson makes 3-pt shot from 25 ft (assist by T. McConnell),3,5-0,,
10:41.0,,,5-0,,Shooting foul by R. Covington (drawn by M. Kidd-Gilchrist)
10:41.0,,,5-1,1,M. Kidd-Gilchrist makes free throw 1 of 2
10:41.0,,,5-2,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:31.0,G. Henderson misses 3-pt shot from 25 ft,,5-2,,
10:30.0,,,5-2,,Defensive rebound by N. Batum
10:10.0,,,5-2,,F. Kaminsky misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by E. Ilyasova,,5-2,,
10:00.0,N. Noel makes 2-pt shot from 4 ft,2,7-2,,
9:51.0,Personal block foul by N. Noel (drawn by N. Batum),,7-2,,
9:44.0,,,7-2,,K. Walker misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by E. Ilyasova,,7-2,,
9:26.0,E. Ilyasova misses 2-pt shot from 13 ft,,7-2,,
9:25.0,,,7-2,,Defensive rebound by M. Kidd-Gilchrist
9:15.0,,,7-2,,Turnover by K. Walker (lost ball; steal by E. Ilyasova)
9:01.0,E. Ilyasova makes 2-pt shot from 1 ft,2,9-2,,
8:40.0,,,9-2,,F. Kaminsky misses 2-pt shot from 7 ft
8:39.0,Defensive rebound by N. Noel,,9-2,,
8:23.0,R. Covington misses 3-pt shot from 25 ft,,9-2,,
8:22.0,,,9-2,,Defensive rebound by F. Kaminsky
8:13.0,,,9-5,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams)
8:12.0,Philadelphia full timeout,,9-5,,
7:53.0,T. McConnell misses 2-pt shot from 6 ft,,9-5,,
7:52.0,,,9-5,,Defensive rebound by K. Walker
7:34.0,,,9-5,,M. Williams misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by E. Ilyasova,,9-5,,
7:28.0,G. Henderson makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,11-5,,
7:28.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Henderson),,11-5,,
7:28.0,G. Henderson makes free throw 1 of 1,1,12-5,,
7:09.0,,,12-5,,K. Walker misses 2-pt shot from 1 ft
7:08.0,Defensive rebound by N. Noel,,12-5,,
6:57.0,R. Covington makes 2-pt shot from 1 ft (assist by N. Noel),2,14-5,,
6:47.0,,,14-5,,Turnover by F. Kaminsky (traveling)
6:47.0,R. Holmes enters the game for N. Noel,,14-5,,
6:47.0,N. Stauskas enters the game for G. Henderson,,14-5,,
6:32.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by N. Stauskas),3,17-5,,
6:12.0,,,17-5,,N. Batum misses 2-pt shot from 14 ft
6:11.0,Defensive rebound by T. McConnell,,17-5,,
5:58.0,T. McConnell misses 2-pt shot from 12 ft,,17-5,,
5:57.0,,,17-5,,Defensive rebound by M. Kidd-Gilchrist
5:44.0,,,17-5,,M. Williams misses 2-pt shot from 6 ft
5:43.0,Defensive rebound by T. McConnell,,17-5,,
5:39.0,Turnover by R. Covington (traveling),,17-5,,
5:39.0,D. Saric enters the game for E. Ilyasova,,17-5,,
5:39.0,,,17-5,,J. Lamb enters the game for M. Williams
5:25.0,,,17-7,2,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum)
5:25.0,,,17-7,,Shooting foul by N. Stauskas (drawn by J. Lamb)
5:25.0,,,17-8,1,J. Lamb makes free throw 1 of 1
5:11.0,Turnover by N. Stauskas (bad pass; steal by N. Batum),,17-8,,
5:07.0,,,17-10,2,M. Kidd-Gilchrist makes 2-pt shot at rim
4:57.0,,,17-10,,Personal foul by J. Lamb (drawn by N. Stauskas)
4:45.0,R. Covington makes 3-pt shot from 25 ft (assist by N. Stauskas),3,20-10,,
4:22.0,,,20-10,,Turnover by N. Batum (bad pass; steal by R. Covington)
4:17.0,R. Covington misses 2-pt shot at rim,,20-10,,
4:16.0,,,20-10,,Defensive rebound by F. Kaminsky
4:07.0,,,20-10,,J. Lamb misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by N. Stauskas,,20-10,,
3:59.0,D. Saric misses 2-pt shot from 11 ft,,20-10,,
3:56.0,Offensive rebound by R. Holmes,,20-10,,
3:56.0,R. Holmes misses 2-pt shot from 1 ft (block by F. Kaminsky),,20-10,,
3:53.0,,,20-10,,Defensive rebound by F. Kaminsky
3:41.0,,,20-12,2,N. Batum makes 2-pt shot from 10 ft
3:30.0,R. Holmes misses 2-pt shot from 20 ft,,20-12,,
3:29.0,,,20-12,,Defensive rebound by K. Walker
3:23.0,,,20-15,3,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker)
3:05.0,D. Saric misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist),,20-15,,
3:04.0,,,20-15,,Defensive rebound by M. Kidd-Gilchrist
3:00.0,,,20-15,,J. Lamb misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by T. McConnell,,20-15,,
2:47.0,D. Saric misses 3-pt shot from 25 ft,,20-15,,
2:46.0,Offensive rebound by Team,,20-15,,
2:46.0,,,20-15,,Charlotte full timeout
2:46.0,S. Rodriguez enters the game for T. McConnell,,20-15,,
2:46.0,,,20-15,,M. Belinelli enters the game for M. Kidd-Gilchrist
2:46.0,,,20-15,,B. Roberts enters the game for F. Kaminsky
2:46.0,,,20-15,,M. Plumlee enters the game for N. Batum
2:46.0,,,20-15,,M. Williams enters the game for K. Walker
2:30.0,D. Saric misses 3-pt shot from 25 ft,,20-15,,
2:28.0,,,20-15,,Defensive rebound by M. Plumlee
2:19.0,,,20-17,2,M. Belinelli makes 2-pt shot from 18 ft
1:58.0,D. Saric makes 2-pt shot from 3 ft,2,22-17,,
1:40.0,,,22-17,,Turnover by M. Belinelli (bad pass)
1:40.0,N. Noel enters the game for R. Covington,,22-17,,
1:40.0,T. Luwawu-Cabarrot enters the game for R. Holmes,,22-17,,
1:30.0,N. Stauskas makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,25-17,,
1:20.0,,,25-17,,Charlotte full timeout
