time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (M. Conley gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (M. Conley gains possession)
11:41.0,Turnover by V. Carter (bad pass),,0-0,,
11:21.0,,,0-0,,Shooting foul by M. Gasol (drawn by D. Dedmon)
11:21.0,,,0-1,1,D. Dedmon makes free throw 1 of 2
11:21.0,,,0-2,1,D. Dedmon makes free throw 2 of 2
11:08.0,Shooting foul by L. Aldridge (drawn by J. Ennis),,0-2,,
11:08.0,J. Ennis makes free throw 1 of 2,1,1-2,,
11:08.0,J. Ennis makes free throw 2 of 2,1,2-2,,
10:53.0,,,2-4,2,D. Dedmon makes 2-pt shot from 2 ft (assist by T. Parker)
10:34.0,J. Ennis makes 2-pt shot from 2 ft (assist by M. Gasol),2,4-4,,
10:17.0,,,4-4,,K. Leonard misses 2-pt shot from 11 ft
10:16.0,Defensive rebound by J. Ennis,,4-4,,
10:10.0,M. Conley misses 3-pt shot from 25 ft,,4-4,,
10:09.0,,,4-4,,Defensive rebound by J. Simmons
9:55.0,,,4-4,,J. Simmons misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by J. Ennis,,4-4,,
9:46.0,,,4-4,,Violation by D. Dedmon (kicked ball)
9:37.0,,,4-4,,Personal foul by D. Dedmon (drawn by M. Gasol)
9:28.0,Turnover by M. Conley (bad pass; steal by T. Parker),,4-4,,
9:18.0,,,4-6,2,L. Aldridge makes 2-pt shot from 13 ft (assist by T. Parker)
8:54.0,V. Carter misses 3-pt shot from 28 ft,,4-6,,
8:53.0,,,4-6,,Defensive rebound by D. Dedmon
8:43.0,,,4-9,3,T. Parker makes 3-pt shot from 24 ft (assist by K. Leonard)
8:20.0,M. Gasol misses 2-pt shot from 14 ft,,4-9,,
8:19.0,,,4-9,,Defensive rebound by K. Leonard
8:04.0,,,4-9,,K. Leonard misses 2-pt shot from 6 ft
8:02.0,Defensive rebound by M. Gasol,,4-9,,
7:55.0,Turnover by M. Conley (lost ball; steal by T. Parker),,4-9,,
7:42.0,,,4-12,3,K. Leonard makes 3-pt shot from 26 ft (assist by J. Simmons)
7:34.0,Memphis full timeout,,4-12,,
7:18.0,V. Carter makes 2-pt shot from 17 ft,2,6-12,,
6:54.0,,,6-12,,J. Simmons misses 2-pt shot from 19 ft
6:53.0,Defensive rebound by M. Conley,,6-12,,
6:45.0,Turnover by V. Carter (bad pass),,6-12,,
6:26.0,,,6-14,2,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Leonard)
5:59.0,M. Conley makes 2-pt shot from 22 ft,2,8-14,,
5:59.0,Shooting foul by D. Dedmon (drawn by M. Conley),,8-14,,
5:59.0,M. Conley makes free throw 1 of 1,1,9-14,,
5:59.0,B. Wright enters the game for M. Gasol,,8-14,,
5:59.0,Z. Randolph enters the game for J. Green,,8-14,,
5:59.0,,,8-14,,P. Mills enters the game for T. Parker
5:59.0,,,8-14,,M. Ginobili enters the game for J. Simmons
5:59.0,,,8-14,,P. Gasol enters the game for D. Dedmon
5:42.0,,,9-14,,Turnover by M. Ginobili (bad pass; steal by J. Ennis)
5:38.0,M. Conley makes 2-pt shot at rim (assist by J. Ennis),2,11-14,,
5:17.0,,,11-14,,P. Gasol misses 2-pt shot from 15 ft
5:16.0,Defensive rebound by J. Ennis,,11-14,,
4:54.0,M. Conley misses 2-pt shot from 12 ft,,11-14,,
4:53.0,,,11-14,,Defensive rebound by P. Gasol
4:46.0,,,11-14,,K. Leonard misses 2-pt shot from 21 ft
4:45.0,,,11-14,,Offensive rebound by L. Aldridge
4:42.0,,,11-14,,L. Aldridge misses 2-pt shot from 16 ft
4:41.0,Defensive rebound by Z. Randolph,,11-14,,
4:17.0,B. Wright misses 2-pt shot from 9 ft,,11-14,,
4:16.0,,,11-14,,Defensive rebound by K. Leonard
4:11.0,,,11-14,,Turnover by P. Mills (bad pass)
4:11.0,,,11-14,,D. Lee enters the game for L. Aldridge
4:11.0,T. Daniels enters the game for V. Carter,,11-14,,
3:55.0,B. Wright misses 2-pt shot from 9 ft,,11-14,,
3:54.0,,,11-14,,Defensive rebound by P. Gasol
3:41.0,,,11-14,,M. Ginobili misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by Z. Randolph,,11-14,,
3:22.0,Z. Randolph misses 2-pt shot from 6 ft (block by P. Gasol),,11-14,,
3:22.0,Offensive rebound by Team,,11-14,,
3:22.0,,,11-14,,K. Anderson enters the game for K. Leonard
3:18.0,M. Conley makes 3-pt shot from 26 ft (assist by J. Ennis),3,14-14,,
3:16.0,,,14-14,,San Antonio full timeout
3:16.0,W. Selden enters the game for J. Ennis,,14-14,,
2:53.0,,,14-14,,K. Anderson misses 3-pt shot from 24 ft
2:52.0,,,14-14,,Offensive rebound by P. Gasol
2:50.0,,,14-14,,Turnover by D. Lee (lost ball)
2:25.0,Turnover by W. Selden (lost ball; steal by P. Mills),,14-14,,
2:20.0,,,14-14,,P. Mills misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by M. Conley,,14-14,,
2:08.0,Z. Randolph misses 2-pt shot from 3 ft (block by P. Gasol),,14-14,,
2:06.0,,,14-14,,Defensive rebound by M. Ginobili
1:54.0,,,14-14,,Turnover by P. Gasol (bad pass; steal by Z. Randolph)
1:30.0,M. Conley misses 3-pt shot from 31 ft,,14-14,,
1:29.0,,,14-14,,Defensive rebound by D. Lee
1:17.0,,,14-14,,M. Ginobili misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by Z. Randolph,,14-14,,
1:10.0,T. Daniels misses 2-pt shot from 24 ft,,14-14,,
1:08.0,,,14-14,,Defensive rebound by P. Mills
0:52.0,,,14-14,,K. Anderson misses 2-pt shot from 3 ft (block by W. Selden)
0:50.0,,,14-14,,Offensive rebound by K. Anderson
0:46.0,,,14-14,,K. Anderson misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by Z. Randolph,,14-14,,
0:30.0,M. Conley misses 2-pt shot from 8 ft,,14-14,,
0:29.0,Offensive rebound by Z. Randolph,,14-14,,
0:28.0,Z. Randolph makes 2-pt shot from 1 ft,2,16-14,,
0:03.0,,,16-14,,P. Mills misses 2-pt shot from 6 ft
0:02.0,Defensive rebound by T. Daniels,,16-14,,
0:00.0,T. Daniels misses 3-pt shot from 27 ft,,16-14,,
0:00.0,Offensive rebound by Team,,16-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by T. Daniels (drawn by M. Ginobili),,16-14,,
11:46.0,,,16-14,,T. Parker enters the game for P. Mills
11:46.0,,,16-14,,J. Simmons enters the game for M. Ginobili
11:46.0,M. Gasol enters the game for B. Wright,,16-14,,
11:30.0,,,16-14,,J. Simmons misses 2-pt shot from 12 ft
11:29.0,Defensive rebound by W. Baldwin,,16-14,,
11:05.0,W. Selden makes 3-pt shot from 23 ft (assist by W. Baldwin),3,19-14,,
10:49.0,,,19-14,,T. Parker misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by Z. Randolph,,19-14,,
10:38.0,Z. Randolph misses 2-pt shot from 19 ft,,19-14,,
10:38.0,,,19-14,,Defensive rebound by K. Anderson
10:38.0,Personal foul by W. Baldwin (drawn by K. Anderson),,19-14,,
10:25.0,,,19-14,,D. Lee misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by T. Daniels,,19-14,,
10:07.0,Z. Randolph misses 2-pt shot from 2 ft,,19-14,,
10:06.0,,,19-14,,Defensive rebound by P. Gasol
9:52.0,,,19-14,,Turnover by K. Anderson (lost ball; steal by M. Gasol)
9:41.0,Turnover by W. Baldwin (lost ball; steal by J. Simmons),,19-14,,
9:36.0,,,19-16,2,J. Simmons makes 2-pt shot at rim (assist by T. Parker)
9:18.0,T. Daniels misses 3-pt shot from 26 ft,,19-16,,
9:17.0,,,19-16,,Defensive rebound by T. Parker
9:09.0,,,19-16,,K. Anderson misses 2-pt shot from 22 ft
9:08.0,Defensive rebound by M. Gasol,,19-16,,
9:03.0,,,19-16,,Personal foul by J. Simmons (drawn by Z. Randolph)
9:03.0,,,19-16,,D. Dedmon enters the game for P. Gasol
8:55.0,T. Daniels makes 2-pt shot from 18 ft (assist by W. Baldwin),2,21-16,,
8:40.0,,,21-16,,Offensive foul by J. Simmons
8:40.0,,,21-16,,Turnover by J. Simmons (offensive foul)
8:40.0,Official timeout,,21-16,,
8:40.0,,,21-16,,L. Aldridge enters the game for D. Lee
8:40.0,,,21-16,,K. Leonard enters the game for K. Anderson
8:40.0,J. Green enters the game for Z. Randolph,,21-16,,
8:30.0,Shooting foul by J. Simmons (drawn by W. Selden),,21-16,,
8:30.0,W. Selden misses free throw 1 of 2,,21-16,,
8:30.0,Offensive rebound by Team,,21-16,,
8:30.0,W. Selden makes free throw 2 of 2,1,22-16,,
8:30.0,,,21-16,,B. Forbes enters the game for J. Simmons
8:08.0,,,22-18,2,L. Aldridge makes 2-pt shot from 12 ft
7:51.0,T. Daniels misses 2-pt shot from 20 ft,,22-18,,
7:51.0,,,22-18,,Defensive rebound by K. Leonard
7:28.0,,,22-20,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Dedmon)
7:12.0,J. Green misses 2-pt shot from 19 ft,,22-20,,
7:10.0,Offensive rebound by W. Baldwin,,22-20,,
7:10.0,W. Baldwin misses 2-pt shot from 3 ft,,22-20,,
7:08.0,Offensive rebound by W. Baldwin,,22-20,,
7:05.0,Turnover by W. Selden (lost ball),,22-20,,
6:51.0,,,22-20,,Shooting foul by J. Green (drawn by L. Aldridge)
6:51.0,,,22-21,1,L. Aldridge makes free throw 1 of 2
6:51.0,,,22-21,,L. Aldridge misses free throw 2 of 2
6:51.0,V. Carter enters the game for W. Selden,,22-21,,
6:51.0,J. Ennis enters the game for T. Daniels,,22-21,,
6:50.0,Defensive rebound by J. Green,,22-21,,
6:46.0,Memphis full timeout,,22-21,,
6:33.0,M. Gasol makes 2-pt shot from 10 ft (assist by W. Baldwin),2,24-21,,
6:19.0,,,24-21,,B. Forbes misses 3-pt shot from 26 ft
6:18.0,Defensive rebound by W. Baldwin,,24-21,,
6:05.0,J. Green makes 2-pt shot from 20 ft (assist by M. Gasol),2,26-21,,
5:39.0,,,26-21,,L. Aldridge misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by W. Baldwin,,26-21,,
5:31.0,W. Baldwin misses 2-pt shot from 12 ft,,26-21,,
5:30.0,,,26-21,,Defensive rebound by D. Dedmon
5:22.0,,,26-23,2,T. Parker makes 2-pt shot from 1 ft
5:14.0,Memphis full timeout,,26-23,,
5:14.0,M. Conley enters the game for W. Baldwin,,26-23,,
5:14.0,B. Wright enters the game for M. Gasol,,26-23,,
5:14.0,Z. Randolph enters the game for J. Green,,26-23,,
4:58.0,Z. Randolph misses 2-pt shot from 18 ft,,26-23,,
4:57.0,,,26-23,,Defensive rebound by D. Dedmon
4:51.0,,,26-25,2,T. Parker makes 2-pt shot from 1 ft
4:31.0,J. Ennis misses 2-pt shot from 2 ft,,26-25,,
4:30.0,Offensive rebound by J. Ennis,,26-25,,
4:20.0,M. Conley makes 2-pt shot from 15 ft,2,28-25,,
4:02.0,,,28-27,2,K. Leonard makes 2-pt shot from 20 ft
3:33.0,M. Conley misses 2-pt shot from 7 ft,,28-27,,
3:33.0,Offensive rebound by B. Wright,,28-27,,
3:33.0,,,28-27,,Personal foul by K. Leonard (drawn by B. Wright)
3:33.0,,,28-27,,P. Mills enters the game for T. Parker
3:33.0,,,28-27,,K. Anderson enters the game for B. Forbes
3:33.0,,,28-27,,P. Gasol enters the game for D. Dedmon
3:23.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Conley),2,30-27,,
3:06.0,Personal foul by V. Carter (drawn by K. Leonard),,30-27,,
3:00.0,,,30-27,,K. Leonard misses 2-pt shot from 18 ft
2:59.0,,,30-27,,Offensive rebound by P. Gasol
2:58.0,,,30-27,,San Antonio full timeout
2:58.0,,,30-27,,Turnover by K. Anderson (bad pass)
2:47.0,Turnover by M. Conley (bad pass; steal by P. Mills),,30-27,,
2:40.0,,,30-29,2,K. Leonard makes 2-pt shot from 2 ft
2:14.0,M. Conley misses 2-pt shot from 12 ft,,30-29,,
2:12.0,,,30-29,,Defensive rebound by K. Leonard
2:05.0,,,30-31,2,K. Leonard makes 2-pt shot from 8 ft
1:41.0,Z. Randolph misses 2-pt shot from 1 ft (block by L. Aldridge),,30-31,,
1:39.0,,,30-31,,Defensive rebound by L. Aldridge
1:33.0,,,30-31,,Turnover by P. Mills (bad pass; steal by Z. Randolph)
1:28.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,32-31,,
1:07.0,,,32-31,,L. Aldridge misses 2-pt shot from 12 ft
1:05.0,Defensive rebound by Z. Randolph,,32-31,,
0:51.0,J. Ennis misses 2-pt shot from 3 ft,,32-31,,
0:49.0,,,32-31,,Defensive rebound by P. Gasol
0:33.0,,,32-31,,K. Leonard misses 2-pt shot from 22 ft
0:32.0,Defensive rebound by B. Wright,,32-31,,
0:11.0,M. Conley makes 3-pt shot from 25 ft,3,35-31,,
0:06.0,J. Green enters the game for Z. Randolph,,35-31,,
0:05.0,Personal foul by M. Conley,,35-31,,
0:05.0,,,35-32,1,P. Mills makes free throw 1 of 2
0:05.0,,,35-33,1,P. Mills makes free throw 2 of 2
0:05.0,T. Daniels enters the game for J. Ennis,,35-32,,
0:05.0,Z. Randolph enters the game for B. Wright,,35-32,,
0:05.0,M. Gasol enters the game for J. Green,,35-32,,
0:01.0,,,35-33,,Personal take foul by K. Leonard (drawn by V. Carter)
0:00.0,Z. Randolph misses 3-pt shot from 40 ft,,35-33,,
0:00.0,Offensive rebound by Team,,35-33,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,35-36,3,K. Leonard makes 3-pt shot from 24 ft (assist by J. Simmons)
11:15.0,Turnover by M. Gasol (bad pass; steal by L. Aldridge),,35-36,,
10:51.0,,,35-39,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
10:50.0,Memphis full timeout,,35-39,,
10:31.0,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley),2,37-39,,
10:11.0,Personal foul by J. Ennis (drawn by L. Aldridge),,37-39,,
9:58.0,,,37-39,,Turnover by T. Parker (bad pass; steal by M. Conley)
9:43.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,40-39,,
9:12.0,,,40-39,,K. Leonard misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by V. Carter,,40-39,,
8:51.0,Turnover by M. Gasol (traveling),,40-39,,
8:51.0,T. Daniels enters the game for J. Ennis,,40-39,,
8:39.0,Personal foul by J. Green (drawn by K. Leonard),,40-39,,
8:24.0,,,40-41,2,J. Simmons makes 2-pt shot from 8 ft
8:08.0,J. Green misses 2-pt shot from 6 ft,,40-41,,
8:07.0,,,40-41,,Defensive rebound by K. Leonard
7:59.0,,,40-41,,K. Leonard misses 2-pt shot from 19 ft
7:57.0,Defensive rebound by J. Green,,40-41,,
7:41.0,M. Conley misses 2-pt shot from 9 ft,,40-41,,
7:40.0,,,40-41,,Defensive rebound by K. Leonard
7:36.0,,,40-41,,Shooting foul by M. Conley (drawn by K. Leonard)
7:36.0,,,40-42,1,K. Leonard makes free throw 1 of 2
7:36.0,,,40-43,1,K. Leonard makes free throw 2 of 2
7:36.0,,,40-42,,P. Gasol enters the game for D. Dedmon
7:36.0,B. Wright enters the game for J. Green,,40-42,,
7:24.0,M. Gasol misses 2-pt shot from 2 ft (block by L. Aldridge),,40-43,,
7:23.0,,,40-43,,Defensive rebound by P. Gasol
7:16.0,,,40-45,2,P. Gasol makes 2-pt shot from 14 ft (assist by T. Parker)
6:57.0,,,40-45,,Personal foul by P. Gasol (drawn by B. Wright)
6:57.0,Z. Randolph enters the game for M. Gasol,,40-45,,
6:50.0,M. Conley misses 3-pt shot from 26 ft,,40-45,,
6:49.0,,,40-45,,Defensive rebound by L. Aldridge
6:37.0,,,40-47,2,T. Parker makes 2-pt shot from 2 ft
6:13.0,Z. Randolph makes 2-pt shot from 14 ft (assist by T. Daniels),2,42-47,,
5:52.0,,,42-47,,Turnover by J. Simmons (traveling)
5:33.0,M. Conley makes 2-pt shot from 2 ft (assist by Z. Randolph),2,44-47,,
5:12.0,,,44-47,,L. Aldridge misses 2-pt shot from 11 ft
5:12.0,,,44-47,,Offensive rebound by Team
5:12.0,Personal foul by B. Wright (drawn by P. Gasol),,44-47,,
5:12.0,J. Ennis enters the game for V. Carter,,44-47,,
5:05.0,,,44-47,,T. Parker misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by T. Daniels,,44-47,,
4:49.0,Z. Randolph misses 2-pt shot from 20 ft,,44-47,,
4:48.0,,,44-47,,Defensive rebound by K. Leonard
4:43.0,,,44-47,,San Antonio full timeout
4:43.0,,,44-47,,P. Mills enters the game for T. Parker
4:26.0,,,44-47,,J. Simmons misses 2-pt shot from 6 ft
4:23.0,,,44-47,,Offensive rebound by J. Simmons
4:23.0,,,44-49,2,J. Simmons makes 2-pt shot from 2 ft
3:56.0,J. Ennis misses 3-pt shot from 23 ft,,44-49,,
3:55.0,Offensive rebound by T. Daniels,,44-49,,
3:51.0,T. Daniels makes 3-pt shot from 25 ft,3,47-49,,
3:33.0,,,47-49,,L. Aldridge misses 2-pt shot from 9 ft
3:31.0,Defensive rebound by T. Daniels,,47-49,,
3:22.0,Shooting foul by K. Leonard (drawn by Z. Randolph),,47-49,,
3:22.0,Z. Randolph misses free throw 1 of 2,,47-49,,
3:22.0,Offensive rebound by Team,,47-49,,
3:22.0,Z. Randolph makes free throw 2 of 2,1,48-49,,
3:22.0,,,47-49,,B. Forbes enters the game for J. Simmons
3:22.0,,,47-49,,D. Lee enters the game for L. Aldridge
3:22.0,W. Baldwin enters the game for M. Conley,,47-49,,
3:22.0,,,47-49,,K. Anderson enters the game for K. Leonard
