time,Miami,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: Z. Pachulia vs. H. Whiteside (G. Dragic gains possession)
11:38.0,D. Waiters misses 2-pt shot from 5 ft (block by D. Green),,0-0,,
11:36.0,,,0-0,,Defensive rebound by S. Curry
11:32.0,,,0-2,2,D. Green makes 2-pt shot from 2 ft
11:17.0,H. Whiteside misses 2-pt shot from 13 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by K. Durant
10:52.0,,,0-2,,S. Curry misses 3-pt shot from 23 ft
10:51.0,Defensive rebound by R. McGruder,,0-2,,
10:45.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,2-2,,
10:45.0,Shooting foul by Z. Pachulia (drawn by H. Whiteside),,2-2,,
10:45.0,H. Whiteside makes free throw 1 of 1,1,3-2,,
10:36.0,Personal foul by R. McGruder (drawn by K. Durant),,3-2,,
10:27.0,,,3-2,,D. Green misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by H. Whiteside,,3-2,,
10:11.0,G. Dragic makes 2-pt shot from 12 ft (assist by D. Waiters),2,5-2,,
10:00.0,,,5-4,2,S. Curry makes 2-pt shot from 21 ft
9:44.0,G. Dragic makes 3-pt shot from 25 ft (assist by R. McGruder),3,8-4,,
9:28.0,,,8-4,,K. Durant misses 2-pt shot from 20 ft
9:28.0,,,8-4,,Offensive rebound by Z. Pachulia
9:28.0,,,8-4,,Z. Pachulia misses 2-pt shot from 3 ft
9:28.0,,,8-4,,Offensive rebound by Team
9:20.0,,,8-4,,S. Curry misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by H. Whiteside,,8-4,,
9:13.0,G. Dragic makes 2-pt shot from 2 ft,2,10-4,,
9:05.0,Personal foul by G. Dragic (drawn by S. Curry),,10-4,,
9:04.0,,,10-4,,Turnover by S. Curry (illegal screen)
8:48.0,D. Waiters misses 2-pt shot from 2 ft,,10-4,,
8:48.0,,,10-4,,Defensive rebound by P. McCaw
8:42.0,,,10-6,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
8:27.0,R. McGruder misses 3-pt shot from 23 ft,,10-6,,
8:26.0,,,10-6,,Defensive rebound by P. McCaw
8:10.0,,,10-6,,S. Curry misses 2-pt shot from 3 ft (block by R. McGruder)
8:09.0,,,10-6,,Offensive rebound by S. Curry
8:06.0,,,10-6,,K. Durant misses 3-pt shot from 27 ft
8:05.0,Defensive rebound by G. Dragic,,10-6,,
7:59.0,G. Dragic misses 2-pt shot from 2 ft,,10-6,,
7:57.0,,,10-6,,Defensive rebound by Z. Pachulia
7:52.0,,,10-9,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
7:33.0,L. Babbitt misses 3-pt shot from 24 ft,,10-9,,
7:32.0,,,10-9,,Defensive rebound by K. Durant
7:22.0,Def 3 sec tech foul by H. Whiteside,,10-9,,
7:22.0,,,10-9,,S. Curry misses technical free throw
7:22.0,,,10-9,,Offensive rebound by Team
7:11.0,,,10-9,,Turnover by Z. Pachulia (bad pass; steal by D. Waiters)
7:02.0,L. Babbitt misses 2-pt shot from 15 ft,,10-9,,
7:01.0,,,10-9,,Defensive rebound by K. Durant
6:55.0,,,10-9,,K. Durant misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by H. Whiteside,,10-9,,
6:41.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,12-9,,
6:29.0,,,12-9,,P. McCaw misses 2-pt shot from 17 ft
6:28.0,Defensive rebound by H. Whiteside,,12-9,,
6:15.0,G. Dragic misses 3-pt shot from 23 ft,,12-9,,
6:15.0,,,12-9,,Defensive rebound by Z. Pachulia
6:06.0,,,12-9,,K. Durant misses 2-pt shot from 4 ft
6:04.0,Defensive rebound by D. Waiters,,12-9,,
5:54.0,D. Waiters makes 2-pt shot from 17 ft,2,14-9,,
5:46.0,,,14-9,,Golden State full timeout
5:46.0,T. Johnson enters the game for R. McGruder,,14-9,,
5:40.0,,,14-9,,Turnover by D. Green (bad pass; steal by H. Whiteside)
5:36.0,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,16-9,,
5:19.0,,,16-9,,K. Durant misses 2-pt shot from 5 ft
5:18.0,Defensive rebound by H. Whiteside,,16-9,,
5:03.0,D. Waiters misses 2-pt shot from 18 ft,,16-9,,
5:02.0,,,16-9,,Defensive rebound by S. Curry
4:57.0,,,16-11,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
4:37.0,T. Johnson makes 2-pt shot from 2 ft (assist by H. Whiteside),2,18-11,,
4:24.0,,,18-11,,D. Green misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by H. Whiteside,,18-11,,
4:13.0,G. Dragic makes 2-pt shot from 2 ft,2,20-11,,
