time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. C. Capela (R. Westbrook gains possession)
11:45.0,S. Adams misses 2-pt shot from 11 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Harden
11:20.0,,,0-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
11:11.0,V. Oladipo misses 2-pt shot from 21 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by J. Harden
11:00.0,,,0-2,,J. Harden misses 3-pt shot from 25 ft
10:59.0,,,0-2,,Offensive rebound by P. Beverley
10:49.0,,,0-5,3,P. Beverley makes 3-pt shot from 25 ft (assist by T. Ariza)
10:33.0,A. Roberson makes 3-pt shot from 24 ft (assist by T. Gibson),3,3-5,,
10:16.0,Personal foul by T. Gibson (drawn by R. Anderson),,3-5,,
10:08.0,,,3-5,,J. Harden misses 2-pt shot from 3 ft (block by S. Adams)
10:06.0,,,3-5,,Offensive rebound by J. Harden
10:02.0,,,3-8,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
9:51.0,R. Westbrook misses 2-pt shot from 2 ft,,3-8,,
9:50.0,,,3-8,,Defensive rebound by P. Beverley
9:43.0,,,3-8,,R. Anderson misses 3-pt shot from 28 ft
9:42.0,,,3-8,,Offensive rebound by C. Capela
9:39.0,,,3-10,2,T. Ariza makes 2-pt shot at rim (assist by C. Capela)
9:17.0,S. Adams makes 2-pt shot at rim,2,5-10,,
8:58.0,,,5-10,,Shooting foul by S. Adams (drawn by J. Harden)
8:58.0,,,5-10,,J. Harden misses free throw 1 of 2
8:58.0,,,5-10,,Offensive rebound by Team
8:58.0,,,5-10,,J. Harden misses free throw 2 of 2
8:58.0,Defensive rebound by R. Westbrook,,5-10,,
8:49.0,Turnover by R. Westbrook (lost ball; steal by P. Beverley),,5-10,,
8:45.0,,,5-12,2,P. Beverley makes 2-pt shot at rim
8:32.0,R. Westbrook makes 2-pt shot from 13 ft,2,7-12,,
8:14.0,,,7-14,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:54.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,10-14,,
7:37.0,,,10-14,,T. Ariza misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by A. Roberson,,10-14,,
7:31.0,V. Oladipo misses 2-pt shot from 2 ft,,10-14,,
7:31.0,,,10-14,,Defensive rebound by P. Beverley
7:31.0,Personal foul by V. Oladipo (drawn by P. Beverley),,10-14,,
7:17.0,,,10-14,,P. Beverley misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by V. Oladipo,,10-14,,
7:08.0,T. Gibson makes 2-pt shot from 4 ft (assist by R. Westbrook),2,12-14,,
6:51.0,,,12-14,,Turnover by J. Harden (bad pass; steal by R. Westbrook)
6:47.0,Shooting foul by R. Anderson (drawn by R. Westbrook),,12-14,,
6:47.0,R. Westbrook makes free throw 1 of 2,1,13-14,,
6:47.0,R. Westbrook makes free throw 2 of 2,1,14-14,,
6:33.0,,,14-14,,J. Harden misses 2-pt shot from 11 ft
6:32.0,Defensive rebound by V. Oladipo,,14-14,,
6:18.0,V. Oladipo misses 3-pt shot from 24 ft,,14-14,,
6:17.0,,,14-14,,Defensive rebound by P. Beverley
6:02.0,,,14-14,,J. Harden misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by Team,,14-14,,
5:54.0,Shooting foul by R. Anderson (drawn by T. Gibson),,14-14,,
5:54.0,,,14-14,,Houston full timeout
5:54.0,T. Gibson misses free throw 1 of 2,,14-14,,
5:54.0,Offensive rebound by Team,,14-14,,
5:54.0,T. Gibson makes free throw 2 of 2,1,15-14,,
5:54.0,,,14-14,,N. Hilario enters the game for R. Anderson
5:54.0,,,14-14,,L. Williams enters the game for C. Capela
5:54.0,,,14-14,,E. Gordon enters the game for P. Beverley
5:38.0,,,15-16,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
5:31.0,Turnover by R. Westbrook (lost ball; steal by J. Harden),,15-16,,
5:11.0,,,15-18,2,J. Harden makes 2-pt shot from 2 ft
4:58.0,R. Westbrook misses 3-pt shot from 25 ft,,15-18,,
4:56.0,Offensive rebound by A. Roberson,,15-18,,
4:48.0,R. Westbrook misses 3-pt shot from 25 ft,,15-18,,
4:47.0,,,15-18,,Defensive rebound by T. Ariza
4:29.0,,,15-18,,L. Williams misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by A. Roberson,,15-18,,
4:21.0,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook),2,17-18,,
3:58.0,,,17-18,,L. Williams misses 2-pt shot from 18 ft
3:57.0,Defensive rebound by R. Westbrook,,17-18,,
3:51.0,Shooting foul by N. Hilario (drawn by V. Oladipo),,17-18,,
3:51.0,V. Oladipo makes free throw 1 of 2,1,18-18,,
3:51.0,V. Oladipo makes free throw 2 of 2,1,19-18,,
3:51.0,J. Grant enters the game for T. Gibson,,18-18,,
3:37.0,,,19-18,,J. Harden misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by S. Adams,,19-18,,
3:28.0,A. Abrines enters the game for V. Oladipo,,19-18,,
3:28.0,Oklahoma City full timeout,,19-18,,
3:23.0,R. Westbrook misses 2-pt shot from 15 ft,,19-18,,
3:22.0,,,19-18,,Defensive rebound by N. Hilario
3:08.0,,,19-18,,Turnover by E. Gordon (bad pass; steal by S. Adams)
2:51.0,R. Westbrook misses 3-pt shot from 25 ft,,19-18,,
2:50.0,,,19-18,,Defensive rebound by J. Harden
2:41.0,,,19-18,,J. Harden misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by R. Westbrook,,19-18,,
2:36.0,Shooting foul by T. Ariza (drawn by R. Westbrook),,19-18,,
2:36.0,R. Westbrook makes free throw 1 of 2,1,20-18,,
2:36.0,R. Westbrook makes free throw 2 of 2,1,21-18,,
2:36.0,E. Kanter enters the game for S. Adams,,20-18,,
2:23.0,,,21-20,2,J. Harden makes 2-pt shot from 2 ft
2:07.0,Turnover by R. Westbrook (lost ball; steal by E. Gordon),,21-20,,
2:02.0,,,21-20,,E. Gordon misses 2-pt shot from 2 ft (block by A. Roberson)
2:00.0,Defensive rebound by J. Grant,,21-20,,
1:51.0,R. Westbrook makes 3-pt shot from 25 ft,3,24-20,,
1:43.0,,,24-22,2,N. Hilario makes 2-pt shot from 2 ft (assist by L. Williams)
1:43.0,,,24-22,,Shooting foul by A. Abrines (drawn by N. Hilario)
1:43.0,,,24-23,1,N. Hilario makes free throw 1 of 1
1:43.0,S. Christon enters the game for R. Westbrook,,24-22,,
1:25.0,S. Christon makes 3-pt shot from 25 ft (assist by E. Kanter),3,27-23,,
1:10.0,,,27-23,,J. Harden misses 2-pt shot from 4 ft
1:10.0,Defensive rebound by S. Christon,,27-23,,
1:04.0,J. Grant makes 2-pt shot from 1 ft (assist by S. Christon),2,29-23,,
0:52.0,,,29-23,,L. Williams misses 2-pt shot from 8 ft
0:51.0,,,29-23,,Offensive rebound by N. Hilario
0:48.0,,,29-25,2,J. Harden makes 2-pt shot from 2 ft (assist by E. Gordon)
0:31.0,J. Grant misses 2-pt shot from 14 ft,,29-25,,
0:30.0,,,29-25,,Defensive rebound by N. Hilario
0:08.0,,,29-27,2,J. Harden makes 2-pt shot from 1 ft
0:00.0,E. Kanter misses 2-pt shot from 22 ft,,29-27,,
0:00.0,Offensive rebound by Team,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,29-27,,Shooting foul by S. Christon (drawn by P. Beverley)
11:51.0,,,29-28,1,P. Beverley makes free throw 1 of 2
11:51.0,,,29-28,,P. Beverley misses free throw 2 of 2
11:51.0,,,29-28,,Offensive rebound by N. Hilario
11:48.0,,,29-30,2,N. Hilario makes 2-pt shot at rim
11:28.0,J. Grant makes 2-pt shot from 1 ft (assist by A. Abrines),2,31-30,,
11:15.0,,,31-32,2,P. Beverley makes 2-pt shot from 1 ft
10:59.0,E. Kanter makes 2-pt shot from 7 ft (assist by A. Abrines),2,33-32,,
10:47.0,,,33-32,,E. Gordon misses 2-pt shot from 2 ft
10:46.0,,,33-32,,Offensive rebound by N. Hilario
10:46.0,,,33-34,2,N. Hilario makes 2-pt shot from 2 ft
10:28.0,E. Kanter makes 2-pt shot from 5 ft (assist by V. Oladipo),2,35-34,,
10:17.0,,,35-34,,N. Hilario misses 2-pt shot from 16 ft
10:15.0,Defensive rebound by A. Abrines,,35-34,,
10:05.0,Shooting foul by L. Williams (drawn by E. Kanter),,35-34,,
10:05.0,E. Kanter makes free throw 1 of 2,1,36-34,,
10:05.0,E. Kanter makes free throw 2 of 2,1,37-34,,
10:05.0,,,36-34,,C. Capela enters the game for N. Hilario
9:53.0,,,37-36,2,C. Capela makes 2-pt shot from 2 ft (assist by E. Gordon)
9:36.0,E. Kanter misses 2-pt shot from 3 ft (block by C. Capela),,37-36,,
9:35.0,,,37-36,,Defensive rebound by R. Anderson
9:26.0,,,37-36,,Turnover by P. Beverley (bad pass; steal by S. Christon)
9:21.0,,,37-36,,Personal foul by P. Beverley (drawn by S. Christon)
9:21.0,R. Westbrook enters the game for S. Christon,,37-36,,
9:21.0,N. Cole enters the game for A. Abrines,,37-36,,
9:14.0,R. Westbrook misses 2-pt shot from 16 ft,,37-36,,
9:13.0,,,37-36,,Defensive rebound by R. Anderson
9:04.0,,,37-38,2,L. Williams makes 2-pt shot from 17 ft
8:50.0,J. Grant misses 2-pt shot at rim,,37-38,,
8:49.0,,,37-38,,Defensive rebound by P. Beverley
8:39.0,,,37-38,,Turnover by L. Williams (bad pass)
8:39.0,Oklahoma City full timeout,,37-38,,
8:39.0,,,37-38,,N. Hilario enters the game for C. Capela
8:29.0,N. Cole misses 3-pt shot from 24 ft,,37-38,,
8:28.0,Offensive rebound by R. Westbrook,,37-38,,
8:23.0,Turnover by R. Westbrook (lost ball),,37-38,,
8:07.0,,,37-38,,R. Anderson misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by R. Westbrook,,37-38,,
8:00.0,R. Westbrook misses 2-pt shot from 4 ft,,37-38,,
7:59.0,,,37-38,,Defensive rebound by P. Beverley
7:48.0,,,37-38,,E. Gordon misses 3-pt shot from 25 ft
7:48.0,,,37-38,,Offensive rebound by R. Anderson
7:48.0,,,37-38,,Shooting foul by N. Cole (drawn by R. Anderson)
7:48.0,,,37-39,1,R. Anderson makes free throw 1 of 2
7:48.0,,,37-40,1,R. Anderson makes free throw 2 of 2
7:34.0,V. Oladipo makes 2-pt shot from 2 ft,2,39-40,,
7:14.0,,,39-40,,Turnover by E. Gordon (lost ball)
7:14.0,,,39-40,,Houston full timeout
7:14.0,T. Gibson enters the game for J. Grant,,39-40,,
7:14.0,A. Roberson enters the game for N. Cole,,39-40,,
7:14.0,,,39-40,,J. Harden enters the game for L. Williams
7:03.0,Oklahoma City full timeout,,39-40,,
6:49.0,R. Westbrook makes 3-pt shot from 27 ft (assist by A. Roberson),3,42-40,,
6:22.0,,,42-42,2,J. Harden makes 2-pt shot from 2 ft
6:13.0,,,42-42,,Personal foul by P. Beverley (drawn by R. Westbrook)
6:13.0,S. Adams enters the game for E. Kanter,,42-42,,
6:13.0,,,42-42,,T. Ariza enters the game for P. Beverley
6:03.0,R. Westbrook misses 2-pt shot from 21 ft,,42-42,,
6:03.0,,,42-42,,Defensive rebound by R. Anderson
5:51.0,,,42-44,2,J. Harden makes 2-pt shot from 2 ft
5:51.0,,,42-44,,Shooting foul by A. Roberson (drawn by J. Harden)
5:51.0,,,42-44,,J. Harden misses free throw 1 of 1
5:51.0,Defensive rebound by T. Gibson,,42-44,,
5:39.0,T. Gibson makes 2-pt shot from 10 ft (assist by R. Westbrook),2,44-44,,
5:28.0,,,44-44,,J. Harden misses 3-pt shot from 28 ft
5:27.0,Defensive rebound by V. Oladipo,,44-44,,
5:12.0,T. Gibson misses 2-pt shot from 7 ft,,44-44,,
5:12.0,Offensive rebound by Team,,44-44,,
5:12.0,,,44-44,,Loose ball foul by N. Hilario (drawn by S. Adams)
