time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (P. Mills gains possession),,,,Jump ball: C. Capela vs. P. Gasol (P. Mills gains possession)
11:38.0,L. Aldridge makes 2-pt shot from 7 ft (assist by P. Gasol),2,2-0,,
11:20.0,,,2-0,,E. Gordon misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by D. Green,,2-0,,
11:03.0,L. Aldridge misses 2-pt shot from 8 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by C. Capela
10:51.0,Violation by L. Aldridge (kicked ball),,2-0,,
10:41.0,,,2-2,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
10:26.0,P. Mills makes 2-pt shot from 4 ft,2,4-2,,
10:18.0,,,4-5,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
10:03.0,Turnover by J. Simmons (lost ball; steal by J. Harden),,4-5,,
9:59.0,,,4-5,,E. Gordon misses 2-pt shot from 2 ft (block by D. Green)
9:58.0,Defensive rebound by D. Green,,4-5,,
9:40.0,L. Aldridge makes 2-pt shot from 2 ft (assist by D. Green),2,6-5,,
9:27.0,,,6-5,,Turnover by J. Harden (bad pass)
9:10.0,J. Simmons misses 3-pt shot from 25 ft,,6-5,,
9:09.0,Offensive rebound by P. Gasol,,6-5,,
9:09.0,P. Gasol makes 2-pt shot from 2 ft,2,8-5,,
9:02.0,,,8-5,,Turnover by J. Harden (bad pass)
8:45.0,P. Mills misses 3-pt shot from 25 ft,,8-5,,
8:44.0,,,8-5,,Defensive rebound by C. Capela
8:32.0,,,8-5,,Shooting foul by P. Gasol (drawn by C. Capela)
8:32.0,,,8-6,1,C. Capela makes free throw 1 of 2
8:32.0,,,8-7,1,C. Capela makes free throw 2 of 2
8:16.0,J. Simmons makes 2-pt shot from 17 ft (assist by P. Gasol),2,10-7,,
8:00.0,,,10-7,,P. Beverley misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by D. Green,,10-7,,
7:42.0,L. Aldridge makes 2-pt shot from 18 ft (assist by J. Simmons),2,12-7,,
7:39.0,,,12-7,,Turnover by C. Capela (bad pass; steal by J. Simmons)
7:30.0,P. Gasol makes 2-pt shot from 3 ft (assist by P. Mills),2,14-7,,
7:14.0,,,14-7,,Shooting foul by P. Mills (drawn by C. Capela)
7:14.0,,,14-7,,C. Capela misses free throw 1 of 2
7:14.0,,,14-7,,Offensive rebound by Team
7:14.0,,,14-8,1,C. Capela makes free throw 2 of 2
6:56.0,L. Aldridge misses 2-pt shot from 7 ft,,14-8,,
6:54.0,Offensive rebound by P. Mills,,14-8,,
6:50.0,D. Green misses 3-pt shot from 25 ft,,14-8,,
6:50.0,Offensive rebound by Team,,14-8,,
6:50.0,,,14-8,,Loose ball foul by P. Beverley (drawn by P. Gasol)
6:43.0,Turnover by P. Gasol (bad pass; steal by T. Ariza),,14-8,,
6:40.0,,,14-10,2,P. Beverley makes 2-pt shot from 2 ft
6:31.0,,,14-10,,Personal foul by J. Harden (drawn by P. Gasol)
6:24.0,P. Gasol misses 2-pt shot from 15 ft,,14-10,,
6:23.0,,,14-10,,Defensive rebound by C. Capela
6:18.0,,,14-10,,Shooting foul by D. Green (drawn by J. Harden)
6:18.0,,,14-11,1,J. Harden makes free throw 1 of 2
6:18.0,San Antonio full timeout,,14-11,,
6:18.0,,,14-12,1,J. Harden makes free throw 2 of 2
6:18.0,,,14-11,,R. Anderson enters the game for P. Beverley
6:18.0,,,14-11,,L. Williams enters the game for E. Gordon
5:54.0,P. Mills misses 3-pt shot from 28 ft,,14-12,,
5:53.0,,,14-12,,Defensive rebound by R. Anderson
5:46.0,M. Ginobili enters the game for D. Green,,14-12,,
5:46.0,D. Lee enters the game for P. Gasol,,14-12,,
5:32.0,,,14-14,2,C. Capela makes 2-pt shot from 1 ft (assist by T. Ariza)
5:11.0,J. Simmons makes 2-pt shot at rim,2,16-14,,
5:02.0,Personal foul by J. Simmons (drawn by J. Harden),,16-14,,
5:02.0,D. Murray enters the game for P. Mills,,16-14,,
4:45.0,,,16-14,,Turnover by Team (shot clock)
4:35.0,L. Aldridge makes 2-pt shot from 10 ft (assist by M. Ginobili),2,18-14,,
