time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Thompson (K. Olynyk gains possession),,,,Jump ball: A. Horford vs. T. Thompson (K. Olynyk gains possession)
11:41.0,Personal foul by J. Smith,,0-0,,
11:34.0,,,0-0,,J. Crowder misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by K. Love,,0-0,,
11:20.0,K. Love misses 2-pt shot from 3 ft (block by K. Olynyk),,0-0,,
11:19.0,,,0-0,,Defensive rebound by J. Crowder
11:11.0,,,0-0,,M. Smart misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by Team,,0-0,,
10:59.0,K. Love makes 3-pt shot from 25 ft,3,3-0,,
10:45.0,,,3-3,3,M. Smart makes 3-pt shot from 25 ft
10:27.0,K. Love makes 2-pt shot from 6 ft (assist by L. James),2,5-3,,
10:15.0,,,5-3,,M. Smart misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by L. James,,5-3,,
10:06.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,8-3,,
9:50.0,,,8-3,,A. Horford misses 2-pt shot from 21 ft
9:49.0,Defensive rebound by K. Love,,8-3,,
9:36.0,K. Love misses 3-pt shot from 25 ft,,8-3,,
9:35.0,,,8-3,,Defensive rebound by Team
9:23.0,,,8-3,,K. Olynyk misses 2-pt shot from 2 ft (block by L. James)
9:22.0,Defensive rebound by T. Thompson,,8-3,,
9:17.0,K. Love misses 2-pt shot from 2 ft (block by J. Crowder),,8-3,,
9:16.0,Offensive rebound by L. James,,8-3,,
9:15.0,L. James makes 2-pt shot from 2 ft,2,10-3,,
9:10.0,,,10-3,,Turnover by M. Smart (bad pass; steal by L. James)
9:07.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,12-3,,
9:07.0,Shooting foul by J. Crowder (drawn by L. James),,12-3,,
9:07.0,L. James misses free throw 1 of 1,,12-3,,
9:07.0,,,12-3,,Defensive rebound by J. Crowder
8:42.0,,,12-5,2,A. Horford makes 2-pt shot from 5 ft
8:33.0,,,12-5,,Personal foul by K. Olynyk (drawn by K. Irving)
8:22.0,J. Smith misses 3-pt shot from 24 ft,,12-5,,
8:21.0,,,12-5,,Defensive rebound by A. Horford
8:12.0,,,12-5,,K. Olynyk misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by K. Love,,12-5,,
8:08.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,14-5,,
8:08.0,,,14-5,,Boston full timeout
8:00.0,,,14-5,,Turnover by K. Olynyk (bad pass; steal by K. Love)
7:48.0,,,14-5,,Def 3 sec tech foul by A. Horford
7:48.0,K. Irving makes technical free throw,1,15-5,,
7:48.0,,,14-5,,J. Jerebko enters the game for K. Olynyk
7:39.0,K. Love misses 2-pt shot from 19 ft,,15-5,,
7:38.0,,,15-5,,Defensive rebound by A. Bradley
7:28.0,,,15-7,2,A. Bradley makes 2-pt shot from 17 ft
7:13.0,K. Irving makes 2-pt shot from 1 ft,2,17-7,,
6:57.0,,,17-10,3,J. Jerebko makes 3-pt shot from 25 ft (assist by A. Bradley)
6:46.0,Shooting foul by A. Horford (drawn by T. Thompson),,17-10,,
6:46.0,T. Thompson makes free throw 1 of 2,1,18-10,,
6:46.0,T. Thompson makes free throw 2 of 2,1,19-10,,
6:24.0,,,19-10,,M. Smart misses 2-pt shot from 15 ft (block by K. Love)
6:23.0,,,19-10,,Offensive rebound by M. Smart
6:22.0,,,19-10,,M. Smart misses 2-pt shot from 16 ft
6:20.0,Defensive rebound by L. James,,19-10,,
6:15.0,K. Love misses 2-pt shot from 1 ft,,19-10,,
6:14.0,Offensive rebound by K. Love,,19-10,,
6:12.0,K. Love makes 2-pt shot from 5 ft,2,21-10,,
5:50.0,,,21-10,,A. Horford misses 2-pt shot from 8 ft
5:49.0,Defensive rebound by K. Irving,,21-10,,
5:42.0,K. Irving misses 3-pt shot from 26 ft,,21-10,,
5:41.0,,,21-10,,Defensive rebound by J. Jerebko
5:32.0,,,21-10,,Shooting foul by K. Love (drawn by J. Crowder)
5:32.0,,,21-11,1,J. Crowder makes free throw 1 of 2
5:32.0,,,21-12,1,J. Crowder makes free throw 2 of 2
5:32.0,,,21-11,,T. Rozier enters the game for M. Smart
5:20.0,T. Thompson makes 2-pt shot from 3 ft (assist by L. James),2,23-12,,
5:00.0,,,23-12,,A. Bradley misses 2-pt shot from 2 ft
4:58.0,,,23-12,,Offensive rebound by J. Crowder
4:54.0,,,23-12,,J. Jerebko misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by L. James,,23-12,,
4:47.0,L. James makes 2-pt shot from 2 ft,2,25-12,,
4:47.0,,,25-12,,Shooting block foul by J. Jerebko (drawn by L. James)
4:47.0,L. James misses free throw 1 of 1,,25-12,,
4:47.0,,,25-12,,Defensive rebound by J. Jerebko
4:47.0,,,25-12,,J. Brown enters the game for J. Crowder
4:25.0,,,25-12,,A. Bradley misses 2-pt shot from 21 ft
4:25.0,Defensive rebound by Team,,25-12,,
4:25.0,,,25-12,,Loose ball foul by A. Horford
4:25.0,J. Smith misses free throw 1 of 2,,25-12,,
4:25.0,Offensive rebound by Team,,25-12,,
4:25.0,J. Smith makes free throw 2 of 2,1,26-12,,
4:10.0,,,26-12,,Turnover by J. Jerebko (bad pass; steal by L. James)
3:58.0,L. James makes 2-pt shot from 1 ft,2,28-12,,
3:58.0,,,28-12,,Boston full timeout
3:43.0,Def 3 sec tech foul by L. James,,28-12,,
3:43.0,,,28-13,1,A. Bradley makes technical free throw
3:35.0,,,28-13,,Shooting foul by J. Smith (drawn by J. Brown)
3:35.0,,,28-13,,J. Brown misses free throw 1 of 2
3:35.0,,,28-13,,Offensive rebound by Team
3:35.0,,,28-14,1,J. Brown makes free throw 2 of 2
3:35.0,K. Korver enters the game for J. Smith,,28-13,,
3:20.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,31-14,,
