time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. N. Noel (P. Mills gains possession),,,,Jump ball: D. Dedmon vs. N. Noel (P. Mills gains possession)
11:48.0,D. Dedmon misses 2-pt shot from 2 ft,,0-0,,
11:47.0,Offensive rebound by D. Bertans,,0-0,,
11:47.0,D. Bertans makes 2-pt shot from 2 ft,2,2-0,,
11:28.0,,,2-0,,Shooting foul by K. Anderson (drawn by H. Barnes)
11:28.0,,,2-0,,H. Barnes misses free throw 1 of 2
11:28.0,,,2-0,,Offensive rebound by Team
11:28.0,,,2-1,1,H. Barnes makes free throw 2 of 2
11:16.0,D. Dedmon makes 2-pt shot at rim (assist by D. Bertans),2,4-1,,
10:50.0,,,4-3,2,Y. Ferrell makes 2-pt shot from 20 ft (assist by D. Nowitzki)
10:33.0,P. Mills misses 3-pt shot from 23 ft,,4-3,,
10:32.0,,,4-3,,Defensive rebound by W. Matthews
10:21.0,,,4-5,2,N. Noel makes 2-pt shot at rim (assist by W. Matthews)
10:05.0,J. Simmons misses 2-pt shot from 7 ft,,4-5,,
10:04.0,Offensive rebound by D. Dedmon,,4-5,,
10:03.0,D. Dedmon makes 2-pt shot at rim,2,6-5,,
9:51.0,,,6-5,,N. Noel misses 2-pt shot at rim
9:50.0,Defensive rebound by P. Mills,,6-5,,
9:44.0,D. Bertans misses 3-pt shot from 25 ft,,6-5,,
9:43.0,,,6-5,,Defensive rebound by N. Noel
9:31.0,,,6-5,,Turnover by H. Barnes (lost ball; steal by K. Anderson)
9:26.0,Shooting foul by Y. Ferrell (drawn by J. Simmons),,6-5,,
9:26.0,J. Simmons misses free throw 1 of 2,,6-5,,
9:26.0,Offensive rebound by Team,,6-5,,
9:26.0,J. Simmons makes free throw 2 of 2,1,7-5,,
9:13.0,,,7-5,,D. Nowitzki misses 3-pt shot from 24 ft
9:12.0,,,7-5,,Offensive rebound by N. Noel
9:12.0,,,7-7,2,N. Noel makes 2-pt shot from 1 ft
9:03.0,P. Mills misses 2-pt shot from 21 ft,,7-7,,
9:01.0,Offensive rebound by D. Dedmon,,7-7,,
9:01.0,D. Dedmon misses 2-pt shot at rim,,7-7,,
9:01.0,,,7-7,,Defensive rebound by Y. Ferrell
8:57.0,Shooting block foul by P. Mills (drawn by Y. Ferrell),,7-7,,
8:57.0,,,7-8,1,Y. Ferrell makes free throw 1 of 2
8:57.0,,,7-9,1,Y. Ferrell makes free throw 2 of 2
8:34.0,D. Dedmon misses 2-pt shot from 3 ft,,7-9,,
8:34.0,Offensive rebound by D. Dedmon,,7-9,,
8:33.0,D. Dedmon makes 2-pt shot from 3 ft,2,9-9,,
8:15.0,,,9-11,2,D. Nowitzki makes 2-pt shot from 15 ft
7:51.0,P. Mills misses 3-pt shot from 24 ft,,9-11,,
7:50.0,,,9-11,,Defensive rebound by W. Matthews
7:43.0,,,9-13,2,W. Matthews makes 2-pt shot from 20 ft
7:42.0,San Antonio full timeout,,9-13,,
7:22.0,J. Simmons misses 3-pt shot from 25 ft,,9-13,,
7:21.0,Offensive rebound by K. Anderson,,9-13,,
7:21.0,Shooting foul by N. Noel (drawn by K. Anderson),,9-13,,
7:21.0,K. Anderson misses free throw 1 of 2,,9-13,,
7:21.0,Offensive rebound by Team,,9-13,,
7:21.0,K. Anderson misses free throw 2 of 2,,9-13,,
7:20.0,,,9-13,,Defensive rebound by D. Nowitzki
7:00.0,,,9-16,3,H. Barnes makes 3-pt shot from 24 ft (assist by W. Matthews)
6:49.0,D. Bertans misses 3-pt shot from 23 ft,,9-16,,
6:48.0,,,9-16,,Defensive rebound by W. Matthews
6:35.0,,,9-16,,Y. Ferrell misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by D. Dedmon,,9-16,,
6:24.0,K. Anderson misses 2-pt shot at rim,,9-16,,
6:23.0,,,9-16,,Defensive rebound by N. Noel
6:13.0,,,9-16,,H. Barnes misses 2-pt shot from 15 ft
6:12.0,Defensive rebound by D. Dedmon,,9-16,,
6:04.0,P. Mills makes 2-pt shot from 2 ft,2,11-16,,
5:36.0,,,11-16,,Y. Ferrell misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by K. Anderson,,11-16,,
5:29.0,J. Simmons makes 2-pt shot at rim (assist by P. Mills),2,13-16,,
5:10.0,Personal foul by K. Anderson (drawn by Y. Ferrell),,13-16,,
5:10.0,D. Lee enters the game for D. Bertans,,13-16,,
5:10.0,J. Anthony enters the game for D. Dedmon,,13-16,,
5:10.0,B. Forbes enters the game for P. Mills,,13-16,,
4:59.0,,,13-18,2,D. Nowitzki makes 2-pt shot from 9 ft (assist by Y. Ferrell)
4:38.0,D. Lee misses 2-pt shot from 9 ft,,13-18,,
4:37.0,,,13-18,,Defensive rebound by N. Noel
4:30.0,,,13-18,,W. Matthews misses 2-pt shot from 3 ft
4:29.0,Defensive rebound by J. Anthony,,13-18,,
4:09.0,K. Anderson misses 2-pt shot from 23 ft,,13-18,,
4:08.0,Offensive rebound by D. Lee,,13-18,,
3:49.0,D. Lee misses 2-pt shot from 6 ft (block by D. Nowitzki),,13-18,,
3:49.0,Offensive rebound by Team,,13-18,,
3:49.0,,,13-18,,Dallas full timeout
3:45.0,B. Forbes misses 3-pt shot from 26 ft,,13-18,,
3:44.0,,,13-18,,Defensive rebound by Team
3:31.0,,,13-20,2,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews)
3:20.0,D. Lee misses 2-pt shot from 19 ft,,13-20,,
3:17.0,Offensive rebound by K. Anderson,,13-20,,
3:16.0,J. Simmons misses 3-pt shot from 22 ft,,13-20,,
3:13.0,,,13-20,,Defensive rebound by D. Nowitzki
3:05.0,,,13-20,,D. Nowitzki misses 3-pt shot from 29 ft
3:04.0,Defensive rebound by Team,,13-20,,
3:04.0,D. Bertans enters the game for K. Anderson,,13-20,,
2:45.0,J. Simmons misses 2-pt shot from 1 ft,,13-20,,
2:44.0,Offensive rebound by D. Lee,,13-20,,
2:43.0,D. Lee misses 2-pt shot from 1 ft,,13-20,,
2:41.0,,,13-20,,Defensive rebound by N. Noel
2:32.0,,,13-22,2,Y. Ferrell makes 2-pt shot from 1 ft
2:18.0,B. Forbes misses 2-pt shot from 20 ft,,13-22,,
2:17.0,,,13-22,,Defensive rebound by D. Nowitzki
2:07.0,,,13-24,2,W. Matthews makes 2-pt shot from 17 ft
1:52.0,,,13-24,,Personal take foul by Y. Ferrell (drawn by J. Simmons)
1:52.0,,,13-24,,J. Barea enters the game for D. Nowitzki
1:52.0,,,13-24,,D. Finney-Smith enters the game for W. Matthews
