time,Minnesota,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. K. Towns (G. Dieng gains possession),,,,Jump ball: A. Johnson vs. K. Towns (G. Dieng gains possession)
11:43.0,K. Towns makes 2-pt shot from 8 ft (assist by A. Wiggins),2,2-0,,
11:33.0,Personal foul by R. Rubio (drawn by A. Bradley),,2-0,,
11:28.0,,,2-2,2,I. Thomas makes 2-pt shot from 20 ft (assist by A. Horford)
11:13.0,A. Wiggins misses 3-pt shot from 25 ft,,2-2,,
11:12.0,,,2-2,,Defensive rebound by A. Horford
11:00.0,,,2-4,2,A. Horford makes 2-pt shot from 8 ft (assist by A. Bradley)
10:51.0,Minnesota full timeout,,2-4,,
10:48.0,Turnover by G. Dieng (lost ball; steal by I. Thomas),,2-4,,
10:43.0,,,2-4,,Turnover by I. Thomas (lost ball; steal by R. Rubio)
10:35.0,Shooting foul by J. Crowder (drawn by A. Wiggins),,2-4,,
10:35.0,A. Wiggins misses free throw 1 of 2,,2-4,,
10:35.0,Offensive rebound by Team,,2-4,,
10:35.0,A. Wiggins makes free throw 2 of 2,1,3-4,,
10:21.0,,,3-4,,J. Crowder misses 3-pt shot from 26 ft
10:20.0,,,3-4,,Offensive rebound by A. Horford
10:17.0,,,3-7,3,A. Bradley makes 3-pt shot from 26 ft (assist by A. Horford)
10:00.0,R. Rubio misses 2-pt shot from 2 ft (block by A. Horford),,3-7,,
9:59.0,,,3-7,,Defensive rebound by A. Horford
9:48.0,,,3-7,,Shooting foul by A. Wiggins (drawn by J. Crowder)
9:48.0,,,3-8,1,J. Crowder makes free throw 1 of 2
9:48.0,,,3-9,1,J. Crowder makes free throw 2 of 2
9:43.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,5-9,,
9:30.0,,,5-12,3,I. Thomas makes 3-pt shot from 26 ft
9:08.0,Shooting foul by A. Bradley (drawn by R. Rubio),,5-12,,
9:08.0,R. Rubio makes free throw 1 of 2,1,6-12,,
9:08.0,R. Rubio makes free throw 2 of 2,1,7-12,,
8:57.0,Violation by G. Dieng (kicked ball),,7-12,,
8:48.0,,,7-12,,J. Crowder misses 3-pt shot from 25 ft
