time,Phoenix,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. M. Turner (M. Chriss gains possession),,,,Jump ball: A. Len vs. M. Turner (M. Chriss gains possession)
11:46.0,T. Warren misses 2-pt shot from 5 ft,,0-0,,
11:45.0,Offensive rebound by A. Len,,0-0,,
11:45.0,A. Len makes 2-pt shot from 1 ft,2,2-0,,
11:28.0,,,2-2,2,M. Turner makes 2-pt shot from 20 ft (assist by T. Young)
11:11.0,M. Chriss misses 3-pt shot from 24 ft,,2-2,,
11:10.0,,,2-2,,Defensive rebound by J. Teague
11:00.0,,,2-2,,M. Turner misses 2-pt shot from 19 ft
10:59.0,Defensive rebound by E. Bledsoe,,2-2,,
10:51.0,E. Bledsoe misses 2-pt shot from 2 ft,,2-2,,
10:49.0,Offensive rebound by Team,,2-2,,
10:48.0,Turnover by T. Warren (traveling),,2-2,,
10:36.0,,,2-2,,C. Miles misses 2-pt shot from 2 ft (block by A. Len)
10:35.0,Defensive rebound by A. Len,,2-2,,
10:27.0,E. Bledsoe makes 2-pt shot from 18 ft (assist by D. Booker),2,4-2,,
10:10.0,,,4-4,2,J. Teague makes 2-pt shot from 3 ft
9:55.0,D. Booker makes 2-pt shot from 18 ft,2,6-4,,
9:42.0,,,6-4,,Turnover by M. Turner (lost ball; steal by E. Bledsoe)
9:36.0,E. Bledsoe makes 2-pt shot from 1 ft,2,8-4,,
9:15.0,,,8-6,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
8:56.0,A. Len makes 2-pt shot from 1 ft,2,10-6,,
8:45.0,,,10-8,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
8:26.0,A. Len makes 2-pt shot from 4 ft (assist by E. Bledsoe),2,12-8,,
8:08.0,,,12-10,2,J. Teague makes 2-pt shot from 5 ft
7:46.0,M. Chriss misses 2-pt shot from 18 ft,,12-10,,
7:46.0,,,12-10,,Defensive rebound by M. Ellis
7:25.0,,,12-10,,T. Young misses 2-pt shot from 13 ft (block by M. Chriss)
7:24.0,,,12-10,,Offensive rebound by T. Young
7:22.0,,,12-10,,T. Young misses 2-pt shot from 8 ft (block by M. Chriss)
7:21.0,Defensive rebound by A. Len,,12-10,,
7:17.0,Turnover by M. Chriss (bad pass; steal by T. Young),,12-10,,
7:15.0,Personal take foul by E. Bledsoe (drawn by T. Young),,12-10,,
7:08.0,,,12-10,,C. Miles misses 2-pt shot from 19 ft
7:07.0,Defensive rebound by E. Bledsoe,,12-10,,
6:54.0,A. Len misses 2-pt shot from 7 ft,,12-10,,
6:54.0,,,12-10,,Defensive rebound by J. Teague
6:36.0,,,12-10,,J. Teague misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by A. Len,,12-10,,
6:20.0,Turnover by D. Booker (lost ball; steal by M. Ellis),,12-10,,
6:16.0,,,12-10,,T. Young misses 2-pt shot from 1 ft
6:14.0,,,12-10,,Offensive rebound by T. Young
6:14.0,,,12-10,,T. Young misses 2-pt shot from 1 ft
6:13.0,,,12-10,,Offensive rebound by M. Ellis
6:11.0,,,12-10,,M. Ellis misses 2-pt shot from 16 ft
6:11.0,Defensive rebound by Team,,12-10,,
6:11.0,,,12-10,,Loose ball foul by T. Young (drawn by D. Booker)
5:57.0,T. Warren makes 2-pt shot from 8 ft,2,14-10,,
5:50.0,,,14-10,,Turnover by J. Teague (bad pass; steal by D. Booker)
5:40.0,A. Len makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,16-10,,
5:40.0,,,16-10,,Indiana full timeout
5:40.0,,,16-10,,A. Jefferson enters the game for M. Turner
5:40.0,A. Williams enters the game for A. Len,,16-10,,
5:40.0,B. Knight enters the game for E. Bledsoe,,16-10,,
5:25.0,,,16-10,,A. Jefferson misses 2-pt shot from 9 ft
5:24.0,Defensive rebound by M. Chriss,,16-10,,
5:14.0,D. Booker misses 3-pt shot from 25 ft,,16-10,,
5:13.0,,,16-10,,Defensive rebound by A. Jefferson
5:03.0,,,16-12,2,M. Ellis makes 2-pt shot from 2 ft
4:44.0,M. Chriss misses 2-pt shot from 2 ft (block by T. Young),,16-12,,
4:42.0,Offensive rebound by A. Williams,,16-12,,
4:39.0,A. Williams makes 2-pt shot from 5 ft,2,18-12,,
4:22.0,,,18-14,2,A. Jefferson makes 2-pt shot from 6 ft (assist by M. Ellis)
4:22.0,Violation by M. Chriss (def goaltending),,18-14,,
4:08.0,B. Knight misses 2-pt shot from 1 ft,,18-14,,
4:08.0,,,18-14,,Defensive rebound by T. Young
3:55.0,,,18-14,,J. Teague misses 2-pt shot from 3 ft
3:54.0,,,18-14,,Offensive rebound by A. Jefferson
3:34.0,,,18-16,2,A. Jefferson makes 2-pt shot from 1 ft
3:21.0,A. Williams makes 2-pt shot from 10 ft (assist by B. Knight),2,20-16,,
